Date,Open,High,Low,Close,Volume
2020-06-08,1.32,1.32,1.32,1.32,400
2020-06-09,1.48,1.48,1.48,1.48,500
2020-06-10,1.49,1.49,1.49,1.49,3000
2020-06-12,2.39,2.39,2.39,2.39,200
2020-06-15,1.98,1.98,1.98,1.98,500
2020-06-16,1.99,1.99,1.8,1.8,2735
2020-06-17,2.75,2.99,2.6,2.9,36211
2020-06-18,2.56,2.57,2.52,2.57,5435
2020-06-19,2.08,2.1,2.08,2.09,6779
2020-06-22,1.62,1.8001,1.61,1.8,6888
2020-06-23,2.23,2.23,2.03,2.06,72917
2020-06-24,2.25,2.25,2.2,2.2,1071
2020-06-25,1.95,1.95,1.325,1.73,919196
2020-06-26,1.7,1.86,1.18,1.5,443362
2020-06-29,1.55,1.65,1.03,1.13,2045077
2020-06-30,1.15,1.25,0.8112,1.06,1370509
2020-07-01,1.12,1.14,0.92,1.1,363563
2020-07-02,1.2,1.2,1.02,1.08,493516
2020-07-06,1.19,1.21,0.84,0.8601,523519
2020-07-07,0.8998,0.95,0.7201,0.77,389324
2020-07-08,0.81,0.98,0.7523,0.95,286040
2020-07-09,0.99,1.05,0.9012,1.01,224831
2020-07-10,1.02,1.04,0.96,0.98,196492
2020-07-13,1.0,1.0,0.86,0.9099,395491
2020-07-14,0.88,0.89,0.8497,0.89,129037
2020-07-15,0.9,1.01,0.83,0.83,152023
2020-07-16,0.85,1.0472,0.85,0.91,124254
2020-07-17,0.95,0.98,0.89,0.965,97378
2020-07-20,1.03,1.03,0.85,0.85,171668
2020-07-21,0.85,0.9,0.82,0.8899,316345
2020-07-22,0.8412,0.888,0.7749,0.8501,159961
2020-07-23,0.85,0.8601,0.777,0.7955,132147
2020-07-24,0.8,0.82,0.75,0.8043,63949
2020-07-27,0.7902,0.82,0.7,0.7701,162197
2020-07-28,0.75,0.83,0.55,0.55,73657
2020-07-29,0.73,0.7909,0.69,0.78,62403
2020-07-30,0.78,0.85,0.7198,0.7701,147184
2020-07-31,0.7205,0.7501,0.7199,0.7501,41170
2020-08-03,0.725,0.7999,0.72,0.78,56496
2020-08-04,0.75,0.79,0.705,0.76,22410
2020-08-05,0.76,0.8,0.6999,0.8,52050
2020-08-06,0.71,0.79,0.7,0.7777,59582
2020-08-07,0.77,0.79,0.71,0.79,76436
2020-08-10,0.78,0.79,0.72,0.79,53571
2020-08-11,0.84,0.86,0.8,0.829,215741
2020-08-12,0.8,0.95,0.8,0.929,96193
2020-08-13,0.99,1.0,0.8897,0.98,98027
2020-08-14,1.09,1.09,0.65,0.83,417930
2020-08-17,0.765,0.798,0.7399,0.75,36356
2020-08-18,0.72,0.755,0.67,0.67,112246
2020-08-19,0.68,0.73,0.68,0.73,74331
2020-08-20,0.67,0.7129,0.61,0.69,75913
2020-08-21,0.7,0.75,0.7,0.75,73757
2020-08-24,0.675,0.78,0.675,0.78,59067
2020-08-25,0.78,0.8001,0.69,0.7499,37028
2020-08-26,0.75,0.8399,0.749,0.79,98762
2020-08-27,0.79,0.8503,0.79,0.83,120167
2020-08-28,0.8,0.83,0.79,0.81,17600
2020-08-31,0.794,0.83,0.7508,0.81,152725
2020-09-01,0.8499,0.86,0.81,0.86,76021
2020-09-02,0.8,0.85,0.76,0.83,70569
2020-09-03,0.8458,0.85,0.78,0.825,101163
2020-09-04,0.8241,0.88,0.81,0.88,137986
2020-09-08,0.88,0.95,0.82,0.95,431819
2020-09-09,1.05,1.1,0.88,1.1,193393
2020-09-10,1.07,1.07,0.9,0.95,182731
2020-09-11,1.0,1.03,0.901,0.97,539573
2020-09-14,0.96,1.06,0.95,0.958,267191
2020-09-15,0.95,1.02,0.95,0.97,71246
2020-09-16,0.95,1.0121,0.95,0.98,26678
2020-09-17,0.95,1.01,0.95,1.0,68783
2020-09-18,1.01,1.03,0.98,1.01,85147
2020-09-21,0.93,1.0,0.92,0.99,79284
2020-09-22,0.99,1.02,0.9501,0.965,36429
2020-09-23,0.9498,0.96,0.83,0.8551,56637
2020-09-24,0.86,0.885,0.72,0.85,78587
2020-09-25,0.75,0.8901,0.75,0.84,34932
2020-09-28,0.85,0.97,0.84,0.9552,62322
2020-09-29,1.02,1.02,0.955,0.9699,115742
2020-09-30,0.98,1.03,0.86,0.97,309599
2020-10-01,0.98,1.0,0.9,0.97,269950
2020-10-02,0.88,0.99,0.88,0.9637,67700
2020-10-05,0.95,1.0,0.95,0.9751,224917
2020-10-06,0.93,0.9325,0.91,0.92,29588
2020-10-07,0.9,0.9001,0.8,0.85,21623
2020-10-08,0.85,0.89,0.83,0.86,41350
2020-10-09,0.85,0.9067,0.84,0.9,28793
2020-10-12,0.93,0.95,0.83,0.83,26187
2020-10-13,0.89,0.91,0.89,0.9,11080
2020-10-14,0.88,0.89,0.87,0.87,2912
2020-10-15,0.88,0.88,0.81,0.865,33624
2020-10-16,0.85,0.92,0.85,0.88,24940
2020-10-19,0.88,0.9001,0.8307,0.85,62236
2020-10-20,0.87,0.95,0.85,0.9,318800
2020-10-21,0.95,1.0,0.9,0.96,102915
2020-10-22,0.9,0.95,0.87,0.94,98347
2020-10-23,0.94,0.98,0.9399,0.98,198587
2020-10-26,1.0,1.0,0.908,0.95,82439
2020-10-27,0.91,0.95,0.86,0.93,62858
2020-10-28,0.8702,0.92,0.8702,0.9155,31310
2020-10-29,0.9,1.05,0.85,1.05,155364
2020-10-30,0.9444,0.9445,0.891,0.92,52252
2020-11-02,0.891,0.92,0.8501,0.92,14479
2020-11-03,0.85,0.92,0.85,0.88,245128
2020-11-04,0.9,0.92,0.85,0.92,57408
2020-11-05,0.9,0.9321,0.88,0.9321,42450
2020-11-06,0.9,0.93,0.89,0.91,220790
2020-11-09,0.91,1.0,0.8501,0.975,94442
2020-11-10,0.975,1.04,0.91,1.04,297148
2020-11-11,1.0,1.05,0.97,1.0,371316
2020-11-12,0.95,1.04,0.95,1.0,101778
2020-11-13,0.97,1.05,0.95,1.05,81401
2020-11-16,0.97,0.9999,0.88,0.93,107898
2020-11-17,0.89,0.9001,0.808,0.9,137802
2020-11-18,0.8701,0.8701,0.83,0.85,70442
2020-11-19,0.8501,0.89,0.7912,0.89,95404
2020-11-20,0.831,0.9,0.831,0.87,5200
2020-11-23,0.86,0.9003,0.85,0.85,41972
2020-11-24,0.85,0.9,0.8218,0.9,302980
2020-11-25,0.8735,0.93,0.86,0.92,42650
2020-11-27,0.9388,0.9388,0.85,0.93,34974
2020-11-30,0.93,0.93,0.8,0.91,381125
2020-12-01,0.949,1.07,0.9103,0.97,559404
2020-12-02,0.97,1.04,0.94,0.97,300679
2020-12-03,1.0,1.03,0.97,0.99,62381
2020-12-04,0.921,1.06,0.921,1.01,76810
2020-12-07,0.93,1.12,0.93,1.0,244058
2020-12-08,1.14,1.14,1.05,1.08,346026
2020-12-09,1.17,1.24,1.08,1.13,100995
2020-12-10,1.11,1.15,1.1002,1.125,34729
2020-12-11,1.16,1.33,1.13,1.32,279573
2020-12-14,1.25,1.4001,1.25,1.38,708355
2020-12-15,1.4501,1.5,1.3999,1.44,326682
2020-12-16,1.43,1.4998,1.34,1.37,97337
2020-12-17,1.43,1.6,1.41,1.49,161054
2020-12-18,1.53,1.62,1.5,1.55,225158
2020-12-21,1.64,1.65,1.46,1.47,326262
2020-12-22,1.43,1.55,1.43,1.5,173117
2020-12-23,1.48,1.5702,1.48,1.53,152832
2020-12-24,1.58,1.58,1.5,1.52,100744
2020-12-28,1.53,1.63,1.5102,1.52,93729
2020-12-29,1.51,1.5198,1.4,1.46,166333
2020-12-30,1.39,1.4498,1.33,1.33,93900
2020-12-31,1.36,1.4201,1.33,1.38,94375
2021-01-04,1.5,1.5,1.27,1.27,152235
2021-01-05,1.3,1.38,1.27,1.29,298859
2021-01-06,1.29,1.45,1.28,1.295,198414
2021-01-07,1.355,1.4,1.3,1.32,337938
2021-01-08,1.33,1.4101,1.31,1.35,266395
2021-01-11,1.4,1.44,1.33,1.34,276749
2021-01-12,1.3,1.44,1.3,1.42,191739
2021-01-13,1.44,1.56,1.41,1.41,304600
2021-01-14,1.5,1.5,1.44,1.4502,78661
2021-01-15,1.46,1.6,1.44,1.52,62427
