Date,Open,High,Low,Close,Volume
2011-09-30,1.08,1.13,1.08,1.12,528853
2011-10-03,1.11,1.12,1.09,1.1,227579
2011-10-04,1.1,1.13,1.09,1.11,677856
2011-10-05,1.11,1.11,1.06,1.06,1616605
2011-10-06,1.06,1.09,1.01,1.08,336440
2011-10-07,1.08,1.1,1.06,1.06,340720
2011-10-10,1.1,1.1,1.07,1.07,27368
2011-10-11,1.07,1.09,1.06,1.07,960896
2011-10-12,1.07,1.08,1.06,1.07,2073264
2011-10-13,1.07,1.09,1.06,1.09,198814
2011-10-14,1.08,1.09,1.08,1.09,97437
2011-10-17,1.08,1.1,1.08,1.1,267656
2011-10-18,1.1,1.14,1.1,1.14,104881
2011-10-19,1.12,1.13,1.11,1.12,470985
2011-10-20,1.12,1.12,1.1,1.1,391822
2011-10-21,1.1,1.13,1.1,1.12,4520669
2011-10-24,1.12,1.13,1.1,1.13,430099
2011-10-25,0.12,0.165,0.062,0.155,3721283
2011-10-26,0.16,0.16,0.133,0.135,474829
2011-10-27,0.135,0.14,0.13,0.135,3585562
2011-10-28,0.1311,0.135,0.126,0.132,618370
2011-10-31,0.132,0.135,0.131,0.134,305174
2011-11-01,0.135,0.135,0.1215,0.124,233370
2011-11-02,0.125,0.125,0.122,0.122,167513
2011-11-03,0.122,0.125,0.122,0.122,445157
2011-11-04,0.122,0.122,0.1201,0.122,131585
2011-11-07,0.121,0.122,0.12,0.122,43535
2011-11-08,0.125,0.125,0.122,0.122,53250
2011-11-09,0.122,0.1221,0.121,0.121,34168
2011-11-10,0.125,0.125,0.122,0.124,17750
2011-11-11,0.123,0.1231,0.121,0.123,106781
2011-11-14,0.123,0.15,0.1221,0.15,1366936
2011-11-15,0.14,0.165,0.14,0.145,1559488
2011-11-16,0.145,0.155,0.145,0.155,105814
2011-11-17,0.152,0.155,0.152,0.155,114573
2011-11-18,0.155,0.16,0.155,0.16,35300
2011-11-21,0.157,0.16,0.157,0.157,34310
2011-11-22,0.1571,0.16,0.157,0.16,28446
2011-11-23,0.162,0.162,0.16,0.16,39000
2011-11-25,0.155,0.158,0.155,0.158,34000
2011-11-28,0.16,0.163,0.155,0.157,214202
2011-11-29,0.157,0.163,0.157,0.163,332637
2011-11-30,0.162,0.18,0.161,0.177,2243271
2011-12-01,0.1751,0.179,0.17,0.17,288506
2011-12-02,0.175,0.175,0.1702,0.1702,16808
2011-12-05,0.175,0.175,0.167,0.169,399240
2011-12-06,0.167,0.179,0.167,0.179,104607
2011-12-07,0.175,0.175,0.17,0.17,77750
2011-12-08,0.175,0.175,0.17,0.17,48700
2011-12-09,0.17,0.17,0.17,0.17,27550
2011-12-12,0.165,0.17,0.165,0.17,10700
2011-12-13,0.169,0.175,0.169,0.17,6800
2011-12-14,0.17,0.175,0.1695,0.172,32542
2011-12-15,0.17,0.175,0.164,0.164,181520
2011-12-16,0.167,0.169,0.166,0.169,53150
2011-12-19,0.166,0.17,0.166,0.166,13411
2011-12-20,0.168,0.168,0.166,0.168,115178
2011-12-21,0.166,0.167,0.161,0.166,43900
2011-12-22,0.161,0.166,0.161,0.166,48500
2011-12-23,0.165,0.165,0.161,0.161,38530
2011-12-27,0.16,0.164,0.155,0.156,87900
2011-12-28,0.155,0.155,0.155,0.155,11131
2011-12-29,0.155,0.16,0.151,0.152,67753
2011-12-30,0.1511,0.16,0.1511,0.155,92900
2012-01-03,0.151,0.1645,0.151,0.16,64731
2012-01-04,0.16,0.165,0.16,0.165,8298
2012-01-05,0.165,0.165,0.157,0.165,40321
2012-01-06,0.165,0.165,0.165,0.165,9085
2012-01-09,0.165,0.165,0.163,0.164,114100
2012-01-10,0.164,0.164,0.157,0.157,23604
2012-01-11,0.1572,0.16,0.1572,0.16,13979
2012-01-12,0.164,0.165,0.16,0.16,131500
2012-01-13,0.16,0.16,0.16,0.16,5000
2012-01-17,0.16,0.164,0.16,0.164,28190
2012-01-18,0.16,0.163,0.16,0.163,6606
2012-01-19,0.165,0.165,0.16,0.16,91680
2012-01-20,0.16,0.165,0.16,0.162,135400
2012-01-23,0.165,0.165,0.16,0.165,78318
2012-01-24,0.165,0.165,0.165,0.165,3219
2012-01-25,0.165,0.165,0.16,0.165,142085
2012-01-26,0.17,0.18,0.166,0.18,102533
2012-01-27,0.18,0.18,0.17,0.18,87500
2012-01-30,0.17,0.17,0.162,0.162,61512
