Date,Open,High,Low,Close,Volume
2024-06-18,10.05,10.05,9.98,9.98,3757551
2024-06-20,10.02,10.02,10.0,10.02,444793
2024-06-21,10.0,10.0299,10.0,10.02,49448
2024-06-24,10.01,10.03,10.005,10.01,323907
2024-06-25,10.01,10.02,10.0,10.02,90300
2024-06-26,10.0,10.02,10.0,10.02,70698
2024-06-27,10.01,10.03,10.0,10.015,155913
2024-06-28,10.02,10.02,10.0,10.01,64635
2024-07-01,10.0,10.02,10.0,10.02,7904
2024-07-08,10.02,10.02,10.01,10.01,82492
2024-07-09,10.02,10.0301,10.02,10.03,241158
2024-07-10,10.04,10.05,10.03,10.05,117457
2024-07-11,10.06,10.06,10.05,10.06,104760
2024-07-12,10.07,10.07,10.07,10.07,107
2024-07-15,10.06,10.06,10.06,10.06,9860
2024-07-16,10.07,10.07,10.0609,10.07,12381
2024-07-17,10.08,10.09,10.075,10.08,55039
2024-07-18,10.08,10.09,10.08,10.085,58601
2024-07-19,10.09,10.09,10.09,10.09,22490
2024-07-22,10.09,10.1,10.09,10.1,86119
2024-07-23,10.1,10.11,10.1,10.105,423390
2024-07-24,10.1,10.12,10.1,10.11,137458
2024-07-25,10.11,10.11,10.1026,10.11,26150
2024-07-26,10.11,10.12,10.11,10.12,58091
2024-07-29,10.11,10.12,10.11,10.12,107046
2024-07-30,10.1111,10.1111,10.095,10.095,1200
2024-07-31,10.11,10.11,10.09,10.1,7040
2024-08-01,10.11,10.11,10.1,10.1,8760
2024-08-02,10.11,10.11,10.11,10.11,2000
2024-08-05,10.1,10.1,10.08,10.085,5600
2024-08-06,10.09,10.09,10.09,10.09,400
2024-08-08,10.08,10.09,10.08,10.09,1681
2024-08-09,10.08,10.09,10.07,10.09,1599
2024-08-12,10.09,10.1,10.09,10.09,11270
2024-08-13,10.11,10.11,10.1,10.1,183369
2024-08-14,10.11,10.11,10.11,10.11,36714
2024-08-15,10.13,10.2,10.1,10.1,130189
2024-08-16,10.0,10.09,10.0,10.09,200
2024-08-19,10.08,10.08,10.08,10.08,800
2024-08-20,10.109,10.15,10.1001,10.15,1183
2024-08-21,10.15,10.15,10.11,10.11,330
2024-08-22,10.1,10.1,10.1,10.1,130
2024-08-26,10.49,10.49,10.15,10.15,400
2024-08-27,10.11,10.11,10.11,10.11,387000
2024-08-28,10.2,10.74,10.1,10.2,2400
2024-08-30,10.2,10.49,10.1,10.1,1600
2024-09-03,10.12,10.12,10.12,10.12,200
2024-09-04,10.12,10.12,10.12,10.12,100
2024-09-11,10.15,10.15,10.11,10.11,477
2024-09-19,10.1,10.1,10.1,10.1,235
2024-10-07,10.12,10.12,10.12,10.12,100
2024-10-10,10.12,10.12,10.12,10.12,3003
2024-10-11,10.13,10.13,10.02,10.02,4215
2024-10-14,10.14,10.14,10.13,10.13,1400
2024-10-22,10.1994,10.1994,10.14,10.14,800
2024-10-23,10.2,10.47,10.2,10.47,2825
2024-10-24,10.48,10.48,10.48,10.48,1600
2024-10-28,10.5,10.5,10.5,10.5,105
2024-11-05,10.18,10.42,10.18,10.42,376
2024-11-07,10.42,10.42,10.42,10.42,421
2024-11-14,10.24,10.24,10.21,10.21,400
2024-11-18,10.28,10.28,10.28,10.28,300
2024-11-21,10.42,10.43,10.42,10.43,400
2024-12-20,10.22,10.22,10.22,10.22,200
2025-01-13,10.45,10.46,10.45,10.46,300
2025-02-10,10.6,10.6,10.6,10.6,100
2025-02-26,10.4816,10.4816,10.4816,10.4816,325
