Date,Open,High,Low,Close,Volume
2022-08-03,24.0,24.0,24.0,24.0,3132
2022-08-04,26.0,30.0,26.0,30.0,547
2022-08-05,31.0,32.0,30.0,30.0,5572
2022-08-08,30.0,30.0,30.0,30.0,100
2022-08-09,30.0,30.0,30.0,30.0,100
2022-08-11,29.75,29.75,29.75,29.75,261
2022-08-16,30.0,30.0,30.0,30.0,1500
2022-08-22,29.5,30.0,29.5,29.5,9933
2022-08-23,29.6,30.24,28.6,29.5,10569
2022-08-25,29.49,29.5,29.25,29.3,101428
2022-08-26,29.25,29.3,29.25,29.3,30000
2022-08-31,29.5,29.5,29.25,29.25,590
2022-09-01,29.5,29.93,29.5,29.93,4930
2022-09-06,29.93,30.375,29.93,30.05,12203
2022-09-07,30.25,30.3,30.25,30.3,4281
2022-09-08,31.0,31.0,30.5,30.9,68590
2022-09-09,30.84,31.99,30.84,30.9,20500
2022-09-12,31.0,31.245,31.0,31.0,2576
2022-09-13,31.0,31.5,30.9,31.0,41022
2022-09-14,31.25,31.25,31.01,31.01,6765
2022-09-15,30.95,31.48,30.95,31.25,11000
2022-09-16,30.91,31.25,30.91,31.05,20808
2022-09-21,31.0,31.0,31.0,31.0,5100
2022-09-22,31.0,31.0,31.0,31.0,5000
2022-09-23,30.95,30.95,30.95,30.95,15000
2022-09-26,30.91,30.91,30.91,30.91,400
2022-09-27,30.5,30.5,30.41,30.41,200
2022-09-28,30.04,31.45,30.04,30.75,25110
2022-09-29,30.0,31.45,30.0,31.45,1234
2022-09-30,30.25,31.0,30.25,30.75,5864
2022-10-03,30.75,31.0,30.75,30.8,16600
2022-10-04,30.05,30.8,30.0,30.8,102400
2022-10-13,30.7,31.0,30.65,31.0,7600
2022-10-14,30.75,30.75,30.75,30.75,100
2022-10-18,30.85,31.3,30.77,31.0,13200
2022-10-19,31.45,33.0,31.45,33.0,11658
2022-10-20,32.0,32.99,32.0,32.99,250
2022-10-21,31.75,32.99,31.75,31.75,20490
2022-10-25,31.85,31.85,31.15,31.75,3195
2022-10-26,31.35,31.7,31.35,31.7,600
2022-10-28,31.6,33.0,31.6,32.75,10375
2022-10-31,32.5,32.94,32.25,32.4,1924
2022-11-02,32.95,33.2,32.95,33.2,2398
2022-11-03,33.2,34.0,33.2,34.0,6475
2022-11-04,33.9999,33.9999,33.0,33.5,2222
2022-11-07,33.5,35.0,33.5,34.99,6309
2022-11-08,34.94,34.99,34.94,34.99,500
2022-11-09,34.51,35.0,34.05,34.4,13571
2022-11-10,34.25,35.0,34.25,35.0,15205
2022-11-11,34.25,34.9,34.25,34.55,3215
2022-11-14,34.55,34.55,34.55,34.55,3600
2022-11-15,34.75,35.5,34.56,34.9,15364
2022-11-16,34.75,34.75,34.75,34.75,4594
2022-11-17,35.0,35.0,34.65,34.75,9705
2022-11-18,36.0,36.0,36.0,36.0,100
2022-11-22,36.5,38.0,36.0,38.0,6300
2022-11-23,38.0,38.0,38.0,38.0,5000
2022-11-28,36.0,36.5,35.0101,36.5,2000
2022-11-29,36.5,36.5,36.5,36.5,199
2022-11-30,36.5,36.5,36.5,36.5,294
2022-12-01,36.5,36.5,36.5,36.5,100
2022-12-02,36.5,36.5,36.5,36.5,54404
2022-12-06,36.5,36.5,36.5,36.5,195
2022-12-08,36.25,36.25,36.25,36.25,200
2022-12-13,36.25,36.5,36.1001,36.5,1200
2022-12-14,36.1,36.1,36.1,36.1,2088
2022-12-15,36.1,36.1,35.75,35.75,1826
2022-12-21,36.1,36.1,36.1,36.1,550
2022-12-22,35.85,35.85,35.85,35.85,100
2022-12-30,36.45,36.45,36.45,36.45,110
2023-01-04,36.01,36.06,36.01,36.06,5142
2023-01-05,36.01,36.01,36.01,36.01,300
2023-01-06,36.0,36.01,35.91,35.91,2553
2023-01-10,34.35,35.95,34.35,35.95,218104
2023-01-11,35.51,35.51,35.5,35.5,5388
2023-01-12,35.45,35.45,34.25,35.45,6000
2023-01-13,35.0,35.0,35.0,35.0,200
2023-01-17,35.0,35.0,34.75,34.75,2886
2023-01-19,34.75,34.75,34.5,34.5,1100
2023-01-20,34.25,34.25,34.25,34.25,9443
2023-01-24,34.25,34.25,34.0,34.03,4444
2023-01-25,34.0,34.0,33.9,33.91,1900
2023-01-26,33.9,33.9,33.25,33.65,31702
2023-01-30,33.75,33.75,33.75,33.75,100
2023-01-31,33.65,33.75,33.65,33.7,5678
2023-02-02,34.0,34.0,34.0,34.0,1200
2023-02-03,34.5,34.5,34.5,34.5,361
2023-02-07,34.25,34.25,34.0,34.0,1500
2023-02-10,34.05,34.25,34.05,34.25,8605
2023-02-13,34.0,34.0,34.0,34.0,300
2023-02-14,34.05,34.06,34.02,34.05,5053
2023-02-16,34.05,34.05,34.0125,34.05,12631
2023-02-17,34.0,34.025,34.0,34.0,3399
2023-02-21,34.0,34.0,33.85,33.85,3315
2023-02-22,33.85,33.85,33.7,33.7,6502
2023-02-23,33.7,33.7,33.7,33.7,2680
2023-02-28,33.46,33.51,33.15,33.15,31900
2023-03-01,33.15,33.15,33.15,33.15,1500
2023-03-02,33.15,33.15,33.15,33.15,2400
2023-03-06,33.15,33.35,32.9,32.9,12975
2023-03-07,32.9,32.9,32.85,32.85,3300
2023-03-09,32.8,32.8,32.25,32.25,5362
2023-03-10,32.0,32.0,32.0,32.0,100
2023-03-13,31.2,31.2,30.0,30.0,600
2023-03-15,29.0,29.9,27.63,29.9,735
2023-03-17,29.9,29.9,29.9,29.9,100
2023-03-21,29.0,29.5,28.5,29.5,415
2023-03-22,29.5,29.5,29.5,29.5,100
