Date,Open,High,Low,Close,Volume
2003-09-04,2.3668,2.3746,2.3668,2.3746,200273.0
2003-09-05,2.3683,2.3746,2.3668,2.3715,155913.0
2003-09-08,2.3668,2.3731,2.3668,2.3668,340340.0
2003-09-09,2.3668,2.3715,2.3668,2.3668,214219.0
2003-09-10,2.3683,2.3683,2.3668,2.3683,190138.0
2003-09-11,2.3731,2.3731,2.3668,2.3699,297242.0
2003-09-12,2.3699,2.3699,2.3668,2.3683,155909.0
2003-09-15,2.3668,2.3683,2.3668,2.3668,155910.0
2003-09-16,2.3668,2.3731,2.3668,2.3668,349848.0
2003-09-17,2.3668,2.3699,2.3668,2.3668,330834.0
2003-09-18,2.3668,2.3699,2.3668,2.3699,204077.0
2003-09-19,2.3699,2.3699,2.3668,2.3668,152108.0
2003-09-22,2.3668,2.3683,2.3668,2.3683,1107214.0
2003-09-23,2.3668,2.3683,2.3668,2.3683,1560363.0
2003-09-24,2.3668,2.3683,2.3668,2.3668,790963.0
2003-09-25,2.3668,2.3668,2.3036,2.3573,1167420.0
2003-09-26,2.3573,2.3604,2.3573,2.3589,282668.0
2003-09-29,2.3589,2.3652,2.3589,2.3604,845462.0
2003-09-30,2.3604,2.362,2.3604,2.3604,350481.0
2003-10-01,2.3604,2.362,2.3604,2.3604,353649.0
2003-10-02,2.362,2.362,2.3604,2.362,195205.0
2003-10-03,2.3604,2.362,2.3604,2.3604,538077.0
2003-10-06,2.362,2.362,2.3604,2.3604,127392.0
2003-10-07,2.3604,2.362,2.3604,2.362,321960.0
2003-10-08,2.362,2.362,2.3604,2.362,239574.0
2003-10-09,2.3604,2.362,2.3604,2.3604,264287.0
2003-10-10,2.3604,2.362,2.3604,2.3604,484840.0
2003-10-13,2.3604,2.362,2.3526,2.3541,352381.0
2003-10-14,2.3541,2.3541,2.3399,2.3431,375834.0
2003-10-15,2.3431,2.3431,2.321,2.3242,366959.0
2003-10-16,2.3335,2.3748,2.3144,2.3669,455779.0
2003-10-17,2.3541,2.37,2.3446,2.351,236076.0
2003-10-20,2.351,2.3669,2.3399,2.3541,143536.0
2003-10-21,2.351,2.3669,2.3462,2.3478,188230.0
2003-10-22,2.3589,2.3669,2.3446,2.3446,182565.0
2003-10-23,2.351,2.3748,2.3351,2.351,273846.0
2003-10-24,2.3526,2.3748,2.343,2.3526,151090.0
2003-10-27,2.351,2.351,2.3144,2.3144,302175.0
2003-10-28,2.3192,2.343,2.3033,2.3049,564684.0
2003-10-29,2.3113,2.3192,2.297,2.316,273220.0
2003-10-30,2.3192,2.3192,2.2954,2.3176,330506.0
2003-10-31,2.3271,2.3351,2.3033,2.3351,243630.0
