Date,Open,High,Low,Close,Volume
2019-12-18,25.15,25.29,25.12,25.175,152428
2019-12-19,25.19,25.22,25.17,25.18,87204
2019-12-20,25.19,25.23,25.13,25.19,63809
2019-12-23,25.29,25.48,25.29,25.43,87992
2019-12-24,25.43,25.43,25.25,25.27,89900
2019-12-26,25.29,25.3,25.22,25.24,73882
2019-12-27,25.25,25.28,25.23,25.26,39262
2019-12-30,25.22,25.3,25.18,25.2634,54803
2019-12-31,25.25,25.34,25.14,25.14,98095
2020-01-02,25.22,25.28,25.21,25.24,37869
2020-01-03,25.24,25.48,25.24,25.33,46331
2020-01-06,25.37,25.4355,25.3,25.3,55822
2020-01-07,25.37,25.4,25.31,25.395,29606
2020-01-08,25.39,25.5,25.3775,25.485,36129
2020-01-09,25.49,25.59,25.459,25.49,31727
2020-01-10,25.51,25.51,25.45,25.47,12578
2020-01-13,25.48,25.57,25.36,25.42,26625
2020-01-14,25.47,25.52,25.37,25.4,50934
2020-01-15,25.4819,25.5,25.42,25.4396,14849
2020-01-16,25.45,25.45,25.35,25.44,26170
2020-01-17,25.44,25.78,25.3889,25.71,60689
2020-01-21,25.6,25.78,25.6,25.75,25572
2020-01-22,25.64,25.87,25.64,25.71,36434
2020-01-23,25.84,25.85,25.74,25.84,27675
2020-01-24,25.84,25.8897,25.7972,25.83,10117
2020-01-27,25.71,25.9,25.71,25.9,19187
2020-01-28,25.85,26.2896,25.85,26.03,28117
2020-01-29,26.27,26.29,26.01,26.01,22600
2020-01-30,25.96,26.1,25.88,25.97,7145
2020-01-31,26.0623,26.1062,26.05,26.05,5006
2020-02-03,25.95,26.13,25.84,25.874,11005
2020-02-04,25.9966,26.0113,25.942,26.0113,2200
2020-02-05,25.943,26.0499,25.933,25.933,3000
2020-02-06,25.95,26.0,25.95,26.0,1000
2020-02-07,26.051,26.15,26.0,26.1116,8775
2020-02-10,26.15,26.16,26.01,26.135,30339
2020-02-11,26.1,26.2506,26.1,26.2,1500
2020-02-12,26.22,26.225,26.14,26.15,4824
2020-02-13,26.22,26.2838,26.22,26.2838,900
2020-02-14,26.2087,26.2087,26.1705,26.1705,900
2020-02-18,26.17,26.3,26.102,26.1054,5100
2020-02-19,26.22,26.251,26.0628,26.175,22440
2020-02-20,26.06,26.0956,25.91,25.96,11019
2020-02-21,26.0,26.1,25.96,25.96,14160
2020-02-24,25.81,25.9417,25.67,25.7353,20475
2020-02-25,25.838,25.9,25.66,25.66,6247
2020-02-26,25.85,25.9,25.8152,25.825,2990
2020-02-27,25.35,25.7599,25.3,25.738,19545
2020-02-28,25.45,25.71,25.45,25.7,12790
2020-03-02,25.556,26.1488,25.46,25.46,6746
2020-03-03,25.728,25.88,25.47,25.6334,9834
2020-03-04,25.77,25.84,25.5,25.69,12440
2020-03-05,25.614,25.6799,25.48,25.56,7606
2020-03-06,25.5,25.86,25.4598,25.86,4039
2020-03-09,25.4391,25.5,24.7,25.5,118109
2020-03-10,25.4845,25.575,25.1603,25.375,9964
2020-03-11,25.05,25.345,25.01,25.34,79388
2020-03-12,25.1264,25.1264,24.1724,24.7362,35885
2020-03-13,24.97,25.08,24.75,25.08,31869
2020-03-16,24.75,24.86,23.95,24.55,24885
2020-03-17,25.0,25.025,23.7,23.7,23850
2020-03-18,22.01,23.0755,19.241,21.91,55726
2020-03-19,19.26,22.5,19.25,22.2,38991
2020-03-20,21.78,22.37,21.5,21.7,34104
2020-03-23,22.4,22.6089,21.5,21.5,13771
2020-03-24,22.5,22.8,21.9853,22.76,66509
2020-03-25,22.9861,23.6576,22.935,23.35,10122
2020-03-26,24.0,24.52,23.25,23.35,43520
2020-03-27,23.0,24.0,23.0,23.5,18537
2020-03-30,23.5,24.31,23.415,24.31,15059
2020-03-31,23.95,24.21,23.75,24.0,23764
2020-04-01,23.715,24.21,23.4248,23.7681,20196
2020-04-02,23.65,23.75,23.64,23.7164,1000
2020-04-03,23.804,23.804,23.45,23.464,7077
2020-04-06,23.712,23.91,23.44,23.48,44210
2020-04-07,23.46,24.364,23.45,23.851,22607
2020-04-08,23.905,24.25,23.89,23.95,28631
2020-04-09,24.14,24.44,24.0587,24.14,26206
2020-04-13,24.263,24.263,24.05,24.2,22413
2020-04-14,24.99,24.99,24.3752,24.6,12433
2020-04-15,24.59,24.713,24.25,24.55,11726
