Date,Open,High,Low,Close,Volume
2007-05-16,24.9,24.95,24.9,24.9,700
2007-05-17,24.9,25.0,24.9,24.91,2900
2007-05-18,24.9,24.9,24.8,24.8,7500
2007-05-21,24.79,24.86,24.78,24.86,2500
2007-05-22,24.77,24.89,24.75,24.79,11400
2007-05-23,24.77,24.89,24.73,24.75,2000
2007-05-24,24.76,24.88,24.65,24.75,5000
2007-05-25,24.79,24.8,24.7,24.7,2200
2007-05-29,24.7,24.88,24.65,24.7,4900
2007-05-30,24.79,24.85,24.71,24.84,3300
2007-05-31,24.72,24.88,24.7,24.71,3700
2007-06-04,24.84,24.99,24.72,24.95,24900
2007-06-05,24.7,24.84,24.35,24.51,8400
2007-06-06,24.43,24.47,24.33,24.45,6100
2007-06-07,24.41,24.42,24.2,24.2,4600
2007-06-08,24.35,24.4,24.2,24.25,5100
2007-06-11,24.2,24.2,24.12,24.19,6600
2007-06-12,24.2,24.2,23.51,23.75,11300
2007-06-13,23.89,23.97,23.7,23.79,7300
2007-06-14,23.8,23.9,23.65,23.65,4900
2007-06-15,23.45,23.7,23.45,23.65,7300
2007-06-18,23.82,24.0,23.65,24.0,7000
2007-06-19,23.89,23.94,23.89,23.94,700
2007-06-20,23.95,24.04,23.79,23.88,2800
2007-06-21,24.0,24.0,23.65,23.68,10100
2007-06-22,23.65,23.75,23.45,23.71,12000
2007-06-25,23.73,23.75,23.4,23.75,10800
2007-06-26,23.95,23.98,23.5,23.5,6700
2007-06-27,23.41,23.67,23.41,23.67,7100
2007-06-28,23.58,24.0,23.25,24.0,10600
2007-06-29,24.2,24.2,24.2,24.2,500
2007-07-02,23.91,24.2,23.85,23.85,1600
2007-07-03,23.75,23.75,23.68,23.71,1200
2007-07-05,23.74,23.81,23.74,23.81,2800
2007-07-06,23.71,23.95,23.71,23.95,500
2007-07-09,23.94,24.24,23.81,23.93,4400
2007-07-10,23.83,24.34,23.82,24.16,11300
2007-07-11,23.98,24.45,23.95,24.0,5200
2007-07-12,24.32,24.32,23.75,23.76,10100
2007-07-13,23.75,23.8,23.63,23.74,2600
2007-07-16,23.76,23.9,23.75,23.75,4200
2007-07-17,23.76,24.05,23.65,23.77,6100
2007-07-18,23.84,23.9,23.7,23.9,2400
2007-07-19,24.01,24.15,24.0,24.0,5200
2007-07-20,24.0,24.14,24.0,24.1,3600
2007-07-23,24.09,24.09,24.01,24.01,300
2007-07-24,24.0,24.0,23.85,23.85,3000
2007-07-25,23.8,23.94,23.7,23.7,2300
2007-07-26,23.7,23.75,23.65,23.75,4300
2007-07-27,23.95,23.95,23.66,23.7,4200
2007-07-30,23.65,23.7,23.65,23.65,1700
2007-07-31,23.84,23.84,23.63,23.75,2600
2007-08-01,23.89,24.0,23.89,23.9,24900
2007-08-02,23.85,23.88,23.85,23.88,1500
2007-08-03,23.95,23.95,23.74,23.93,2400
2007-08-06,24.04,24.04,22.56,23.05,17500
2007-08-07,23.0,23.3,22.8,23.29,12800
2007-08-08,23.29,23.49,23.29,23.36,53000
2007-08-09,23.29,23.6,23.29,23.54,8900
2007-08-10,23.4,23.7,23.37,23.61,3700
2007-08-13,23.5,23.55,23.3,23.55,2600
