Date,Open,High,Low,Close,Volume
2020-11-23,9.65,9.65,9.65,9.65,100
2020-11-24,9.65,10.33,9.65,9.75,105455
2020-11-25,9.85,9.9,9.8157,9.82,265491
2020-11-27,10.02,10.0709,9.8,10.0,30541
2020-11-30,10.92,10.92,9.66,9.92,514374
2020-12-01,10.0799,10.0799,9.9,9.93,96175
2020-12-02,10.15,10.15,9.9,10.1,25919
2020-12-03,10.1,10.1,9.8,9.8,1153642
2020-12-04,9.9,10.0,9.87,9.95,153511
2020-12-07,10.01,10.09,9.88,10.04,326055
2020-12-08,10.51,10.51,10.0,10.0,38781
2020-12-09,10.0,10.07,9.91,10.0,165905
2020-12-10,10.0,10.34,9.93,10.0,1738259
2020-12-11,10.14,10.25,9.98,10.25,817091
2020-12-14,10.21,10.36,10.11,10.17,349322
2020-12-15,10.25,10.31,10.1468,10.29,217368
2020-12-16,10.3,10.47,10.2007,10.44,121544
2020-12-17,10.44,10.44,10.2118,10.33,116931
2020-12-18,10.332,10.43,10.13,10.4,443168
2020-12-21,10.2,10.7,10.16,10.6,380843
2020-12-22,10.5,10.6,10.3,10.33,1345994
2020-12-23,10.5,10.53,10.32,10.4,546383
2020-12-24,10.53,10.53,10.25,10.43,917655
2020-12-28,11.43,11.43,10.42,10.58,952954
2020-12-29,10.58,10.77,10.36,10.5,721343
2020-12-30,10.7,10.75,10.38,10.4,723336
2020-12-31,10.4,10.45,10.3,10.41,324329
2021-01-04,10.41,10.51,10.3,10.4,251875
2021-01-05,10.4,10.4,10.3,10.37,253688
2021-01-06,10.21,10.45,10.21,10.44,596828
2021-01-07,10.45,10.4799,10.3,10.4799,1036062
2021-01-08,10.35,10.68,10.3,10.65,975682
2021-01-11,10.68,10.68,10.49,10.5,621182
2021-01-12,10.65,10.95,10.51,10.88,657871
2021-01-13,11.0,11.05,10.65,10.93,724619
2021-01-14,10.8,11.24,10.655,10.72,1516017
2021-01-15,10.72,10.85,10.58,10.71,1204790
2021-01-19,10.71,10.88,10.62,10.85,695195
2021-01-20,10.78,10.93,10.73,10.93,657932
2021-01-21,10.99,11.05,10.84,10.95,569515
2021-01-22,10.9,11.113,10.8,11.0,1165868
2021-01-25,11.0,11.86,10.85,11.0,2136514
2021-01-26,11.0,11.16,10.65,10.77,1033098
2021-01-27,10.7,10.84,10.35,10.56,1187786
2021-01-28,10.41,10.68,10.33,10.45,1396996
2021-01-29,10.47,10.61,10.35,10.59,856163
2021-02-01,10.68,10.86,10.61,10.86,1427959
