Date,Open,High,Low,Close,Volume
2016-11-02,10.0,10.76,10.0,10.44,10038595
2016-11-03,10.45,10.68,10.13,10.46,899621
2016-11-04,10.4,10.4,9.8,10.0,603144
2016-11-07,10.22,10.41,9.01,9.74,1038012
2016-11-08,9.75,9.98,9.72,9.74,97808
2016-11-09,9.75,9.772,9.61,9.64,192514
2016-11-10,9.65,9.775,9.6,9.72,106562
2016-11-11,9.72,9.88,9.61,9.65,22210
2016-11-14,9.65,9.759,9.475,9.55,120058
2016-11-15,9.5,9.55,9.125,9.42,116776
2016-11-16,9.14,9.25,8.55,8.83,633679
2016-11-17,8.83,8.97,8.2,8.82,804058
2016-11-18,8.9,9.09,8.9,9.09,26728
2016-11-21,9.03,9.56,9.014,9.44,144261
2016-11-22,9.48,9.906,9.284,9.8,58156
2016-11-23,9.95,10.424,9.3,10.05,177186
2016-11-25,10.25,10.726,10.25,10.33,97393
2016-11-28,10.26,10.26,9.64,10.02,303386
2016-11-29,10.02,10.115,9.79,10.01,395277
2016-11-30,10.13,10.2,9.89,10.02,40618
2016-12-01,10.12,10.12,9.86,10.01,136276
2016-12-02,10.011,10.17,10.0,10.0,16959
2016-12-05,9.9,10.09,9.9,9.93,61608
2016-12-06,10.09,10.11,9.91,9.95,55693
2016-12-07,9.955,10.08,9.93,10.0,37753
2016-12-08,10.0,10.0,9.357,9.8,128207
2016-12-09,9.72,10.0,9.435,9.99,26874
2016-12-12,10.0,10.0,9.54,9.68,22139
2016-12-13,9.62,9.82,9.45,9.82,37496
2016-12-14,9.7,9.834,9.415,9.61,28339
2016-12-15,9.71,9.784,9.44,9.56,102101
2016-12-16,9.51,9.698,9.01,9.15,51727
2016-12-19,9.29,9.64,8.81,9.21,45437
2016-12-20,8.96,9.28,8.86,8.86,36221
2016-12-21,9.63,9.63,8.03,8.05,114394
2016-12-22,8.04,8.36,7.54,8.09,140403
2016-12-23,7.62,8.39,7.56,8.17,74463
2016-12-27,8.0,8.9,8.0,8.65,52022
2016-12-28,8.5,8.999,8.283,8.72,71584
2016-12-29,8.72,9.074,8.64,8.93,152074
2016-12-30,9.0,9.1,8.47,8.6,43373
2017-01-03,9.14,9.14,8.34,8.49,78970
2017-01-04,8.8,9.02,8.26,8.295,56125
2017-01-05,8.25,8.762,8.235,8.5,98618
2017-01-06,8.59,9.08,8.05,8.38,233288
