Date,Open,High,Low,Close,Volume
2022-06-21,24.0265,24.0265,23.2466,23.8401,25668
2022-06-22,23.5458,23.5458,23.3596,23.3888,5447
2022-06-23,23.6439,23.7911,23.5457,23.6439,8365
2022-06-24,23.5622,23.5949,23.5259,23.5948,8663
2022-06-27,23.5654,23.5949,23.2024,23.5949,11630
2022-06-28,23.4972,23.5949,23.2711,23.5949,2990
2022-06-29,23.4541,23.5949,23.3987,23.5458,3330
2022-06-30,23.4538,23.536,23.3987,23.3987,2550
2022-07-01,23.5851,23.5949,23.5851,23.5949,1427
2022-07-05,23.5262,23.536,23.3888,23.536,3978
2022-07-06,23.5458,23.5458,23.0553,23.5007,2856
2022-07-07,23.3987,23.536,23.0258,23.3987,4792
2022-07-08,23.0062,23.0945,22.9277,23.0062,3477
2022-07-11,22.5647,23.0945,22.5157,22.5157,4862
2022-07-12,22.5961,23.1534,22.4807,23.1534,19934
2022-07-13,23.3005,23.3005,23.0455,23.2809,31950
2022-07-14,23.0553,23.3005,23.0553,23.2893,2074
2022-07-15,23.5164,23.5164,23.1043,23.1043,714
2022-07-18,23.8205,23.8205,23.4395,23.7911,6698
2022-07-19,23.742,23.742,22.3097,23.0288,9637
2022-07-20,23.7322,23.7813,23.5179,23.5949,4789
2022-07-21,23.0553,23.4332,23.0553,23.3888,8002
2022-07-22,22.5061,22.7267,22.5061,22.7267,2038
2022-07-26,23.3398,23.6341,23.2711,23.4477,3159
2022-07-27,23.6341,23.6635,23.3123,23.3123,912
2022-07-28,23.3005,23.3005,23.3005,23.3005,408
2022-07-29,23.4575,23.6243,23.4575,23.6243,619
2022-08-01,23.5556,23.5556,23.3104,23.3496,1838
2022-08-02,23.0553,23.3005,22.967,23.3005,627
2022-08-03,23.0553,23.33,23.0553,23.0553,1651
2022-08-04,22.8002,22.8002,22.8002,22.8002,612
2022-08-05,22.7708,22.9572,22.7708,22.9572,2570
2022-08-08,22.8002,22.8002,22.7904,22.7904,1450
2022-08-09,22.9572,23.3005,22.7315,22.7315,6580
2022-08-10,22.8002,23.2907,22.8002,23.0945,6217
2022-08-11,22.9572,22.9572,22.9081,22.9179,1734
2022-08-12,22.7511,23.5066,22.7315,22.8591,3975
2022-08-15,22.8689,23.0553,22.5647,22.9572,6557
2022-08-16,22.5745,22.8689,22.5647,22.8689,1427
2022-08-17,22.5745,22.5745,20.3966,22.5059,8230
2022-08-18,22.4343,22.4343,22.0644,22.0742,1051
2022-08-19,21.9467,21.9467,21.9467,21.9467,204
2022-08-22,21.9663,21.9663,21.9663,21.9663,102
2022-08-23,21.5935,21.5935,20.2396,20.2396,917
2022-08-24,20.7792,20.789,20.2397,20.6026,4508
2022-08-26,19.8201,21.7994,19.8201,21.6818,2852
2022-08-31,21.9565,22.0448,21.734,21.8682,1064
2022-09-01,21.9565,22.0644,21.5739,21.878,5575
2022-09-02,21.152,21.3286,20.0139,20.7301,10421
2022-09-06,20.7007,20.7007,19.7687,20.112,1486
2022-09-07,20.0728,20.0728,19.3076,19.9551,4859
2022-09-08,19.3861,19.4449,19.131,19.4057,1326
2022-09-09,19.0329,19.131,18.9544,18.9838,4842
2022-09-12,18.8367,18.8367,18.3952,18.3952,796
2022-09-13,18.199,19.5725,17.6594,17.7869,6439
2022-09-14,16.9824,17.8261,16.6783,16.7273,2977
2022-09-15,16.8745,17.1688,16.433,16.6783,6420
2022-09-16,16.433,17.0781,16.1093,16.9922,9569
2022-09-19,16.3447,16.3447,15.2214,15.3636,4518
2022-09-20,15.4912,16.9137,15.1969,16.9137,19570
2022-09-21,17.1688,17.1688,17.0841,17.1394,2091
2022-09-22,15.9425,16.6685,14.7653,15.6972,13951
2022-09-23,15.6972,15.707,15.2067,15.2067,4430
2022-09-26,15.3049,16.2662,15.2067,16.2662,12878
2022-09-27,16.5115,16.8549,15.7168,15.7168,816
2022-09-28,15.4127,15.6874,15.0301,15.0301,2141
2022-09-29,15.0301,15.7953,15.0301,15.3009,4106
2022-09-30,16.1877,16.4428,15.8934,16.433,7098
2022-10-03,16.6783,17.1688,16.6783,17.1688,2009
2022-10-04,16.9236,17.0707,16.7666,16.7666,1663
2022-10-05,16.9716,17.1687,16.9137,17.0609,6134
2022-10-07,16.0491,16.6783,16.0491,16.6783,2688
2022-10-10,15.9425,16.6782,15.2655,15.3639,5963
2022-10-11,16.2859,16.2859,16.2859,16.2859,1180
2022-10-13,15.6972,16.4821,15.4519,15.6089,3935
2022-10-17,15.6285,15.6285,15.6285,15.6285,102
2022-10-19,15.6482,15.6482,15.6285,15.6285,933
2022-10-20,16.384,16.384,16.384,16.384,102
2022-10-21,16.384,16.4232,16.384,16.4232,204
2022-10-24,15.8149,16.4329,15.6874,16.07,1835
2022-10-25,15.9425,15.9425,15.9425,15.9425,1530
2022-10-26,15.9425,16.2123,15.9425,16.2123,644
2022-10-27,15.9915,15.9915,15.9915,15.9915,203
2022-10-28,16.4329,16.433,16.4329,16.433,459
2022-10-31,16.433,16.9039,16.1877,16.9039,2570
2022-11-02,16.4331,16.7369,16.4331,16.7369,693
2022-11-03,16.2859,16.639,15.7365,15.7365,3242
2022-11-04,15.7561,15.7855,15.7365,15.7365,1019
2022-11-07,15.8051,15.8051,15.8051,15.8051,663
2022-11-08,15.7855,16.1877,15.3342,16.1681,3059
2022-11-09,15.3146,16.276,15.3146,16.2759,4454
2022-11-10,15.5837,15.9768,15.5837,15.6972,3763
2022-11-11,16.276,16.2859,15.707,15.707,4660
2022-11-14,15.5893,16.3447,15.5893,16.3447,1733
2022-11-15,16.3545,16.3545,15.6972,16.3055,4114
2022-11-16,16.07,16.3545,15.6972,15.707,6067
2022-11-17,15.9425,15.9425,15.295,15.295,4892
2022-11-18,15.295,15.9425,15.295,15.6971,3059
2022-11-21,15.6776,15.6972,15.6776,15.6874,1533
2022-11-22,16.0406,16.0406,15.4029,15.4519,8974
2022-11-23,15.4519,15.501,15.4519,15.501,816
2022-11-25,15.5304,15.5304,14.8142,15.1674,2927
2022-11-28,15.4519,15.6971,14.9614,14.9615,2272
2022-11-29,15.0595,15.0595,14.8142,14.8829,2386
2022-11-30,15.1576,15.6972,14.981,15.6482,3828
2022-12-01,15.6678,15.6678,14.9142,15.2067,4726
2022-12-02,15.0889,15.6874,14.8142,14.9614,10288
2022-12-05,14.9123,14.9614,14.7652,14.9418,7824
2022-12-06,14.932,14.9614,14.932,14.9614,612
2022-12-07,14.8924,14.8924,14.3575,14.3728,3819
2022-12-08,14.7161,14.9614,14.6179,14.6179,12320
2022-12-09,14.6671,14.9614,14.6671,14.8142,18248
2022-12-12,14.8142,14.8142,14.6671,14.6671,612
2022-12-13,14.7407,15.4323,14.7161,15.4323,6960
2022-12-14,14.618,14.7161,14.5101,14.7161,10009
2022-12-15,14.3433,14.9605,13.7841,14.7161,14935
2022-12-16,14.3601,14.4709,14.2256,14.2256,13606
2022-12-19,14.4709,14.4709,14.2256,14.4709,4181
2022-12-20,14.6671,14.7014,14.4709,14.4709,7748
2022-12-21,14.2256,14.3211,14.2207,14.2256,6070
2022-12-22,14.2158,14.2256,14.1128,14.2207,4727
2022-12-23,13.9901,14.2256,13.9901,14.1471,12003
2022-12-27,14.0392,14.3855,13.9509,14.2256,7441
2022-12-28,13.7841,14.2256,13.7743,13.9607,3923
2022-12-29,14.3482,14.7161,13.9803,14.152,5616
2022-12-30,13.7449,15.6972,13.7449,15.6972,18167
2023-01-03,16.384,16.384,14.0981,14.3728,31747
2023-01-04,15.3538,17.4631,15.2067,17.0511,113005
2023-01-05,16.6783,16.9236,16.6783,16.6783,7371
2023-01-06,17.1688,17.4141,16.9236,17.1786,7828
