Date,Open,High,Low,Close,Volume
2024-09-11,9.93,9.93,9.91,9.91,730346
2024-09-12,9.92,9.93,9.91,9.915,1596853
2024-09-13,9.92,9.93,9.92,9.925,361361
2024-09-16,9.93,9.93,9.93,9.93,200
2024-09-17,9.93,9.93,9.92,9.92,42530
2024-09-18,9.92,9.92,9.91,9.92,14854
2024-09-19,9.92,9.925,9.92,9.92,34880
2024-09-20,9.92,9.92,9.91,9.92,102211
2024-09-23,9.92,9.92,9.92,9.92,41397
2024-09-24,9.93,9.93,9.925,9.93,27165
2024-09-25,9.93,9.93,9.925,9.93,215938
2024-09-26,9.94,9.94,9.93,9.93,12533
2024-10-01,9.94,9.94,9.93,9.93,25300
2024-10-03,9.89,9.89,9.89,9.89,100
2024-10-07,9.94,9.94,9.93,9.93,25442
2024-10-08,9.94,9.94,9.94,9.94,25104
2024-10-09,9.94,9.94,9.94,9.94,21123
2024-10-11,9.94,9.94,9.935,9.94,2600
2024-10-14,9.94,9.94,9.94,9.94,200
2024-10-15,9.93,9.945,9.93,9.94,54898
2024-10-16,9.94,9.94,9.94,9.94,7300
2024-10-17,9.94,9.94,9.94,9.94,743316
2024-10-21,9.94,9.94,9.94,9.94,200
2024-10-22,9.94,9.94,9.94,9.94,206
2024-10-23,9.94,9.94,9.93,9.93,51415
2024-10-28,9.93,9.94,9.93,9.94,122358
2024-10-29,9.95,9.95,9.95,9.95,300
2024-10-30,9.94,9.94,9.94,9.94,29023
2024-10-31,9.95,9.96,9.94,9.945,60000
2024-11-01,9.95,9.95,9.94,9.95,42229
2024-11-04,9.94,9.95,9.94,9.95,200
2024-11-05,9.96,9.96,9.94,9.94,184477
2024-11-06,9.95,9.95,9.95,9.95,2700
2024-11-07,9.94,9.95,9.94,9.95,300
2024-11-08,9.95,9.95,9.95,9.95,4309
2024-11-11,9.95,9.95,9.945,9.95,5900
2024-11-13,9.96,9.96,9.95,9.95,322013
2024-11-14,9.95,9.955,9.9449,9.9528,618925
2024-11-15,9.95,9.95,9.94,9.95,10750
2024-11-18,9.9521,9.9521,9.95,9.95,19922
2024-11-19,9.95,9.9536,9.95,9.95,153554
2024-11-20,9.95,9.95,9.95,9.95,68600
2024-11-21,9.95,9.95,9.95,9.95,8695
2024-11-22,9.95,9.95,9.95,9.95,234500
2024-11-25,9.95,9.97,9.95,9.96,766784
2024-11-26,9.96,9.97,9.96,9.97,344500
2024-11-27,9.97,9.97,9.965,9.965,3579
2024-11-29,9.97,9.97,9.96,9.96,1966
2024-12-02,9.965,10.01,9.96,10.01,37795
2024-12-03,10.0,10.0,9.97,9.99,239800
2024-12-05,9.97,9.97,9.97,9.97,2415
2024-12-09,9.99,10.02,9.99,10.02,321
2024-12-11,9.97,9.99,9.97,9.99,2250
2024-12-12,10.08,10.08,10.08,10.08,562
2024-12-16,10.01,10.01,9.97,9.98,900200
2024-12-17,10.1,10.1,10.1,10.1,316
2024-12-18,10.01,10.01,9.97,9.98,662400
2024-12-20,9.98,9.99,9.975,9.98,227696
2024-12-23,9.98,9.98,9.98,9.98,130323
2024-12-24,9.98,9.98,9.98,9.98,3717
2024-12-26,9.98,9.98,9.98,9.98,325000
2024-12-27,10.0,10.0,10.0,10.0,257
2024-12-30,9.98,10.0,9.98,9.99,33209
2024-12-31,9.99,10.0,9.99,10.0,231666
2025-01-02,10.0,10.0,9.99,9.99,368828
2025-01-03,9.995,10.01,9.995,10.0,68285
2025-01-06,10.01,10.01,10.01,10.01,425
2025-01-07,10.05,10.05,10.02,10.02,270
2025-01-08,10.01,10.01,10.01,10.01,300
2025-01-10,10.02,10.02,10.02,10.02,100
2025-01-13,10.02,10.02,10.02,10.02,100
2025-01-14,10.015,10.03,10.015,10.03,8738
2025-01-16,10.05,10.05,10.05,10.05,100
2025-01-22,10.08,10.08,10.08,10.08,100
2025-01-24,10.58,10.58,10.58,10.58,420
2025-01-27,10.04,10.04,10.0201,10.04,1864
2025-01-29,10.05,10.05,10.05,10.05,349
2025-02-03,10.0466,10.0466,10.0466,10.0466,500
2025-02-10,10.11,10.11,10.079,10.079,900
2025-02-11,10.0604,10.0604,10.06,10.06,192300
2025-02-12,10.07,10.07,10.065,10.065,12700
2025-02-13,10.0702,10.0702,10.0702,10.0702,500
2025-02-14,10.0651,10.0651,10.06,10.065,146600
2025-02-18,10.07,10.07,10.06,10.07,263091
2025-02-19,10.08,10.08,10.07,10.07,71312
2025-02-20,10.08,10.08,10.07,10.07,564
2025-02-21,10.08,10.08,10.07,10.08,164636
2025-02-24,10.09,10.09,10.08,10.08,900
2025-02-25,10.11,10.11,10.09,10.09,303
2025-02-26,10.09,10.09,10.08,10.08,1000
2025-02-28,10.08,10.081,10.08,10.081,862
