Date,Open,High,Low,Close,Volume
2018-11-19,24.69,24.75,24.63,24.7,219580
2018-11-20,24.65,24.7,24.35,24.35,228797
2018-11-21,24.17,24.4,24.17,24.2445,37566
2018-11-23,24.3,24.3999,23.768,23.95,32498
2018-11-26,24.1,24.2,23.9,24.0,35233
2018-11-27,23.99,24.24,23.85,24.05,43532
2018-11-28,24.1343,24.5,24.1343,24.4,74875
2018-11-29,24.31,24.31,24.24,24.31,8176
2018-11-30,24.25,24.35,23.84,23.84,20657
2018-12-03,24.29,24.29,24.1,24.2,19726
2018-12-04,24.0767,24.13,23.91,23.9287,17420
2018-12-06,23.9,23.9,23.32,23.48,40106
2018-12-07,23.5787,23.6,23.5,23.5,30531
2018-12-10,23.6,23.6,22.98,22.98,20578
2018-12-11,23.1526,23.24,21.97,22.97,25312
2018-12-12,22.97,23.4,22.67,22.67,40226
2018-12-13,22.65,22.7021,21.84,22.13,58246
2018-12-14,22.08,22.1,21.0,21.2233,52373
2018-12-17,21.36,21.36,18.75,20.68,82611
2018-12-18,20.7,20.7399,19.55,19.8,49033
2018-12-19,20.0,20.5372,19.68,19.8,66210
2018-12-20,19.13,19.6073,18.16,19.4799,58216
2018-12-21,19.5,20.0,18.84,19.28,29840
2018-12-24,19.28,19.28,18.5,18.9035,33464
2018-12-26,19.1001,19.36,18.26,18.99,137821
2018-12-27,18.95,19.6353,18.4947,18.8,89168
2018-12-28,19.65,20.2839,19.13,19.67,111854
2018-12-31,20.35,20.8999,19.85,20.27,166750
2019-01-02,19.8,21.25,19.8,21.1,73945
2019-01-03,21.15,21.9799,21.0,21.93,58234
2019-01-04,22.02,22.95,21.9701,22.69,67026
2019-01-07,22.7,23.19,22.7,23.1,21461
2019-01-08,23.26,23.2601,22.66,22.96,27242
2019-01-09,23.02,23.05,22.8,22.8,15706
2019-01-10,22.7,22.8799,22.4,22.68,7884
2019-01-11,22.691,22.8049,22.6,22.61,8236
2019-01-14,22.62,22.65,22.21,22.2962,21922
2019-01-15,22.24,22.37,22.0,22.08,14155
2019-01-16,22.2973,22.3,21.88,22.16,27413
2019-01-17,22.27,22.46,22.14,22.3,13031
2019-01-18,22.31,22.5027,22.2,22.28,13616
2019-01-22,22.3544,22.5376,22.08,22.08,28291
2019-01-23,22.3395,22.45,22.0,22.0,7419
2019-01-24,22.35,22.35,21.8,21.8,21978
2019-01-25,21.9,22.19,21.8,22.01,25379
2019-01-28,22.1,22.1,21.85,21.85,15085
2019-01-29,21.9,21.928,21.85,21.9,10150
2019-01-30,22.75,23.25,22.25,22.5,55091
2019-01-31,22.96,23.2,22.7755,22.96,50617
2019-02-01,23.001,23.14,22.75,22.8,20412
2019-02-04,22.8,23.3,22.8,22.92,28455
2019-02-05,23.25,23.5899,23.1491,23.21,28056
2019-02-06,23.19,23.19,22.9,23.03,24954
2019-02-07,23.07,23.55,23.05,23.52,19962
2019-02-08,23.52,23.85,23.33,23.36,6665
2019-02-11,23.66,23.91,23.3802,23.91,23486
2019-02-12,23.77,24.2,23.5,24.1963,48980
2019-02-13,24.2,24.4144,24.2,24.29,28786
2019-02-14,24.38,24.4,24.3142,24.4,6232
2019-02-15,24.3476,24.4,24.23,24.29,16358
2019-02-19,24.26,24.3535,24.08,24.08,32588
2019-02-20,24.08,24.28,24.08,24.25,20275
2019-02-21,24.28,24.29,24.01,24.01,10242
2019-02-22,24.055,24.385,24.02,24.36,32789
2019-02-25,24.39,24.5,24.35,24.4,17849
2019-02-26,24.43,24.4592,24.33,24.4,24670
