Date,Open,High,Low,Close,Volume
2022-11-14,0.05,0.05,0.04,0.04,341000
2022-11-17,0.05,0.05,0.038,0.038,642913
2022-11-21,0.045,0.045,0.045,0.045,150
2022-11-22,0.04,0.04,0.04,0.04,25000
2022-11-23,0.04,0.045,0.04,0.045,25100
2022-11-28,0.04,0.0438,0.04,0.04,41500
2022-12-01,0.04,0.04,0.04,0.04,280000
2022-12-02,0.0381,0.0424,0.0375,0.0405,16406
2022-12-14,0.0405,0.0405,0.0405,0.0405,7000
2022-12-16,0.0375,0.0375,0.0375,0.0375,26200
2022-12-21,0.035,0.035,0.0346,0.0347,46800
2023-01-03,0.0405,0.0405,0.04,0.04,14700
2023-01-04,0.0405,0.0405,0.0397,0.0405,2950
2023-01-06,0.035,0.035,0.035,0.035,2193
2023-01-09,0.035,0.035,0.035,0.035,23207
2023-01-11,0.035,0.0405,0.035,0.0405,36850
2023-01-12,0.035,0.0405,0.035,0.0403,6400
2023-01-17,0.0405,0.0405,0.0404,0.0404,2000
2023-01-19,0.0405,0.0405,0.04,0.0405,1500
2023-01-20,0.035,0.035,0.035,0.035,1229
2023-01-24,0.0404,0.0404,0.0404,0.0404,150
2023-01-25,0.035,0.0378,0.035,0.0378,12700
2023-01-27,0.0378,0.0405,0.0378,0.0405,1800
2023-01-30,0.0405,0.0405,0.035,0.0405,15821
2023-01-31,0.0315,0.0315,0.0311,0.0312,72900
2023-02-01,0.0351,0.036,0.0296,0.03,80185
2023-02-02,0.0405,0.0405,0.0405,0.0405,250
2023-02-08,0.035,0.035,0.03,0.03,15032
2023-02-10,0.0449,0.0449,0.0449,0.0449,100
2023-02-13,0.0325,0.0445,0.0325,0.0445,1508
2023-02-15,0.04,0.04,0.04,0.04,150000
2023-02-21,0.0445,0.0445,0.0325,0.0325,6463
2023-02-24,0.034,0.034,0.034,0.034,793
2023-02-28,0.0445,0.0445,0.0445,0.0445,25000
2023-03-06,0.0475,0.0475,0.0475,0.0475,300
2023-03-07,0.04,0.0401,0.04,0.0401,3200
2023-03-08,0.0475,0.0475,0.0474,0.0474,27500
2023-03-09,0.0375,0.05,0.0375,0.04,20600
2023-03-10,0.04,0.04,0.04,0.04,8300
2023-03-13,0.0375,0.0375,0.0375,0.0375,3400
2023-03-14,0.0401,0.05,0.0401,0.05,2200
2023-03-17,0.0499,0.05,0.0499,0.0499,2500
2023-03-20,0.0375,0.0375,0.0375,0.0375,16082
2023-03-23,0.05,0.05,0.05,0.05,400
2023-04-10,0.05,0.05,0.05,0.05,10000
2023-04-12,0.05,0.05,0.05,0.05,655
2023-04-13,0.0355,0.0428,0.0354,0.0355,43400
2023-04-14,0.0356,0.0357,0.0325,0.0353,8952
2023-04-17,0.035,0.035,0.0325,0.0325,1900
2023-04-19,0.0325,0.0325,0.0325,0.0325,23400
2023-04-27,0.0325,0.0325,0.0325,0.0325,25600
2023-04-28,0.03,0.03,0.03,0.03,250
2023-05-01,0.0275,0.0275,0.0272,0.0275,28800
2023-05-05,0.0346,0.0346,0.0346,0.0346,200
2023-05-09,0.0289,0.0289,0.0289,0.0289,1200
2023-05-12,0.0254,0.0254,0.0254,0.0254,1600
2023-05-19,0.0303,0.0303,0.0303,0.0303,444
2023-05-22,0.0299,0.0299,0.0297,0.0298,1390
2023-05-26,0.03,0.03,0.03,0.03,456
2023-06-07,0.0302,0.0302,0.0302,0.0302,192
2023-06-08,0.0258,0.0258,0.0258,0.0258,1498
2023-06-09,0.0258,0.0258,0.0257,0.0258,488
2023-06-13,0.0258,0.0258,0.025,0.0258,2993
2023-06-14,0.02,0.02,0.02,0.02,1700
2023-06-15,0.02,0.02,0.0175,0.0177,29610
2023-06-16,0.0451,0.0451,0.0206,0.0384,188760
2023-06-20,0.0325,0.0325,0.0325,0.0325,6500
2023-06-22,0.0325,0.0335,0.0325,0.0325,6430
