Date,Open,High,Low,Close,Volume
2019-07-18,18.25,18.44,17.72,18.18,7233273
2019-07-19,18.27,18.43,18.02,18.1,1098838
2019-07-22,18.19,18.3,18.05,18.15,1537853
2019-07-23,18.13,18.16,17.77,18.05,1005757
2019-07-24,18.37,18.61,18.29,18.35,2810834
2019-07-25,18.26,18.584,18.26,18.38,279915
2019-07-26,18.49,18.65,18.41,18.59,371200
2019-07-29,18.65,18.87,18.535,18.81,368205
2019-07-30,18.61,18.71,18.313,18.6,400233
2019-07-31,18.46,18.69,18.25,18.29,514136
2019-08-01,18.44,18.583,18.32,18.45,194395
2019-08-02,18.45,18.5,18.17,18.29,148513
2019-08-05,18.35,18.43,17.88,18.02,459823
2019-08-06,18.45,18.485,18.19,18.37,638295
2019-08-07,18.56,18.61,18.19,18.57,253375
2019-08-08,18.71,18.97,18.68,18.81,533228
2019-08-09,19.14,19.14,18.84,18.966,362980
2019-08-12,19.23,19.31,18.95,19.14,882300
2019-08-13,19.52,19.96,19.482,19.9,1207951
2019-08-14,19.59,21.02,19.3,20.6,847176
2019-08-15,20.12,21.45,19.74,19.89,677042
2019-08-16,19.83,20.25,19.83,20.03,228037
2019-08-19,20.24,20.41,20.216,20.34,97150
2019-08-20,20.39,20.4,20.14,20.18,72960
2019-08-21,20.44,20.48,20.26,20.36,137800
2019-08-22,20.51,20.51,20.3,20.4,95459
2019-08-23,20.25,20.49,20.04,20.11,148648
2019-08-26,20.39,20.41,20.19,20.28,137557
2019-08-27,20.31,20.43,20.23,20.32,112821
2019-08-28,20.31,20.32,20.17,20.27,94688
2019-08-29,20.13,20.19,20.01,20.05,93782
2019-08-30,20.5,20.67,20.28,20.38,76996
2019-09-03,20.5,21.16,20.5,21.13,166116
2019-09-04,21.13,21.41,21.13,21.38,150227
2019-09-05,21.23,21.23,21.002,21.05,104547
2019-09-06,20.79,20.93,20.73,20.86,75185
2019-09-09,20.89,20.89,20.48,20.55,80324
2019-09-10,19.86,19.86,19.34,19.68,231786
2019-09-11,19.8,19.93,19.74,19.89,204849
2019-09-12,20.25,20.45,20.21,20.37,136739
2019-09-13,20.43,20.72,19.94,20.06,457054
2019-09-16,20.56,20.56,20.01,20.1,192367
2019-09-17,20.14,20.23,20.04,20.15,157131
2019-09-18,20.43,20.83,20.43,20.5,234619
2019-09-19,20.37,20.47,20.27,20.27,129595
2019-09-20,20.39,20.58,20.39,20.46,122543
2019-09-23,20.65,20.75,20.59,20.59,151245
2019-09-24,20.74,20.865,20.644,20.73,111289
2019-09-25,20.64,20.68,20.48,20.6,76629
2019-09-26,20.68,20.82,20.15,20.59,160999
2019-09-27,20.44,20.52,19.75,19.77,430494
2019-09-30,20.37,20.57,20.05,20.26,754961
2019-10-01,20.37,20.41,19.96,19.98,163426
2019-10-02,19.75,19.75,18.8,18.88,374987
2019-10-03,19.32,19.46,19.085,19.3,595700
2019-10-04,19.66,19.68,19.46,19.46,94256
2019-10-07,19.62,19.75,19.56,19.58,193097
2019-10-08,19.74,19.75,19.36,19.4,231905
2019-10-09,19.79,19.85,19.67,19.74,272308
2019-10-10,19.4,19.47,19.32,19.35,150369
2019-10-11,19.67,19.68,19.47,19.48,172584
2019-10-14,19.82,19.855,19.705,19.78,199781
2019-10-15,20.24,20.52,20.24,20.5,198462
2019-10-16,20.46,20.64,20.33,20.58,90724
2019-10-17,20.95,20.99,20.75,20.98,145529
2019-10-18,20.98,21.1,20.9,21.05,121390
2019-10-21,20.79,20.81,20.6,20.7,108139
2019-10-22,21.03,21.42,21.03,21.31,169566
2019-10-23,20.81,21.1,20.77,21.03,402139
2019-10-24,21.0,21.19,20.99,21.18,57337
2019-10-25,21.03,21.25,21.01,21.09,107236
2019-10-28,21.08,21.38,21.03,21.32,63243
2019-10-29,21.22,21.54,21.18,21.5,120703
2019-10-30,21.53,21.76,21.5,21.61,106291
2019-10-31,21.49,21.85,21.41,21.85,85431
2019-11-01,21.81,22.17,21.79,22.13,82575
2019-11-04,21.81,22.2,21.78,21.97,99313
2019-11-05,21.71,21.72,21.43,21.64,132541
2019-11-06,21.49,22.19,21.385,21.96,158752
2019-11-07,22.13,22.2,21.98,22.02,250498
2019-11-08,21.71,22.08,21.71,22.08,104655
2019-11-11,22.05,22.18,21.99,22.16,92605
2019-11-12,21.96,22.125,21.88,22.01,131943
2019-11-13,22.09,22.35,22.09,22.29,99540
2019-11-14,21.97,22.13,21.78,22.06,83182
2019-11-15,22.08,22.4,22.05,22.34,122915
2019-11-18,22.54,22.84,22.52,22.7,195973
2019-11-19,22.45,22.74,22.37,22.58,147915
2019-11-20,22.55,22.58,22.14,22.26,179648
2019-11-21,22.48,22.54,22.31,22.52,115090
2019-11-22,22.66,22.785,22.543,22.72,104232
2019-11-25,22.84,24.5,22.83,24.0,497139
2019-11-26,23.27,23.9,23.27,23.55,447136
2019-11-27,23.43,23.615,23.38,23.56,172852
2019-11-29,23.49,23.54,23.35,23.41,82812
2019-12-02,23.62,23.81,23.435,23.65,235340
2019-12-03,23.77,23.85,23.57,23.8,203461
2019-12-04,24.0,24.28,24.0,24.14,122528
2019-12-05,24.21,24.21,23.95,24.12,185982
2019-12-06,24.06,24.06,23.76,23.8,141042
2019-12-09,23.36,24.06,23.21,24.01,281683
2019-12-10,23.48,23.55,23.06,23.07,284566
2019-12-11,23.07,23.12,22.84,22.96,228427
2019-12-12,22.89,22.89,21.9,22.21,309811
