Date,Open,High,Low,Close,Volume
2003-08-14,5.6897,5.7275,5.5385,5.6538,2800415
2003-08-15,5.6708,5.7654,5.6519,5.7654,662075
2003-08-18,5.7767,5.7767,5.7464,5.7654,121416
2003-08-19,5.7654,5.7654,5.7086,5.7275,156334
2003-08-20,5.7464,5.7994,5.7086,5.7502,219025
2003-08-21,5.7654,5.7654,5.72,5.7464,31218
2003-08-22,5.7464,5.7464,5.7086,5.7086,134642
2003-08-25,5.7464,5.7464,5.7086,5.7464,69569
2003-08-26,5.7313,5.8145,5.7313,5.7654,40741
2003-08-27,5.788,5.788,5.7086,5.7275,224577
2003-08-28,5.7275,5.7464,5.7086,5.7464,96020
2003-08-29,5.7464,5.7464,5.6746,5.6897,90471
2003-09-02,5.7464,5.7843,5.6897,5.7654,29101
2003-09-03,5.7654,5.7654,5.7124,5.7654,55037
2003-09-04,5.7729,5.7729,5.7238,5.7464,80679
2003-09-05,5.72,5.7275,5.6746,5.6784,151037
2003-09-08,5.7049,5.7275,5.5952,5.6633,328530
2003-09-09,5.6708,5.6708,5.6179,5.6179,157402
2003-09-10,5.6179,5.6708,5.6179,5.6708,37301
2003-09-11,5.6708,5.6708,5.6444,5.6708,144167
2003-09-12,5.6519,5.6708,5.633,5.6633,44442
2003-09-15,5.6671,5.6708,5.6444,5.6708,109779
2003-09-16,5.6708,5.6708,5.633,5.6708,424546
2003-09-17,5.633,5.6708,5.633,5.6519,117182
2003-09-18,5.6519,5.6708,5.6444,5.6519,74862
2003-09-19,5.6595,5.6595,5.6444,5.6519,20369
2003-09-22,5.6519,5.6595,5.6482,5.6519,58999
2003-09-23,5.6746,5.7654,5.6141,5.6482,209768
2003-09-24,5.6519,5.6519,5.6066,5.6519,48149
2003-09-25,5.6141,5.6519,5.5763,5.5763,125384
2003-09-26,5.6444,5.6482,5.5952,5.6141,62163
2003-09-29,5.633,5.633,5.5839,5.6141,144164
2003-09-30,5.5952,5.5952,5.4667,5.5759,81155
2003-10-01,5.5763,5.6784,5.5612,5.6202,70100
2003-10-02,5.6296,5.6519,5.599,5.6179,83062
2003-10-03,5.6519,5.6519,5.6066,5.6141,127237
2003-10-06,5.6293,5.633,5.5952,5.6141,118243
2003-10-07,5.633,5.6671,5.5952,5.6141,230133
2003-10-08,5.633,5.6708,5.6141,5.633,262076
2003-10-09,5.686,5.686,5.6141,5.633,66676
2003-10-10,5.6482,5.6708,5.633,5.6708,67458
2003-10-13,5.6708,5.6897,5.633,5.633,260551
2003-10-14,5.6784,5.6897,5.633,5.6897,68511
2003-10-15,5.6633,5.7011,5.6633,5.6708,21164
2003-10-16,5.7049,5.7086,5.6708,5.7086,49206
2003-10-17,5.7086,5.9279,5.6708,5.9279,88622
2003-10-20,5.9279,5.9279,5.6935,5.8221,87825
2003-10-21,5.7843,5.8372,5.7011,5.7238,238862
2003-10-22,5.7275,5.7994,5.7275,5.7464,21427
2003-10-23,5.8107,5.8258,5.7578,5.8032,36507
2003-10-24,5.7843,5.7843,5.7464,5.7843,4763
2003-10-27,5.7654,5.7805,5.7162,5.7238,54888
2003-10-28,5.7427,5.8032,5.7427,5.7843,36373
2003-10-29,5.7464,5.7805,5.7124,5.7616,10054
2003-10-30,5.72,5.8221,5.7086,5.7578,50260
2003-10-31,5.8069,5.8069,5.6822,5.6822,13495
2003-11-03,5.7805,5.8069,5.7313,5.7956,107661
2003-11-04,5.8069,5.8069,5.7464,5.8032,17461
2003-11-05,5.8069,5.8221,5.7767,5.7918,49733
2003-11-06,5.8221,5.8258,5.7654,5.7918,254136
2003-11-07,5.8032,6.0716,5.7654,6.0262,117531
2003-11-10,6.0111,6.0111,5.9128,5.943,52803
2003-11-11,5.9015,5.9733,5.8788,5.9317,74560
2003-11-12,5.9317,6.0224,5.9317,5.9544,125907
2003-11-13,5.9468,6.0111,5.9355,5.9355,54320
2003-11-14,5.9544,6.0111,5.9207,6.0111,33627
2003-11-17,6.0489,6.0489,5.9695,5.9771,63771
2003-11-18,5.9922,6.03,5.9582,6.0111,162944
2003-11-19,6.03,6.0678,5.9733,6.03,34192
2003-11-20,6.03,6.0489,5.9544,6.0111,131201
2003-11-21,6.03,6.064,5.9771,6.0224,199909
2003-11-24,6.0489,6.306,6.0489,6.2379,127270
2003-11-25,6.1283,6.2379,6.0867,6.1358,86421
2003-11-26,6.219,6.219,6.1472,6.1472,95724
2003-11-28,6.219,6.219,6.1283,6.1283,12832
2003-12-01,6.2001,6.219,6.1283,6.219,83060
2003-12-02,6.219,6.2455,6.2039,6.2455,72322
2003-12-03,6.2001,6.2568,6.1737,6.2379,37035
2003-12-04,6.2455,6.3324,6.219,6.3324,43708
2003-12-05,6.2417,6.2946,6.1623,6.2946,42194
2003-12-08,6.2115,6.3211,6.1661,6.2946,54110
2003-12-09,6.1623,6.4837,6.1623,6.2493,52196
2003-12-10,6.2379,6.2946,6.2039,6.2379,147511
2003-12-11,6.2568,6.3702,6.2266,6.3135,87755
2003-12-12,6.3513,6.3702,6.2455,6.2946,36146
2003-12-15,6.408,6.408,6.1812,6.219,122942
2003-12-16,6.2379,6.3324,6.2039,6.2568,57430
2003-12-17,6.2379,6.2493,6.1434,6.2451,45780
2003-12-18,6.2757,6.2757,6.2115,6.2152,45339
2003-12-19,6.2757,6.2757,6.2152,6.2568,39252
2003-12-22,6.2304,6.2644,6.2152,6.2379,56586
2003-12-23,6.2568,6.2568,6.1926,6.1926,25594
2003-12-24,6.219,6.2379,6.1623,6.2379,37881
2003-12-26,6.2417,6.2946,6.1812,6.2946,10184
2003-12-29,6.2379,6.2757,6.1812,6.2001,10452
2003-12-30,6.2001,6.2757,6.1812,6.2757,37827
2003-12-31,6.185,6.3702,6.185,6.306,47246
2004-01-02,6.2757,6.3854,6.253,6.2606,65471
2004-01-05,6.2606,6.3665,6.1623,6.3665,61501
2004-01-06,6.408,6.5026,6.1623,6.34,77613
2004-01-07,6.2946,6.3513,6.2833,6.2833,7326
2004-01-08,6.306,6.427,6.2757,6.427,33594
2004-01-09,6.4459,6.4459,6.2606,6.3324,15373
2004-01-12,6.427,6.427,6.2871,6.3324,29760
2004-01-13,6.2568,6.3891,6.2568,6.3778,33203
2004-01-14,6.3891,6.3891,6.3324,6.3324,13281
2004-01-15,6.3173,6.3891,6.3173,6.3665,25409
2004-01-16,6.3891,6.3891,6.3324,6.3702,68609
2004-01-20,6.3891,6.5026,6.3551,6.427,84031
2004-01-21,6.427,6.427,6.4005,6.408,10482
2004-01-22,6.408,6.408,6.3702,6.3702,44694
2004-01-23,6.3891,6.3891,6.3702,6.3891,9790
2004-01-26,6.3891,6.408,6.3702,6.408,47324
2004-01-27,6.408,6.5026,6.3702,6.408,60733
2004-01-28,6.4383,6.4383,6.3702,6.427,33584
2004-01-29,6.3702,6.5782,6.3702,6.427,43912
2004-01-30,6.3551,6.4345,6.3551,6.3702,26057
2004-02-02,6.427,6.4496,6.374,6.4496,41861
2004-02-03,6.427,6.4648,6.3702,6.427,25397
2004-02-04,6.3702,6.4459,6.3702,6.4455,31743
2004-02-05,6.427,6.427,6.3702,6.3702,16733
2004-02-06,6.427,6.4723,6.3782,6.427,20305
2004-02-09,6.4723,6.4723,6.374,6.408,68762
2004-02-10,6.427,6.4459,6.3702,6.427,32918
2004-02-11,6.427,6.4648,6.3891,6.4232,19008
2004-02-12,6.374,6.427,6.3702,6.3778,30660
2004-02-13,6.3891,6.427,6.3702,6.427,19643
2004-02-17,6.427,6.427,6.3702,6.4156,18149
2004-02-18,6.3702,6.4156,6.3324,6.3362,60857
2004-02-19,6.3702,6.3702,6.3324,6.3362,12381
2004-02-20,6.3324,6.3513,6.3324,6.3362,81784
2004-02-23,6.3513,6.3513,6.2757,6.3324,97802
2004-02-24,6.3891,6.3891,6.2757,6.3513,46516
2004-02-25,6.3967,6.4421,6.3324,6.3891,34758
2004-02-26,6.427,6.427,6.34,6.3891,31828
2004-02-27,6.427,6.427,6.34,6.3627,22432
2004-03-01,6.3627,6.4459,6.34,6.4307,21692
2004-03-02,6.427,6.427,6.3513,6.427,8598
2004-03-03,6.3891,6.3891,6.3513,6.374,13921
2004-03-04,6.3854,6.427,6.3135,6.34,37106
2004-03-05,6.34,6.3891,6.34,6.3551,30104
2004-03-08,6.3702,6.4232,6.34,6.3778,35371
2004-03-09,6.3759,6.4459,6.3702,6.4421,494444
2004-03-10,6.427,6.453,6.3929,6.427,65379
2004-03-11,6.427,6.427,6.3362,6.3627,71820
2004-03-12,6.3891,6.3891,6.3517,6.3854,104716
2004-03-15,6.3627,6.3891,6.34,6.3627,26555
2004-03-16,6.3891,6.3891,6.3135,6.3211,34526
2004-03-17,6.3665,6.3665,6.3476,6.3476,56309
2004-03-18,6.3702,6.3702,6.34,6.3665,62309
2004-03-19,6.3476,6.408,6.3476,6.3778,113771
2004-03-22,6.3891,6.3891,6.3513,6.3816,56044
2004-03-23,6.3854,6.3854,6.3362,6.3797,111182
2004-03-24,6.3854,6.3854,6.3513,6.3854,27792
2004-03-25,6.3324,6.4761,6.3324,6.374,137224
2004-03-26,6.374,6.5215,6.3627,6.3929,181376
2004-03-29,6.5026,6.5026,6.3929,6.4837,61872
2004-03-30,6.5026,6.5026,6.4307,6.4685,62350
2004-03-31,6.4345,6.4912,6.3135,6.4648,15232
2004-04-01,6.4837,6.4837,6.4459,6.4648,8443
2004-04-02,6.3891,6.4837,6.3891,6.4572,44422
2004-04-05,6.4648,6.4837,6.34,6.4459,54891
2004-04-06,6.374,6.4459,6.3589,6.4459,65858
2004-04-07,6.427,6.4648,6.34,6.3967,64222
2004-04-08,6.408,6.408,6.3589,6.3891,108177
2004-04-12,6.3665,6.3891,6.3324,6.3362,115888
2004-04-13,6.3438,6.3513,6.2909,6.2946,45420
2004-04-14,6.2795,6.3324,6.253,6.2568,42597
2004-04-15,6.2757,6.3513,6.2115,6.2379,185143
2004-04-16,6.2417,6.4156,6.219,6.2594,190605
2004-04-19,6.2946,6.2946,6.2379,6.2417,45713
2004-04-20,6.2757,6.2757,6.1283,6.2266,112325
2004-04-21,6.2001,6.2568,6.2001,6.2152,59162
2004-04-22,6.2568,6.2568,6.219,6.2304,75059
2004-04-23,6.2304,6.2379,6.2001,6.219,141357
2004-04-26,6.2379,6.2379,6.1888,6.2379,38250
2004-04-27,6.2077,6.2795,6.1888,6.2001,65938
2004-04-28,6.2228,6.2266,6.1774,6.1812,43516
2004-04-29,6.1623,6.253,6.1585,6.1812,39288
2004-04-30,6.2152,6.219,6.1056,6.151,28875
2004-05-03,6.151,6.1774,6.1434,6.1585,38566
2004-05-04,6.1169,6.1812,6.1169,6.1812,24082
2004-05-05,6.1321,6.1321,6.0565,6.0602,44693
2004-05-06,6.0413,6.1434,6.0413,6.0829,21837
2004-05-07,6.0848,6.1396,6.0716,6.0754,37222
2004-05-10,6.0565,6.2001,5.7729,6.1018,98444
2004-05-11,6.0376,6.1623,6.0376,6.0413,29933
2004-05-12,6.0262,6.1548,6.0262,6.064,18057
2004-05-13,6.0678,6.1661,6.0451,6.1585,55978
2004-05-14,6.1472,6.1472,6.0489,6.0489,18210
2004-05-17,6.0489,6.1434,6.03,6.0338,13624
2004-05-18,6.1245,6.1396,6.0111,6.0489,38231
2004-05-19,6.2266,6.2266,6.0338,6.0376,35349
2004-05-20,6.0489,6.1207,6.0376,6.0489,27332
2004-05-21,6.0678,6.0678,6.0338,6.0489,30854
2004-05-24,6.0149,6.1056,6.0149,6.0338,25211
2004-05-25,6.0186,6.1396,6.0186,6.0489,35584
2004-05-26,6.0186,6.1207,6.0186,6.0451,20328
2004-05-27,6.03,6.1434,6.03,6.0489,68664
2004-05-28,6.0489,6.1434,6.0338,6.1207,89671
2004-06-01,6.1283,6.1434,6.0451,6.1245,8178
2004-06-02,6.03,6.1434,6.03,6.0489,20007
2004-06-03,6.0829,6.0905,6.0376,6.0527,45921
2004-06-04,6.0867,6.0867,6.0111,6.0489,44918
2004-06-07,6.0602,6.0867,6.0149,6.0149,64628
2004-06-08,6.0149,6.0867,6.0149,6.0867,28711
2004-06-09,6.1245,6.1585,6.0224,6.1472,49849
2004-06-10,6.2001,6.2795,6.0791,6.2757,19811
2004-06-14,6.3022,6.306,6.1245,6.1623,26428
