Date,Open,High,Low,Close,Volume
2024-07-01,9.99,9.99,9.98,9.99,82184
2024-07-02,9.98,10.0,9.98,10.0,786061
2024-07-03,9.985,9.99,9.985,9.99,12000
2024-07-05,10.0,10.0,9.98,9.99,180099
2024-07-08,9.99,10.0,9.98,9.98,1615135
2024-07-09,9.99,10.0,9.98,9.99,976708
2024-07-10,10.0,10.0,9.99,9.99,48690
2024-07-11,10.0,10.0,9.99,10.0,49792
2024-07-12,9.99,9.99,9.99,9.99,41800
2024-07-15,10.01,10.01,10.0,10.0,445
2024-07-16,10.01,10.01,10.0,10.0,366
2024-07-17,10.0,10.005,10.0,10.0,500700
2024-07-18,10.0,10.02,10.0,10.01,1377398
2024-07-19,10.01,10.01,10.0,10.01,374030
2024-07-22,10.03,10.05,10.03,10.05,3687
2024-07-23,10.03,10.03,10.01,10.03,120455
2024-07-24,10.03,10.03,10.03,10.03,100
2024-07-25,10.02,10.03,10.02,10.02,28116
2024-07-26,10.0356,10.04,10.03,10.03,17027
2024-07-29,10.035,10.035,10.035,10.035,378
2024-07-30,10.03,10.03,10.01,10.01,84743
2024-07-31,10.02,10.03,10.01,10.03,1245957
2024-08-02,10.02,10.03,10.01,10.02,267689
2024-08-05,10.02,10.02,10.01,10.02,54459
2024-08-06,10.0189,10.02,10.0,10.01,1533655
2024-08-07,10.01,10.02,10.0,10.01,166961
2024-08-08,10.02,10.025,10.0185,10.02,229269
2024-08-09,10.02,10.02,10.02,10.02,210
2024-08-12,10.02,10.03,10.015,10.03,77691
2024-08-13,10.01,10.02,10.01,10.02,600
2024-08-14,10.02,10.02,10.0198,10.02,50600
2024-08-15,10.02,10.03,10.02,10.02,105700
2024-08-16,10.02,10.02,10.02,10.02,100
2024-08-19,10.025,10.025,10.025,10.025,100
2024-08-20,10.02,10.04,10.02,10.04,365
2024-08-22,10.05,10.05,10.05,10.05,100
2024-08-23,10.05,10.05,10.0098,10.015,2442222
2024-08-26,10.015,10.04,10.01,10.015,457338
2024-08-27,10.0066,10.02,10.0066,10.015,14464
2024-08-28,10.015,10.015,10.01,10.01,1086
