Date,Open,High,Low,Close,Volume
2021-12-02,25.0682,25.23,25.0682,25.17,39380
2021-12-03,25.25,25.25,25.0,25.15,36893
2021-12-06,25.15,25.2,25.1292,25.19,44730
2021-12-07,25.25,25.56,25.25,25.25,69733
2021-12-08,25.33,25.5,25.11,25.2,38400
2021-12-09,25.25,25.35,25.16,25.18,51809
2021-12-10,25.3122,25.35,25.19,25.33,26297
2021-12-13,25.33,25.37,25.25,25.37,13110
2021-12-14,25.35,25.36,25.28,25.28,24403
2021-12-15,25.35,25.95,25.3488,25.95,105671
2021-12-16,25.95,26.16,25.81,25.95,181363
2021-12-17,25.8899,25.8899,25.8001,25.85,8024
2021-12-20,25.8971,26.0,25.8,25.8,18991
2021-12-21,25.95,26.1,25.85,26.05,102207
2021-12-22,26.0055,26.17,25.975,26.065,9918
2021-12-23,26.0,26.1,26.0,26.1,2363
2021-12-27,26.1,26.15,26.034,26.15,1950
2021-12-28,26.1027,26.2,26.1027,26.2,1049
2021-12-29,26.12,26.25,26.09,26.2,18260
2021-12-30,26.3,26.3,25.8,26.04,11553
2021-12-31,25.8,25.93,25.55,25.55,85951
2022-01-03,25.61,25.8,25.42,25.51,24324
2022-01-04,25.54,25.5699,25.37,25.46,13853
2022-01-05,25.5,25.6,25.4,25.4657,10136
2022-01-06,25.41,25.57,25.31,25.5,45349
2022-01-07,25.7342,25.7799,25.64,25.77,2322
2022-01-10,25.7908,25.8667,25.705,25.8667,1100
2022-01-11,25.8014,25.84,25.75,25.82,1250
2022-01-12,25.7144,25.8,25.66,25.78,861
2022-01-13,25.79,25.79,25.75,25.755,7859
2022-01-14,25.77,25.9934,25.7699,25.9,20299
2022-01-18,25.5,25.5,25.0,25.3,422319
2022-01-19,24.97,25.24,24.97,25.2,253596
2022-01-20,25.2,25.25,25.05,25.14,63190
2022-01-21,25.13,25.15,25.0,25.13,93045
2022-01-24,25.02,25.09,24.9,25.09,39664
2022-01-25,25.1,25.35,25.1,25.26,14103
2022-01-26,25.26,25.4,25.1501,25.19,29553
2022-01-27,25.36,25.36,24.93,24.93,50593
2022-01-28,25.29,25.29,24.79,24.87,90768
2022-01-31,24.95,25.29,24.95,25.26,457667
2022-02-01,25.5,25.5,25.12,25.23,33497
2022-02-02,25.11,25.22,24.97,25.0,22028
2022-02-03,25.0,25.315,25.0,25.2,82700
2022-02-04,25.105,25.105,24.92,24.97,15733
2022-02-07,24.9819,24.9819,24.81,24.89,19364
2022-02-08,24.85,24.99,24.8,24.99,23924
2022-02-09,25.1484,25.1484,24.85,24.85,6202
2022-02-10,24.86,24.8929,24.75,24.79,43728
2022-02-11,24.978,24.978,24.85,24.9,17972
2022-02-14,24.98,24.98,24.85,24.93,13181
2022-02-15,25.09,25.1,24.9801,25.0,25097
2022-02-16,25.0,25.0,24.975,24.99,2149
2022-02-17,25.04,25.04,24.9,25.03,76974
2022-02-18,25.005,25.005,24.85,24.86,14138
2022-02-22,24.85,24.87,24.7,24.8294,15268
2022-02-23,25.0004,25.0004,24.81,24.86,5064
2022-02-24,24.7,24.8209,24.31,24.72,16121
2022-02-25,24.87,24.98,24.85,24.8578,7393
2022-02-28,25.0,25.0,24.65,24.66,28897
2022-03-01,24.75,24.825,24.55,24.55,9201
2022-03-02,24.63,24.64,24.46,24.5,19791
2022-03-03,24.45,24.55,24.435,24.51,6000
2022-03-04,24.71,24.85,24.45,24.4502,18183
2022-03-07,24.36,24.5,22.7,23.85,22280
2022-03-08,23.9999,23.9999,23.74,23.8,7062
2022-03-09,23.9,24.0,23.05,23.82,9987
2022-03-10,24.0,24.0,23.635,23.82,5040
2022-03-11,23.82,24.57,23.77,24.57,23076
2022-03-14,24.25,24.812,23.5,23.5244,10182
2022-03-15,23.7,23.75,23.44,23.55,9530
2022-03-16,23.765,23.87,23.4,23.65,14331
2022-03-17,23.5201,23.9,23.5201,23.85,2688
2022-03-18,23.87,24.2251,23.87,24.2,2059
2022-03-21,24.4428,24.4428,23.76,23.76,1803
2022-03-22,24.1467,24.39,23.85,24.39,2130
2022-03-23,24.35,24.35,24.35,24.35,101
2022-03-24,24.0187,24.3599,24.0001,24.07,1688
2022-03-25,24.36,24.44,24.0,24.0022,5053
2022-03-28,24.25,24.25,23.75,23.9044,6945
2022-03-29,23.96,24.0,23.9499,23.99,3547
2022-03-30,24.27,24.29,23.99,24.06,10125
2022-03-31,23.745,24.21,23.7406,24.16,49341
2022-04-01,23.9,23.9,23.9,23.9,100
2022-04-04,23.88,23.95,23.88,23.94,1110
2022-04-05,23.92,23.95,23.42,23.42,19146
2022-04-06,23.4,23.54,23.25,23.36,5395
2022-04-07,23.4,23.48,23.4,23.4,6144
2022-04-08,23.5,23.57,23.21,23.4,9482
2022-04-11,23.4,23.4,23.14,23.24,5477
2022-04-12,23.4615,23.4615,23.22,23.2204,1342
2022-04-13,23.2,23.3,23.2,23.3,1743
2022-04-14,23.23,23.3,23.2,23.3,6019
2022-04-18,23.25,23.5,23.22,23.22,11865
2022-04-19,23.11,23.245,23.11,23.16,3847
2022-04-20,23.29,23.35,23.22,23.22,1980
2022-04-21,23.26,23.27,22.96,22.99,9776
2022-04-22,22.885,23.0198,22.885,22.98,851
2022-04-25,23.17,23.17,22.86,23.0,7369
2022-04-26,23.0,23.0,22.88,22.91,1200
2022-04-27,22.9702,22.9702,22.8327,22.8355,3419
2022-04-28,22.82,22.905,22.82,22.89,2277
2022-04-29,22.9,23.0,22.79,22.79,45941
2022-05-02,22.7,22.7,22.49,22.49,10598
2022-05-03,22.75,22.7883,22.37,22.49,3653
2022-05-04,22.6011,22.71,22.5,22.54,811
2022-05-05,22.55,22.5911,22.15,22.15,13714
2022-05-06,22.24,22.41,22.0,22.0,11957
2022-05-09,21.97,21.97,21.75,21.85,5151
2022-05-10,21.9588,22.05,21.75,21.75,5074
2022-05-11,22.2499,22.2499,21.5,21.52,14261
2022-05-12,21.45,21.59,20.7,21.34,25716
2022-05-13,21.31,21.35,21.21,21.21,20239
2022-05-16,21.25,21.38,21.15,21.15,13254
2022-05-17,21.155,21.2042,20.94,20.94,21372
2022-05-18,20.9,21.02,19.24,20.07,42071
2022-05-19,20.15,20.25,20.025,20.22,5749
2022-05-20,20.45,20.45,20.0,20.0,8740
2022-05-23,20.25,20.25,19.63,19.65,20433
2022-05-24,19.9,20.3,19.9,20.01,52761
2022-05-25,20.2999,21.975,20.155,21.57,10361
2022-05-26,21.76,22.08,21.7376,21.95,6304
2022-05-27,21.9399,22.34,21.9399,22.29,7443
2022-05-31,22.1946,22.48,21.94,22.44,35361
2022-06-01,22.19,22.616,22.19,22.616,18289
2022-06-02,22.44,22.6,22.4,22.57,3383
2022-06-03,22.52,22.52,22.52,22.52,250
2022-06-06,22.55,22.7004,22.48,22.48,1503
2022-06-07,22.5,22.56,22.39,22.53,4335
2022-06-08,22.51,22.8,22.4,22.8,8781
2022-06-09,22.675,22.675,22.55,22.55,843
2022-06-10,22.05,22.05,21.55,21.575,5043
2022-06-13,21.38,21.62,20.85,20.91,15156
2022-06-14,20.9,21.09,20.89,20.9499,4712
2022-06-15,21.53,21.85,20.9801,21.55,12053
2022-06-16,21.25,22.26,20.8447,20.93,7328
2022-06-17,20.8992,21.51,20.8992,21.45,6767
2022-06-21,21.61,22.15,21.5,21.9,5347
2022-06-22,21.87,22.19,21.865,21.89,9908
2022-06-23,21.94,21.99,21.94,21.96,2100
2022-06-24,21.96,22.05,21.96,21.96,3423
2022-06-27,21.96,22.25,21.96,22.24,5080
2022-06-28,22.4638,22.4638,22.02,22.25,6005
2022-06-29,21.9099,22.21,21.8425,22.21,2500
2022-06-30,22.095,22.17,21.0,21.0,7664
2022-07-01,21.11,21.479,21.03,21.03,1400
2022-07-05,21.61,21.75,21.25,21.25,4946
2022-07-06,21.51,21.65,21.19,21.21,3875
2022-07-07,21.18,21.67,21.05,21.25,2555
2022-07-08,21.04,21.04,20.5,20.79,6282
2022-07-11,20.74,20.9,20.5,20.5,2427
2022-07-12,20.79,20.79,20.0,20.25,7841
2022-07-13,20.5,20.5,19.87,19.87,2442
2022-07-14,19.85,19.85,19.65,19.65,2909
2022-07-15,19.65,20.3082,19.65,19.98,3494
2022-07-18,19.9,20.9,19.9,20.87,3686
2022-07-19,21.0,21.0,21.0,21.0,100
2022-07-20,20.37,20.6,20.26,20.3,3852
2022-07-21,20.5,20.5,20.23,20.23,300
2022-07-22,20.01,20.9225,20.01,20.28,14884
2022-07-25,20.29,20.39,20.29,20.39,528
2022-07-26,20.4,20.4,20.1101,20.1101,2210
2022-07-27,20.3789,20.8558,20.2257,20.7276,10017
2022-07-28,20.89,20.89,20.05,20.67,11960
2022-07-29,20.42,21.82,20.42,21.53,14684
2022-08-01,21.44,21.7775,21.35,21.6,3240
2022-08-02,22.5,22.5,21.87,22.1,12289
2022-08-03,22.1,22.1,21.98,21.9903,2570
2022-08-04,22.11,22.45,22.02,22.45,3530
2022-08-05,22.4426,22.4426,21.6,21.96,1794
2022-08-08,22.07,22.55,22.07,22.55,500
2022-08-09,22.51,22.57,22.19,22.19,794
2022-08-10,22.0,22.21,22.0,22.21,1554
2022-08-11,22.54,22.54,22.15,22.17,400
2022-08-12,22.15,22.3,22.15,22.3,3137
2022-08-15,22.335,22.36,22.1,22.1,3613
2022-08-16,22.35,22.35,21.99,22.1,1986
2022-08-17,21.9,22.19,21.8,22.0,2076
2022-08-18,22.0,22.42,22.0,22.0,5620
2022-08-19,21.99,21.99,21.8,21.99,709
2022-08-22,21.75,21.75,21.558,21.6852,1440
2022-08-23,21.65,21.7,21.6,21.7,837
2022-08-24,21.7,22.19,21.6,21.89,6585
2022-08-25,21.89,22.2,21.7501,22.2,3498
2022-08-29,21.78,21.79,21.75,21.75,2277
2022-08-30,21.8454,21.97,21.75,21.97,1842
2022-08-31,21.98,21.98,21.74,21.74,4122
2022-09-01,21.54,21.58,21.37,21.58,4750
2022-09-02,21.8485,21.8485,21.75,21.76,2240
2022-09-06,21.55,21.74,21.4,21.56,4621
2022-09-07,21.5,21.84,21.4,21.63,6270
2022-09-08,21.57,21.75,21.57,21.68,715
2022-09-09,21.9,22.2999,21.9,22.265,11075
2022-09-12,21.945,22.15,21.62,21.9999,13352
2022-09-13,21.75,21.75,21.64,21.64,400
2022-09-14,21.61,21.81,21.61,21.77,2105
2022-09-15,21.65,21.81,21.61,21.75,2629
2022-09-16,21.55,21.75,21.55,21.75,944
2022-09-19,21.63,21.8,21.63,21.8,4418
2022-09-20,21.6,21.605,21.6,21.605,1554
2022-09-21,21.6699,21.8852,21.35,21.5,14665
2022-09-22,21.38,21.4,20.965,20.9866,3531
2022-09-23,20.92,20.92,20.37,20.48,3422
2022-09-26,20.23,20.26,19.755,20.0,4912
2022-09-27,20.0,20.23,19.7501,20.1,17561
2022-09-28,20.0,20.9599,20.0,20.54,8727
2022-09-29,20.27,20.4,19.878,20.38,12948
2022-09-30,20.3,20.34,19.95,20.26,9614
2022-10-03,20.2912,20.7,20.0,20.22,12056
2022-10-04,20.7,20.87,20.62,20.84,1456
2022-10-05,20.5,20.74,20.07,20.35,1001
2022-10-06,20.0,20.34,20.0,20.34,1237
2022-10-07,19.94,20.0827,19.91,19.9475,1850
2022-10-10,19.0201,20.0,19.0201,19.45,7357
2022-10-11,19.22,19.8,19.2117,19.36,12005
2022-10-12,19.85,19.85,19.27,19.27,776
2022-10-13,19.06,19.74,18.93,19.48,1944
2022-10-14,19.51,19.85,19.49,19.7,2607
2022-10-17,19.63,19.89,19.5,19.89,2398
2022-10-18,19.89,19.89,19.84,19.84,659
2022-10-19,19.84,20.0,19.63,20.0,1300
2022-10-20,19.95,19.95,19.5,19.5,700
2022-10-21,19.45,19.75,19.18,19.26,7561
2022-10-24,19.25,19.61,18.78,18.78,3264
2022-10-25,19.09,19.4832,19.07,19.07,899
2022-10-26,19.7558,19.865,19.2006,19.28,4137
2022-10-27,19.5,19.5,19.4899,19.4899,2000
2022-10-28,19.48,19.67,19.4605,19.67,2606
2022-10-31,19.75,20.21,19.7499,19.87,20199
2022-11-01,19.8,19.8,19.5,19.5,7221
2022-11-02,19.5,19.5,19.0101,19.3,7792
2022-11-03,19.3,19.3,19.0,19.0,333
2022-11-04,18.84,19.3025,18.84,19.06,5405
2022-11-07,19.1,19.1,18.86,19.06,3860
2022-11-08,19.03,19.324,18.92,19.1178,6738
2022-11-09,19.09,19.2109,18.95,18.9825,10152
2022-11-10,19.0408,19.34,19.0408,19.27,19290
2022-11-11,19.38,19.39,19.25,19.255,5096
