Date,Open,High,Low,Close,Volume
2023-12-01,4.45,12.83,4.2,7.46,4547479
2023-12-04,8.05,9.1,6.1501,7.0,433193
2023-12-05,6.56,7.97,6.56,7.57,237084
2023-12-06,6.97,10.45,6.97,8.9,357930
2023-12-07,8.58,10.0,8.3,8.8,142214
2023-12-08,8.82,9.0,6.7249,7.65,195404
2023-12-11,7.38,9.0,7.37,8.88,155795
2023-12-12,8.58,8.98,7.6504,7.74,64507
2023-12-13,7.6,7.9,7.08,7.31,141897
2023-12-14,7.36,8.3,7.31,7.85,86088
2023-12-15,8.0,8.19,7.1,7.23,83077
2023-12-18,7.22,7.44,7.0,7.2,100905
2023-12-19,7.14,9.45,7.0,9.45,360090
2023-12-20,8.89,9.5,7.42,7.97,106059
2023-12-21,7.63,8.2899,7.63,7.88,50132
2023-12-22,7.71,8.205,7.5551,7.62,47860
2023-12-26,7.868,7.868,7.505,7.505,23742
2023-12-27,7.76,7.85,7.46,7.51,140487
2023-12-28,7.6,7.9799,7.6,7.65,88642
2023-12-29,7.92,8.1,7.7,7.7,150801
2024-01-02,7.78,8.75,7.78,8.7,21459
2024-01-03,8.52,9.8,8.4,9.14,258053
2024-01-04,9.57,10.22,8.22,8.61,140798
2024-01-05,8.64,9.34,8.4,8.5,13327
2024-01-08,8.3,8.74,8.3,8.47,15824
2024-01-09,8.5,8.5,7.6,7.61,52026
2024-01-10,7.99,8.16,7.25,7.47,43873
2024-01-11,7.6,8.17,7.4,7.84,10385
2024-01-12,7.9,8.02,7.78,7.97,7774
2024-01-16,7.9,11.5,7.8,10.85,97076
2024-01-17,10.79,10.9,9.36,10.21,30546
2024-01-18,10.41,11.99,10.39,11.14,56465
2024-01-19,11.89,12.5,11.13,12.39,29521
2024-01-22,12.51,14.58,12.5,14.02,48947
2024-01-23,14.47,15.2,12.4026,13.44,50807
2024-01-24,13.52,14.0,13.0,13.28,4487
2024-01-25,13.06,13.5,12.6424,13.4999,14914
2024-01-26,13.04,14.52,13.0001,13.9999,12976
2024-01-29,13.97,13.97,12.2601,13.3,8861
2024-01-30,12.59,14.09,12.58,13.81,37679
2024-01-31,13.51,14.4999,13.3001,14.38,21356
2024-02-01,14.46,14.46,13.13,13.13,10131
2024-02-02,13.2,13.99,12.81,13.8866,6550
2024-02-05,13.81,13.81,12.68,13.6941,10265
2024-02-06,13.25,15.99,13.01,15.5,41448
