Date,Open,High,Low,Close,Volume
2024-04-10,6.5332,6.6131,6.3912,6.5465,413963
2024-04-11,6.6575,6.8883,6.6131,6.7019,298903
2024-04-12,6.7019,6.8794,6.5953,6.6841,379140
2024-04-15,6.5953,6.7463,6.5687,6.6042,282958
2024-04-16,6.6042,6.6575,6.4752,6.5598,114914
2024-04-17,6.6486,6.7818,6.6309,6.6841,116631
2024-04-18,6.6131,6.622,6.4888,6.4977,130943
2024-04-19,6.4622,6.7905,6.3912,6.622,91028
2024-04-22,6.4888,6.6131,6.4356,6.6042,164999
2024-04-23,6.6575,6.7551,6.5776,6.6841,188444
2024-04-24,6.6486,6.7374,6.5687,6.7285,153047
2024-04-25,6.5598,6.7285,6.551,6.7019,156486
2024-04-26,6.7906,6.9238,6.7196,6.7995,230736
2024-04-29,6.7906,6.8528,6.7196,6.764,165481
2024-04-30,6.8261,6.8601,6.7463,6.8528,110990
2024-05-01,6.7729,6.8439,6.7107,6.7906,114972
2024-05-02,6.7551,6.977,6.7374,6.9238,122127
2024-05-03,6.9238,7.0392,6.9238,6.9948,96997
2024-05-06,6.9504,7.1368,6.9504,7.1368,162419
2024-05-07,7.0037,7.1013,6.906,7.0392,162858
2024-05-08,6.9593,7.2966,6.9593,7.2078,609962
2024-05-09,7.27,7.27,7.2256,7.2522,171236
2024-05-10,7.2789,7.847,7.2167,7.7227,258312
2024-05-13,7.2966,7.4919,7.2966,7.4564,355376
2024-05-14,7.3942,7.6508,7.3321,7.6508,692334
2024-05-15,7.5807,7.8292,7.2478,7.8292,722743
2024-05-16,7.5363,7.6694,7.3854,7.6694,221956
2024-05-17,7.6339,7.7493,7.5718,7.7227,215833
2024-05-20,7.6783,7.7671,7.5984,7.7226,575425
2024-05-21,7.6428,7.7311,7.4475,7.6428,924815
2024-05-22,7.4209,7.4209,7.2256,7.341,362445
2024-05-23,7.4386,7.5096,7.3499,7.5008,239059
2024-05-24,7.3676,7.625,7.3676,7.5451,408035
2024-05-28,7.5451,7.6872,7.5008,7.625,294801
2024-05-29,7.5895,7.665,7.5185,7.6517,343578
2024-05-30,7.6162,7.8514,7.6162,7.8114,287194
2024-05-31,7.8558,7.989,7.7671,7.989,219277
2024-06-03,7.7404,7.8794,7.6961,7.8558,168169
2024-06-04,7.554,7.6517,7.4342,7.4475,388611
2024-06-05,7.4298,7.5984,7.3781,7.5807,284782
2024-06-06,7.4564,7.5451,7.3144,7.483,383369
2024-06-07,7.412,7.4209,7.2345,7.3854,235366
2024-06-10,7.3232,7.4209,7.2522,7.3676,235392
2024-06-11,7.2256,7.2256,6.817,7.0481,820227
2024-06-12,7.0481,7.1457,6.9149,7.1102,436506
2024-06-13,6.9504,7.1102,6.7286,6.8883,1264017
2024-06-14,6.6752,6.764,6.5687,6.6486,525257
2024-06-17,6.6397,6.8039,6.5953,6.7729,295852
2024-06-18,6.8439,6.9859,6.7995,6.9682,274957
2024-06-20,6.9238,7.0481,6.906,7.0392,296092
2024-06-21,7.0037,7.1102,6.9415,7.0658,608667
2024-06-24,7.0126,7.1457,7.0126,7.1368,182957
2024-06-25,7.1102,7.1102,7.0126,7.0836,157273
