Date,Open,High,Low,Close,Volume
2008-10-03,8.7981,9.333,8.7821,9.1733,544124
2008-10-06,8.9897,9.1813,8.7821,8.9202,370288
2008-10-07,9.0615,9.0615,8.6863,8.7182,221232
2008-10-08,8.7821,8.7821,8.5346,8.7023,88319
2008-10-09,8.7023,8.7821,8.2632,8.2632,130623
2008-10-10,8.2632,8.4228,7.9837,8.1833,103612
2008-10-13,8.3749,8.7821,8.3749,8.6703,24232
2008-10-14,8.7821,8.7821,8.6224,8.7023,65825
2008-10-15,8.6624,8.6624,8.2392,8.2392,33196
2008-10-16,8.1913,8.3031,8.1913,8.2312,22259
2008-10-17,8.2632,8.343,8.2153,8.327,55815
2008-10-20,8.5506,8.6145,8.2712,8.343,7395
2008-10-21,8.343,8.4228,8.343,8.4228,13024
2008-10-22,8.4228,8.4228,8.343,8.343,12337
2008-10-23,8.343,8.343,8.2233,8.2632,85114
2008-10-24,8.2233,8.2632,8.1035,8.1754,42651
2008-10-27,8.1754,8.2233,8.1514,8.2153,51512
2008-10-28,8.2233,8.2233,7.9837,8.1434,62393
2008-10-29,8.1594,8.1594,8.0237,8.1354,59875
2008-10-30,8.1594,8.2392,8.1434,8.1754,64486
2008-10-31,8.1754,8.343,8.1594,8.2312,129471
2008-11-03,8.2632,8.2791,8.2392,8.2632,48634
2008-11-04,8.3111,8.343,8.2233,8.2233,79685
2008-11-05,8.3031,8.3191,8.2312,8.2312,12900
2008-11-06,8.2233,8.2233,8.1275,8.1275,48880
2008-11-07,8.1195,8.2233,8.1035,8.2233,23069
2008-11-10,8.2632,8.2632,8.1434,8.2233,11524
2008-11-11,8.1275,8.2871,8.1275,8.2233,12527
2008-11-12,8.1275,8.1833,8.0636,8.0636,16685
2008-11-13,8.0237,8.1833,8.0237,8.1833,7129
2008-11-14,7.9837,8.0708,7.9837,8.0708,2881
2008-11-17,7.9837,8.2073,7.9837,8.1833,7441
2008-11-18,7.9279,8.0955,7.9279,8.0955,6031
2008-11-19,7.9039,8.1754,7.9039,7.9837,8830
2008-11-20,7.9837,7.9837,7.9119,7.9119,9894
2008-11-21,7.9039,7.9758,7.84,7.9199,48411
2008-11-24,7.8241,7.9438,7.8241,7.864,6663
2008-11-25,7.856,7.864,7.8241,7.8241,64630
2008-11-26,7.8241,7.9039,7.7841,7.9039,32064
2008-11-28,7.9039,7.9039,7.8241,7.8241,1695
2008-12-01,7.84,7.9039,7.84,7.8536,5719
2008-12-02,7.8241,7.9039,7.8241,7.864,10580
2008-12-03,7.7442,7.9039,7.7442,7.9039,5091
2008-12-04,7.864,7.864,7.8241,7.8241,9721
2008-12-05,7.7442,7.8241,7.7442,7.8241,7832
2008-12-08,7.8959,7.8959,7.864,7.864,4513
2008-12-09,7.872,7.872,7.7203,7.7203,9080
2008-12-10,7.7442,7.7442,7.7123,7.7442,12825
2008-12-11,7.7841,7.8959,7.7841,7.8959,8769
2008-12-12,7.6165,7.88,7.6165,7.7762,1754
2008-12-15,7.88,7.8959,7.7043,7.7442,7890
2008-12-16,7.7682,7.7682,7.7682,7.7682,814
2008-12-18,7.7442,7.7841,7.7442,7.7762,15491
2008-12-19,7.7442,7.7841,7.6404,7.6404,23905
2008-12-22,7.6245,7.7043,7.5925,7.6724,6319
2008-12-23,7.6005,7.6005,7.5846,7.5846,1753
2008-12-24,7.5925,7.7043,7.5925,7.6883,3632
2008-12-26,7.6492,7.6883,7.6325,7.6883,7485
2008-12-29,7.6245,7.7841,7.6245,7.6644,39457
2008-12-30,7.6245,7.7841,7.6245,7.7841,4384
2008-12-31,7.7841,7.8081,7.7442,7.7841,17298
2009-01-02,7.7841,7.7841,7.7841,7.7841,627
2009-01-05,7.8241,7.9039,7.8241,7.864,11899
2009-01-06,7.8879,7.8879,7.7522,7.8241,25766
2009-01-07,7.8161,7.8161,7.8081,7.8161,1253
2009-01-08,7.7841,7.8959,7.7841,7.8959,1835
2009-01-09,7.8161,7.8161,7.8161,7.8161,501
2009-01-12,7.6404,7.7602,7.6404,7.6644,1879
2009-01-13,7.6245,7.6245,7.6085,7.6245,18708
2009-01-14,7.5846,7.5846,7.5846,7.5846,125
2009-01-15,7.5925,7.7602,7.5925,7.7602,250
2009-01-16,7.5925,7.7602,7.5846,7.6005,8643
2009-01-20,7.5925,7.753,7.5925,7.753,376
2009-01-21,7.5526,7.6165,7.4648,7.6165,9019
2009-01-22,7.6883,7.6883,7.6883,7.6883,1127
2009-01-23,7.5047,7.5119,7.5047,7.5119,657
2009-01-26,7.6388,7.6388,7.1854,7.5686,11140
2009-01-28,7.2652,7.5766,7.2492,7.5686,4949
2009-01-29,7.5686,7.5686,7.5686,7.5686,251
2009-01-30,7.361,7.361,7.1854,7.2013,35551
2009-02-02,7.361,7.369,7.1854,7.2093,10804
2009-02-03,7.2652,7.5686,7.2333,7.4089,19212
2009-02-04,7.5047,7.7362,7.5047,7.7362,17787
2009-02-05,7.6804,7.7762,7.6245,7.7043,29335
2009-02-06,7.3929,7.7442,7.3929,7.7362,11535
2009-02-10,7.5526,7.5526,7.5526,7.5526,125
2009-02-11,7.5526,7.5846,7.5526,7.5846,5136
2009-02-12,7.3929,7.7682,7.3929,7.6644,14861
2009-02-13,7.5606,7.8959,7.5606,7.8959,95671
2009-02-17,7.8161,7.8161,7.5526,7.6883,4471
