Date,Open,High,Low,Close,Volume
2017-11-06,8.4048,8.5133,8.3506,8.4048,924507.0
2017-11-07,8.4211,8.5187,8.394,8.4835,425230.0
2017-11-08,8.4319,8.4862,8.3295,8.3506,193696.0
2017-11-09,8.2259,8.4862,8.2259,8.4048,164210.0
2017-11-10,8.3235,8.3636,8.2422,8.3018,1103064.0
2017-11-13,8.215,8.2693,8.1337,8.2096,584106.0
2017-11-14,8.1879,8.2096,8.1337,8.2042,898653.0
2017-11-15,8.3127,8.3127,8.1446,8.1608,1270179.0
2017-11-16,8.1337,8.1879,8.1337,8.1446,717613.0
2017-11-17,8.1446,8.2964,8.1391,8.2964,273923.0
2017-11-20,8.2693,8.2864,8.2205,8.2422,245842.0
2017-11-21,8.2422,8.3506,8.1988,8.3506,314156.0
2017-11-22,8.3506,8.3723,8.3072,8.3235,164600.0
2017-11-24,8.2964,8.3549,8.2422,8.2855,83977.0
2017-11-27,8.224,8.3275,8.1749,8.3003,1095547.0
2017-11-28,8.3711,8.382,8.2997,8.3275,448398.0
2017-11-29,8.3112,8.3929,8.3112,8.3548,935112.0
2017-11-30,8.3548,8.382,8.3439,8.3766,536869.0
2017-12-01,8.3711,8.3929,8.3003,8.3657,600958.0
2017-12-04,8.3929,8.4202,8.3439,8.4202,393969.0
2017-12-05,8.4638,8.4638,8.3112,8.3384,325340.0
2017-12-06,8.3384,8.3657,8.3166,8.3384,211759.0
2017-12-07,8.3384,8.3929,8.3166,8.3657,277121.0
2017-12-08,8.3384,8.4087,8.3112,8.3384,388720.0
2017-12-11,8.3166,8.3439,8.3057,8.3167,346264.0
2017-12-12,8.3003,8.3493,8.2839,8.3003,321677.0
2017-12-13,8.2839,8.3984,8.2839,8.3711,323060.0
2017-12-14,8.3384,8.4474,8.3384,8.382,225527.0
2017-12-15,8.3711,8.4038,8.3548,8.3657,177079.0
2017-12-18,8.3766,8.4093,8.3384,8.382,368202.0
2017-12-19,8.3657,8.4111,8.3548,8.4038,243649.0
2017-12-20,8.382,8.4311,8.3675,8.4202,162414.0
2017-12-21,8.4349,8.5192,8.4349,8.4788,203254.0
2017-12-22,8.4897,8.5609,8.4897,8.5171,142707.0
