Date,Open,High,Low,Close,Volume
2021-07-01,14.8,15.85,13.9,15.75,1128241.0
2021-07-02,15.8,16.6,14.3,15.6,877455.8
2021-07-06,16.5,16.5,14.25,14.35,872958.0
2021-07-07,14.8,15.0,12.65,12.8495,568330.4
2021-07-08,13.55,13.55,11.475,12.9,635897.6
2021-07-09,13.0,13.25,12.35,12.8,356278.6
2021-07-12,13.3,13.45,12.25,12.5,495719.6
2021-07-13,12.6,12.65,11.65,12.05,553176.6
2021-07-14,11.7,12.5,11.5,11.7005,356720.6
2021-07-15,11.75,12.0,10.7,10.75,520990.4
2021-07-16,11.25,11.4,10.55,10.9,286088.4
2021-07-19,10.85,11.0,9.75,10.5,584817.4
2021-07-20,10.45,11.1,9.35,10.8,582375.2
2021-07-21,11.15,12.3,10.9,12.0,980099.2
2021-07-22,12.15,12.25,10.9,11.0995,268976.6
2021-07-23,11.35,11.7,10.75,11.25,270620.6
2021-07-26,12.2,13.2,11.75,12.1,1979635.0
2021-07-27,12.25,12.5,11.35,11.4,601971.6
2021-07-28,11.95,12.7,11.8,12.0,473933.6
2021-07-29,12.25,12.6,11.675,12.15,261800.8
2021-07-30,11.8,15.2,11.0,14.25,1279093.6
2021-08-02,14.2,14.5,12.65,13.95,1025660.0
2021-08-03,13.8,13.8,12.55,13.1,507063.2
2021-08-04,13.0,14.3005,12.85,14.3005,665335.2
2021-08-05,13.9,15.3,13.2,14.9,1657449.8
2021-08-06,14.75,15.75,14.3,15.15,1488149.0
2021-08-09,15.0,17.098,14.75,16.5,1652533.6
2021-08-10,16.2,16.75,14.8,15.75,1007569.4
2021-08-11,15.75,16.6995,15.65,16.5,990624.0
2021-08-12,16.0,16.25,14.4,15.35,950755.0
2021-08-13,15.9,16.75,15.15,16.25,645388.4
2021-08-16,16.25,16.25,14.45,14.5,658916.8
2021-08-17,14.75,15.15,13.2,13.5,754570.0
2021-08-18,13.5,14.75,13.1,13.7,677682.2
2021-08-19,13.3,14.95,13.3,14.9,654576.8
2021-08-20,14.95,16.3,14.65,16.2505,915406.2
2021-08-23,16.6,16.6,14.975,15.5,813370.8
2021-08-24,16.2,16.2,14.8,15.0,510719.4
2021-08-25,15.5,15.85,15.0,15.85,490753.8
2021-08-26,15.35,15.55,14.775,15.25,556127.0
2021-08-27,15.25,15.85,15.0,15.8,785402.4
2021-08-30,15.6,16.0,15.0,15.4,617185.2
2021-08-31,15.6,16.4,15.4005,16.0,790332.6
2021-09-01,16.35,17.05,15.75,16.95,1635398.4
2021-09-02,17.1,17.35,16.5,16.85,1248163.4
2021-09-03,16.75,18.7,16.75,18.25,2849336.8
2021-09-07,18.95,19.2,15.9,16.6,2085979.2
2021-09-08,16.65,16.65,15.15,16.05,963548.2
2021-09-09,16.25,16.75,15.1,15.65,905102.2
2021-09-10,15.7,16.05,14.9,15.0005,1042076.4
2021-09-13,14.95,15.55,14.5,15.25,1020448.0
2021-09-14,15.45,15.95,14.6,15.25,497359.2
2021-09-15,15.4,15.4,14.75,15.1,593018.2
2021-09-16,15.95,15.95,14.45,14.95,515168.2
2021-09-17,14.45,14.7,14.0,14.3,627715.2
2021-09-20,13.8,13.9,12.4,12.55,851819.0
2021-09-21,12.6,13.75,12.5,13.05,546477.0
2021-09-22,12.85,15.0,12.8005,14.75,825316.6
2021-09-23,15.25,15.25,14.25,14.9,750427.6
2021-09-24,15.25,15.4,13.0,14.5,820565.8
2021-09-27,13.8,14.8,13.8,14.25,592781.4
2021-09-28,14.15,14.2,13.15,13.55,654523.4
2021-09-29,13.45,14.4,12.75,13.05,531984.4
2021-09-30,13.85,13.85,12.775,13.45,662185.6
2021-10-01,13.35,14.65,13.35,14.0,1010737.8
2021-10-04,14.0,15.45,13.7,14.25,963979.6
2021-10-05,14.3,15.5,14.2095,15.4,1431920.6
2021-10-06,15.25,15.875,14.55,15.5,1386265.2
2021-10-07,15.6,15.8,14.6,14.95,583781.0
2021-10-08,14.85,15.35,14.4,14.7,564450.2
2021-10-11,14.8,15.75,14.55,15.25,830846.8
2021-10-12,15.55,15.7,14.25,14.75,971244.0
2021-10-13,14.5,14.7,13.95,14.55,664092.0
2021-10-14,14.65,15.0,14.15,14.4,647242.6
2021-10-15,14.45,17.0,14.45,16.5,2199665.6
2021-10-18,16.35,17.5,15.4,17.05,2561834.8
2021-10-19,17.05,18.4,16.25,18.4,2654004.0
2021-10-20,18.4,21.45,17.8,20.5,4112816.8
2021-10-21,19.9,21.05,18.6,18.65,3364909.4
2021-10-22,18.6,19.15,17.45,17.8,1963549.2
2021-10-25,18.05,19.9,18.05,19.9,2251003.2
2021-10-26,20.0,20.1,18.45,18.65,1728879.6
2021-10-27,19.4,19.4,17.0,17.6,1938435.2
2021-10-28,17.45,18.65,17.45,18.4,1729159.6
2021-10-29,18.45,19.85,17.7,18.5,3410656.2
2021-11-01,18.5,19.2,18.0,19.0,1900202.4
2021-11-02,18.9,21.8,18.9,21.7,5713993.4
2021-11-03,21.75,22.15,20.2,22.05,2936144.6
2021-11-04,22.05,23.15,21.15,21.9,2382138.4
2021-11-05,22.05,22.9,21.425,22.1,1749821.0
2021-11-08,23.0,26.95,23.0,26.95,3267698.2
2021-11-09,26.75,28.0,21.55,23.2,7782550.0
2021-11-10,22.7,24.75,20.0,20.7,3610514.4
2021-11-11,20.75,21.85,20.2,21.35,1977560.2
2021-11-12,21.25,22.0,20.35,21.55,2210201.2
2021-11-15,22.4,23.1,20.55,20.8,2057578.8
2021-11-16,20.4,21.5,19.25,20.35,2812089.6
2021-11-17,20.3,20.8495,19.55,20.7,1788202.6
2021-11-18,20.75,20.75,18.35,19.65,3087421.0
2021-11-19,18.55,21.4,18.55,21.35,2840945.2
2021-11-22,21.0,21.45,19.15,19.4,2280898.2
2021-11-23,19.25,20.476,18.55,20.15,1758916.2
2021-11-24,19.5,20.2495,18.906,20.1,1328406.0
2021-11-26,19.3,19.3,18.05,18.5005,1502742.8
2021-11-29,18.75,19.725,18.35,19.5,1818206.0
2021-11-30,19.25,20.25,17.8,19.3,2597618.8
2021-12-01,19.3,19.75,17.55,17.8,2381428.6
2021-12-02,17.9,18.05,16.05,17.0,2660005.4
2021-12-03,17.25,17.65,15.05,15.5,2430512.4
2021-12-06,15.4,16.15,13.5,16.0,2414107.2
2021-12-07,16.0,16.95,16.0,16.35,1267839.2
2021-12-08,16.3,16.9,15.5,16.45,1055207.4
2021-12-09,16.4,16.5,14.5,15.15,1844727.6
2021-12-10,14.65,15.65,14.25,14.3,1307323.4
2021-12-13,14.25,14.9,13.3,13.55,1450552.0
2021-12-14,13.5,14.35,13.15,14.0,1416499.4
2021-12-15,14.0,14.35,12.45,13.9,2647551.2
2021-12-16,14.4,14.95,13.0,13.25,1413573.2
2021-12-17,13.15,13.5,12.15,13.0,1835040.8
2021-12-20,13.45,13.45,12.2,12.75,1099005.6
2021-12-21,13.35,14.325,13.0,14.05,1679454.2
2021-12-22,14.2,14.55,13.85,14.0,1372599.8
2021-12-23,14.3,15.55,13.725,15.4,1739896.2
2021-12-27,15.25,15.8,15.0,15.2,978619.0
2021-12-28,15.2,15.25,13.8,13.9,1325515.6
2021-12-29,14.1,14.175,13.0,13.25,942598.4
2021-12-30,13.1,13.85,12.85,13.35,1126080.8
2021-12-31,13.2,13.9,13.1,13.5,1125311.4
2022-01-03,13.25,13.625,12.75,13.45,1303161.8
2022-01-04,13.45,13.8,12.9505,13.5,1241913.6
2022-01-05,13.3,13.6,11.95,12.35,1709441.0
2022-01-06,12.15,12.25,11.4,12.0,1849852.0
2022-01-07,11.75,12.1505,11.35,11.5995,1619219.8
2022-01-10,11.85,11.85,10.6505,11.5,1634823.4
2022-01-11,12.05,12.3,11.2065,12.25,1414747.4
2022-01-12,12.2,13.0595,12.2,12.75,1508854.6
2022-01-13,12.75,12.85,11.5,11.65,1315471.6
2022-01-14,11.55,12.25,11.2,12.15,1173440.0
2022-01-18,12.05,12.1,10.75,11.35,1688297.6
2022-01-19,11.3,11.4,10.35,10.6,1074778.0
2022-01-20,10.5,11.6,10.4,10.6,1533597.4
2022-01-21,10.45,10.55,9.0,9.2,2863216.8
2022-01-24,8.85,9.5,7.5,9.25,3863605.0
2022-01-25,9.3,9.535,8.8,9.05,1686591.8
2022-01-26,9.6,10.35,9.15,9.55,2574741.4
2022-01-27,9.25,9.7,8.5,8.9,1606876.0
2022-01-28,9.25,9.5,8.373,9.5,1927727.0
2022-01-31,9.45,10.35,9.15,10.1,2106677.6
2022-02-01,10.45,11.35,9.85,10.5,1724031.0
2022-02-02,10.55,10.55,9.65,9.7,1480502.4
2022-02-03,9.5,9.9,9.2,9.7,1079360.4
2022-02-04,9.95,10.6,9.3995,10.35,3760274.2
2022-02-07,10.45,11.45,10.1,10.4,4030786.8
2022-02-08,11.0,11.1,10.15,10.5995,2305624.0
2022-02-09,10.45,11.25,10.4,10.9,2090124.2
2022-02-10,11.0,12.05,10.5,10.8,2441894.0
2022-02-11,11.55,11.55,10.2,10.25,2174990.2
2022-02-14,10.15,10.8,9.8,10.2005,1751249.8
2022-02-15,11.25,11.9,10.35,11.1,2096151.0
2022-02-16,11.2,11.3,10.5505,10.6,1616949.0
2022-02-17,10.7,10.7,9.95,10.0,1613714.0
2022-02-18,10.05,10.4,9.5685,9.85,1927495.6
2022-02-22,9.7,9.75,8.8,9.5,1873857.2
2022-02-23,9.7,9.85,8.9,8.9,1695778.4
2022-02-24,8.75,9.7,7.9,9.6,2002508.4
2022-02-25,9.65,10.0,9.35,9.85,1505476.4
2022-02-28,9.65,10.8,9.05,10.8,1726936.6
2022-03-01,10.7,10.9,10.15,10.5,1923101.4
2022-03-02,10.8,10.85,10.11,10.45,1277866.0
2022-03-03,9.95,10.45,9.4,9.55,1556612.6
2022-03-04,9.45,9.45,8.718,9.0,1491000.0
2022-03-07,8.7,9.0,8.2,8.3,1782378.6
2022-03-08,8.3,8.9,8.2,8.6,1654640.0
2022-03-09,9.65,9.75,8.6,9.5,1599928.4
2022-03-10,9.6,9.6,8.65,9.25,1412875.6
2022-03-11,9.05,9.55,8.6,8.8995,1511527.2
2022-03-14,8.75,8.85,8.0,8.55,1605136.0
2022-03-15,8.0,8.7,7.9,8.55,1010997.4
2022-03-16,9.2,9.45,8.6,9.45,1263417.6
2022-03-17,9.3,9.75,9.05,9.25,1063220.2
2022-03-18,9.5,10.3,9.302,10.05,1577506.0
2022-03-21,9.9,10.1,9.45,9.75,1841620.4
2022-03-22,10.1,10.5,10.0,10.4,1949649.8
2022-03-23,10.4,10.5,9.75,10.25,1466732.2
2022-03-24,10.35,11.195,9.9055,11.1,1912521.0
2022-03-25,11.1,11.35,10.405,10.6,1657609.2
2022-03-28,11.05,11.7,10.95,11.4,2141814.8
2022-03-29,11.5,11.75,11.0,11.15,1660538.4
2022-03-30,11.15,11.45,10.8,11.2,1727885.0
2022-03-31,11.45,11.45,10.45,10.55,1265512.2
2022-04-01,10.55,10.925,10.4,10.65,1683037.8
2022-04-04,10.45,10.9,10.3005,10.6505,1262943.0
2022-04-05,10.75,11.0,10.05,10.1,1342785.0
2022-04-06,10.05,10.1,9.375,9.65,1565000.8
2022-04-07,9.7995,9.8,9.15,9.6,901813.2
2022-04-08,9.55,9.7495,9.15,9.25,870498.6
2022-04-11,8.95,9.25,8.75,8.75,1015296.8
2022-04-12,8.9,9.4,8.75,9.25,1128462.4
2022-04-13,8.85,9.5,8.8,9.5,865902.2
2022-04-14,9.4,9.5,8.75,8.9995,832446.2
2022-04-18,8.75,9.0,8.4,9.0,1190532.0
2022-04-19,8.95,9.25,8.681,8.8,950510.0
2022-04-20,8.95,9.35,8.765,8.85,799188.2
2022-04-21,9.2,9.3,8.4,8.6,1088905.2
2022-04-22,8.55,8.5995,7.95,8.1,1021477.0
2022-04-25,8.1,8.6,7.7,8.6,1320832.6
2022-04-26,8.45,8.9,7.7,7.75,1000237.8
2022-04-27,7.95,8.2,7.75,7.95,1360884.0
2022-04-28,8.15,8.4,7.55,7.95,1394592.6
2022-04-29,8.0,8.25,7.3,7.45,1582783.0
2022-05-02,7.4,7.7,7.175,7.65,1760208.4
2022-05-03,7.45,7.75,7.35,7.6,758446.6
2022-05-04,7.6,8.1,7.2,8.0495,1765988.8
2022-05-05,7.75,7.95,7.2,7.3,1253806.2
2022-05-06,7.35,7.35,6.8,7.1,1316865.0
2022-05-09,6.75,6.8,5.65,5.85,1680613.0
2022-05-10,6.1,6.5,5.8,6.15,1367283.8
2022-05-11,6.1,6.2,4.6,4.8,2477095.2
2022-05-12,4.75,4.8,3.901,4.55,1857418.0
2022-05-13,4.55,4.9495,4.355,4.7,1252713.2
2022-05-16,4.7,4.75,4.2265,4.35,879463.2
2022-05-17,4.475,4.8425,4.433,4.6625,477880.2
2022-05-18,4.64,4.6625,4.284,4.34,409204.6
2022-05-19,4.215,4.663,4.2,4.45,517577.6
2022-05-20,4.475,4.67,4.2,4.4845,512221.4
2022-05-23,4.516,4.6,4.1505,4.25,959559.2
2022-05-24,3.42,4.61,2.11,3.92,1863828.0
2022-05-25,3.8,3.97,3.47,3.67,1783650.0
2022-05-26,3.61,3.92,3.55,3.92,2402136.0
2022-05-27,3.79,4.02,3.77,3.98,1931700.0
2022-05-31,4.25,4.63,4.25,4.55,3485030.0
2022-06-01,4.5,4.56,3.9101,3.92,2401331.0
2022-06-02,4.15,4.34,3.93,4.25,1992905.0
2022-06-03,4.18,4.3,4.0,4.3,1594847.0
2022-06-06,4.29,4.46,4.05,4.16,1662428.0
2022-06-07,4.05,4.14,3.91,4.1399,2352589.0
2022-06-08,4.0001,4.17,3.871,3.95,1611367.0
2022-06-09,3.97,3.97,3.56,3.7,1748645.0
2022-06-10,3.65,3.72,3.325,3.48,1737190.0
2022-06-13,3.03,3.12,2.87,3.0,3494490.0
2022-06-14,2.87,3.145,2.8201,3.06,2633151.0
2022-06-15,3.0,3.2,2.87,3.1999,3417228.0
2022-06-16,3.09,3.09,2.822,2.84,2023411.0
2022-06-17,2.99,3.02,2.86,2.86,2036924.0
2022-06-21,2.92,3.28,2.92,3.15,2312166.0
2022-06-22,3.0,3.095,2.945,3.0,1353256.0
2022-06-23,3.08,3.24,2.98,3.23,1599920.0
2022-06-24,3.23,3.62,3.2299,3.6,2007728.0
2022-06-27,3.76,3.76,3.355,3.5,1450062.0
2022-06-28,3.563,3.6128,3.12,3.14,1565382.0
2022-06-29,3.14,3.19,2.995,3.14,1427769.0
2022-06-30,3.0,3.08,2.89,2.96,1841148.0
2022-07-01,2.95,3.25,2.945,3.25,992887.0
2022-07-05,3.11,3.4,2.87,3.33,2291642.0
2022-07-06,3.48,3.5,3.18,3.3,1171902.0
2022-07-07,3.28,3.65,3.24,3.65,2162059.0
2022-07-08,3.665,3.74,3.39,3.63,2649405.0
2022-07-11,3.61,3.61,3.24,3.24,1311121.0
2022-07-12,3.26,3.3,3.11,3.11,1189994.0
2022-07-13,3.2,3.27,3.01,3.11,1285344.0
2022-07-14,3.21,3.28,3.0498,3.18,1017724.0
2022-07-15,3.22,3.5826,3.22,3.53,1411480.0
2022-07-18,3.74,4.025,3.655,3.98,3299016.0
2022-07-19,3.88,4.3736,3.7237,4.04,2042840.0
2022-07-20,4.76,4.95,4.07,4.16,3422217.0
2022-07-21,4.12,4.45,4.11,4.41,1713901.0
2022-07-22,4.49,4.67,3.9,4.0,1991234.0
2022-07-25,3.85,3.97,3.5,3.75,1609157.0
2022-07-26,3.62,3.6962,3.38,3.41,1382546.0
2022-07-27,3.6,3.95,3.41,3.85,1729101.0
2022-07-28,3.92,4.27,3.715,4.16,2325419.0
2022-07-29,4.28,4.5511,4.01,4.5,5203225.0
2022-08-01,4.5,4.605,4.05,4.59,1752095.0
2022-08-02,4.4,5.0,4.29,4.8,2040251.0
2022-08-03,4.97,5.05,4.845,4.91,1407531.0
2022-08-04,4.93,5.26,4.86,5.0,1603880.0
