Date,Open,High,Low,Close,Volume
2004-12-16,2.9906,3.1808,2.9906,3.1508,28326461.0
2004-12-17,3.1188,3.1466,3.0675,3.1402,2233907.0
2004-12-20,3.1188,3.247,3.1188,3.1188,792068.0
2004-12-21,3.1188,3.3346,3.0761,3.3324,2151979.0
2004-12-22,3.279,3.4392,3.1829,3.4072,1426856.0
2004-12-23,3.4606,3.5994,3.4392,3.5247,2363585.0
2004-12-27,3.5717,3.5781,3.3645,3.4136,1643599.0
2004-12-28,3.4029,3.4691,3.3858,3.4136,731674.0
2004-12-29,3.4179,3.435,3.3217,3.3559,249506.0
2004-12-30,3.3645,3.373,3.2192,3.3645,1016300.0
2004-12-31,3.3858,3.5033,3.3645,3.4713,2015286.0
2005-01-03,3.4713,3.514,3.3324,3.4243,445649.0
2005-01-04,3.4926,3.4926,3.3751,3.4157,477016.0
2005-01-05,3.4499,3.4499,3.3217,3.3324,508386.0
2005-01-06,3.3111,3.3751,3.2897,3.3431,1309355.0
2005-01-07,3.4072,3.4072,3.3431,3.3431,283690.0
2005-01-10,3.3431,3.42,3.3431,3.4179,313649.0
2005-01-11,3.4285,3.4285,3.3858,3.3965,247640.0
2005-01-12,3.3965,3.4179,3.3324,3.3645,533670.0
2005-01-13,3.3965,3.435,3.3751,3.4093,745739.0
2005-01-14,3.4179,3.4392,3.3965,3.4179,250910.0
2005-01-18,3.4499,3.4606,3.4072,3.435,326285.0
2005-01-19,3.4606,3.5033,3.4499,3.4499,547710.0
2005-01-20,3.4819,3.4862,3.4392,3.4392,475145.0
2005-01-21,3.4713,3.4755,3.4179,3.4392,329552.0
2005-01-24,3.4649,3.4691,3.4285,3.4392,397432.0
2005-01-25,3.4606,3.4713,3.4285,3.4392,861360.0
2005-01-26,3.4392,3.452,3.3645,3.3751,2181489.0
2005-01-27,3.3965,3.4285,3.3538,3.3751,1753140.0
2005-01-28,3.3965,3.4157,3.2897,3.3751,3300306.0
2005-01-31,3.3965,3.4285,3.3794,3.4285,150268.0
2005-02-01,3.4285,3.4926,3.3751,3.4926,315983.0
2005-02-02,3.4926,3.4926,3.4392,3.4456,583753.0
2005-02-03,3.4392,3.4499,3.3858,3.4179,309431.0
2005-02-04,3.4179,3.4606,3.4072,3.4392,1403912.0
2005-02-07,3.4499,3.4819,3.4499,3.4819,141841.0
2005-02-08,3.4819,3.5567,3.4819,3.5524,216277.0
2005-02-09,3.5524,3.5567,3.4713,3.5119,74428.0
2005-02-10,3.5119,3.546,3.4969,3.5268,199420.0
2005-02-11,3.514,3.561,3.5033,3.5204,181627.0
2005-02-14,3.5204,3.5204,3.3965,3.3965,428801.0
2005-02-15,3.4072,3.4392,3.2683,3.388,363263.0
2005-02-16,3.3751,3.4179,3.3581,3.4179,653501.0
2005-02-17,3.4285,3.5247,3.4179,3.5247,183034.0
2005-02-18,3.514,3.5674,3.5033,3.5247,249978.0
2005-02-22,3.546,3.5674,3.4948,3.5033,330028.0
2005-02-23,3.5033,3.5033,3.4606,3.4713,215331.0
2005-02-24,3.4691,3.4691,3.3986,3.4072,249510.0
2005-02-25,3.4072,3.4115,3.3645,3.3666,255583.0
2005-02-28,3.3645,3.3794,3.3452,3.3709,159159.0
2005-03-01,3.3602,3.388,3.3324,3.388,296786.0
2005-03-02,3.3858,3.3858,3.3538,3.3858,119367.0
2005-03-03,3.3858,3.3901,3.3538,3.3751,259809.0
2005-03-04,3.3858,3.42,3.3751,3.3965,270095.0
2005-03-07,3.3965,3.4499,3.3645,3.4179,933911.0
2005-03-08,3.4179,3.4285,3.4072,3.4179,1065917.0
2005-03-09,3.4179,3.4798,3.3965,3.4499,651626.0
2005-03-10,3.4499,3.4499,3.4136,3.4157,742917.0
2005-03-11,3.4179,3.4499,3.4179,3.4499,455014.0
2005-03-14,3.4499,3.4798,3.4499,3.4499,956847.0
2005-03-15,3.4499,3.4606,3.4179,3.4179,465789.0
2005-03-16,3.4179,3.4285,3.3944,3.4157,682049.0
2005-03-17,3.4179,3.4392,3.4157,3.4179,838413.0
2005-03-18,3.4392,3.4392,3.4179,3.4307,1101028.0
2005-03-21,3.4499,3.4499,3.4179,3.4285,98305.0
2005-03-22,3.4285,3.435,3.4243,3.4243,108602.0
2005-03-23,3.435,3.435,3.3794,3.3965,147918.0
2005-03-24,3.3858,3.4179,3.3538,3.4179,188188.0
2005-03-28,3.4179,3.4179,3.3623,3.3645,154951.0
2005-03-29,3.3645,3.3645,3.3111,3.3431,290234.0
2005-03-30,3.3324,3.3324,3.2683,3.2897,290235.0
2005-03-31,3.2897,3.2961,3.2256,3.2555,311769.0
2005-04-01,3.2256,3.2918,3.2256,3.247,76303.0
2005-04-04,3.2683,3.2876,3.2342,3.2427,64130.0
2005-04-05,3.2427,3.2427,3.1295,3.1615,359057.0
2005-04-06,3.1615,3.1743,3.1508,3.1615,481701.0
2005-04-07,3.1722,3.1722,3.1615,3.1615,30427.0
2005-04-08,3.1615,3.2021,3.1615,3.1615,28553.0
2005-04-11,3.1872,3.2149,3.1615,3.1893,443311.0
2005-04-12,3.1829,3.1829,3.153,3.153,224696.0
2005-04-13,3.153,3.1679,3.1273,3.1273,70218.0
2005-04-14,3.1273,3.1402,3.1017,3.1295,39322.0
2005-04-15,3.1103,3.1402,3.1081,3.1295,74899.0
2005-04-18,3.1295,3.1615,3.1188,3.1295,832798.0
2005-04-19,3.1188,3.2042,3.1188,3.2042,2424902.0
2005-04-20,3.2128,3.2448,3.2042,3.2427,2284461.0
2005-04-21,3.2256,3.2683,3.2256,3.2577,163842.0
2005-04-22,3.279,3.279,3.2064,3.247,200824.0
2005-04-25,3.247,3.247,3.2256,3.2342,24811.0
2005-04-26,3.2256,3.2299,3.1508,3.1701,47744.0
2005-04-27,3.1722,3.2042,3.1722,3.2042,60387.0
2005-04-28,3.2042,3.2149,3.1829,3.1829,35109.0
2005-04-29,3.1936,3.2577,3.1936,3.2256,271977.0
2005-05-02,3.2363,3.2363,3.1722,3.1722,84729.0
2005-05-03,3.3111,3.4285,3.3111,3.3794,1158613.0
2005-05-04,3.4008,3.4157,3.3645,3.4136,471403.0
2005-05-05,3.4157,3.4926,3.3986,3.4862,303344.0
2005-05-06,3.4819,3.4948,3.4179,3.4285,419906.0
2005-05-09,3.4285,3.4435,3.4179,3.4179,401649.0
2005-05-10,3.4499,3.467,3.4179,3.4243,317855.0
2005-05-11,3.4499,3.5204,3.4285,3.5204,371223.0
2005-05-12,3.5247,3.5653,3.514,3.5354,246700.0
2005-05-13,3.514,3.6422,3.514,3.561,399312.0
2005-05-16,3.561,3.7062,3.561,3.6208,1270966.0
2005-05-17,3.6528,3.8237,3.6293,3.781,1312626.0
2005-05-18,3.8451,3.8793,3.7831,3.8643,463437.0
2005-05-19,3.8643,3.8665,3.8109,3.8408,683465.0
2005-05-20,3.8451,3.8878,3.7917,3.8878,360454.0
2005-05-23,3.8771,4.0053,3.8494,3.8665,397429.0
2005-05-24,3.8665,3.8878,3.8024,3.8344,2394472.0
2005-05-25,3.8451,3.8451,3.781,3.8131,912377.0
2005-05-26,3.8131,3.8665,3.8024,3.8024,799553.0
2005-05-27,3.8344,3.9305,3.8344,3.8964,824364.0
2005-05-31,3.8985,3.8985,3.8344,3.8729,965750.0
2005-06-01,3.8729,3.9199,3.7383,3.7746,541619.0
2005-06-02,3.8045,3.8451,3.7938,3.8451,288834.0
2005-06-03,3.8344,3.8643,3.8109,3.8109,199880.0
2005-06-06,3.781,3.8536,3.781,3.8536,208781.0
2005-06-07,3.8665,3.9391,3.8558,3.8878,596856.0
2005-06-08,3.8665,3.8771,3.8237,3.8301,211588.0
2005-06-09,3.8344,3.8451,3.796,3.796,93624.0
2005-06-10,3.8066,3.8451,3.781,3.796,144183.0
2005-06-13,3.8109,3.8237,3.7789,3.7981,214864.0
2005-06-14,3.8131,3.8964,3.796,3.8579,520084.0
2005-06-15,3.8793,4.0309,3.8494,3.9626,1358029.0
2005-06-16,4.016,4.016,3.9626,3.9946,1213851.0
2005-06-17,4.0053,4.1933,4.0053,4.1783,1745179.0
2005-06-20,4.1741,4.4859,4.1335,4.4191,1464301.0
2005-06-21,4.3898,4.4646,4.3791,4.4325,480294.0
2005-06-22,4.4432,4.4539,4.3492,4.3791,482633.0
2005-06-23,4.4219,4.4368,4.3578,4.3685,552858.0
2005-06-24,4.3685,4.5137,4.3685,4.4454,1526097.0
2005-06-27,4.4539,4.4624,4.4304,4.4325,1635165.0
2005-06-28,4.4112,4.4731,4.4112,4.456,207845.0
2005-06-29,4.4859,4.6697,4.4795,4.5714,2836852.0
2005-06-30,4.5757,4.6248,4.5757,4.6095,607159.0
2005-07-01,4.6248,4.6568,4.5607,4.5714,1095414.0
2005-07-05,4.5842,4.5906,4.5607,4.5842,218613.0
2005-07-06,4.5906,4.5906,4.5287,4.5329,597788.0
2005-07-07,4.5394,4.6163,4.5351,4.612,1076685.0
2005-07-08,4.612,4.6376,4.4859,4.6376,1612685.0
2005-07-11,4.7038,4.8384,4.7038,4.7914,3593348.0
2005-07-12,4.8064,4.8171,4.7743,4.785,980722.0
2005-07-13,4.7871,4.8213,4.7743,4.7786,205500.0
2005-07-14,4.7914,4.9559,4.7807,4.8491,2296156.0
2005-07-15,4.8918,5.1482,4.8811,5.0499,1443706.0
2005-07-18,5.1268,5.1311,4.9773,4.9986,1086987.0
2005-07-19,5.0478,5.1247,4.9879,4.9879,773341.0
2005-07-20,5.0093,5.0307,4.9879,5.02,861347.0
2005-07-21,5.02,5.1183,5.0029,5.099,1679174.0
2005-07-22,5.1268,5.1567,5.1161,5.1268,1117414.0
2005-07-25,5.1588,5.2956,5.1588,5.1887,1522816.0
2005-07-26,5.2422,5.2763,5.2058,5.2229,582795.0
2005-07-27,5.2336,5.2336,5.1588,5.1909,866499.0
2005-07-28,5.1909,5.2229,5.0307,5.0584,1584133.0
2005-07-29,5.0734,5.0734,4.8171,4.911,2628067.0
2005-08-01,4.9132,5.3404,4.8662,5.3404,978850.0
2005-08-02,5.3404,6.0988,5.3404,6.0347,12236410.0
2005-08-03,6.0667,6.0881,5.8467,5.9321,2058364.0
2005-08-04,5.8745,6.0112,5.8745,5.9684,1970813.0
2005-08-05,6.0026,6.056,5.8638,5.8745,1058427.0
2005-08-08,5.8745,5.9172,5.7142,5.8104,547708.0
2005-08-09,5.8638,5.8638,5.6801,5.7078,1249428.0
2005-08-10,5.6822,5.7548,5.6715,5.7036,802369.0
2005-08-11,5.7249,5.977,5.7142,5.915,1851442.0
2005-08-12,5.9279,6.0453,5.8424,5.8638,1475068.0
2005-08-15,5.9385,6.0774,5.9215,6.0069,1119284.0
2005-08-16,5.9962,6.0731,5.9813,5.9813,535529.0
2005-08-17,5.9749,6.0838,5.9599,6.0453,431598.0
2005-08-18,6.0347,6.2248,5.9984,6.1628,456421.0
2005-08-19,6.1628,6.5025,6.1607,6.3594,966211.0
2005-08-22,6.3765,6.3957,6.3231,6.3465,545369.0
2005-08-23,6.3658,6.3871,6.1308,6.1757,460163.0
2005-08-24,6.1778,6.1949,6.1308,6.1415,462035.0
2005-08-25,6.1842,6.2034,6.0389,6.1265,381044.0
2005-08-26,6.1415,6.2248,6.1265,6.2056,214863.0
2005-08-29,6.212,6.2803,6.1842,6.1906,342189.0
2005-08-30,6.1949,6.1949,6.1308,6.1586,889443.0
2005-08-31,6.1949,6.3765,6.1522,6.3231,1179204.0
2005-09-01,6.3017,6.4726,6.2974,6.4448,618847.0
2005-09-02,6.4512,6.4512,6.3209,6.4128,657248.0
2005-09-06,6.4085,6.4341,6.3807,6.385,359038.0
2005-09-07,6.3679,6.3871,6.2483,6.2739,451270.0
2005-09-08,6.2376,6.2376,6.0988,6.1543,871643.0
2005-09-09,6.1757,6.3273,6.1757,6.3017,272912.0
2005-09-12,6.3017,6.3166,6.2483,6.2996,93621.0
2005-09-13,6.2867,6.3124,6.259,6.259,155877.0
2005-09-14,6.2803,6.2996,6.0389,6.0881,462972.0
2005-09-15,6.0902,6.1607,6.024,6.0453,1099157.0
2005-09-16,6.0667,6.2376,6.0667,6.197,365134.0
2005-09-19,6.2227,6.3423,6.2227,6.291,181155.0
2005-09-20,6.3081,6.3978,6.2483,6.2739,407266.0
2005-09-21,6.3166,6.3166,5.6608,5.8958,2078481.0
2005-09-22,5.9385,6.0005,5.9108,5.9813,1141299.0
2005-09-23,5.9813,6.009,5.8958,6.009,277124.0
2005-09-26,6.0304,6.353,6.0304,6.3231,703587.0
2005-09-27,6.3337,6.3337,6.197,6.2419,311760.0
2005-09-28,6.1415,6.3231,6.1415,6.3017,505106.0
2005-09-29,6.3017,6.338,6.2974,6.338,373554.0
2005-09-30,6.3487,6.5153,6.2867,6.4384,455950.0
2005-10-03,6.4811,6.5046,6.1415,6.1757,1073881.0
2005-10-04,6.1799,6.2675,6.0881,6.0881,530382.0
2005-10-05,6.0881,6.15,6.056,6.1244,594049.0
2005-10-06,6.1415,6.1692,6.0283,6.0325,264953.0
2005-10-07,6.1735,6.1778,6.0988,6.1094,223763.0
2005-10-10,6.1415,6.1543,6.1265,6.1308,310829.0
2005-10-11,6.1308,6.1329,6.0368,6.0475,124517.0
2005-10-12,6.0347,6.0347,5.3938,5.428,1432468.0
2005-10-13,5.4301,5.8146,5.4301,5.8125,1340243.0
2005-10-14,5.8552,5.9599,5.8317,5.9279,373556.0
2005-10-17,5.9492,6.056,5.9385,6.0048,166178.0
2005-10-18,6.0048,6.0048,5.8745,5.8915,392756.0
2005-10-19,5.9343,5.9343,5.8531,5.8937,222359.0
2005-10-20,5.8937,5.9599,5.8937,5.9599,130130.0
2005-10-21,5.9279,5.9599,5.8638,5.9108,268697.0
2005-10-24,5.915,6.0112,5.8958,5.9813,264486.0
2005-10-25,6.0026,6.0304,5.8894,5.9172,205499.0
2005-10-26,5.9385,5.9385,5.8531,5.8745,148391.0
2005-10-27,5.8745,5.9065,5.7676,5.8189,188649.0
2005-10-28,5.8296,5.8445,5.7506,5.8339,171325.0
2005-10-31,5.8339,5.8381,5.7249,5.7463,1052349.0
2005-11-01,5.7676,5.789,5.7313,5.7506,253716.0
2005-11-02,5.7783,5.8275,5.7612,5.8104,1218535.0
2005-11-03,5.8424,6.2931,5.8232,6.2632,973705.0
2005-11-04,6.3487,6.8357,6.3124,6.5345,2407580.0
2005-11-07,6.5303,6.793,6.4064,6.793,1468516.0
2005-11-08,6.9425,7.2096,6.5174,6.6136,4164936.0
2005-11-09,6.6136,6.7161,6.2269,6.6221,2314882.0
2005-11-10,6.5943,6.62,6.4512,6.5153,690481.0
2005-11-11,6.5046,6.5046,6.3658,6.4405,407266.0
2005-11-14,6.4619,6.4619,6.2483,6.2696,473733.0
2005-11-15,6.0881,6.1287,5.9385,6.024,1352410.0
2005-11-16,6.0774,6.1735,5.9919,6.103,492000.0
2005-11-17,6.0817,6.2162,6.0283,6.1543,314110.0
2005-11-18,6.1949,6.2098,6.1415,6.1949,154943.0
2005-11-21,6.1949,6.2269,6.1415,6.2162,170863.0
2005-11-22,6.2269,6.2803,6.1847,6.2419,880084.0
2005-11-23,6.2162,6.3337,6.2162,6.3337,255597.0
2005-11-25,6.3658,6.5473,6.3658,6.4598,573923.0
2005-11-28,6.4512,6.4833,6.3124,6.3743,383403.0
2005-11-29,6.3765,6.3765,6.1735,6.1949,1280329.0
2005-11-30,6.1778,6.1842,6.1308,6.1842,626819.0
2005-12-01,6.1842,6.2718,6.1308,6.2526,1269091.0
2005-12-02,6.259,6.4277,6.2504,6.291,807980.0
2005-12-05,6.3017,6.3102,6.2376,6.2739,261675.0
2005-12-06,6.2953,6.2953,6.2248,6.2654,710613.0
2005-12-07,6.2718,6.464,6.2632,6.464,567837.0
2005-12-08,6.464,6.872,6.3871,6.8379,1382373.0
2005-12-09,6.6862,6.9425,6.6862,6.7631,1115080.0
2005-12-12,6.7268,6.825,6.4833,6.8165,1632365.0
2005-12-13,6.7909,6.793,6.511,6.5367,4232808.0
2005-12-14,6.5153,6.8785,6.5153,6.7994,19376777.0
2005-12-15,6.7396,6.7417,6.6221,6.6862,2111269.0
2005-12-16,6.6755,6.6755,6.6221,6.6221,944677.0
2005-12-19,6.5901,6.7246,6.526,6.6862,1047206.0
2005-12-20,6.6221,6.7951,6.5367,6.652,981660.0
2005-12-21,6.6734,6.7375,6.5687,6.7332,714355.0
2005-12-22,6.6862,6.8613,6.6349,6.8464,1601925.0
2005-12-23,6.8336,6.9404,6.7012,6.9169,584214.0
2005-12-27,6.9062,6.9062,6.7289,6.8464,808446.0
2005-12-28,6.8357,6.8357,6.7118,6.7823,627292.0
2005-12-29,6.761,6.9682,6.761,6.9361,513998.0
2005-12-30,6.9383,6.9639,6.7546,6.9468,1438079.0
2006-01-03,6.9895,7.1348,6.902,7.0857,949825.0
2006-01-04,7.075,7.1497,7.0216,7.1412,2364042.0
2006-01-05,7.1412,7.154,7.0493,7.075,599204.0
2006-01-06,7.0814,7.1562,7.0045,7.1455,619792.0
2006-01-09,6.9425,7.2843,6.9425,7.2352,970427.0
2006-01-10,7.2032,7.2843,7.1925,7.2181,551445.0
2006-01-11,7.2096,7.2181,6.9212,7.0387,1039706.0
2006-01-12,7.0344,7.0344,6.8357,6.8806,685322.0
2006-01-13,6.8699,6.8699,6.7716,6.8037,1067332.0
2006-01-17,6.8571,7.0387,6.8357,6.9853,1191380.0
2006-01-18,6.9746,7.0002,6.8357,6.8998,1315901.0
2006-01-19,6.8998,6.9105,6.793,6.8144,605755.0
2006-01-20,6.8464,7.0066,6.8464,7.0066,631024.0
2006-01-23,7.028,7.1134,6.9746,7.0664,411470.0
2006-01-24,7.0664,7.1241,7.0066,7.06,667537.0
2006-01-25,7.0472,7.0493,6.2825,6.5794,5693847.0
2006-01-26,6.6221,6.8037,6.5687,6.7289,1394083.0
2006-01-27,6.7823,6.8891,6.7567,6.8614,1681505.0
2006-01-30,7.0899,7.2501,7.06,7.2501,2345799.0
2006-01-31,7.2416,7.4723,7.2416,7.3911,2372002.0
2006-02-01,7.4339,7.5086,7.4125,7.4766,814533.0
2006-02-02,7.4787,7.515,7.2416,7.2523,1020040.0
2006-02-03,7.2309,7.389,7.2181,7.3805,332355.0
2006-02-06,7.3698,7.3805,7.2373,7.2523,424581.0
2006-02-07,7.295,7.5941,7.295,7.5919,1820073.0
2006-02-08,7.5385,7.562,7.2822,7.4125,803771.0
2006-02-09,7.4339,7.4958,7.4125,7.4339,470457.0
2006-02-10,7.4339,7.4659,7.263,7.3676,369810.0
2006-02-13,7.3463,7.3463,7.2181,7.2843,361382.0
2006-02-14,7.2736,7.5086,7.2202,7.4766,1098682.0
2006-02-15,7.4766,7.5662,7.4445,7.5086,717165.0
2006-02-16,7.5086,7.5535,7.4659,7.5492,482165.0
2006-02-17,7.562,7.562,7.4339,7.4424,621674.0
2006-02-21,7.4616,7.5941,7.154,7.154,1144566.0
2006-02-22,7.5257,7.5257,6.2974,6.5046,10886795.0
2006-02-23,6.558,6.6862,6.5473,6.6435,2696416.0
2006-02-24,6.6435,6.6734,6.5943,6.6221,1074341.0
2006-02-27,6.6221,6.6542,6.5751,6.6114,1055152.0
2006-02-28,6.6969,6.7204,6.605,6.62,983995.0
2006-03-01,6.6221,6.8208,6.6221,6.7994,687671.0
2006-03-02,6.7353,6.855,6.7182,6.8357,909569.0
2006-03-03,6.8357,6.9319,6.825,6.8998,937175.0
2006-03-06,6.9212,6.9212,6.8571,6.8913,641326.0
2006-03-07,6.8379,6.8379,6.7289,6.761,744316.0
2006-03-08,6.7353,6.9319,6.6969,6.8998,930157.0
2006-03-09,6.9319,6.9554,6.9084,6.9276,853856.0
2006-03-10,6.9425,7.0493,6.8785,7.0472,1224613.0
2006-03-13,7.028,7.2202,7.028,7.1711,393690.0
2006-03-14,7.1775,7.3505,7.1519,7.3505,895518.0
2006-03-15,7.3505,7.4445,7.3505,7.3954,2500271.0
2006-03-16,7.4509,7.4531,7.3997,7.4296,1505957.0
2006-03-17,7.4296,7.4424,7.3527,7.3869,2336895.0
2006-03-20,7.3634,7.389,7.1562,7.2437,972763.0
2006-03-21,7.2117,7.2309,7.0921,7.1455,444242.0
2006-03-22,7.0493,7.1028,7.0323,7.0664,429717.0
2006-03-23,7.0707,7.0899,6.9853,7.0045,441440.0
2006-03-24,7.0408,7.0707,6.9447,7.0493,437698.0
2006-03-27,7.0707,7.1925,7.0493,7.1348,875391.0
2006-03-28,7.1028,7.1562,7.1028,7.1562,416621.0
2006-03-29,7.1775,7.2523,7.1626,7.2032,727453.0
2006-03-30,7.2566,7.2886,7.1903,7.2309,822025.0
2006-03-31,7.1989,7.2907,7.1562,7.2138,667076.0
2006-04-03,7.2416,7.2779,7.2181,7.2758,458288.0
2006-04-04,7.2416,7.3121,7.2416,7.295,519148.0
2006-04-05,7.3057,7.3313,7.263,7.2651,409607.0
2006-04-06,7.295,7.3249,7.216,7.2566,824363.0
2006-04-07,7.2715,7.2907,7.2053,7.2245,228439.0
2006-04-10,7.2459,7.2736,7.2181,7.2501,178349.0
2006-04-11,7.2736,7.2736,7.1348,7.1754,506031.0
2006-04-12,7.1668,7.216,7.1348,7.1882,195198.0
2006-04-13,7.1562,7.295,7.1284,7.2672,737757.0
2006-04-17,7.3057,7.3356,7.2074,7.2437,793469.0
2006-04-18,7.2416,7.263,7.2032,7.2416,294443.0
2006-04-19,7.2416,7.2886,7.1092,7.1647,433946.0
2006-04-20,7.1562,7.1668,7.0985,7.1519,1120228.0
2006-04-21,7.2053,7.2373,7.1562,7.1882,527574.0
2006-04-24,7.1562,7.295,7.0301,7.295,875860.0
2006-04-25,7.3698,7.577,7.3698,7.5407,3363033.0
2006-04-26,7.5941,7.8055,7.5193,7.797,4318951.0
2006-04-27,7.7756,7.7778,7.5086,7.6368,1499398.0
2006-04-28,7.6389,7.6795,7.4232,7.4339,1314973.0
2006-05-01,7.4339,7.5385,7.3698,7.3911,2080365.0
2006-05-02,7.4445,7.4702,7.2758,7.3036,1347734.0
2006-05-03,7.327,7.4766,7.2544,7.4766,1790120.0
