Date,Open,High,Low,Close,Volume
2022-04-29,18.76,20.565,17.0,19.02,1960795
2022-05-02,19.09,20.95,17.66,20.06,243733
2022-05-03,18.155,20.74,18.155,20.18,172512
2022-05-04,20.49,20.65,18.507,19.68,155870
2022-05-05,19.99,20.59,17.01,17.76,103701
2022-05-06,18.64,18.64,13.22,15.46,102603
2022-05-09,15.0,15.87,10.85,11.94,174793
2022-05-10,12.5,14.09,11.645,13.14,37973
2022-05-11,13.25,14.5,11.705,13.43,97559
2022-05-12,13.2,14.58,12.26,13.0,108722
2022-05-13,13.16,14.98,11.58,14.62,60330
2022-05-16,15.36,16.05,12.0,14.15,178473
2022-05-17,14.4,17.68,13.18,15.65,193962
2022-05-18,15.75,15.875,11.63,12.89,158548
2022-05-19,13.53,13.905,11.0,11.29,118703
2022-05-20,10.53,13.52,9.84,10.17,116000
2022-05-23,10.18,10.49,9.0,9.5,185810
2022-05-24,9.77,10.9,8.92,10.11,196626
2022-05-25,10.0,10.01,8.82,9.67,196635
2022-05-26,9.81,10.6,9.75,9.91,119834
2022-05-27,10.25,10.84,9.42,9.58,76853
2022-05-31,9.5,10.02,9.4,9.88,45578
2022-06-01,9.85,10.15,9.41,10.05,65674
2022-06-02,9.89,11.5,9.5,10.87,88094
2022-06-03,10.79,10.8235,9.45,9.86,145093
2022-06-06,10.04,11.3,8.88,10.11,224981
2022-06-07,10.05,10.19,8.625,8.95,217037
2022-06-08,9.0,9.52,8.51,9.24,133279
2022-06-09,8.88,9.415,8.71,8.95,121275
2022-06-10,8.88,9.07,8.675,9.0,102095
2022-06-13,8.95,9.12,8.5601,8.75,99389
2022-06-14,8.88,9.65,7.9,8.7,77364
2022-06-15,8.82,9.675,8.81,9.51,136735
2022-06-16,9.19,10.06,9.12,9.66,181979
2022-06-17,9.78,10.435,8.76,9.14,614855
2022-06-21,9.55,9.56,8.9475,9.2,210233
2022-06-22,9.02,9.9,8.615,9.68,309988
2022-06-23,9.83,12.13,9.66,11.9,160435
2022-06-24,11.94,14.5499,11.94,13.94,1370889
2022-06-27,14.36,14.76,11.02,11.15,172922
2022-06-28,11.48,11.48,9.99,10.08,114664
2022-06-29,10.0,10.29,9.96,10.12,94049
2022-06-30,9.59,11.58,9.59,10.93,130320
2022-07-01,10.77,11.25,9.98,9.98,60573
2022-07-05,10.5,11.91,10.0,11.85,80721
2022-07-06,11.71,13.13,11.26,13.01,28589
2022-07-07,13.06,13.2,12.51,13.09,36078
2022-07-08,13.11,13.94,12.585,13.8,48014
2022-07-11,13.76,14.37,13.565,14.17,21653
2022-07-12,14.33,14.7646,12.54,13.17,43021
2022-07-13,12.78,13.75,12.78,13.67,52956
2022-07-14,13.61,13.61,12.55,13.14,30137
2022-07-15,13.66,13.66,12.4918,13.22,37457
2022-07-18,13.17,13.92,12.5,13.29,34209
2022-07-19,13.61,13.61,12.07,12.37,39044
2022-07-20,12.55,12.96,12.14,12.59,15392
2022-07-21,12.79,12.79,11.89,12.36,12703
2022-07-22,12.35,13.56,12.08,13.49,81216
2022-07-25,13.41,13.76,12.07,13.51,14673
2022-07-26,13.27,13.63,12.81,13.21,52596
2022-07-27,13.15,13.71,13.03,13.49,55068
2022-07-28,13.31,14.25,13.305,14.13,104417
2022-07-29,13.9,14.31,13.195,13.52,63973
2022-08-01,13.56,13.76,11.12,11.37,70692
2022-08-02,11.93,12.005,11.05,11.73,64925
2022-08-03,11.75,11.75,10.88,11.06,41236
2022-08-04,11.53,12.18,10.96,12.07,24480
2022-08-05,11.7167,12.75,11.705,12.68,13129
2022-08-08,12.1401,13.44,12.1401,13.32,18019
2022-08-09,13.33,13.7,12.69,13.17,11663
2022-08-10,13.42,13.52,12.74,12.95,12985
2022-08-11,12.61,13.2,12.03,12.31,11501
2022-08-12,12.25,12.6233,11.56,12.06,17236
2022-08-15,12.19,12.39,11.68,12.35,11170
2022-08-16,12.48,13.51,12.31,12.97,39515
2022-08-17,12.97,13.27,12.765,13.07,5879
2022-08-18,13.18,13.3,12.22,13.22,19788
2022-08-19,12.89,13.39,12.27,12.38,19910
2022-08-22,12.35,12.96,10.54,10.89,9274
2022-08-23,11.03,11.4,10.61,11.12,21438
2022-08-24,10.95,11.5077,10.78,11.04,6003
2022-08-25,10.98,11.5099,10.8,11.29,22643
2022-08-26,11.18,11.46,10.8,11.02,27366
2022-08-29,10.8,11.72,10.8,11.47,14733
2022-08-30,11.36,11.895,10.9,11.25,23451
2022-08-31,11.28,12.043,11.28,11.91,20884
2022-09-01,12.01,13.535,11.75,13.25,59280
2022-09-02,13.5,13.9,13.37,13.66,27636
2022-09-06,13.83,17.884,13.83,16.0,346109
2022-09-07,16.06,17.33,16.01,16.72,34871
2022-09-08,16.62,17.2,16.29,17.11,19900
2022-09-09,16.63,19.89,16.63,19.04,20375
2022-09-12,19.7,19.98,18.5,19.58,23935
2022-09-13,20.0,22.88,18.78,22.46,71289
2022-09-14,21.78,24.42,21.44,21.62,46004
2022-09-15,21.26,22.26,20.71,21.05,50989
2022-09-16,21.33,22.63,18.8311,21.75,200144
2022-09-19,21.93,21.93,20.14,20.62,61226
2022-09-20,20.01,20.745,19.99,20.29,32874
2022-09-21,19.97,20.62,19.36,19.97,23716
2022-09-22,19.57,19.8,16.7294,17.18,25212
2022-09-23,16.86,17.33,16.27,17.11,19384
2022-09-26,17.33,19.5499,17.07,18.76,25284
2022-09-27,19.06,20.01,18.11,19.1,51699
2022-09-28,19.48,20.65,19.13,20.09,36625
2022-09-29,20.03,20.03,19.04,19.24,13689
2022-09-30,19.59,20.57,15.55,17.38,183263
2022-10-03,17.1,19.7,17.1,18.33,35290
2022-10-04,18.27,20.1,17.31,18.98,62827
2022-10-05,18.56,18.9975,16.995,18.8,43437
2022-10-06,18.94,19.35,17.85,18.83,37302
2022-10-07,18.64,18.64,15.71,16.1,59310
2022-10-10,15.76,17.87,15.1501,17.41,54672
2022-10-11,17.37,17.9,15.42,15.56,66842
2022-10-12,16.65,16.825,15.1,16.56,69941
2022-10-13,15.62,18.4,15.335,17.03,39358
2022-10-14,17.31,17.35,16.53,16.66,22668
2022-10-17,17.34,17.56,15.6,16.58,32400
2022-10-18,17.32,18.57,16.6,18.51,16019
2022-10-19,18.21,18.69,17.355,17.72,16633
2022-10-20,17.79,18.48,15.92,15.97,20860
2022-10-21,16.41,18.5075,16.01,16.96,48422
2022-10-24,16.65,17.81,16.5,17.4,19934
2022-10-25,17.49,22.02,17.29,21.23,81943
2022-10-26,21.23,22.29,20.6,21.045,42500
2022-10-27,21.16,21.68,20.55,21.02,175537
2022-10-28,20.85,22.27,20.45,21.35,164458
2022-10-31,21.35,21.9062,21.0,21.38,53735
2022-11-01,21.65,23.1,21.11,21.46,101155
2022-11-02,21.38,22.45,20.63,21.23,47230
2022-11-03,21.08,21.99,21.03,21.17,46439
2022-11-04,21.59,21.59,20.12,21.1,34239
2022-11-07,21.45,22.12,20.72,21.24,50237
2022-11-08,20.97,21.53,20.5248,21.11,39403
2022-11-09,20.92,21.48,20.7,20.94,81051
2022-11-10,21.25,21.8625,20.39,20.82,224818
2022-11-11,22.68,22.68,18.76,19.23,111728
2022-11-14,18.59,19.53,17.31,19.16,49754
2022-11-15,19.88,21.66,19.67,21.04,85390
2022-11-16,20.81,21.76,20.4001,21.0,58606
2022-11-17,20.73,21.5899,20.66,21.16,122099
2022-11-18,21.84,21.84,20.52,20.72,50579
2022-11-21,20.88,21.575,17.38,18.75,78359
2022-11-22,18.46,21.17,18.46,21.02,40043
2022-11-23,20.69,21.28,20.2201,21.15,37492
2022-11-25,21.78,22.21,21.18,21.37,51225
2022-11-28,21.09,21.5,18.89,19.03,76394
2022-11-29,18.85,19.22,18.85,19.07,46731
2022-11-30,18.85,20.28,18.0,20.0,221713
2022-12-01,19.74,20.965,19.58,20.08,72657
2022-12-02,20.095,20.61,18.86,19.05,35365
2022-12-05,18.23,19.05,17.34,17.5,39681
2022-12-06,17.5,17.83,16.0,16.1,33222
2022-12-07,15.86,16.32,15.7,16.09,56043
2022-12-08,16.19,16.53,16.06,16.3,15401
2022-12-09,16.06,16.11,15.05,15.14,19408
2022-12-12,15.34,15.34,14.06,14.33,36625
2022-12-13,14.57,15.605,13.95,14.23,94452
2022-12-14,14.3,14.585,13.76,13.92,66528
2022-12-15,13.62,14.14,13.14,13.52,135113
2022-12-16,13.33,14.275,13.205,13.75,843605
2022-12-19,13.74,14.06,13.2,13.8,144819
2022-12-20,13.61,14.58,13.41,14.02,28938
2022-12-21,14.37,14.46,13.79,14.33,23482
2022-12-22,14.08,14.49,14.0,14.35,40029
2022-12-23,14.2,14.2,14.0,14.08,45666
2022-12-27,14.22,14.63,14.15,14.52,26473
2022-12-28,14.52,14.71,14.4,14.6,34692
2022-12-29,14.83,16.36,14.83,15.7,26133
2022-12-30,15.61,17.17,15.61,16.73,101213
2023-01-03,16.99,17.09,14.74,15.1,41031
2023-01-04,14.88,15.31,14.6,14.85,71081
2023-01-05,14.61,15.64,14.5,14.73,20899
2023-01-06,14.86,15.65,14.57,15.13,15770
2023-01-09,15.27,15.91,14.78,14.92,15457
2023-01-10,14.75,15.13,14.62,15.04,13798
2023-01-11,15.1,15.36,14.67,15.3,22132
2023-01-12,15.15,15.455,14.08,15.23,38196
2023-01-13,15.2,15.48,14.85,15.25,24908
2023-01-17,15.12,15.6,14.79,15.5,8522
2023-01-18,15.71,16.62,15.6129,16.16,15848
2023-01-19,16.21,16.21,15.0289,15.65,13219
2023-01-20,16.02,16.87,15.11,15.6,24222
2023-01-23,15.7,15.7,14.74,15.0,14381
2023-01-24,15.07,16.15,15.02,15.34,10809
2023-01-25,15.25,15.66,14.96,15.63,15650
2023-01-26,15.93,16.17,15.0939,15.78,7139
2023-01-27,15.78,16.1,15.05,15.06,12563
2023-01-30,15.02,16.15,15.02,15.73,16321
2023-01-31,15.6599,17.8,15.3,17.1,25294
2023-02-01,17.5,19.0,16.95,18.0,26192
2023-02-02,17.96,19.04,17.0,17.74,51664
2023-02-03,17.7,18.5,16.24,17.27,21985
2023-02-06,16.91,18.64,16.91,17.68,26520
2023-02-07,17.8,18.43,16.435,18.18,27827
2023-02-08,17.95,18.4121,17.02,17.46,20195
2023-02-09,17.8,18.11,17.24,17.3,25735
2023-02-10,16.775,17.23,15.01,16.01,23722
2023-02-13,16.21,16.85,15.0,15.21,22536
2023-02-14,15.18,15.802,15.0,15.55,13864
2023-02-15,15.7,16.47,15.28,16.16,22138
2023-02-16,15.81,16.56,15.5,16.2,18649
2023-02-17,16.43,16.48,15.9101,16.33,16832
2023-02-21,16.17,16.82,15.55,16.05,21491
2023-02-22,16.29,16.64,15.29,15.59,21279
2023-02-23,15.8416,16.12,15.41,15.71,12617
2023-02-24,15.48,16.84,15.37,16.31,21194
2023-02-27,16.18,17.0,16.11,16.6,9585
2023-02-28,16.7,18.11,16.66,16.85,34495
2023-03-01,17.0,17.57,15.84,16.02,13240
2023-03-02,15.71,16.27,15.455,16.02,16706
2023-03-03,16.28,16.4,15.68,15.93,9997
2023-03-06,16.12,16.12,14.89,15.69,33103
2023-03-07,15.75,16.94,15.14,15.92,13399
2023-03-08,15.81,16.526,15.35,15.49,11223
2023-03-09,15.58,15.9835,15.0,15.2,24074
2023-03-10,15.21,15.38,14.98,15.1,56196
2023-03-13,15.0,17.21,15.0,16.94,9266
2023-03-14,16.953,19.09,16.953,17.53,27658
2023-03-15,17.19,17.955,15.73,17.46,56954
2023-03-16,17.15,17.95,16.22,17.07,54526
2023-03-17,16.87,17.23,16.0,16.54,106531
2023-03-20,16.59,16.59,15.0,15.0,64340
2023-03-21,15.38,15.905,15.28,15.53,64794
2023-03-22,15.76,15.97,15.305,15.32,10013
2023-03-23,15.36,15.81,15.0,15.36,15159
2023-03-24,15.07,15.44,15.0,15.29,14253
2023-03-27,15.4,15.94,15.4,15.49,12084
2023-03-28,15.51,15.6487,15.33,15.39,15866
2023-03-29,15.55,17.08,15.21,16.57,22237
2023-03-30,16.45,17.85,15.93,16.2,29748
2023-03-31,16.17,16.71,15.505,16.53,45846
2023-04-03,16.38,17.97,16.38,17.4,52369
2023-04-04,17.35,17.35,15.66,15.75,36839
2023-04-05,15.44,15.44,13.74,13.97,551337
2023-04-06,13.81,14.17,12.59,12.93,19975
2023-04-10,12.75,13.52,12.57,13.27,19582
2023-04-11,13.09,13.61,13.03,13.54,7519
2023-04-12,13.5,13.85,13.5,13.63,8718
2023-04-13,13.51,14.41,13.51,14.19,24077
