Date,Open,High,Low,Close,Volume
2000-01-03,1.5204,1.5204,1.4034,1.4619,488559
2000-01-04,1.4619,1.4619,1.4034,1.4034,716432
2000-01-05,1.4034,1.4619,1.4034,1.4034,248817
2000-01-06,1.4034,1.4619,1.4034,1.4619,186185
2000-01-07,1.4619,1.5204,1.4619,1.4619,256093
2000-01-10,1.4619,1.5204,1.4034,1.4034,265496
2000-01-11,1.4034,1.4619,1.4034,1.4619,338927
2000-01-12,1.4619,1.5204,1.4034,1.4034,202754
2000-01-13,1.4619,1.4619,1.4034,1.4034,164278
2000-01-14,1.4619,1.4619,1.4034,1.4034,254920
2000-01-18,1.4034,1.4034,1.111,1.1695,2536302
2000-01-19,1.228,1.345,1.228,1.345,534093
2000-01-20,1.345,1.4034,1.345,1.345,268707
2000-01-21,1.4034,1.4034,1.2865,1.2865,408396
2000-01-24,1.345,1.4034,1.2865,1.345,362329
2000-01-25,1.2865,1.345,1.228,1.345,339669
2000-01-26,1.228,1.2865,1.228,1.228,305468
2000-01-27,1.2865,1.4034,1.228,1.4034,577374
2000-01-28,1.4034,1.4034,1.2865,1.345,318082
2000-01-31,1.345,1.4034,1.2865,1.2865,208634
2000-02-01,1.2865,1.345,1.228,1.2865,335501
2000-02-02,1.345,1.345,1.2865,1.345,177429
2000-02-03,1.345,1.4034,1.2865,1.345,149528
2000-02-04,1.4034,1.6958,1.345,1.6373,1383471
2000-02-07,1.8128,1.8712,1.5789,1.5789,1225933
2000-02-08,1.5204,1.5789,1.345,1.4034,731071
2000-02-09,1.4619,1.5789,1.4619,1.5789,394932
2000-02-10,1.5789,1.6373,1.5204,1.5789,380715
2000-02-11,1.5789,1.5789,1.4619,1.5789,888075
2000-02-14,1.6373,1.6373,1.4619,1.5204,249786
2000-02-15,1.5204,1.5204,1.4619,1.4619,148887
2000-02-16,1.4619,1.6373,1.4619,1.5204,282814
2000-02-17,1.6373,1.6373,1.5204,1.5204,294993
2000-02-18,1.5204,1.5789,1.4619,1.5789,198051
2000-02-22,1.5204,1.5789,1.4619,1.4619,382424
2000-02-23,1.5204,1.5204,1.4619,1.4619,297988
2000-02-24,1.4619,1.5204,1.4034,1.4034,256197
2000-02-25,1.4034,1.4619,1.2865,1.2865,368208
2000-02-28,1.4034,1.4034,1.2865,1.345,183304
2000-02-29,1.345,1.345,1.2865,1.345,97693
2000-03-01,1.2865,1.4034,1.2865,1.345,108701
2000-03-02,1.2865,1.345,1.2865,1.2865,255449
2000-03-03,1.345,1.345,1.2865,1.2865,319681
2000-03-06,1.2865,1.345,1.228,1.228,313806
2000-03-07,1.228,1.4619,1.228,1.4619,519021
2000-03-08,1.4619,1.4619,1.345,1.4619,196343
2000-03-09,1.4619,1.5204,1.4034,1.4619,174863
