Date,Open,High,Low,Close,Volume
2019-03-29,6.45,7.75,6.0,6.6,462418
2019-04-01,6.8,6.92,6.49,6.5,85533
2019-04-02,6.45,6.45,5.4,6.3,119745
2019-04-03,6.45,6.7989,6.27,6.2701,94215
2019-04-04,6.62,6.62,6.2835,6.49,52046
2019-04-05,6.35,6.3556,6.3,6.3,11371
2019-04-08,6.165,6.53,6.1,6.28,42495
2019-04-09,6.48,6.49,6.3,6.33,16127
2019-04-10,6.31,6.4775,6.1585,6.31,12246
2019-04-11,6.34,6.3703,6.2,6.26,6986
2019-04-12,6.3303,6.3303,6.18,6.2,42117
2019-04-15,6.14,6.2989,6.05,6.1,49407
2019-04-16,6.205,6.205,5.75,6.17,86874
2019-04-17,6.1899,6.35,6.11,6.29,23661
2019-04-18,6.22,6.29,6.03,6.1,18328
2019-04-22,6.12,6.25,6.03,6.1,55359
2019-04-23,6.0401,6.1305,6.0,6.07,3739
2019-04-24,6.1,6.2,6.06,6.13,3888
2019-04-25,6.14,6.19,6.0,6.08,12362
2019-04-26,6.043,6.17,6.043,6.05,8870
2019-04-29,6.0,6.3,6.0,6.3,108857
2019-04-30,6.38,6.8169,6.2,6.7,215688
2019-05-01,6.85,6.85,6.4,6.695,111690
2019-05-02,6.6027,6.6997,6.33,6.5692,67018
2019-05-03,6.45,6.7999,6.44,6.6,40042
2019-05-06,6.4,6.6,6.22,6.4,25574
2019-05-07,6.297,6.4,6.297,6.35,26552
2019-05-08,6.36,6.38,6.1,6.1,23436
2019-05-09,6.11,6.35,6.06,6.35,22606
2019-05-10,6.24,6.3,6.01,6.23,16234
2019-05-13,6.18,6.18,6.08,6.08,1550
2019-05-14,6.24,6.24,6.24,6.24,500
2019-05-15,6.24,6.24,6.24,6.24,120
2019-05-16,6.0925,6.23,6.09,6.23,7787
2019-05-17,6.2299,6.3,6.01,6.1,75550
2019-05-20,6.1,6.11,6.1,6.11,1496
2019-05-21,6.2716,6.2716,6.15,6.2394,1500
2019-05-22,6.2,6.2,6.0501,6.0501,1500
2019-05-23,6.04,6.1288,6.04,6.1288,1835
2019-05-24,6.13,6.2,6.13,6.1629,1845
2019-05-28,6.099,6.77,5.61,6.17,1826669
2019-05-29,6.17,6.58,6.01,6.3,1720503
2019-05-30,6.19,6.19,6.16,6.16,2600
2019-05-31,5.86,6.1072,5.86,6.07,27949
2019-06-03,6.11,6.11,6.11,6.11,700
2019-06-04,6.01,6.15,6.01,6.095,6846
2019-06-05,6.05,6.07,6.05,6.07,1900
2019-06-06,5.95,6.15,5.91,6.1,17352
2019-06-07,6.06,6.18,6.0128,6.18,1800
2019-06-10,6.0,6.2,5.9,6.2,85203
2019-06-11,6.16,6.6,6.1,6.44,160984
2019-06-12,6.25,6.6,6.25,6.6,55962
2019-06-13,6.2897,6.59,6.2897,6.31,42742
2019-06-14,6.38,8.79,6.38,7.79,251990
2019-06-17,7.66,9.6573,7.66,8.01,147789
2019-06-18,8.1,8.5,7.3,7.5,56720
2019-06-19,7.5,7.5552,7.18,7.48,39706
2019-06-20,7.36,8.73,7.19,8.21,262669
2019-06-21,8.35,8.59,8.12,8.56,88552
2019-06-24,8.56,9.49,8.2,9.08,340649
2019-06-25,9.05,9.14,8.71,8.71,33607
2019-06-26,8.8464,10.24,8.45,10.24,66367
2019-06-27,10.0,11.5,9.9828,11.0,112721
2019-06-28,11.0,13.5,10.89,12.89,253699
2019-07-01,13.33,14.4899,12.12,14.1,383667
2019-07-02,14.0,14.0,9.5501,10.4,2328980
2019-07-03,10.02,10.48,8.58,9.08,293955
2019-07-05,9.15,9.2475,8.495,8.54,53717
2019-07-08,8.51,8.51,7.3,7.56,105380
2019-07-09,7.52,7.8444,7.15,7.42,682928
2019-07-10,7.5,7.5,7.15,7.35,609055
2019-07-11,7.17,8.1995,7.1,7.88,723555
2019-07-12,7.9,8.0,7.2,7.48,834094
2019-07-15,7.12,7.8,7.12,7.48,858584
2019-07-16,7.61,7.69,7.37,7.51,871389
2019-07-17,7.61,8.72,7.5514,8.45,353083
2019-07-18,8.6,11.5,8.55,11.04,293323
2019-07-19,11.368,11.7888,9.53,10.55,286515
2019-07-22,10.5,11.5434,10.35,11.28,127763
2019-07-23,11.0,11.65,10.88,11.15,125608
2019-07-24,11.22,13.39,11.0424,12.76,115393
2019-07-25,12.88,13.0,11.7509,12.44,443603
2019-07-26,12.44,13.3,11.88,12.0701,380603
2019-07-29,12.07,12.7695,11.2401,12.48,437766
2019-07-30,12.14,12.9,11.8,11.8,807945
2019-07-31,11.8777,13.09,11.59,13.0,639943
2019-08-01,12.99,13.5,12.3203,12.99,504502
2019-08-02,12.32,13.4,12.2195,13.22,329479
2019-08-05,13.33,14.14,12.845,14.0,276909
2019-08-06,14.05,14.6,13.76,14.6,395986
2019-08-07,14.45,14.7,14.0202,14.27,310312
2019-08-08,14.4,14.8,12.2701,12.7,760809
2019-08-09,13.1,13.26,11.38,11.5,717714
2019-08-12,11.62,12.7504,11.35,12.28,533428
2019-08-13,12.22,12.7365,11.11,11.12,305859
2019-08-14,11.14,11.5944,8.7,8.8,380927
2019-08-15,8.98,9.5323,7.9,8.2,169031
2019-08-16,8.45,8.75,8.11,8.58,80599
2019-08-19,8.45,8.45,8.0061,8.26,50560
2019-08-20,8.57,8.57,8.2,8.31,55148
2019-08-21,8.44,8.44,7.8,7.89,99053
2019-08-22,8.06,8.2689,7.9,8.01,35981
2019-08-23,8.04,8.08,7.551,7.65,37885
2019-08-26,7.85,7.987,7.02,7.26,115272
2019-08-27,7.26,7.5,6.8,6.85,82585
2019-08-28,6.86,6.94,6.7,6.78,63076
2019-08-29,6.7,6.9346,6.6,6.64,40682
2019-08-30,6.65,6.8662,6.0,6.04,100774
2019-09-03,5.96,6.3965,5.96,6.08,69371
2019-09-04,6.1,6.4,6.1,6.21,109469
2019-09-05,6.4,7.28,6.2555,6.65,191978
2019-09-06,6.76,6.89,6.3,6.49,130456
2019-09-09,6.51,6.8,6.51,6.68,96055
2019-09-10,6.69,6.98,6.5,6.82,71916
2019-09-11,6.84,7.75,6.82,7.65,119316
2019-09-12,7.79,8.71,7.66,7.78,158148
2019-09-13,7.66,8.0457,6.85,7.08,104524
2019-09-16,7.08,7.4241,6.61,6.61,50771
2019-09-17,6.8,6.9816,6.59,6.67,33059
2019-09-18,6.74,6.75,6.61,6.61,12220
2019-09-19,6.63,6.6981,6.53,6.6,39472
