Date,Open,High,Low,Close,Volume
2010-10-29,3.7101,3.7217,3.5037,3.6382,9113532
2010-11-01,3.5964,3.6173,3.3901,3.4666,2581779
2010-11-02,3.4666,3.4685,3.3669,3.4133,2256810
2010-11-03,3.4086,3.5663,3.2579,3.5478,1911208
2010-11-04,3.5478,3.5964,3.3854,3.4805,1311309
2010-11-05,3.4249,3.4759,3.3854,3.4434,694876
2010-11-08,3.3994,3.4411,3.3043,3.3507,1438151
2010-11-09,3.3414,3.3432,3.2162,3.2463,2692144
2010-11-10,3.237,3.2857,3.1953,3.2069,912831
2010-11-11,3.1883,3.3599,3.1883,3.3136,1146656
2010-11-12,3.2509,3.4225,3.2509,3.3622,473359
2010-11-15,3.3159,3.397,3.1698,3.2394,1490240
2010-11-16,3.2069,3.3319,3.1907,3.302,626445
2010-11-17,3.2811,3.353,3.2602,3.3391,538956
2010-11-18,3.295,3.3576,3.2834,3.3576,1085813
2010-11-19,3.3738,3.4202,3.3333,3.3738,388133
2010-11-22,3.3715,3.433,3.3228,3.4225,633453
2010-11-23,3.4643,3.4666,3.397,3.4318,600807
2010-11-24,3.4434,3.4828,3.4017,3.4805,421792
2010-11-26,3.4295,3.4736,3.3878,3.4341,112457
2010-11-29,3.4086,3.4318,3.3785,3.4318,388587
2010-11-30,3.4225,3.4573,3.4086,3.4457,378280
2010-12-01,3.4434,3.4666,3.3994,3.4156,685790
2010-12-02,3.4086,3.4504,3.3854,3.397,301827
2010-12-03,3.3808,3.3808,3.3043,3.3298,922315
2010-12-06,3.3309,3.3854,3.3043,3.3391,427619
2010-12-07,3.3692,3.4086,3.2718,3.3228,707608
2010-12-08,3.3321,3.4689,3.3321,3.4156,853364
2010-12-09,3.4109,3.4527,3.3622,3.4318,1029018
2010-12-10,3.397,3.5176,3.3838,3.5107,651002
2010-12-13,3.5107,3.5709,3.4596,3.5176,666814
2010-12-14,3.4318,3.5547,3.4318,3.5269,603813
2010-12-15,3.5107,3.5338,3.448,3.4944,355157
2010-12-16,3.5199,3.557,3.4782,3.5269,305506
2010-12-17,3.5338,3.5362,3.4782,3.4851,184228
2010-12-20,3.5107,3.5547,3.4782,3.5338,292029
2010-12-21,3.5362,3.5825,3.5153,3.5593,262551
2010-12-22,3.5825,3.5825,3.513,3.513,453200
2010-12-23,3.5647,3.5765,3.5083,3.5389,185405
2010-12-27,3.5577,3.5671,3.4894,3.5177,199643
2010-12-28,3.5059,3.5294,3.4589,3.4706,294880
2010-12-29,3.4824,3.4918,3.4236,3.433,337278
2010-12-30,3.4259,3.4494,3.4118,3.4353,313933
2010-12-31,3.4706,3.4706,3.3977,3.3977,611898
2011-01-03,3.4236,3.5059,3.4047,3.4706,167949
2011-01-04,3.5365,3.7036,3.5365,3.6071,546053
2011-01-05,3.6189,3.7059,3.6189,3.68,387416
2011-01-06,3.6047,3.6965,3.6047,3.6965,317913
2011-01-07,3.6424,3.7036,3.6424,3.6471,225337
2011-01-10,3.6612,3.6706,3.6024,3.6706,168264
2011-01-11,3.673,3.713,3.6353,3.6589,210817
2011-01-12,3.6847,3.7012,3.64,3.6683,317997
2011-01-13,3.6541,3.7294,3.6541,3.7036,493659
2011-01-14,3.6824,3.7177,3.673,3.7059,268307
2011-01-18,3.6941,3.7389,3.6824,3.7036,261447
2011-01-19,3.6706,3.7036,3.6,3.6071,420147
2011-01-20,3.5789,3.6071,3.513,3.553,250013
2011-01-21,3.56,3.6683,3.553,3.64,147048
2011-01-24,3.6683,3.7271,3.5956,3.6377,212799
2011-01-25,3.6589,3.7059,3.6283,3.6424,271840
2011-01-26,3.6353,3.6918,3.6353,3.6777,403754
2011-01-27,3.6918,3.753,3.6779,3.753,378907
2011-01-28,3.7412,3.753,3.6989,3.7389,316465
2011-01-31,3.753,3.753,3.6706,3.7012,302550
2011-02-01,3.7271,3.7506,3.6543,3.7177,311359
2011-02-02,3.7153,3.753,3.6471,3.7459,264668
2011-02-03,3.7294,3.7647,3.6989,3.7647,256072
2011-02-04,3.7506,3.7671,3.7271,3.7577,295736
2011-02-07,3.7436,3.7859,3.7365,3.7647,390951
2011-02-08,3.7083,3.7742,3.7083,3.7647,327005
2011-02-09,3.7294,3.76,3.6706,3.7412,156861
2011-02-10,3.7412,3.7624,3.7012,3.7436,211264
2011-02-11,3.7624,3.7694,3.7271,3.7532,160013
2011-02-14,3.7459,3.7836,3.713,3.7694,254933
2011-02-15,3.7694,3.7742,3.7318,3.7624,263789
2011-02-16,3.7436,3.7789,3.7412,3.753,363862
2011-02-17,3.7977,3.8047,3.7542,3.7647,166469
2011-02-18,3.7412,3.7906,3.7318,3.7525,323874
2011-02-22,3.753,3.7647,3.6638,3.6941,242927
2011-02-23,3.6471,3.7083,3.6236,3.6989,123354
2011-02-24,3.6777,3.7177,3.6447,3.6896,65373
2011-02-25,3.72,3.7506,3.7083,3.72,157354
2011-02-28,3.7836,3.7859,3.7341,3.7624,173458
2011-03-01,3.7412,3.753,3.707,3.7153,188404
2011-03-02,3.6941,3.7762,3.6659,3.7483,146049
2011-03-03,3.7365,3.7742,3.6941,3.7671,163002
2011-03-04,3.7765,3.8189,3.7389,3.7483,136713
2011-03-07,3.7483,3.7483,3.6918,3.7365,123262
2011-03-08,3.7365,3.7483,3.6589,3.7459,218496
2011-03-09,3.72,3.8236,3.72,3.7624,610059
2011-03-10,3.7412,3.8118,3.7247,3.7906,283132
2011-03-11,3.758,3.7906,3.7459,3.7765,163700
2011-03-14,3.7742,3.7798,3.732,3.7412,51182
2011-03-15,3.7271,3.793,3.6589,3.7883,115170
2011-03-16,3.7883,3.8094,3.6094,3.7294,572047
2011-03-17,3.7153,3.7483,3.6871,3.7412,96841
2011-03-18,3.7906,3.8236,3.725,3.8236,189960
2011-03-21,3.8259,3.8259,3.7765,3.8189,222978
2011-03-22,3.8706,4.5624,3.7647,3.7812,157231
2011-03-23,3.7647,3.7953,3.6897,3.7153,241955
2011-03-24,3.7059,3.7671,3.6918,3.7624,130053
2011-03-25,3.7577,3.8189,3.7577,3.7647,119553
2011-03-28,3.7906,3.8589,3.7483,3.7671,182536
2011-03-29,3.7671,3.7765,3.7203,3.7553,96522
2011-03-30,3.7901,3.7901,3.7365,3.753,52126
2011-03-31,3.7177,3.7883,3.7083,3.7812,106966
2011-04-01,3.7577,3.7977,3.6941,3.7812,69079
2011-04-04,3.7203,3.7883,3.72,3.7624,129763
2011-04-05,3.753,3.7671,3.7271,3.753,129631
2011-04-06,3.7577,3.8047,3.732,3.7779,111264
2011-04-07,3.7953,3.8212,3.7271,3.7977,96024
2011-04-08,3.793,3.793,3.7085,3.7624,138200
2011-04-11,3.7436,3.7744,3.7294,3.7742,58902
2011-04-12,3.7436,3.7742,3.6894,3.7318,106309
2011-04-13,3.7271,3.7647,3.673,3.7341,81854
2011-04-14,3.7412,3.7574,3.6991,3.7153,38160
2011-04-15,3.713,3.76,3.713,3.7341,87655
2011-04-18,3.7153,3.7318,3.6753,3.7007,35877
2011-04-19,3.7341,3.7409,3.6636,3.673,56762
2011-04-20,3.7059,3.7083,3.5789,3.633,241182
2011-04-21,3.6377,3.6941,3.5953,3.6471,184630
2011-04-25,3.6283,3.753,3.6283,3.72,92079
2011-04-26,3.7577,3.7742,3.6589,3.7224,139509
2011-04-27,3.72,3.793,3.72,3.7553,113074
2011-04-28,3.7742,3.8071,3.6871,3.7671,407802
2011-04-29,3.7883,3.8229,3.7106,3.7647,297775
2011-05-02,3.8118,3.8612,3.753,3.793,270651
2011-05-03,3.7883,3.8,3.7083,3.7671,102726
2011-05-04,3.7765,3.7765,3.7059,3.7412,58970
2011-05-05,3.7224,3.7624,3.7224,3.7624,47641
2011-05-06,3.7647,3.7883,3.7548,3.7883,76275
2011-05-09,3.7883,3.7883,3.7451,3.753,111050
2011-05-10,3.8094,3.8094,3.7271,3.7647,170877
2011-05-11,3.8118,3.8236,3.7694,3.8058,334335
2011-05-12,3.7765,3.8,3.7294,3.7742,208447
2011-05-13,3.7953,3.7953,3.7263,3.7483,153343
2011-05-16,3.7553,3.7553,3.7083,3.713,194641
2011-05-17,3.7682,3.7682,3.7058,3.7562,119050
2011-05-18,3.7755,3.8331,3.7755,3.7875,487874
2011-05-19,3.7971,3.8184,3.7502,3.8139,351767
2011-05-20,3.7971,3.8043,3.7058,3.7731,256231
2011-05-23,3.7731,3.7851,3.7058,3.7803,201585
2011-05-24,3.8163,3.8163,3.7634,3.7827,142323
2011-05-25,3.7731,3.7923,3.7106,3.749,204302
2011-05-26,3.7827,3.8139,3.713,3.7863,264363
2011-05-27,3.7947,3.7971,3.761,3.7851,148681
2011-05-31,3.7851,3.8211,3.7851,3.8091,244362
2011-06-01,3.7779,3.8211,3.7682,3.8091,203144
2011-06-02,3.7971,3.8043,3.761,3.7995,265588
2011-06-03,3.7899,3.8211,3.7634,3.8211,108236
2011-06-06,3.8139,3.8211,3.7664,3.7971,563634
2011-06-07,3.8187,3.8331,3.7779,3.7949,228244
2011-06-08,3.7731,3.7971,3.7514,3.7899,186946
2011-06-09,3.7731,3.8091,3.761,3.7971,156350
2011-06-10,3.8091,3.8235,3.7394,3.749,156011
2011-06-13,3.7466,3.7827,3.6889,3.713,158462
2011-06-14,3.7202,3.7202,3.6217,3.6553,180001
2011-06-15,3.6553,3.7058,3.6433,3.6673,95371
2011-06-16,3.6721,3.7202,3.6387,3.6817,191370
2011-06-17,3.6865,3.7154,2.7036,2.7036,144205
2011-06-20,3.6529,3.7346,3.6409,3.7082,206555
2011-06-21,3.7082,3.7755,3.6769,3.7538,133364
2011-06-22,3.7418,3.7418,3.6793,3.7058,185908
2011-06-23,3.7058,3.8211,3.6769,3.7971,168789
2011-06-24,3.7971,3.8187,3.7731,3.7971,183464
2011-06-27,3.7899,3.8067,3.7442,3.7923,123421
2011-06-28,3.7851,3.8139,3.7707,3.7899,182341
2011-06-29,3.7418,3.8283,3.725,3.8259,81567
2011-06-30,3.7995,3.8091,3.725,3.8091,148260
2011-07-01,3.7971,3.8163,3.7394,3.7995,146000
2011-07-05,3.7875,3.85,3.7875,3.8091,234438
2011-07-06,3.8331,3.8331,3.7658,3.8259,194479
2011-07-07,3.8163,3.8452,3.7707,3.8427,249266
2011-07-08,3.8187,3.8836,3.8187,3.8812,227840
2011-07-11,3.8764,3.8764,3.8355,3.8452,112953
2011-07-12,3.85,3.8545,3.8211,3.8211,175908
2011-07-13,3.8307,3.8524,3.7947,3.8427,162144
2011-07-14,3.8187,3.8319,3.8019,3.8091,148005
2011-07-15,3.85,3.85,3.8115,3.8283,110774
2011-07-18,3.7995,3.8355,3.7298,3.8307,57136
2011-07-19,3.8259,3.898,3.7875,3.8716,61843
2011-07-20,3.886,3.886,3.8307,3.8692,68236
2011-07-21,3.8476,3.9533,3.8476,3.9052,173335
2011-07-22,3.874,3.9269,3.8379,3.8427,102440
2011-07-25,3.9028,3.9317,3.862,3.8908,122968
2011-07-26,3.8932,3.9052,3.7851,3.8355,146850
2011-07-27,3.8235,3.8235,3.725,3.7707,156884
2011-07-28,3.7586,3.9052,3.6048,3.6841,258879
2011-07-29,3.6601,3.7106,3.4847,3.6769,235190
2011-08-01,3.701,3.7827,3.6048,3.6649,279991
2011-08-02,3.6577,3.6649,3.6048,3.6168,135605
2011-08-03,3.6048,3.6721,3.5447,3.6505,244142
2011-08-04,3.6241,3.6769,3.5496,3.6217,201617
2011-08-05,3.6144,3.6673,3.588,3.6313,134420
2011-08-08,3.564,3.5832,2.9415,3.3357,325443
2011-08-09,3.2467,3.9653,3.2443,3.9653,124499
2011-08-10,3.8427,3.8427,3.5381,3.588,220992
2011-08-11,3.588,3.8427,3.588,3.8115,127268
2011-08-12,3.8283,3.8716,3.7421,3.8067,99738
2011-08-15,3.8235,3.8692,3.749,3.8403,140392
2011-08-16,3.85,3.8548,3.7394,3.8476,111566
2011-08-17,3.8572,3.9052,3.8163,3.8548,252544
2011-08-18,3.8139,3.8572,3.6697,3.7034,215975
2011-08-19,3.6639,3.7576,3.5973,3.6738,96868
2011-08-22,3.7034,3.9106,3.6592,3.8218,143669
2011-08-23,3.8563,3.9476,3.7576,3.9032,130178
2011-08-24,3.8835,3.9106,3.7552,3.8711,95088
2011-08-25,3.8687,3.8785,3.7774,3.7922,38899
2011-08-26,3.8366,3.8859,3.6836,3.8465,71608
2011-08-29,3.8563,3.9945,3.7749,3.9007,160585
2011-08-30,3.9057,3.9106,3.807,3.8563,73183
2011-08-31,3.8169,3.9328,3.8095,3.9081,113330
2011-09-01,3.8909,3.9205,3.7922,3.8662,46998
2011-09-02,3.8169,3.8489,3.7823,3.8095,23721
2011-09-06,3.7848,3.8144,3.7058,3.7848,44554
2011-09-07,3.8045,3.8662,3.8045,3.8489,35912
2011-09-08,3.8317,3.9197,3.8169,3.8884,85113
2011-09-09,3.8933,3.8933,3.8346,3.8563,30333
2011-09-12,3.8193,3.9748,3.7996,3.8563,116329
2011-09-13,3.8292,3.9402,3.7996,3.844,102003
2011-09-14,3.844,3.9452,3.8021,3.9183,24914
2011-09-15,3.807,3.8859,3.7996,3.8736,103759
2011-09-16,3.8588,3.8859,3.8317,3.8613,67422
2011-09-19,3.8563,3.8756,3.7502,3.8045,67693
2011-09-20,3.8144,3.8267,3.77,3.7798,36015
2011-09-21,3.807,3.8761,3.765,3.8563,58912
2011-09-22,3.7453,3.8243,3.6515,3.6861,81094
2011-09-23,3.728,3.77,3.6195,3.6417,40943
2011-09-26,3.5825,3.765,3.5726,3.7428,40609
2011-09-27,3.7848,3.7848,3.6195,3.7009,42385
2011-09-28,3.6367,3.6565,3.5825,3.617,34390
2011-09-29,3.6713,3.6713,3.4591,3.6318,227278
2011-09-30,3.6022,3.6713,3.5455,3.617,112114
2011-10-03,3.5874,3.7206,3.5849,3.6022,266258
2011-10-04,3.6022,3.6984,3.485,3.654,135074
2011-10-05,3.6392,3.6836,3.58,3.6022,41216
2011-10-06,3.6293,3.6886,3.543,3.6515,52676
2011-10-07,3.6762,3.8613,3.5849,3.6639,61044
2011-10-10,3.6664,3.7206,3.5578,3.5948,33214
2011-10-11,3.6318,3.6935,3.5603,3.5973,54013
2011-10-12,3.6096,3.6762,3.5233,3.5997,89543
2011-10-13,3.5899,3.6762,3.5455,3.6145,73960
2011-10-14,3.6293,3.696,3.5208,3.6293,81772
2011-10-17,3.5874,3.6836,3.5825,3.6836,16963
2011-10-18,3.6984,3.7206,3.6392,3.6639,169114
2011-10-19,3.6639,3.7305,3.6392,3.6392,92640
2011-10-20,3.6614,3.7256,3.6491,3.7256,36975
2011-10-21,3.7527,3.7527,3.7034,3.7132,68497
2011-10-24,3.7379,3.7379,3.6836,3.7354,33384
2011-10-25,3.7206,3.8021,3.6515,3.7971,52207
2011-10-26,3.8045,3.8045,3.7256,3.7922,35667
2011-10-27,3.8021,3.8761,3.7157,3.7996,102741
2011-10-28,3.7823,3.8613,3.7798,3.7922,35554
2011-10-31,3.7675,3.7749,3.7132,3.7527,27186
2011-11-01,3.6861,3.8437,3.6762,3.6762,58975
2011-11-02,3.7157,3.7707,3.6022,3.6145,206359
2011-11-03,3.6871,3.7132,3.5282,3.58,205340
2011-11-04,3.5923,3.5923,3.5035,3.5553,96958
2011-11-07,3.5233,3.6244,3.5233,3.5529,68914
2011-11-08,3.5652,3.7922,3.4936,3.7178,164028
2011-11-09,3.7823,3.7964,3.7009,3.7749,221234
2011-11-10,3.7872,3.7872,3.6762,3.6762,137519
2011-11-11,3.7034,3.7453,3.6787,3.7206,66139
2011-11-14,3.7379,4.1919,3.7379,3.8909,835418
2011-11-15,3.8909,3.9819,3.8859,3.9057,497124
2011-11-16,3.9328,3.9649,3.8785,3.9205,256960
2011-11-17,3.9526,3.9846,3.8736,3.9279,323852
2011-11-18,3.9452,4.0957,3.9452,4.0142,448847
2011-11-21,3.9939,4.0218,3.9127,3.9711,335847
2011-11-22,3.9559,4.0345,3.9559,3.9812,289119
2011-11-23,3.9635,4.0092,3.9584,3.9711,110930
2011-11-25,3.9812,4.0117,3.9026,3.9026,176240
2011-11-28,3.9838,4.0066,3.8823,3.8975,115945
2011-11-29,3.9203,3.9508,3.8848,3.9077,42873
2011-11-30,3.9711,3.9711,3.8975,3.9457,101275
2011-12-01,3.9305,3.9505,3.829,3.8493,103604
2011-12-02,3.928,3.928,3.8366,3.9001,127729
2011-12-05,3.933,4.0498,3.8747,4.0498,131064
2011-12-06,4.1233,4.1233,4.0218,4.0599,67968
2011-12-07,4.0371,4.1284,4.0345,4.1056,191946
2011-12-08,4.0751,4.1132,3.9965,4.1107,112089
2011-12-09,4.1208,4.1233,4.0802,4.103,59733
2011-12-12,4.3974,4.3974,4.0117,4.0548,85379
2011-12-13,4.065,4.1206,4.0218,4.032,76230
2011-12-14,4.0307,4.0802,3.9889,4.065,129683
2011-12-15,4.1081,4.1107,4.0574,4.0827,101810
2011-12-16,4.1132,4.1132,4.0599,4.0624,254108
2011-12-19,4.0599,4.0853,4.0396,4.0574,56884
2011-12-20,4.0904,4.0904,3.999,4.0574,75990
2011-12-21,4.0345,4.0345,3.9508,4.0092,45628
2011-12-22,4.0066,4.0802,3.9965,4.0802,40611
2011-12-23,4.0345,4.136,4.0345,4.1233,34203
2011-12-27,4.1259,4.1259,4.0371,4.0447,64134
2011-12-28,4.0396,4.0422,4.0295,4.0371,87238
2011-12-29,4.0599,4.0599,3.999,3.999,140976
2011-12-30,4.0066,4.1411,4.0066,4.1411,109435
2012-01-03,4.1513,4.1513,4.0937,4.136,117708
2012-01-04,4.1233,4.1335,4.1081,4.1183,107961
2012-01-05,4.1233,4.1513,4.1081,4.1107,59322
2012-01-06,4.1462,4.1513,4.0675,4.0726,83132
2012-01-09,4.0878,4.1868,4.0878,4.1792,98918
2012-01-10,4.1868,4.1868,4.1436,4.1868,112918
2012-01-11,4.1538,4.1538,4.0957,4.1487,96827
2012-01-12,4.1589,4.1639,4.1005,4.1513,68128
2012-01-13,4.131,4.169,4.1132,4.1183,87104
2012-01-17,4.131,4.1716,4.1284,4.1538,44014
2012-01-18,4.131,4.1868,4.131,4.1589,92587
2012-01-19,4.1817,4.2172,4.1284,4.1741,295518
2012-01-20,4.1792,4.1868,4.1284,4.1639,182388
2012-01-23,4.1842,4.1842,4.0904,4.1639,124782
2012-01-24,4.1639,4.1868,4.0929,4.103,66318
2012-01-25,4.1538,4.1538,4.0929,4.109,117670
2012-01-26,4.1233,4.1513,4.0878,4.1005,111236
2012-01-27,4.098,4.1259,4.098,4.1107,28930
2012-01-30,4.1107,4.1538,4.0726,4.136,76971
2012-01-31,4.131,4.136,4.0523,4.1157,271707
2012-02-01,4.131,4.2857,4.1142,4.2502,160386
2012-02-02,4.2147,4.2553,4.1766,4.2477,127610
2012-02-03,4.1665,4.2705,4.0929,4.2451,406544
2012-02-06,4.2172,4.2172,4.1005,4.2122,129302
2012-02-07,4.1639,4.2297,4.136,4.1919,85763
2012-02-08,4.1969,4.1995,4.1411,4.1589,75424
2012-02-09,4.1614,4.1868,4.1462,4.1842,77670
2012-02-10,4.1614,4.1842,4.098,4.1665,89121
2012-02-13,4.1792,4.1868,4.1614,4.1842,158813
2012-02-14,4.1842,4.1868,4.1614,4.1741,41874
2012-02-15,4.1868,4.1868,4.1005,4.1305,59653
2012-02-16,4.1183,4.1995,4.1157,4.1944,109468
2012-02-17,4.1919,4.2756,4.1665,4.2731,234829
2012-02-21,4.2248,4.2731,4.1792,4.1868,100068
2012-02-22,4.1969,4.2045,4.136,4.1665,93380
2012-02-23,4.1665,4.2071,4.136,4.1665,53962
2012-02-24,4.1487,4.1665,4.0954,4.131,137838
2012-02-27,4.1132,4.2096,4.1132,4.1665,62052
2012-02-28,4.1563,4.1614,4.1157,4.1538,111373
2012-02-29,4.1487,4.1995,4.1487,4.1741,56916
2012-03-01,4.1614,4.1944,4.1185,4.1868,60071
2012-03-02,4.1868,4.2132,4.1513,4.1513,31014
2012-03-05,4.1513,4.1639,4.1411,4.1513,38900
2012-03-06,4.1259,4.1436,4.0726,4.1157,90621
2012-03-07,4.1259,4.1589,4.1233,4.1513,56791
2012-03-08,4.1614,4.1614,4.0995,4.1259,30831
2012-03-09,4.136,4.136,4.098,4.1335,92090
2012-03-12,4.1335,4.1639,4.1233,4.1639,58021
2012-03-13,4.1639,4.1967,4.1487,4.1716,173954
2012-03-14,4.1741,4.1741,4.136,4.169,250690
2012-03-15,4.1614,4.2045,4.1477,4.2045,91521
2012-03-16,4.1944,4.2754,4.1868,4.2754,707550
2012-03-19,4.2883,4.339,4.2375,4.3263,238701
2012-03-20,4.2705,4.3441,4.2629,4.3086,314883
2012-03-21,4.3346,4.4311,4.3008,4.4024,152850
2012-03-22,4.405,4.405,4.319,4.3607,96995
2012-03-23,4.3268,4.384,4.3242,4.3607,78560
2012-03-26,4.3894,4.3894,4.2617,4.319,130833
2012-03-27,4.3086,4.332,4.2643,4.2799,152191
2012-03-28,4.2721,4.3008,4.2669,4.2721,47899
2012-03-29,4.2721,4.3373,4.2721,4.3373,162803
2012-03-30,4.3425,4.379,4.3086,4.3294,155517
2012-04-02,4.3346,4.4024,4.3268,4.392,116146
2012-04-03,4.392,4.4024,4.3555,4.3842,57846
2012-04-04,4.3242,4.3737,4.3164,4.3346,70760
2012-04-05,4.3373,4.3892,4.3373,4.3711,54106
2012-04-09,4.3659,4.3683,4.3399,4.3503,68629
2012-04-10,4.3555,4.379,4.2356,4.2486,145975
2012-04-11,4.2929,4.3214,4.2434,4.2929,61679
2012-04-12,4.3008,4.3138,4.2643,4.2877,68739
2012-04-13,4.3008,4.3294,4.2903,4.319,85868
2012-04-16,4.306,4.3737,4.306,4.3659,90031
2012-04-17,4.3294,4.4024,4.3268,4.3868,125237
2012-04-18,4.3659,4.3946,4.3112,4.3581,77406
2012-04-19,4.3607,4.4024,4.3164,4.3763,38562
2012-04-20,4.3972,4.4118,4.3216,4.3529,154759
2012-04-23,4.3451,4.3503,4.2617,4.3008,94964
2012-04-24,4.2486,4.3477,4.2408,4.319,102532
2012-04-25,4.3086,4.3829,4.2851,4.3216,136342
2012-04-26,4.379,4.405,4.319,4.319,212967
2012-04-27,4.3503,4.4311,4.3399,4.4079,368489
2012-04-30,4.4311,4.4858,4.3659,4.4259,336326
2012-05-01,4.4311,4.4699,4.4233,4.4441,149362
2012-05-02,4.4311,4.4884,4.4311,4.4545,180044
2012-05-03,4.4441,4.5119,4.4311,4.4624,318454
2012-05-04,4.4311,4.4676,4.418,4.4311,166738
2012-05-07,4.3972,4.4572,4.3711,4.4285,150728
2012-05-08,4.5145,4.5145,4.379,4.4181,142120
2012-05-09,4.379,4.4037,4.3216,4.3659,136902
2012-05-10,4.3659,4.405,4.3555,4.3659,209747
2012-05-11,4.3242,4.4285,4.3242,4.3607,173461
2012-05-14,4.3659,4.4181,4.3529,4.3685,268087
2012-05-15,4.4194,4.4435,4.3659,4.3926,372498
2012-05-16,4.4141,4.5105,4.3873,4.4998,443382
2012-05-17,4.5132,4.5132,4.3926,4.4248,184061
2012-05-18,4.2855,4.4328,4.2855,4.3498,155049
2012-05-21,4.3689,4.4167,4.3016,4.3873,74847
2012-05-22,4.3766,4.4275,4.3632,4.39,72252
2012-05-23,4.3659,4.3873,4.3176,4.3792,58257
2012-05-24,4.4087,4.4087,4.2989,4.3525,91038
2012-05-25,4.3471,4.3471,4.2909,4.3257,62787
2012-05-29,4.3203,4.3926,4.3042,4.3337,123330
2012-05-30,4.323,4.323,4.2001,4.2534,157719
2012-05-31,4.2667,4.2935,4.1275,4.24,218080
2012-06-01,4.165,4.165,4.0846,4.1034,114702
2012-06-04,4.0846,4.173,4.0712,4.1114,75793
2012-06-05,4.0833,4.3123,4.0498,4.2453,141778
