Date,Open,High,Low,Close,Volume
2000-01-03,39.1652,39.1995,38.5485,38.754,108521.0
2000-01-04,36.7667,37.2806,36.1841,36.3897,153391.0
2000-01-05,35.4988,36.3555,34.9506,36.1841,215590.0
2000-01-06,35.0877,35.2933,34.6422,35.1562,192237.0
2000-01-07,34.9506,36.1499,34.745,36.1499,214672.0
2000-01-10,34.9506,36.1841,34.745,36.1841,111988.0
2000-01-11,34.4024,34.8135,34.1625,34.3338,185672.0
2000-01-12,34.5394,34.745,34.4024,34.745,86267.0
2000-01-13,34.745,35.4303,34.5051,35.2247,91192.0
2000-01-14,34.5737,35.0877,34.4024,35.0191,121654.0
2000-01-18,34.1282,34.7107,33.7856,34.6422,233827.0
2000-01-19,32.552,33.9226,32.4835,33.4772,410575.0
2000-01-20,32.4835,32.4835,31.6611,31.7297,433919.0
2000-01-21,32.9975,33.3059,32.415,32.415,304229.0
2000-01-24,33.4429,33.4429,32.415,32.6548,194797.0
2000-01-25,32.3122,32.415,32.0723,32.3464,130776.0
2000-01-26,32.3464,32.9632,32.3464,32.9632,113812.0
2000-01-27,34.0254,34.2996,33.6485,33.7856,153938.0
2000-01-28,32.7919,33.3059,32.7919,32.8947,117093.0
2000-01-31,32.4835,33.5115,32.2094,33.5115,106148.0
2000-02-01,32.3464,32.7576,32.0723,32.7576,127486.0
2000-02-02,32.0723,32.4492,31.9353,32.3464,145183.0
2000-02-03,32.7576,32.8947,32.552,32.7919,70402.0
2000-02-04,31.387,31.6611,30.9758,31.5241,420785.0
2000-02-07,31.1814,31.5241,30.7702,31.3185,205559.0
2000-02-08,31.5583,32.4835,31.5583,32.3122,189691.0
2000-02-09,32.3464,32.3464,31.8667,32.0723,189866.0
2000-02-10,32.1408,32.2094,31.5241,31.7982,176918.0
2000-02-11,30.7017,30.9073,30.4276,30.6332,311161.0
2000-02-14,30.6332,30.736,30.4618,30.6332,155577.0
2000-02-15,30.9073,31.387,30.9073,31.387,247137.0
2000-02-16,32.7576,33.3744,32.7576,33.066,208838.0
2000-02-17,33.9912,34.1282,33.2373,33.2716,111617.0
2000-02-18,32.3464,32.3464,31.7639,31.7982,109978.0
2000-02-22,31.2499,31.4555,30.6332,31.4555,235837.0
2000-02-23,31.2499,31.9353,31.1129,31.7982,105598.0
2000-02-24,32.0038,32.3464,31.6269,31.7297,112355.0
2000-02-25,31.5926,32.0038,31.5241,31.6611,95019.0
2000-02-28,31.2499,32.3464,31.0786,32.2436,154670.0
2000-02-29,32.1066,32.7576,32.038,32.6206,158318.0
2000-03-01,31.3527,32.0038,31.3527,31.901,157214.0
2000-03-02,31.1129,32.0038,31.0444,32.0038,194798.0
2000-03-03,30.7702,31.4555,30.7702,31.2499,201000.0
2000-03-06,30.359,30.8388,30.222,30.6332,487358.0
2000-03-07,30.6332,30.6332,30.1535,30.359,339439.0
