Date,Open,High,Low,Close,Volume
2009-10-29,35.4148,36.1068,34.0389,34.8938,2215462.0
2009-10-30,34.8449,35.1136,34.5274,34.6251,630411.0
2009-11-02,34.6251,35.3334,34.3727,35.309,583043.0
2009-11-03,34.9996,35.6509,34.9019,35.5125,499305.0
2009-11-04,35.5532,36.0254,35.3253,35.5614,499614.0
2009-11-05,35.7323,36.6197,35.6672,36.4406,370785.0
2009-11-06,36.4406,36.921,36.1801,36.5953,416411.0
2009-11-09,36.7744,37.5234,36.6442,37.2499,284495.0
2009-11-10,37.3199,38.02,36.9454,37.9142,404005.0
2009-11-11,37.8426,38.7446,37.8426,38.6632,419173.0
2009-11-12,38.6632,38.7609,37.3443,37.4501,285706.0
2009-11-13,37.613,37.6944,37.214,37.4583,205325.0
2009-11-16,37.8328,38.6551,37.5478,38.3522,336939.0
2009-11-17,38.362,39.0621,38.2154,38.7682,341561.0
2009-11-18,38.6551,39.054,38.3783,38.6461,307911.0
2009-11-19,38.1259,38.1992,37.5723,37.9223,132316.0
2009-11-20,37.556,37.8654,37.2955,37.5625,225511.0
2009-11-23,38.0689,38.8505,38.0689,38.4157,214005.0
2009-11-24,38.2968,38.4841,38.077,38.2643,132855.0
2009-11-25,38.2317,38.5818,38.0607,38.2977,165266.0
2009-11-27,37.2873,37.8979,37.0919,37.4583,111387.0
2009-11-30,37.4339,37.4339,35.83,36.9698,309060.0
2009-12-01,37.1489,37.8246,37.0105,37.582,203466.0
2009-12-02,37.6838,38.0038,37.4094,37.8409,139804.0
2009-12-03,37.7839,38.4271,37.7839,38.1674,196846.0
2009-12-04,38.4597,38.6632,37.8816,38.2643,168661.0
2009-12-07,38.2968,38.7853,38.1503,38.5248,104997.0
2009-12-08,38.5248,38.5248,37.7025,37.9403,146744.0
2009-12-09,37.8572,38.0282,37.1082,37.8491,174293.0
2009-12-10,37.5641,37.8491,37.3525,37.5397,152852.0
2009-12-11,37.5478,37.9875,37.5478,37.8979,212654.0
2009-12-14,38.02,38.2968,37.7188,38.2887,267118.0
2009-12-15,38.02,38.2887,37.0431,38.2887,470796.0
2009-12-16,37.4664,37.5071,36.6197,37.328,477326.0
2009-12-17,37.0349,37.4013,36.9535,37.3036,177836.0
2009-12-18,37.214,37.8002,37.1326,37.6366,1210257.0
2009-12-21,37.6374,38.1177,37.5397,37.6374,267528.0
2009-12-22,38.2154,38.2561,36.8965,37.8222,206204.0
2009-12-23,38.2154,38.3783,37.9468,38.1503,298317.0
2009-12-24,38.1829,38.9889,38.0119,38.9726,185492.0
2009-12-28,38.8342,39.1354,38.7121,39.0866,258639.0
2009-12-29,39.2494,39.3308,38.9889,39.1452,381311.0
2009-12-30,38.8749,39.2738,38.6062,38.8342,157528.0
