Date,Open,High,Low,Close,Volume
2000-01-03,3.3987,3.3987,3.3987,3.3987,2979.0
2000-01-04,3.4113,3.4113,3.3735,3.3735,184207.0
2000-01-05,3.3987,3.4239,3.3735,3.3735,295923.0
2000-01-06,3.3987,3.3987,3.3735,3.3735,75470.0
2000-01-07,3.3735,3.4239,3.3735,3.3735,30038.0
2000-01-10,3.4742,3.4742,3.3735,3.4239,20108.0
2000-01-11,3.3735,3.4239,3.3735,3.3735,103027.0
2000-01-12,3.3735,3.3735,3.3735,3.3735,40467.0
2000-01-13,3.3735,3.3987,3.298,3.3735,69514.0
2000-01-14,3.3735,3.4239,3.3735,3.3735,31032.0
2000-01-18,3.3735,3.3987,3.3735,3.3987,94339.0
2000-01-19,3.3987,3.3987,3.3735,3.3861,71004.0
2000-01-20,3.3987,3.3987,3.3735,3.3735,164841.0
2000-01-21,3.3735,3.3987,3.3735,3.3735,105262.0
2000-01-24,3.3735,3.3987,3.3735,3.3987,9931.0
2000-01-25,3.3735,3.3735,3.2728,3.298,26564.0
2000-01-26,3.2728,3.2728,3.2728,3.2728,2234.0
2000-01-27,3.2728,3.3232,3.2728,3.2728,11916.0
2000-01-28,3.2225,3.2225,3.1344,3.1344,3972.0
2000-01-31,3.2225,3.3232,3.1721,3.2728,93844.0
2000-02-01,3.3358,3.3987,3.2728,3.2728,41211.0
2000-02-02,3.3358,3.3735,3.2728,3.2728,4222.0
2000-02-03,3.2728,3.3232,3.2728,3.3232,46672.0
2000-02-04,3.2728,3.3735,3.2728,3.2728,5215.0
2000-02-07,3.3232,3.3232,3.2728,3.3232,18123.0
2000-02-08,3.3232,3.3735,3.2728,3.3735,61816.0
2000-02-09,3.2728,3.3987,3.2728,3.3735,46673.0
2000-02-10,3.2728,3.2728,3.2728,3.2728,38481.0
2000-02-11,3.2728,3.298,3.2728,3.2728,13407.0
2000-02-14,3.2728,3.2728,3.0714,3.2728,11668.0
2000-02-15,3.1721,3.1721,3.1721,3.1721,2979.0
2000-02-17,3.1721,3.1721,3.1218,3.1721,11668.0
2000-02-18,3.1218,3.147,3.1218,3.147,38480.0
2000-02-22,3.1973,3.2225,3.147,3.2225,17875.0
2000-02-23,3.2225,3.2225,3.2225,3.2225,27558.0
2000-02-24,3.2225,3.2477,3.2225,3.2477,44687.0
2000-02-25,3.2728,3.2728,3.2728,3.2728,19861.0
2000-02-28,3.2477,3.2477,3.2477,3.2477,9186.0
2000-02-29,3.2728,3.2728,3.2728,3.2728,497.0
2000-03-01,3.2728,3.2728,3.2728,3.2728,3724.0
2000-03-02,3.298,3.298,3.2728,3.2728,4966.0
2000-03-03,3.2728,3.3232,3.2728,3.2728,48658.0
2000-03-06,3.2728,3.2728,3.2728,3.2728,32026.0
2000-03-07,3.2728,3.3232,3.2728,3.2728,29543.0
2000-03-08,3.2728,3.3232,3.2728,3.3232,55858.0
2000-03-09,3.2728,3.2728,3.2728,3.2728,6704.0
2000-03-10,3.2728,3.2728,3.2728,3.2728,248.0
2000-03-13,3.2728,3.2728,3.2728,3.2728,9434.0
2000-03-14,3.3232,3.3232,3.298,3.298,46921.0
2000-03-15,3.298,3.298,3.298,3.298,497.0
2000-03-16,3.298,3.3735,3.298,3.3735,63802.0
2000-03-17,3.3735,3.3735,3.2728,3.3232,79691.0
2000-03-20,3.2728,3.2728,3.2728,3.2728,4717.0
2000-03-21,3.3232,3.3735,3.3232,3.3735,69264.0
2000-03-22,3.3861,3.3861,3.3484,3.3484,7200.0
2000-03-23,3.3861,3.3861,3.3484,3.3484,33514.0
2000-03-24,3.3735,3.3735,3.3735,3.3735,1241.0
2000-03-27,3.3484,3.3987,3.3484,3.3484,100545.0
2000-03-28,3.3735,3.3735,3.3484,3.3484,25074.0
2000-03-29,3.3484,3.3987,3.3484,3.3484,42204.0
2000-03-30,3.3987,3.3987,3.3484,3.3484,16384.0
2000-03-31,3.3484,3.4239,3.3484,3.3484,13654.0
2000-04-03,3.3484,3.3484,3.3484,3.3484,82421.0
2000-04-04,3.3735,3.3735,3.3484,3.3484,94835.0
2000-04-05,3.3484,3.3735,3.3484,3.3735,32272.0
2000-04-06,3.3735,3.3735,3.3484,3.3735,4717.0
2000-04-07,3.3484,3.3735,3.3484,3.3735,50395.0
2000-04-10,3.3735,3.3735,3.3484,3.3484,36246.0
2000-04-11,3.3735,3.3735,3.3484,3.3484,53128.0
2000-04-12,3.3735,3.3735,3.3484,3.3484,24329.0
2000-04-13,3.3484,3.3735,3.3484,3.3484,56603.0
2000-04-14,3.3484,3.3484,3.2225,3.2225,98807.0
2000-04-17,3.2225,3.2225,3.0966,3.147,16387.0
2000-04-18,3.1721,3.2225,3.1721,3.1721,39225.0
2000-04-19,3.2225,3.2728,3.2225,3.2728,21351.0
2000-04-20,3.2728,3.2728,3.2728,3.2728,4717.0
2000-04-24,3.2728,3.2728,3.2225,3.2225,2731.0
2000-04-25,3.2225,3.2728,3.2225,3.2477,15888.0
2000-04-26,3.3232,3.3232,3.2728,3.2728,9186.0
2000-04-27,3.3232,3.3484,3.2728,3.3232,79938.0
2000-04-28,3.3232,3.3232,3.2728,3.2728,6704.0
2000-05-01,3.2225,3.2225,3.2225,3.2225,497.0
2000-05-02,3.1721,3.1721,3.1721,3.1721,8938.0
2000-05-03,3.1721,3.1721,3.1721,3.1721,2979.0
2000-05-04,3.2225,3.2225,3.2225,3.2225,3227.0
2000-05-05,3.2225,3.2225,3.2225,3.2225,13902.0
2000-05-08,3.2728,3.3232,3.2225,3.2225,17378.0
2000-05-09,3.1721,3.2477,3.1218,3.1218,60577.0
2000-05-10,3.1218,3.1218,3.0463,3.1218,5710.0
2000-05-11,3.1218,3.1721,3.0211,3.0714,51141.0
2000-05-12,3.1721,3.1721,3.0211,3.0714,4469.0
2000-05-15,3.0966,3.1973,3.0966,3.1973,28550.0
2000-05-16,3.2225,3.2225,3.2225,3.2225,17378.0
