Date,Open,High,Low,Close,Volume
2021-01-27,10.4,10.4,10.0,10.09,3763539
2021-01-28,10.1,10.25,10.09,10.19,374796
2021-01-29,10.2,10.3,10.1,10.1,254862
2021-02-01,10.11,10.22,10.1,10.15,156177
2021-02-02,10.16,10.455,10.15,10.21,189834
2021-02-03,10.2,10.27,10.17,10.2,213104
2021-02-04,10.19,10.49,10.19,10.38,245308
2021-02-05,10.47,10.65,10.4,10.48,303576
2021-02-08,10.5,10.55,10.35,10.48,36081
2021-02-09,10.74,10.74,10.43,10.5,444977
2021-02-10,10.49,10.88,10.43,10.8,469979
2021-02-11,10.7,11.0,10.6,10.71,192779
2021-02-12,10.79,10.9399,10.7,10.79,281259
2021-02-16,10.87,11.0,10.72,11.0,42723
2021-02-17,10.7501,10.895,10.61,10.61,55047
2021-02-18,10.61,10.61,10.45,10.49,164750
2021-02-19,10.51,10.59,10.44,10.44,79655
2021-02-22,10.42,10.58,10.32,10.4999,100079
2021-02-23,10.19,10.5,10.135,10.4,136638
2021-02-24,10.4,10.5,10.22,10.28,186856
2021-02-25,10.35,10.49,10.22,10.49,98361
2021-02-26,10.36,10.415,10.24,10.36,101585
2021-03-01,10.39,10.39,10.25,10.26,231034
2021-03-02,10.33,10.35,10.2,10.33,317995
2021-03-03,10.34,10.62,10.0,10.0,296069
2021-03-04,10.25,10.28,10.12,10.16,150672
2021-03-05,10.015,10.35,10.015,10.29,73688
2021-03-08,10.3,10.32,10.22,10.26,113713
2021-03-09,10.26,10.26,10.13,10.15,200601
2021-03-10,10.245,10.245,10.07,10.08,205015
2021-03-11,10.105,10.14,10.105,10.11,3947
2021-03-12,10.35,10.35,10.18,10.3,75841
2021-03-15,10.11,10.11,10.02,10.04,236173
2021-03-16,10.12,10.12,9.97,9.97,27560
2021-03-17,9.98,10.0,9.95,9.95,24437
2021-03-18,9.95,9.97,9.95,9.953,4406
2021-03-19,9.955,10.0,9.95,9.95,5849
2021-03-22,9.95,10.06,9.95,9.97,3010
2021-03-23,9.95,9.98,9.82,9.95,16741
2021-03-24,9.8701,9.99,9.59,9.99,40419
2021-03-25,9.48,9.9,9.48,9.89,6963
2021-03-26,9.99,10.01,9.89,10.01,1200
2021-03-29,9.83,9.83,9.83,9.83,100
2021-03-30,9.81,9.92,9.79,9.92,5703
2021-03-31,9.9677,10.0,9.94,10.0,16515
2021-04-01,10.0,10.0,9.9,9.98,29659
2021-04-05,9.99,10.124,9.99,10.0,5935
2021-04-06,10.35,10.35,10.07,10.09,4464
2021-04-07,10.05,10.2,9.95,10.2,11116
2021-04-08,10.1999,10.1999,10.0,10.0,5384
2021-04-09,10.13,10.2,10.13,10.15,24832
2021-04-12,10.05,10.2,10.0385,10.2,23102
2021-04-13,10.06,10.07,10.05,10.06,3870
2021-04-14,10.0,10.1,10.0,10.03,123828
