Date,Open,High,Low,Close,Volume
2019-07-11,33.8341,34.0225,33.3065,33.7573,1692403
2019-07-12,33.5776,33.808,33.2877,33.6457,1992839
2019-07-15,33.6471,33.9791,33.5428,33.9399,857334
2019-07-16,33.7848,34.2255,33.4747,33.5384,1550160
2019-07-17,33.6805,34.0776,33.3862,33.7051,1982792
2019-07-18,33.7805,34.8777,33.6095,34.6357,3564174
2019-07-19,34.8734,35.4923,34.5197,34.5284,2415710
2019-07-22,34.7661,35.2372,34.5646,34.9096,1792872
2019-07-23,35.1777,35.1777,34.4509,34.8647,1490690
2019-07-24,34.7893,35.4662,34.7864,35.4111,1653740
2019-07-25,35.4068,35.5445,34.9995,35.272,2087961
2019-07-26,35.5445,35.7894,35.1792,35.7894,1435098
2019-07-29,35.3676,35.501,34.8313,35.2212,1288522
2019-07-30,35.0763,35.1633,34.669,34.7719,1676461
2019-07-31,34.8328,35.1067,34.3545,34.6487,1594560
2019-08-01,34.6415,35.453,34.5458,34.6038,3383155
2019-08-02,34.5385,35.1763,34.1298,34.3182,3876529
2019-08-05,33.7718,33.9153,32.5644,32.6123,3790788
2019-08-06,33.3964,37.8302,33.3862,37.6853,3214436
2019-08-07,37.1258,41.232,35.4473,37.5403,7651175
2019-08-08,37.3867,37.6838,35.701,37.2243,10111992
2019-08-09,37.9288,37.9896,36.0257,37.1084,4407767
2019-08-12,36.9403,36.9403,35.0213,35.5155,5268069
2019-08-13,35.1748,36.1938,34.6436,34.7255,6499210
2019-08-14,34.2153,34.8864,33.8501,34.8386,3160776
2019-08-15,34.7835,35.73,34.4965,35.5111,4138643
2019-08-16,35.6503,36.2837,35.5111,36.1155,2792299
2019-08-19,36.5315,36.6286,35.4285,36.2054,3507018
2019-08-20,36.159,37.249,35.9387,37.1055,4139382
2019-08-21,37.104,37.7403,36.8779,37.5505,3646511
2019-08-22,37.6447,37.9375,37.2287,37.7809,3628737
2019-08-23,37.32,38.1056,37.0345,37.1055,4226283
2019-08-26,37.5882,37.6068,36.4605,36.9649,5446701
2019-08-27,37.2794,37.6186,36.5127,36.6808,4573355
2019-08-28,36.6504,36.8243,36.0981,36.6634,2973882
2019-08-29,36.891,37.1432,36.3851,36.8533,3293394
2019-08-30,37.1533,37.3099,36.5431,36.9084,4142765
2019-09-03,36.6315,37.4316,36.5214,36.8576,5603873
2019-09-04,37.1055,37.2968,36.6837,36.9736,2536316
2019-09-05,37.3229,37.5969,34.8023,35.4952,6856068
2019-09-06,35.5155,35.9677,35.2386,35.4386,3410879
2019-09-09,35.6097,35.6387,34.0921,34.3516,3198140
2019-09-10,34.14,34.4139,33.3261,33.4703,4139205
2019-09-11,33.4544,34.2298,33.0732,33.2268,3334374
2019-09-12,33.4181,34.011,33.3196,33.337,2377008
2019-09-13,33.1109,33.3365,32.905,32.9587,2202027
2019-09-16,32.7253,33.2906,32.5862,33.2254,2942622
2019-09-17,34.0617,34.5081,33.2254,34.2921,4262374
2019-09-18,34.4516,34.4516,33.2225,33.808,3423684
2019-09-19,33.8037,34.14,33.5892,33.7732,4084799
2019-09-20,34.0254,34.0892,33.4152,33.4747,5678770
