Date,Open,High,Low,Close,Volume
2022-05-19,2.54,2.72,2.51,2.71,75610
2022-05-20,2.69,2.7174,2.5801,2.63,28261
2022-05-23,2.65,2.8481,2.65,2.72,32388
2022-05-24,2.79,2.9,2.67,2.73,103593
2022-05-25,2.72,2.74,2.64,2.69,115243
2022-05-26,2.61,2.7,2.61,2.6495,54572
2022-05-27,2.76,2.76,2.5969,2.63,134270
2022-05-31,2.75,2.75,2.43,2.55,84787
2022-06-01,2.53,2.63,2.45,2.51,136194
2022-06-02,2.51,2.67,2.51,2.65,78626
2022-06-03,2.65,2.65,2.53,2.5401,24112
2022-06-06,2.39,2.6,2.36,2.51,129304
2022-06-07,2.4946,2.52,2.46,2.51,218677
2022-06-08,2.53,2.562,2.5199,2.54,163125
2022-06-09,2.54,2.5401,2.37,2.3835,52904
2022-06-10,2.39,2.39,2.18,2.3258,484847
2022-06-13,2.32,2.32,2.22,2.27,251839
2022-06-14,2.19,2.22,2.15,2.17,37146
2022-06-15,2.2,2.3099,2.18,2.23,34041
2022-06-16,2.2,2.26,2.12,2.24,110066
2022-06-17,2.22,2.26,2.19,2.24,25368
2022-06-21,2.21,2.31,2.2,2.31,21857
2022-06-22,2.21,2.22,2.16,2.18,81425
2022-06-23,2.18,2.18,1.99,2.01,133787
2022-06-24,2.13,2.13,2.01,2.03,49059
2022-06-27,2.09,2.09,2.01,2.0545,51505
2022-06-28,2.1,2.1,1.8486,1.91,240825
2022-06-29,1.97,1.97,1.86,1.895,74645
2022-06-30,1.85,1.93,1.765,1.91,143153
2022-07-01,1.8,1.9,1.75,1.9,120194
2022-07-05,1.8,1.9,1.7,1.76,171247
2022-07-06,1.71,1.76,1.62,1.67,346694
2022-07-07,1.69,1.8,1.63,1.74,76697
2022-07-08,1.7,1.75,1.6588,1.695,96765
2022-07-11,1.7,1.7,1.62,1.66,67612
2022-07-12,1.68,1.72,1.59,1.66,285661
2022-07-13,1.65,1.79,1.62,1.72,163058
2022-07-14,1.67,1.7,1.57,1.5701,223125
2022-07-15,1.64,1.67,1.52,1.64,327863
2022-07-18,1.67,1.7,1.65,1.66,79305
2022-07-19,1.69,1.705,1.65,1.67,68087
2022-07-20,1.68,1.68,1.59,1.59,84313
2022-07-21,1.64,1.74,1.58,1.74,146276
2022-07-22,1.76,1.82,1.69,1.69,97420
2022-07-25,1.7,1.7,1.6199,1.64,96457
2022-07-26,1.65,1.7091,1.65,1.68,41220
2022-07-27,1.69,1.82,1.66,1.82,112465
2022-07-28,1.83,1.92,1.83,1.89,113234
2022-07-29,1.9,1.93,1.8289,1.9,166744
2022-08-01,1.91,1.95,1.83,1.94,93873
2022-08-02,2.05,2.24,1.85,1.87,217660
2022-08-03,2.0,2.0,1.72,1.72,154575
2022-08-04,1.87,1.99,1.8,1.95,154259
2022-08-05,1.94,1.94,1.84,1.94,95845
2022-08-08,1.96,2.0106,1.9496,1.96,121755
2022-08-09,1.97,2.0201,1.935,2.0199,68849
2022-08-10,2.06,2.3,2.04,2.14,301293
2022-08-11,2.12,2.16,2.05,2.09,70262
2022-08-12,2.0733,2.115,2.05,2.1,111465
2022-08-15,2.06,2.06,1.97,2.0,50246
2022-08-16,2.02,2.11,1.9393,2.11,184142
