Date,Open,High,Low,Close,Volume
2000-01-03,7.7534,7.7534,7.7096,7.7096,3424
2000-01-04,7.6658,7.6658,7.6001,7.611,21687
2000-01-05,7.622,7.6275,7.4687,7.4687,35957
2000-01-06,7.4687,7.4906,7.3372,7.3372,9132
2000-01-07,7.1401,7.3591,7.1401,7.3591,14840
2000-01-10,7.3372,7.3372,7.162,7.2934,11414
2000-01-11,7.0963,7.3372,7.0744,7.2715,35959
2000-01-12,7.2715,7.2715,7.2058,7.2058,10274
2000-01-13,7.1839,7.3591,7.1839,7.3591,13699
2000-01-14,7.2058,7.3591,7.2058,7.3591,3424
2000-01-18,7.3591,7.3591,7.1839,7.1839,5136
2000-01-19,7.162,7.1839,7.0306,7.1182,5707
2000-01-20,7.1839,7.3591,7.0087,7.0306,18833
2000-01-21,7.047,7.162,7.0306,7.0306,26254
2000-01-24,7.0306,7.3372,7.0306,7.1839,44517
2000-01-25,7.1839,7.3591,7.1839,7.1839,57071
2000-01-26,7.1839,7.1839,7.0525,7.0525,10847
2000-01-27,7.0525,7.1292,7.0525,7.0525,19406
2000-01-28,7.0525,7.1073,7.0087,7.1073,97595
2000-01-31,7.0963,7.0963,7.0525,7.0963,26825
2000-02-01,7.0854,7.0854,6.7185,6.9868,61640
2000-02-02,7.0963,7.0963,6.8773,6.8773,7990
2000-02-03,7.0197,7.4577,7.0197,7.3591,73623
2000-02-04,7.2277,7.3591,7.1839,7.1839,28535
2000-02-07,7.2661,7.3811,7.2496,7.2715,15410
2000-02-08,7.2715,7.4249,7.1839,7.2058,51367
2000-02-09,7.2715,7.3591,7.2277,7.2277,22258
2000-02-10,7.3591,7.3591,6.7021,6.8335,23970
2000-02-11,6.8335,6.8335,6.8335,6.8335,17692
2000-02-14,7.1839,7.1839,6.8116,6.9102,8560
2000-02-15,6.8335,7.1182,6.8335,7.1182,11415
2000-02-16,7.0087,7.0087,6.8554,6.8554,7420
2000-02-17,7.0416,7.0416,6.8444,7.0087,10273
2000-02-18,7.0087,7.0087,6.8444,6.8554,22258
2000-02-22,6.8335,6.9211,6.7678,6.9211,65064
2000-02-23,7.0963,7.0963,6.8773,7.0087,9703
2000-02-24,6.8773,6.8773,6.7897,6.8335,7990
2000-02-25,6.8225,6.9649,6.8116,6.9649,19974
2000-02-28,6.8225,6.8225,6.8225,6.8225,1141
2000-02-29,6.8335,6.9211,6.7787,6.7787,141540
2000-03-01,6.8444,6.9211,6.8116,6.9211,21687
2000-03-02,6.9211,6.9211,6.8116,6.8335,58784
2000-03-03,6.839,6.8992,6.8335,6.8335,19404
2000-03-06,6.8554,6.8554,6.7897,6.8116,15409
2000-03-07,6.8116,6.8773,6.6583,6.6583,89033
2000-03-08,6.6638,6.8773,6.5707,6.8773,27392
2000-03-09,6.7459,6.7459,6.7459,6.7459,13696
2000-03-10,6.7459,6.8773,6.5269,6.6528,44515
2000-03-13,6.4831,6.6583,6.4393,6.5269,59357
2000-03-14,6.5707,6.6473,6.5488,6.5488,26254
2000-03-15,6.5761,6.6583,6.5488,6.6364,141536
2000-03-16,6.6364,7.0087,6.5926,6.9649,53650
2000-03-17,6.9211,6.9649,6.8116,6.9649,21687
2000-03-20,6.943,7.0087,6.8335,6.9868,39951
2000-03-21,6.8335,7.0087,6.8335,7.0087,11986
2000-03-22,6.8335,6.9649,6.8335,6.9649,9703
2000-03-23,6.8116,7.0087,6.8116,7.0087,15409
2000-03-24,6.9978,7.2715,6.9978,7.1839,49082
2000-03-27,7.0963,7.1182,7.0963,7.1182,12556
2000-03-28,7.0963,7.173,7.0525,7.0635,24539
2000-03-29,7.0087,7.1182,6.8444,7.1182,37668
2000-03-30,7.0032,7.0032,6.9594,6.9759,24541
2000-03-31,6.9649,7.0963,6.9649,7.0963,18833
2000-04-03,7.0854,7.0963,7.0087,7.0087,25111
2000-04-04,7.0142,7.0142,6.9211,7.0087,67915
2000-04-05,7.0197,7.2934,7.0197,7.2934,41666
2000-04-06,7.277,7.277,7.162,7.162,9131
2000-04-07,7.2606,7.3591,7.162,7.3591,10844
2000-04-10,7.3591,7.3591,7.0087,7.0087,30817
2000-04-11,7.0087,7.3591,7.0087,7.1401,14841
2000-04-12,7.1292,7.1401,7.0087,7.1401,10843
2000-04-13,7.1401,7.1401,7.0744,7.1401,30818
2000-04-14,7.0087,7.3591,7.0087,7.3591,34813
2000-04-17,7.2715,7.6001,7.0087,7.6001,38811
2000-04-18,7.5344,7.5344,7.403,7.5344,12556
2000-04-19,7.4468,7.4468,7.3591,7.4358,14839
2000-04-20,7.4358,7.5125,7.4358,7.5125,9701
2000-04-24,7.3591,7.3591,7.1839,7.2277,5136
2000-04-25,7.1839,7.2496,7.1839,7.1839,17122
2000-04-26,7.1839,7.1839,7.0087,7.0963,814986
2000-04-27,7.1839,7.2715,7.1401,7.2715,26824
2000-04-28,7.2934,7.2934,7.2277,7.2496,14840
2000-05-01,7.2934,7.622,7.2934,7.5782,36529
2000-05-02,7.5891,7.5891,7.5891,7.5891,10274
2000-05-03,7.622,7.622,7.5344,7.622,6279
2000-05-04,7.622,7.622,7.4906,7.622,46228
2000-05-05,7.5672,7.7096,7.5672,7.5782,31961
2000-05-08,7.5782,7.7096,7.5782,7.622,18834
2000-05-09,7.622,7.6275,7.622,7.6275,2854
2000-05-10,7.622,7.6877,7.5782,7.6877,10273
2000-05-11,7.5782,7.5782,7.4468,7.5782,21118
2000-05-12,7.5782,7.611,7.4687,7.4687,17692
2000-05-15,7.4687,7.7096,7.4468,7.7096,11985
2000-05-16,7.6877,7.6932,7.4468,7.6877,17122
2000-05-17,7.4468,7.6877,7.4468,7.4906,11415
2000-05-18,7.4468,7.6439,7.3591,7.4906,154096
2000-05-19,7.3591,7.3591,7.1839,7.1839,14837
2000-05-22,7.162,7.162,6.9868,6.9868,44515
2000-05-23,6.9649,7.0525,6.8335,6.9649,11986
2000-05-24,7.1182,7.1839,7.0963,7.1839,32530
2000-05-25,7.1839,7.622,7.1839,7.5563,21688
2000-05-26,7.2715,7.622,7.2715,7.622,6278
2000-05-30,7.2715,7.7096,7.2715,7.622,22829
2000-05-31,7.622,7.7096,7.611,7.7096,67345
2000-06-01,7.403,7.403,7.3591,7.3591,2284
2000-06-02,7.7096,7.7096,7.4577,7.4577,7419
2000-06-05,7.4577,7.6986,7.4358,7.6986,15981
2000-06-06,7.403,7.5344,7.2715,7.2715,22830
2000-06-07,7.3591,7.3591,7.2058,7.2058,15980
2000-06-08,7.2058,7.2058,7.0306,7.0306,44516
2000-06-09,7.0306,7.162,6.954,6.9978,45658
2000-06-12,7.0525,7.0799,6.943,7.0087,24541
2000-06-13,8.5419,8.5419,7.173,7.4468,80818
2000-06-14,7.3099,7.4468,7.3099,7.3372,18263
2000-06-15,7.2277,7.3646,6.7897,7.3646,41550
2000-06-16,7.0087,7.3646,6.8444,7.3099,46116
2000-06-19,7.2277,7.392,7.1182,7.392,14156
2000-06-20,7.173,7.3646,7.173,7.3646,17352
2000-06-21,7.2414,7.3646,7.2414,7.3646,2284
2000-06-22,7.2414,7.392,6.8034,6.8034,77620
2000-06-23,6.8992,7.4194,6.8444,7.4194,94970
2000-06-26,7.3167,7.3167,7.0087,7.2004,72596
