Date,Open,High,Low,Close,Volume
2020-02-28,24.5476,24.6058,24.5476,24.6058,4115
2020-03-02,24.6641,24.6641,24.6447,24.6447,4118
2020-03-03,24.7224,24.8778,24.7224,24.8487,3398
2020-03-06,25.0721,25.0721,25.014,25.014,824
2020-03-09,25.247,25.247,25.1595,25.1595,8902
2020-03-10,25.1013,25.111,24.9653,24.9653,5663
2020-03-11,25.0041,25.0041,24.8681,24.8681,143906
2020-03-12,24.9604,25.0527,24.8293,24.8293,20904
2020-03-13,24.8001,25.5675,24.7613,24.7613,315166
2020-03-16,25.0041,25.0721,24.9361,25.0721,20378
2020-03-17,25.0818,25.0818,24.839,24.839,1235
2020-03-18,24.7821,24.839,24.5961,24.6897,6005
2020-03-19,24.8584,24.8992,24.7418,24.7418,3501
2020-03-20,24.9361,25.0138,24.9361,25.0138,558
2020-03-23,25.0915,25.2421,25.0915,25.2421,1027
2020-03-24,25.1294,25.1294,25.0624,25.0624,2635
2020-03-25,25.111,25.111,25.043,25.0837,309
2020-03-27,25.1799,25.2664,25.179,25.2664,618
2020-03-30,25.3198,25.3441,25.2567,25.2713,51945
2020-03-31,25.3004,25.3733,25.3004,25.3733,1175
2020-04-01,25.3733,25.3733,25.3101,25.3101,618
2020-04-02,25.3733,25.3733,25.2955,25.2955,1856
2020-04-03,25.3635,25.4121,25.3053,25.3053,940
2020-04-06,25.2518,25.315,25.2227,25.2275,648
2020-04-07,25.2178,25.2178,25.1887,25.1887,103
2020-04-08,25.179,25.1935,25.179,25.1935,131
2020-04-09,25.2567,25.2664,25.2275,25.2534,745
2020-04-13,25.2518,25.2858,25.2081,25.2294,534
2020-04-14,25.2858,25.2955,25.2275,25.2275,1956
2020-04-15,25.3344,25.3582,25.3344,25.3582,412
2020-04-16,25.3441,25.3927,25.3344,25.349,2113
2020-04-17,25.3733,25.383,25.3053,25.3053,941
2020-04-20,25.3053,25.3635,25.3053,25.3431,965
2020-04-21,25.3927,25.3927,25.3441,25.3684,412
2020-04-22,25.3053,25.3538,25.3053,25.3295,978
2020-04-23,25.315,25.315,25.3053,25.3053,309
2020-04-24,25.2955,25.3635,25.2955,25.3295,515
2020-04-27,25.3053,25.3053,25.2567,25.281,748
2020-04-28,25.2858,25.3441,25.2858,25.3295,855
2020-04-29,25.3247,25.3471,25.3247,25.3471,309
2020-04-30,25.3344,25.3927,25.3249,25.338,1007
2020-05-01,25.315,25.3441,25.315,25.3221,824
2020-05-04,25.2955,25.3295,25.2955,25.3295,570
2020-05-05,25.2955,25.3538,25.2955,25.3198,927
2020-05-06,25.2664,25.315,25.2664,25.3101,2883
2020-05-07,25.3053,25.3975,25.3053,25.3975,412
2020-05-08,25.4073,25.4315,25.3717,25.3717,592
2020-05-11,25.3441,25.3635,25.3344,25.3344,677
2020-05-12,25.315,25.3587,25.315,25.3587,412
2020-05-13,25.3733,25.4121,25.3635,25.3635,789
2020-05-14,25.383,25.4315,25.383,25.3975,1343
2020-05-15,25.3733,25.4121,25.3733,25.396,442
2020-05-18,25.4218,25.4218,25.3927,25.4218,2277
2020-05-19,25.3538,25.3684,25.3538,25.3684,3500
2020-05-21,25.3733,25.3733,25.3635,25.3635,824
2020-05-22,25.3869,25.3927,25.3781,25.3781,363
2020-05-26,25.3635,25.3635,25.3635,25.3635,3449
2020-05-27,25.3733,25.3781,25.3587,25.3587,1442
2020-05-28,25.3733,25.3733,25.3635,25.3635,1544
2020-05-29,25.3734,25.4073,25.3733,25.4073,604
2020-06-01,25.383,25.3878,25.383,25.3878,155
2020-06-03,25.3247,25.3247,25.3038,25.3038,175
2020-06-04,25.2858,25.2858,25.2713,25.2713,226
2020-06-05,25.179,25.2033,25.179,25.2033,362
2020-06-08,25.1887,25.2224,25.1887,25.2224,224
2020-06-09,25.2713,25.2858,25.2713,25.2858,284
2020-06-11,25.4024,25.4024,25.3748,25.3748,1459
2020-06-12,25.3828,25.3828,25.3733,25.3733,206
2020-06-15,25.3927,25.3927,25.3927,25.3927,237
2020-06-16,25.3635,25.3635,25.349,25.349,534
2020-06-17,25.3733,25.3733,25.3538,25.3538,827
2020-06-18,25.383,25.383,25.3684,25.3684,193
2020-06-19,25.383,25.383,25.3733,25.3733,158
2020-06-22,25.383,25.3927,25.3635,25.3635,1022
2020-06-23,25.3538,25.3827,25.3538,25.3684,357
2020-06-24,25.383,25.383,25.383,25.383,103
2020-06-25,25.4118,25.4118,25.383,25.383,180
2020-06-26,25.4218,25.4218,25.4121,25.4121,103
2020-06-29,25.4413,25.4413,25.4413,25.4413,103
2020-06-30,25.4413,25.4413,25.4315,25.4315,103
2020-07-02,25.3927,25.417,25.3927,25.417,103
2020-07-06,25.3927,25.3975,25.3927,25.3975,470
2020-07-07,25.4121,25.4218,25.4121,25.4218,9599
2020-07-08,25.4218,25.4218,25.4068,25.4121,534
2020-07-09,25.4413,25.4413,25.4315,25.4315,103
2020-07-10,25.4315,25.4315,25.417,25.417,2220
2020-07-13,25.4121,25.4221,25.4121,25.4221,1356
2020-07-14,25.451,25.451,25.4218,25.4218,103
2020-07-16,25.4607,25.4607,25.4413,25.4413,2724
2020-07-20,25.4413,25.4413,25.4315,25.4315,679
2020-07-21,25.451,25.4607,25.451,25.451,4096
2020-07-22,25.451,25.451,25.451,25.451,103
2020-07-23,25.4704,25.4704,25.451,25.451,114
2020-07-24,25.4607,25.4607,25.4413,25.451,251
2020-07-27,25.451,25.451,25.4315,25.4315,370
2020-07-28,25.4607,25.4607,25.4607,25.4607,253
2020-07-30,25.4995,25.4995,25.4898,25.4995,646
2020-07-31,25.4995,25.519,25.4995,25.519,226
2020-08-03,25.4898,25.4995,25.4898,25.4995,179
2020-08-04,25.5384,25.5384,25.5335,25.5335,287
2020-08-05,25.4898,25.5092,25.4898,25.4995,481
2020-08-07,25.5092,25.5092,25.4898,25.4898,412
2020-08-10,25.4704,25.4801,25.4704,25.4801,103
2020-08-12,25.4217,25.4217,25.4121,25.4121,176
