Date,Open,High,Low,Close,Volume
2017-03-28,17.5,17.51,14.355,14.4,165739
2017-03-29,14.41,15.24,14.2001,15.23,61238
2017-03-30,15.74,15.999,14.75,15.65,12493
2017-03-31,15.6178,16.49,15.6178,16.4212,1800
2017-04-03,16.3,16.3,15.0,15.3,14059
2017-04-04,15.0,15.5,15.0,15.32,25022
2017-04-05,15.3659,16.0763,15.25,15.55,17498
2017-04-06,15.3663,15.4499,15.3663,15.4269,1500
2017-04-07,15.42,15.4323,15.26,15.26,5602
2017-04-10,15.26,15.44,15.25,15.44,11001
2017-04-11,15.4,15.4999,15.3,15.3,6400
2017-04-12,15.3,15.3,15.13,15.3,16309
2017-04-17,15.3,15.3,15.0,15.09,3390
2017-04-18,15.2,15.22,15.2,15.22,16124
2017-04-19,15.25,15.2545,15.1499,15.25,4863
2017-04-20,14.96,15.18,14.95,15.18,23000
2017-04-21,15.1201,15.1201,15.1201,15.1201,203
2017-04-24,15.29,15.29,15.174,15.174,500
2017-04-25,15.24,15.3,15.24,15.3,5900
2017-04-26,15.0,15.18,15.0,15.12,6300
2017-04-27,14.9678,15.2266,14.9678,15.15,1211
2017-04-28,15.12,15.33,15.0884,15.33,32383
2017-05-01,15.35,16.0,15.35,15.75,27464
2017-05-02,16.0,16.0,15.7,15.83,24218
2017-05-03,15.8578,15.9501,15.8578,15.95,3661
2017-05-04,15.94,15.95,15.55,15.95,4430
2017-05-08,15.5001,15.95,15.5001,15.8,692
2017-05-10,15.51,15.88,15.51,15.61,790
2017-05-11,15.39,15.8767,15.39,15.83,1200
2017-05-12,15.5001,15.99,15.5001,15.921,10863
2017-05-15,15.7,15.95,15.7,15.93,700
2017-05-16,15.9762,16.2,15.9001,16.2,23010
2017-05-17,16.08,16.3,15.9101,16.3,24000
2017-05-18,16.1,16.47,16.1,16.45,25310
2017-05-19,16.45,17.99,16.45,17.45,57221
2017-05-22,17.45,17.45,16.6701,17.36,1394
2017-05-23,16.7601,17.25,16.76,17.24,6331
2017-05-24,17.2,17.2,17.06,17.06,4800
2017-05-25,17.0814,17.0982,17.0,17.06,10551
2017-05-26,17.1,17.25,17.0656,17.23,1200
2017-05-30,17.2125,17.25,17.13,17.24,4770
2017-05-31,17.25,18.0,17.25,18.0,2863
2017-06-01,18.0,18.0,17.582,17.96,1600
2017-06-02,17.13,17.99,17.13,17.97,2261
2017-06-05,17.98,18.0,17.63,17.93,2400
2017-06-06,17.93,17.93,17.63,17.92,5112
2017-06-07,17.8512,17.97,17.85,17.95,4189
2017-06-08,17.95,18.0,17.5823,17.94,8470
2017-06-09,17.93,17.95,17.5101,17.95,2864
2017-06-12,17.9,17.95,17.86,17.95,3822
2017-06-13,17.759,17.95,17.68,17.9,4549
2017-06-14,17.9,18.0,17.8482,18.0,6941
2017-06-15,18.0,18.0,17.87,17.98,3300
2017-06-16,18.0,18.0,17.06,17.09,28751
2017-06-19,17.25,17.33,17.06,17.19,7825
2017-06-20,17.1321,17.32,17.09,17.09,700
2017-06-21,17.77,17.77,17.5,17.5,2775
2017-06-22,17.558,17.558,17.11,17.11,1200
2017-06-23,17.47,17.68,17.47,17.5,4105
2017-06-26,17.66,17.66,17.3001,17.62,2310
2017-06-27,17.68,17.75,17.32,17.32,5843
2017-07-03,17.69,17.69,17.69,17.69,407
2017-07-07,17.7,17.7,17.21,17.7,614
2017-07-12,17.397,17.72,17.37,17.72,2100
2017-07-13,17.73,17.73,17.73,17.73,592
2017-07-14,17.75,17.75,17.75,17.75,200
2017-07-17,17.72,17.72,17.72,17.72,100
2017-07-25,17.37,17.37,17.37,17.37,309
2017-07-26,17.739,17.739,17.739,17.739,100
2017-08-01,17.2997,17.75,17.1501,17.1501,5742
2017-08-08,17.68,17.68,17.68,17.68,100
2017-08-16,17.14,17.75,17.05,17.69,700
2017-08-17,17.0,17.75,17.0,17.75,700
2017-08-18,17.7399,17.7399,17.7399,17.7399,120
2017-08-21,17.71,17.71,17.7,17.7,645
2017-08-31,17.7241,17.7241,17.7241,17.7241,100
2017-09-06,16.12,16.93,16.12,16.93,450
2017-09-07,16.9,16.9,16.9,16.9,100
2017-09-08,17.03,17.03,17.03,17.03,100
2017-09-11,17.05,17.1994,16.765,17.1994,700
2017-09-12,16.359,17.13,16.359,17.13,700
2017-09-15,17.05,17.22,17.05,17.22,600
2017-09-18,17.15,17.75,17.15,17.75,4800
2017-09-19,17.17,17.75,17.17,17.55,2150
2017-09-25,17.49,18.0,17.49,18.0,550
2017-09-27,17.7895,17.7895,17.7895,17.7895,1000
2017-09-29,18.0,18.0,18.0,18.0,200
2017-10-04,17.23,17.9,16.71,17.2,2959
2017-10-06,16.711,16.85,16.711,16.84,700
2017-10-11,17.0,17.01,16.99,17.0,1201
2017-10-12,17.013,17.013,16.99,17.0,1342
2017-10-20,17.25,17.2501,17.25,17.2501,1092
2017-10-24,17.25,17.25,17.25,17.25,400
2017-10-25,17.0,17.0,17.0,17.0,2300
2017-10-26,16.8438,16.8438,16.8438,16.8438,100
2017-10-27,17.247,17.2492,16.7524,16.7524,1100
2017-10-30,16.82,16.82,16.82,16.82,100
2017-10-31,17.249,17.249,17.249,17.249,100
2017-11-01,16.76,16.9599,16.76,16.9,1448
2017-11-02,16.7601,16.7721,16.76,16.7721,300
2017-11-03,16.75,16.751,16.75,16.75,1296
2017-11-06,16.661,16.661,16.65,16.65,5590
2017-11-07,16.53,16.581,16.2,16.2805,3400
2017-11-13,16.797,16.8,16.75,16.8,5900
2017-11-14,16.98,17.0,16.29,16.29,17492
2017-11-15,16.69,16.69,16.69,16.69,203
2017-11-20,16.61,16.61,16.61,16.61,100
2017-11-30,16.6945,16.6945,16.6945,16.6945,100
2017-12-01,16.55,16.55,16.55,16.55,100
2017-12-06,16.5,16.5,16.288,16.288,1012
2017-12-11,16.52,16.52,16.52,16.52,100
2017-12-12,16.32,16.32,16.27,16.27,1164
2017-12-13,16.2712,16.2712,16.2712,16.2712,612
2017-12-14,16.25,16.25,16.25,16.25,400
2017-12-15,16.25,16.32,16.25,16.32,1191
2017-12-18,16.32,16.45,16.32,16.4,1985
2017-12-19,16.4,16.4,16.4,16.4,700
2017-12-20,16.3001,16.3001,16.15,16.1501,700
2017-12-21,16.1,16.17,16.1,16.11,1400
2017-12-22,16.4136,16.4136,16.4136,16.4136,300
2017-12-26,16.11,16.11,15.77,16.01,7695
2017-12-29,16.27,16.27,16.27,16.27,100
2018-01-02,16.1912,16.1912,16.06,16.06,1900
2018-01-08,16.0,16.0,15.3373,15.3373,1600
2018-01-16,15.99,16.1024,15.99,16.1024,800
2018-01-17,16.1399,16.1399,16.1399,16.1399,800
2018-01-29,15.86,15.8917,15.71,15.71,6316
2018-02-05,15.5411,15.5411,15.11,15.11,5800
2018-02-07,15.5,15.5,15.34,15.37,2000
2018-02-08,15.2066,15.2066,15.2066,15.2066,100
2018-02-16,15.36,15.36,15.1,15.1,1020
2018-02-20,15.1,15.14,15.1,15.1,2800
2018-02-21,15.1856,15.2,15.11,15.15,5774
2018-02-22,15.11,15.15,15.1,15.1,5500
2018-02-23,15.1547,15.199,14.76,14.92,10609
2018-02-26,14.8975,15.1,14.54,15.02,9063
2018-02-27,14.842,14.9,14.81,14.9,3004
2018-02-28,14.8101,14.8101,14.8101,14.8101,200
2018-03-01,14.8501,15.5,14.8501,15.25,17411
2018-03-02,15.1,15.1,15.02,15.02,3260
2018-03-05,15.188,15.2,15.11,15.2,793
2018-03-06,15.11,15.11,15.11,15.11,131
2018-03-07,15.1,15.1,15.1,15.1,271
2018-03-09,15.5,15.5,15.5,15.5,3451
2018-03-12,15.9,16.0,15.9,16.0,400
2018-03-13,15.9101,15.97,15.9101,15.97,200
2018-03-14,15.56,16.77,15.52,16.77,2007
2018-03-15,16.5,16.7,16.5,16.5,300
2018-03-19,16.51,16.53,16.02,16.02,6700
2018-03-21,15.59,15.59,15.417,15.4313,2400
2018-03-22,15.41,15.41,15.41,15.41,100
2018-03-23,15.42,15.42,15.42,15.42,100
2018-03-29,15.3257,15.7995,15.3257,15.6853,1666
2018-04-02,15.74,15.74,15.74,15.74,200
2018-04-05,15.5,15.52,15.5,15.5199,2147
2018-04-10,15.3327,15.3327,15.1,15.1,200
2018-04-11,15.06,15.06,15.06,15.06,100
2018-04-12,15.045,15.045,15.0,15.0,200
2018-04-13,15.05,15.05,15.05,15.05,100
2018-04-16,15.5,15.5,15.375,15.5,4400
2018-04-17,15.5,15.5,15.5,15.5,110
2018-04-18,15.3247,15.5,15.3247,15.5,4700
2018-04-19,15.5,15.5,15.42,15.5,5700
2018-04-20,15.4142,15.5,15.2001,15.4,2160
2018-04-23,15.5,15.5,15.4,15.4,2100
2018-04-24,15.4,15.4,15.05,15.3,2700
2018-04-25,15.5,15.5,15.5,15.5,614
2018-04-26,15.4168,15.4168,15.4168,15.4168,200
2018-04-27,15.5,15.5,15.4502,15.4502,6139
2018-04-30,15.1504,15.1504,15.15,15.15,200
2018-05-01,15.455,15.455,15.04,15.04,300
2018-05-02,15.125,15.125,15.125,15.125,280
2018-05-03,15.0,15.1,14.6,14.85,17163
2018-05-08,15.23,15.23,14.8,14.8,406
2018-05-09,14.86,14.86,14.86,14.86,800
2018-05-10,14.9883,14.9883,14.78,14.78,1300
2018-05-11,14.76,14.78,14.76,14.78,1737
2018-05-15,14.78,15.426,14.78,15.426,1100
2018-05-16,15.25,15.25,15.25,15.25,100
2018-05-17,15.12,15.12,15.12,15.12,100
2018-05-18,15.11,15.11,15.11,15.11,300
2018-05-21,15.25,15.8,15.25,15.8,5100
2018-05-23,15.5,15.75,15.411,15.75,15404
2018-05-24,15.5,15.75,15.5,15.75,911
2018-05-25,15.719,15.8,15.5,15.8,12552
2018-05-30,15.6,15.6,15.6,15.6,203
2018-05-31,15.7229,15.7229,15.7229,15.7229,100
2018-06-01,15.71,15.71,15.71,15.71,985
2018-06-04,15.78,16.18,15.7791,16.18,3176
2018-06-06,16.15,16.15,15.6,15.6,688
2018-06-07,16.15,16.15,15.6702,15.6702,1100
2018-06-08,16.15,16.2,15.7,15.7,1200
2018-06-11,16.2,16.2,15.06,16.0,6651
2018-06-12,16.2,16.3264,15.75,15.8,7340
2018-06-13,16.5,16.5,15.8,15.8,988
2018-06-14,15.87,15.87,15.87,15.87,254
2018-06-15,15.9,15.9,15.31,15.31,4196
2018-06-18,15.5,15.5,15.5,15.5,423
2018-06-19,15.5,15.5,15.5,15.5,645
2018-06-20,15.8,15.97,15.8,15.97,400
2018-06-21,16.0,16.0,16.0,16.0,100
2018-06-28,15.6501,16.0,15.6501,15.99,1779
2018-07-09,15.65,16.0,15.65,15.66,300
2018-07-10,15.7063,16.0,15.7001,16.0,3490
2018-07-11,15.75,15.8,15.75,15.8,200
2018-07-16,15.6027,15.6027,15.6,15.6,633
2018-07-17,15.6,15.6,15.569,15.6,1787
2018-07-19,15.51,15.51,15.51,15.51,109
2018-07-20,15.21,15.546,15.1,15.1,2200
