Date,Open,High,Low,Close,Volume
2000-01-03,4.0078,4.0625,3.9844,4.0156,1128000
2000-01-04,3.9531,3.9844,3.625,3.6562,3856800
2000-01-05,3.75,3.8125,3.6875,3.7656,3192000
2000-01-06,3.7656,3.7812,3.7188,3.75,2850000
2000-01-07,3.7578,3.9688,3.6875,3.9531,2307600
2000-01-10,3.9531,4.1094,3.9375,4.0938,548000
2000-01-11,4.1094,4.4531,4.0938,4.4375,2313600
2000-01-12,4.3438,4.4375,4.2969,4.375,1480000
2000-01-13,4.4219,4.4375,4.3125,4.4375,1141600
2000-01-14,4.3906,4.5469,4.3125,4.4219,983600
2000-01-18,4.3906,4.3906,4.2812,4.2812,3597200
2000-01-19,4.2891,4.2969,4.1875,4.2188,2066000
2000-01-20,4.1875,4.2188,3.9688,4.125,1265600
2000-01-21,4.125,4.1719,4.0703,4.0938,311600
2000-01-24,4.0938,4.1094,4.0,4.0156,733200
2000-01-25,4.0078,4.0312,3.7656,3.7812,5458800
2000-01-26,3.8438,4.125,3.8438,3.9844,1863600
2000-01-27,3.9688,4.0,3.9062,3.9062,673200
2000-01-28,4.0156,4.2188,3.8906,4.0,527200
2000-01-31,3.9141,3.9141,3.6562,3.7656,1750000
2000-02-01,3.8438,4.1562,3.7344,4.0625,1600800
2000-02-02,3.9922,4.1562,3.9375,4.1094,1758400
2000-02-03,4.1719,4.375,4.125,4.375,1886000
2000-02-04,4.3203,4.4844,4.3203,4.4219,1866800
2000-02-07,4.4688,4.5,4.4375,4.4844,1318400
2000-02-08,4.5,4.8125,4.4688,4.7188,1290800
2000-02-09,4.5938,4.6406,4.4844,4.4844,597200
2000-02-10,4.5625,4.5625,4.4375,4.5,1235600
2000-02-11,4.5,4.5625,4.4688,4.4922,636000
2000-02-14,4.4844,4.625,4.4688,4.5781,886400
2000-02-15,4.5312,4.7188,4.4844,4.5312,1836800
2000-02-16,4.625,5.1875,4.5312,5.0625,1132400
2000-02-17,4.9688,5.25,4.9688,5.1562,1480400
2000-02-18,5.2188,5.2344,4.875,4.9688,1308800
2000-02-22,4.9688,5.0938,4.9688,5.0938,776400
2000-02-23,5.0312,5.8125,5.0312,5.75,1399600
2000-02-24,5.7656,6.25,5.625,6.0781,1751600
2000-02-25,6.0156,7.6094,5.9375,7.0469,6432400
2000-02-28,7.0156,7.2188,6.75,7.1406,4113600
2000-02-29,7.0938,7.5,6.9531,7.3906,3918000
2000-03-01,7.375,7.4844,7.0781,7.2812,2398400
2000-03-02,7.1797,7.25,7.0312,7.1719,1096000
2000-03-03,7.125,7.25,7.125,7.25,644000
2000-03-06,7.1719,7.3125,7.0312,7.0938,3683600
2000-03-07,7.0,7.0156,6.75,6.9219,1821600
2000-03-08,6.7969,7.0312,6.4062,7.0,1491600
2000-03-09,6.9375,7.1562,6.875,7.125,1070400
2000-03-10,7.0625,7.4688,6.9062,6.9844,1844800
2000-03-13,6.9297,6.9375,6.625,6.625,752800
2000-03-14,6.625,6.7812,6.1875,6.3906,1336800
2000-03-15,6.3906,6.7188,6.2812,6.5781,699200
2000-03-16,6.8281,7.0469,6.6875,7.0469,758400
2000-03-17,6.9453,7.0938,6.2344,6.4531,625200
2000-03-20,6.4062,6.9062,6.2812,6.5938,1017200
2000-03-21,6.5938,6.7656,6.5,6.7656,710400
2000-03-22,6.7812,6.8125,6.5312,6.7656,938800
2000-03-23,6.75,6.8125,6.7031,6.7656,389200
2000-03-24,6.7422,6.7969,6.6875,6.7188,793600
2000-03-27,6.625,6.7812,6.5938,6.6953,1488400
2000-03-28,6.6875,6.7188,6.5312,6.5469,968400
2000-03-29,6.5,6.5469,6.375,6.375,761600
2000-03-30,6.3906,6.3906,5.4375,5.5,522800
2000-03-31,5.75,5.9375,5.125,5.8125,1062800
2000-04-03,5.8438,5.8438,5.4688,5.7344,328800
2000-04-04,5.7812,5.7812,5.4219,5.5,466800
2000-04-05,5.4688,5.75,5.4062,5.5469,925600
2000-04-06,5.5312,5.9219,5.5312,5.9219,242000
2000-04-07,5.875,5.9531,5.5156,5.7344,186800
2000-04-10,5.7812,5.9688,5.4844,5.4844,318000
2000-04-11,5.4844,5.5938,5.2812,5.3281,398000
2000-04-12,5.4375,5.5,5.3125,5.4375,924400
2000-04-13,5.4688,6.1562,5.3125,5.5625,1312000
2000-04-14,5.5625,6.125,5.5312,5.9531,1170800
2000-04-17,5.875,6.3438,5.875,6.3438,1856400
2000-04-18,6.25,6.3125,6.1719,6.2031,1286000
2000-04-19,6.2188,6.2969,6.1562,6.1562,954800
2000-04-20,6.1562,6.4531,6.1562,6.4375,1108400
2000-04-24,6.2188,6.25,6.1719,6.2188,548400
2000-04-25,6.2188,6.625,6.2188,6.2344,1167600
2000-04-26,6.1875,6.3438,6.1875,6.3125,576400
2000-04-27,6.1875,6.3438,6.125,6.3438,340800
2000-04-28,6.2812,6.5625,6.2812,6.5625,1320400
2000-05-01,7.3438,7.4375,6.8438,7.0312,2312400
2000-05-02,7.0078,7.0156,6.6094,6.6406,349600
2000-05-03,6.6953,6.7031,6.1562,6.3281,636400
2000-05-04,6.2656,6.4062,6.2656,6.375,316400
2000-05-05,6.3438,6.8281,6.3125,6.4688,536000
2000-05-08,6.4688,6.7812,6.4688,6.75,221600
2000-05-09,6.75,6.7578,6.4062,6.7188,376800
2000-05-10,6.7344,6.7344,6.3438,6.4531,526000
2000-05-11,6.5,6.7656,6.4375,6.7344,616400
2000-05-12,6.6719,6.7812,6.625,6.6875,449600
2000-05-15,6.5703,6.875,6.5312,6.8438,642400
2000-05-16,6.75,6.9219,6.75,6.9062,446400
2000-05-17,6.7812,6.8594,6.6562,6.6875,598800
2000-05-18,6.6875,6.6875,6.4062,6.4844,1172000
2000-05-19,6.3125,6.5312,6.25,6.5,596400
2000-05-22,6.5,6.5,6.1875,6.3125,783200
2000-05-23,6.2969,6.4062,6.25,6.3125,827200
2000-05-24,6.3125,6.4531,6.25,6.375,370400
2000-05-25,6.4297,6.4375,6.25,6.25,328800
2000-05-26,6.25,6.5,6.0312,6.0625,550800
2000-05-30,6.0,6.25,5.875,6.1875,444400
2000-05-31,6.1875,6.3906,6.0938,6.25,537200
2000-06-01,6.125,6.2969,5.75,6.125,1299200
2000-06-02,6.1094,6.4219,6.1094,6.3438,964000
2000-06-05,6.3125,6.3125,5.9062,6.0,958800
2000-06-06,5.9219,6.4375,5.9062,6.4062,950400
2000-06-07,6.4531,6.5156,6.2969,6.5156,1288800
2000-06-08,6.5156,6.5234,6.1875,6.2031,460000
2000-06-09,6.25,6.25,5.9688,6.125,2038000
2000-06-12,6.2188,6.2188,5.625,5.625,1462400
2000-06-13,5.8594,5.8906,5.7344,5.8125,1858800
2000-06-14,5.8359,5.9844,5.8359,5.9688,1382400
2000-06-15,5.9375,6.0,5.7969,5.9375,1526800
2000-06-16,5.6875,5.9688,5.5625,5.8906,2303200
2000-06-19,5.9062,5.9219,5.8438,5.875,1149200
2000-06-20,5.8672,5.8906,5.7344,5.7656,256000
2000-06-21,5.7031,5.875,5.625,5.8438,472800
2000-06-22,5.8281,5.8281,5.5,5.6094,630000
2000-06-23,5.625,5.6875,5.5312,5.6094,850000
2000-06-26,5.6016,5.8594,5.5312,5.7812,757600
2000-06-27,5.7578,5.7734,5.625,5.6406,2318400
2000-06-28,5.6484,5.6719,5.4688,5.4844,3800400
2000-06-29,5.4766,5.5312,5.4375,5.4844,3758000
2000-06-30,5.4844,5.75,5.4688,5.7188,5662400
2000-07-03,5.7266,5.75,5.4688,5.6875,398800
2000-07-05,5.625,5.7188,5.4375,5.4688,880800
2000-07-06,5.4844,5.5938,5.4531,5.5312,1407200
2000-07-07,5.5234,5.5625,5.4219,5.5,1241600
2000-07-10,5.4219,5.5,5.3125,5.3594,1274000
2000-07-11,5.4062,5.4688,5.3125,5.375,399200
2000-07-12,5.4688,5.4688,5.2656,5.3438,483200
2000-07-13,5.3281,5.3438,5.25,5.2812,820000
2000-07-14,5.2891,5.4453,5.125,5.2422,1340400
2000-07-17,5.2344,5.5312,5.1562,5.2969,1546400
2000-07-18,5.3594,5.875,5.3125,5.6719,3430000
2000-07-19,5.6797,5.6875,5.4688,5.5312,556000
2000-07-20,5.625,5.7344,5.5312,5.5938,426800
2000-07-21,5.625,5.625,5.2031,5.25,471600
2000-07-24,5.3125,5.9688,5.3125,5.9219,1784400
2000-07-25,5.9062,6.0312,5.625,5.6875,2115200
2000-07-26,5.6953,6.25,5.6562,6.0156,780800
2000-07-27,6.0,6.0469,5.625,5.875,789600
2000-07-28,5.875,6.0938,5.8438,5.875,644400
2000-07-31,5.8594,6.0938,5.6875,6.0,495600
2000-08-01,6.0078,6.2969,5.7969,6.2969,649600
2000-08-02,6.25,6.3594,6.0625,6.1406,477200
2000-08-03,6.1875,6.5156,6.0625,6.25,576800
2000-08-04,6.3125,6.625,6.0938,6.375,508000
2000-08-07,6.3125,6.5156,6.25,6.5,488400
2000-08-08,6.4375,6.4844,6.3125,6.375,2885200
2000-08-09,6.3438,6.4844,6.3438,6.4062,1374400
2000-08-10,6.4219,6.4688,6.3125,6.375,506800
2000-08-11,6.375,6.6875,6.375,6.6875,696000
2000-08-14,6.5,6.7812,6.4688,6.6875,456000
2000-08-15,6.6797,6.8125,6.6562,6.7656,576400
2000-08-16,6.7578,6.8906,6.6719,6.7812,1756000
2000-08-17,6.7344,6.8594,6.7344,6.7969,620000
2000-08-18,6.75,6.8594,6.6562,6.8281,2058800
2000-08-21,6.8438,7.0625,6.8281,6.9062,766400
2000-08-22,6.8984,6.9688,6.875,6.875,78800
2000-08-23,6.8828,6.9688,6.8281,6.9531,392400
2000-08-24,6.9531,6.9531,6.8438,6.8594,808400
2000-08-25,6.8906,6.8906,6.5781,6.7812,625600
2000-08-28,6.7031,6.7344,6.4062,6.5469,363200
2000-08-29,6.5312,6.875,6.5312,6.7344,760400
2000-08-30,6.8047,6.8906,6.6094,6.8125,270800
2000-08-31,6.7812,6.7969,6.5,6.5312,898400
2000-09-01,6.5312,6.75,6.4375,6.75,334000
2000-09-05,6.7344,6.7422,6.3594,6.3594,364800
2000-09-06,6.3672,6.75,6.3594,6.3594,736800
2000-09-07,6.4062,6.6406,6.3281,6.4844,409600
2000-09-08,6.5,6.6406,6.3594,6.4688,436800
2000-09-11,6.4688,6.7812,6.25,6.6094,804800
2000-09-12,6.7422,6.7422,6.5312,6.5938,572800
2000-09-13,6.6094,6.8438,6.5,6.625,785200
2000-09-14,6.7344,6.875,6.5625,6.6562,759600
