Date,Open,High,Low,Close,Volume
2020-06-19,158.4,175.9725,158.4,174.6525,139.209
2020-06-22,167.475,167.475,130.35,156.75,1496.21
2020-06-23,146.85,171.6,146.85,159.3075,433.614
2020-06-24,154.275,177.7875,154.275,176.9625,413.382
2020-06-25,194.7,194.7,173.25,181.5825,329.29200000000003
2020-06-26,180.18,182.7375,165.0,169.0425,188.436
2020-06-29,165.0,165.0,153.45,155.925,276.864
2020-06-30,138.6,163.9275,138.6,154.44,378.218
2020-07-01,148.5,172.0125,141.9,159.6375,344.505
2020-07-02,156.75,166.485,140.25,153.5325,256.401
2020-07-06,137.75,165.0,137.0,137.47,1142.38
2020-07-07,125.0,138.66,107.87,121.2575,1104.78
2020-07-08,125.1975,133.0,125.0,127.5,238.7
2020-07-09,127.4925,127.5,117.5,121.5775,166.9
2020-07-10,121.5,128.25,121.5,128.25,210.68
2020-07-13,132.5,146.3775,130.25,143.5,2036.42
2020-07-14,142.7875,146.73,132.0,141.0,1165.78
2020-07-15,126.75,146.0,126.75,137.5,255.04
2020-07-16,137.5,139.5,129.05,133.5,381.7
2020-07-17,130.125,133.25,129.25,129.625,502.2
2020-07-20,122.25,130.25,122.25,128.75,182.82
2020-07-21,124.375,128.0,124.375,126.0,339.7
2020-07-22,129.5,129.5,113.4725,117.75,1076.44
2020-07-23,115.75,115.75,106.5,111.6575,1066.14
2020-07-24,109.96,110.9925,106.25,107.3375,679.24
2020-07-27,106.13,107.0,85.0,103.75,993.0
2020-07-28,103.75,104.75,101.25,103.5,376.02
2020-07-29,104.75,104.75,98.75,100.91,494.72
2020-07-30,94.9475,97.5,93.75,96.0,487.18
2020-07-31,99.8475,100.9125,88.25,97.75,409.26
2020-08-03,95.75,107.75,95.75,105.0,1240.04
2020-08-04,100.0,119.5,100.0,119.5,647.38
2020-08-05,117.0,134.25,113.2175,131.875,683.28
2020-08-06,132.625,144.5,132.5,142.5,468.74
2020-08-07,143.75,145.29,131.5,131.5,314.7
2020-08-10,118.0,131.25,118.0,130.0225,159.96
2020-08-11,125.0,127.145,125.0,127.145,165.24
2020-08-12,127.25,127.25,121.5,121.5,319.74
2020-08-13,123.75,128.9825,123.25,128.9825,491.4
2020-08-14,133.1325,142.25,130.08,132.86,297.8
2020-08-17,129.75,130.5,125.0,125.0,504.26
2020-08-18,125.0,125.0,119.61,122.37,328.62
2020-08-19,121.3975,122.0525,118.74,119.75,103.8
2020-08-20,94.75,118.0,94.5,115.75,397.68
2020-08-21,115.5075,117.4075,114.595,114.9325,167.07999999999998
2020-08-24,117.45,117.75,112.5025,112.5025,192.16
2020-08-25,113.6575,117.375,113.6575,115.25,179.64
2020-08-26,112.6075,115.625,112.6075,113.52,216.12
2020-08-27,108.75,113.125,106.0,111.59,220.58
2020-08-28,115.5,115.71,109.375,109.5,293.6
2020-08-31,107.75,108.5,105.25,105.25,226.07999999999998
2020-09-01,99.0,104.5,94.5,104.5,477.34
2020-09-02,99.7275,109.75,99.49,103.46,342.64
2020-09-03,102.5425,104.9425,102.5425,103.5,114.64
2020-09-04,103.5,103.5,99.5,102.875,471.24
2020-09-08,100.0,100.0,93.0025,95.735,432.8
2020-09-09,88.25,96.5,88.25,95.09,145.1
2020-09-10,97.5,97.5,95.115,96.4825,129.92000000000002
2020-09-11,96.75,96.75,92.125,92.3625,164.7
2020-09-14,91.995,95.75,90.36,90.5,238.6
2020-09-15,87.5,97.465,87.5,94.5025,113.08
2020-09-16,92.5,94.5,91.4125,92.25,75.64
2020-09-17,95.0,95.0,92.4,93.0,167.6
2020-09-18,93.95,93.95,91.9425,91.9425,102.2
2020-09-21,92.5,92.5,89.0,89.0,147.1
2020-09-22,90.0,90.3775,89.25,89.9125,163.16
2020-09-23,89.75,89.75,88.775,89.75,20.0
2020-09-24,88.6975,89.95,86.375,89.0,105.04
2020-09-25,87.625,91.5525,87.625,89.25,151.70000000000002
2020-09-28,88.725,89.75,88.725,89.75,79.17999999999999
2020-09-29,88.56,89.75,87.75,87.75,237.4
2020-09-30,90.0,90.0,84.275,84.3,66.0
2020-10-01,87.4225,87.4225,82.0025,82.5,337.38
2020-10-02,79.825,81.25,76.2325,81.25,137.74
2020-10-05,81.8575,84.3775,81.8575,83.0,78.6
2020-10-06,80.25,88.8425,80.25,85.0,212.07999999999998
2020-10-07,86.8175,86.8175,81.5,84.5,89.44
2020-10-08,78.75,83.35,78.75,82.625,135.0
2020-10-09,82.5,83.94,82.4825,83.75,305.94
2020-10-12,83.75,93.75,83.75,85.0,538.24
2020-10-13,85.0,90.4975,85.0,89.375,274.9
2020-10-14,95.41,95.41,89.53,93.875,243.0
2020-10-15,93.75,93.75,76.0,86.775,419.14
2020-10-16,86.2925,88.05,85.0,87.2525,104.0
2020-10-19,89.5,90.25,85.0,90.25,169.04
2020-10-20,90.345,90.5,87.245,87.5,95.34
2020-10-21,88.75,88.83,86.0,87.75,214.51999999999998
2020-10-22,88.66,89.75,83.75,84.7525,328.9
2020-10-23,85.0,85.0,82.5,84.25,64.84
2020-10-26,81.855,84.985,81.25,84.985,190.54
2020-10-27,82.705,90.5,82.5,90.25,509.36
2020-10-28,89.685,90.2075,83.0,83.0,819.44
2020-10-29,87.0175,87.2025,81.75,83.0,474.46000000000004
2020-10-30,84.25,86.0525,83.25,83.4325,269.4
2020-11-02,85.695,94.1125,85.695,94.1125,689.32
2020-11-03,99.0675,134.36,98.75,132.3975,2176.52
2020-11-04,126.25,137.5,110.8,116.775,1904.16
2020-11-05,119.1,137.0,116.75,124.5,1060.64
2020-11-06,124.7975,172.0,117.0,171.1225,1962.32
2020-11-12,112.25,112.5,81.25,86.25,17366.36
2020-11-13,88.75,102.5,83.0,100.5,4227.26
2020-11-16,100.5,102.0,81.25,85.0,3692.9
2020-11-17,81.5,86.0,81.25,82.25,2616.4
2020-11-18,90.7475,90.75,82.5,88.25,2193.92
2020-11-19,87.5,90.75,84.75,85.75,1528.82
2020-11-20,81.25,90.0,80.0,80.25,3665.2400000000002
2020-11-23,82.5,86.25,76.25,78.5,4859.12
2020-11-24,82.5,90.7475,75.5,90.7475,2163.58
2020-11-25,81.25,81.5,78.0,80.875,1558.26
2020-11-27,81.5,88.25,81.25,88.25,2120.3
2020-11-30,88.0,96.685,82.5,90.5,20735.52
2020-12-01,86.25,95.0,81.5,95.0,6574.88
2020-12-02,94.25,94.25,84.5,87.48,2789.74
2020-12-03,88.0,95.2875,82.5,83.75,18122.38
2020-12-04,84.25,88.5,80.0,81.25,13378.460000000001
2020-12-07,81.25,84.5,79.5,81.0,3950.7799999999997
2020-12-08,80.25,82.57,78.75,80.0,2137.7
2020-12-09,80.0,80.6525,78.25,79.25,2656.98
2020-12-10,82.5,82.5,78.0,79.25,1754.64
2020-12-11,80.0,81.2475,77.0,78.0,2452.2
2020-12-14,78.75,80.575,74.3525,77.5,3430.92
2020-12-15,77.25,77.97,74.25,74.75,3828.8
2020-12-16,80.7475,80.7475,71.25,71.25,2654.3
2020-12-17,75.0025,75.6375,73.75,74.375,2552.38
2020-12-18,75.4975,84.25,74.75,83.5,7438.6
2020-12-21,81.5,84.5,74.0,78.0,2970.26
2020-12-22,75.75,77.25,74.25,76.5,1929.84
2020-12-23,81.0,135.0,75.25,82.5,14941.54
2020-12-24,77.5,86.25,77.25,77.25,3336.28
2020-12-28,80.0,87.0,76.0,81.25,7780.16
2020-12-29,81.25,92.5,76.5,78.25,5066.26
2020-12-30,80.0,84.75,78.75,82.25,5540.54
2020-12-31,82.5,83.75,80.875,82.5,4019.48
2021-01-04,82.5,87.5,81.25,81.25,3780.32
2021-01-05,87.71,89.4175,85.5,87.7475,2685.26
2021-01-06,86.75,99.0,85.75,96.0,19774.84
2021-01-07,93.75,118.75,91.525,118.75,30010.98
2021-01-08,107.75,133.0,107.25,116.25,12087.72
2021-01-11,122.5,124.5,101.25,110.0,10272.38
2021-01-12,102.75,103.25,92.0,96.25,6534.62
2021-01-13,97.5,112.0,97.5,104.5,5496.68
2021-01-14,104.5,111.5,103.75,111.5,2996.74
2021-01-15,109.5,111.75,97.5,97.5,2693.42
2021-01-19,103.25,109.0,103.25,108.25,2015.18
2021-01-20,111.5,111.5,101.75,106.75,1479.0
2021-01-21,108.25,109.15,100.0,100.0,803.74
2021-01-22,104.75,104.75,100.25,102.5,968.2
2021-01-25,108.0,108.0,98.1575,103.2975,5126.0
2021-01-26,103.75,103.75,95.0,99.5,2576.22
2021-01-27,100.0,103.75,96.5025,102.5,3096.62
2021-01-28,103.75,103.75,95.5,98.7525,2599.36
2021-01-29,103.75,106.4,98.75,105.25,5602.9
2021-02-01,105.25,110.5,100.945,103.75,5729.02
2021-02-02,104.75,111.4975,104.0,109.25,5998.92
2021-02-03,110.0,160.5,110.0,130.75,94812.18
2021-02-04,130.75,137.5,118.75,119.75,7468.08
2021-02-05,119.75,120.0,107.5,112.25,14264.66
2021-02-08,109.25,117.5,109.25,116.25,16518.66
2021-02-09,113.75,141.52,106.5,126.75,95633.82
2021-02-10,127.5,136.0,117.0,136.0,17902.04
2021-02-11,136.0,146.25,114.0,130.0,16026.24
2021-02-12,132.5,137.5,125.25,135.0,8666.5
2021-02-16,133.75,137.5,124.0,129.25,6409.84
2021-02-17,130.0,130.0,116.75,125.0,4791.44
2021-02-18,125.0,125.0,109.5,110.75,6593.42
2021-02-19,110.25,116.295,107.75,109.25,5679.64
2021-02-22,113.75,127.2675,110.0,125.0,15987.76
2021-02-23,133.75,182.25,113.0,114.25,6894.74
2021-02-24,113.865,119.75,113.865,119.5,1734.52
2021-02-25,121.25,122.5,107.5,107.5,3561.22
2021-02-26,109.25,114.0,100.25,105.25,4193.22
2021-03-01,105.5,117.2475,105.25,110.25,1649.6
2021-03-02,106.25,129.5,106.25,112.5,7023.4800000000005
2021-03-03,113.5,119.25,110.5,115.25,3141.32
2021-03-04,113.5,116.5,102.75,104.75,4154.1
2021-03-05,103.75,110.25,100.44,105.0,3503.7
2021-03-08,105.0,112.5,102.25,106.25,2549.18
2021-03-09,107.5,113.0,105.5,110.25,3137.94
2021-03-10,110.5,113.5,106.58,111.25,1123.7
2021-03-11,113.75,116.25,107.5,115.0,3346.68
2021-03-12,113.75,119.75,113.0,119.75,2323.56
2021-03-15,118.75,123.0,115.75,120.0,2833.04
2021-03-16,118.0,122.5,106.25,108.4975,4077.06
2021-03-17,108.25,109.5,103.0,106.25,4095.88
2021-03-18,105.25,108.75,100.75,102.75,6336.56
2021-03-19,101.25,106.5,100.75,102.5,3580.14
2021-03-22,104.5,106.25,97.5,99.5,3423.24
2021-03-23,99.5,99.5,90.5,94.5,5886.7
2021-03-24,100.0,100.25,87.75,87.75,3808.42
2021-03-25,89.025,93.25,87.75,87.75,3556.8
2021-03-26,89.75,90.25,85.25,86.5,3083.2
