Date,Open,High,Low,Close,Volume
2022-07-29,9.81,9.81,9.81,9.81,100
2022-08-03,9.81,9.81,9.81,9.81,9100
2022-08-08,9.81,9.82,9.81,9.82,10331
2022-08-09,9.82,9.83,9.82,9.83,200
2022-08-11,9.82,9.83,9.82,9.83,253236
2022-08-12,9.82,9.83,9.82,9.83,13585
2022-08-15,9.86,9.86,9.86,9.86,200
2022-08-16,9.83,9.83,9.83,9.83,10000
2022-08-17,9.8301,9.8301,9.83,9.83,501000
2022-08-18,9.83,9.845,9.83,9.845,1500
2022-08-19,9.83,9.85,9.83,9.83,3115
2022-08-22,9.84,9.84,9.84,9.84,819
2022-08-23,9.858,9.86,9.858,9.86,401
2022-08-24,9.81,9.83,9.8,9.83,9693
2022-08-25,9.83,9.83,9.83,9.83,1980
2022-08-29,9.8,9.81,9.8,9.81,3800
2022-08-30,9.81,9.81,9.81,9.81,49950
2022-08-31,9.81,9.81,9.81,9.81,200
2022-09-01,9.8,9.8101,9.8,9.8101,300
2022-09-07,9.81,9.81,9.81,9.81,12445
2022-09-08,9.805,9.81,9.8,9.8,1593
2022-09-09,9.8,9.8,9.76,9.78,18655
2022-09-12,9.78,9.83,9.78,9.79,93989
2022-09-13,9.79,9.79,9.79,9.79,55380
2022-09-15,9.79,9.83,9.79,9.81,122119
2022-09-16,9.81,9.81,9.81,9.81,493
2022-09-19,9.835,9.835,9.835,9.835,100
2022-09-20,9.8,9.81,9.8,9.81,50000
2022-09-21,9.805,9.81,9.8,9.8,57714
2022-09-22,9.8,9.8,9.8,9.8,2444
2022-09-26,9.8,9.8,9.8,9.8,200
2022-09-29,9.8,9.8,9.8,9.8,973
2022-09-30,9.815,9.82,9.815,9.82,90700
2022-10-03,9.83,9.84,9.82,9.83,37979
2022-10-04,9.83,9.83,9.83,9.83,13480
2022-10-06,9.83,9.83,9.83,9.83,200
2022-10-11,9.85,9.85,9.85,9.85,69000
2022-10-13,9.86,9.8601,9.86,9.8601,270100
2022-10-17,9.9,9.9,9.88,9.88,400948
2022-10-18,9.91,9.91,9.88,9.88,1550
2022-10-19,9.88,9.9,9.88,9.89,506602
2022-10-24,9.88,9.88,9.88,9.88,2100
2022-10-26,9.88,9.89,9.88,9.89,2000
2022-10-27,9.9,9.9,9.9,9.9,100
2022-10-28,9.9,9.9,9.88,9.88,8900
2022-10-31,9.89,9.9,9.89,9.9,6396
2022-11-01,9.91,9.92,9.91,9.92,21557
2022-11-02,9.93,9.94,9.92,9.92,600
2022-11-03,9.9,9.92,9.9,9.92,233648
2022-11-07,9.9,9.9,9.9,9.9,99158
2022-11-10,9.96,10.01,9.94,10.01,2602580
2022-11-14,10.01,10.01,9.99,9.99,1018017
2022-11-15,9.96,10.05,9.96,10.025,1036508
2022-11-16,10.03,10.03,10.0,10.02,797684
2022-11-17,10.01,10.02,10.01,10.02,500100
2022-11-21,10.0,10.02,10.0,10.01,459
2022-11-22,10.01,10.02,10.01,10.01,1200
2022-11-23,9.96,10.02,9.96,10.02,1748
2022-11-28,10.01,10.02,10.01,10.02,301362
2022-11-29,10.015,10.02,10.0105,10.02,9792
2022-11-30,10.025,10.03,10.005,10.02,3194163
2022-12-01,10.07,10.08,10.035,10.04,149945
2022-12-02,10.04,10.04,10.04,10.04,11208
2022-12-05,10.04,10.04,10.04,10.04,200
2022-12-06,10.04,10.045,10.04,10.045,16068
2022-12-08,10.05,10.05,10.04,10.045,26842
2022-12-09,10.04,10.0495,10.04,10.0495,6900
2022-12-12,10.05,10.05,10.05,10.05,100
2022-12-13,10.04,10.04,10.04,10.04,200
2022-12-14,10.07,10.07,10.04,10.04,8315
2022-12-22,10.031,10.031,9.96,9.96,200
2022-12-23,10.09,10.09,9.98,9.98,246
2022-12-27,10.33,10.33,9.98,9.98,28132
2022-12-28,9.96,10.9,9.85,10.07,42894
2022-12-29,10.59,10.7,9.98,10.01,58689
2022-12-30,10.02,10.12,9.82,10.12,25189
2023-01-03,10.13,10.13,10.0,10.05,30937
2023-01-04,10.05,10.05,10.05,10.05,1000
2023-01-05,10.06,10.4872,10.06,10.13,45473
2023-01-06,11.1,11.1,10.0501,10.23,7360
2023-01-09,10.46,10.85,10.25,10.25,6893
2023-01-10,10.42,10.47,10.1,10.15,4460
2023-01-11,10.03,10.71,10.0,10.15,29771
2023-01-12,10.28,10.675,10.15,10.15,17985
2023-01-13,10.5,10.89,10.23,10.3,12539
2023-01-17,10.57,10.57,10.16,10.32,18075
2023-01-18,10.36,10.93,10.13,10.18,23290
2023-01-19,10.29,10.44,10.13,10.13,5710
2023-01-20,10.24,10.25,10.2,10.2,1700
2023-01-23,10.37,10.47,10.16,10.19,10642
2023-01-24,10.2,10.5,10.18,10.2,20599
2023-01-25,10.33,10.33,10.33,10.33,100
2023-01-26,10.25,10.42,10.17,10.19,14709
2023-01-30,10.27,10.27,10.26,10.26,2100
2023-02-01,10.32,10.8,10.24,10.33,13104
2023-02-02,10.56,10.56,10.56,10.56,600
2023-02-03,11.16,11.16,10.2515,10.3,900
2023-02-06,10.32,10.78,10.26,10.56,22458
2023-02-07,10.53,10.53,10.39,10.39,516
2023-02-09,10.12,10.3,10.12,10.3,800
2023-02-10,10.06,10.5,10.06,10.2,25832
2023-02-13,10.15,10.16,10.15,10.15,320
2023-02-14,10.11,10.11,10.11,10.11,100
2023-02-15,10.05,10.12,10.05,10.09,2683
2023-02-16,10.05,10.09,10.05,10.09,404
2023-02-17,10.08,10.3,10.055,10.06,15384
2023-02-21,10.17,11.04,10.03,10.46,9949
2023-02-22,10.16,10.17,10.15,10.16,3183
2023-02-23,10.19,10.19,10.18,10.18,600
2023-02-24,10.38,10.38,10.36,10.38,600
2023-02-27,10.26,10.31,10.05,10.3,950
2023-02-28,10.2,10.5596,10.0,10.5596,16584
2023-03-01,10.28,10.3571,10.1,10.3571,3348
2023-03-02,10.0,10.0,10.0,10.0,100
2023-03-03,10.1,10.1,10.1,10.1,100
2023-03-06,10.16,10.16,10.16,10.16,300
2023-03-08,10.16,10.16,10.0927,10.13,2471
2023-03-09,10.1001,10.41,10.1001,10.41,1000
2023-03-15,10.21,10.21,10.02,10.02,250
2023-03-16,10.01,10.01,10.01,10.01,185
2023-03-20,10.07,10.09,10.07,10.09,1700
2023-03-22,10.39,10.39,10.39,10.39,100
2023-03-23,10.41,10.4845,10.34,10.3413,3404
2023-03-24,10.16,10.16,10.16,10.16,210
2023-03-28,10.15,10.19,10.14,10.19,3199
2023-03-30,10.08,10.08,10.08,10.08,100
2023-04-04,10.15,10.15,10.15,10.15,200
2023-04-05,10.06,10.06,10.06,10.06,100
2023-04-06,10.08,10.08,10.08,10.08,100
2023-04-10,10.12,11.0501,10.0891,10.13,19701
2023-04-11,10.18,10.18,10.16,10.16,1100
2023-04-13,10.17,10.18,10.15,10.16,3622
2023-04-18,10.2278,10.564,10.1,10.1,2200
2023-04-21,10.07,10.07,10.07,10.07,100
2023-04-26,10.4,10.4,10.4,10.4,100
2023-04-27,10.2,10.2,10.2,10.2,100
2023-05-05,10.11,10.11,10.11,10.11,100
2023-05-11,10.12,10.12,10.12,10.12,100
2023-05-15,10.13,10.51,10.13,10.5,672
2023-05-17,10.42,10.42,10.42,10.42,100
2023-05-18,10.11,10.11,10.11,10.11,100
2023-05-19,10.12,10.12,10.12,10.12,100
2023-05-22,10.12,10.12,10.11,10.11,267
2023-05-24,10.11,10.18,10.11,10.18,200
2023-06-02,10.11,10.11,10.11,10.11,100
2023-06-05,10.13,10.13,10.13,10.13,100
2023-06-06,10.11,10.11,10.11,10.11,100
2023-06-08,10.15,10.15,10.15,10.15,4294
2023-06-16,10.13,10.13,10.13,10.13,600
2023-06-20,10.7,10.7,10.7,10.7,849
2023-06-21,10.43,10.4352,10.43,10.4352,422
2023-06-28,10.84,10.85,10.495,10.495,2500
2023-07-05,10.49,10.7847,10.45,10.45,5358
2023-07-12,10.1401,10.1401,10.1401,10.1401,1000
2023-07-18,10.18,10.3199,10.18,10.2201,2200
2023-07-20,10.3,10.44,10.27,10.27,3275
2023-07-21,10.27,10.27,10.27,10.27,100
2023-07-25,10.416,10.416,10.416,10.416,1000
2023-07-26,10.44,10.44,10.43,10.44,1188
