Date,Open,High,Low,Close,Volume
2002-12-18,3.14,3.14,2.87,2.87,600
2002-12-19,2.75,2.951,2.75,2.951,131796
2002-12-20,2.86,2.87,2.86,2.87,1600
2002-12-23,2.85,2.85,2.78,2.78,2900
2002-12-26,2.801,2.82,2.801,2.82,200
2002-12-27,2.801,2.89,2.75,2.839,4800
2002-12-30,2.84,2.85,2.7,2.85,9600
2002-12-31,2.84,2.9,2.75,2.9,26096
2003-01-02,2.95,2.95,2.95,2.95,1200
2003-01-06,2.96,3.08,2.96,3.08,2700
2003-01-07,3.07,3.23,3.07,3.15,6300
2003-01-08,3.01,3.1,3.0,3.0,3100
2003-01-09,3.0,3.101,2.76,2.87,16700
2003-01-10,2.95,2.95,2.94,2.94,400
2003-01-14,2.9,2.9,2.89,2.89,400
2003-01-15,2.89,2.97,2.87,2.95,8000
2003-01-21,2.95,2.95,2.87,2.87,121700
2003-01-22,2.939,2.939,2.939,2.939,200
2003-01-23,2.851,2.851,2.84,2.85,800
2003-01-24,2.939,2.94,2.939,2.94,600
2003-01-27,2.801,2.801,2.75,2.75,900
2003-01-28,2.76,2.76,2.76,2.76,200
2003-01-29,2.899,2.9,2.899,2.9,1500
2003-01-30,3.02,3.75,2.95,3.75,77400
2003-01-31,3.75,4.14,3.68,3.979,29700
2003-02-03,4.0,4.0,3.62,3.8,16000
2003-02-04,3.7,3.75,3.57,3.75,4800
2003-02-05,3.44,3.68,3.44,3.68,3100
2003-02-06,3.68,3.73,3.68,3.73,1800
2003-02-07,3.7,3.75,3.69,3.69,2600
2003-02-10,3.75,3.77,3.71,3.75,4200
2003-02-11,3.73,3.74,3.73,3.73,4400
2003-02-12,3.75,3.75,3.7,3.711,1900
2003-02-13,3.542,3.701,3.542,3.7,3200
2003-02-14,3.4,3.85,3.4,3.85,2400
2003-02-18,3.79,3.85,3.74,3.85,4100
2003-02-19,3.86,4.1,3.86,4.1,2900
2003-02-20,3.99,4.05,3.62,4.0,7700
2003-02-21,3.93,3.98,3.9,3.98,4300
2003-02-24,3.9,3.9,3.8,3.86,1200
2003-02-25,3.86,3.86,3.86,3.86,200
2003-02-26,3.8,3.86,3.8,3.81,4600
