Date,Open,High,Low,Close,Volume
2000-01-03,4.0618,4.0618,3.6808,3.6872,1762495.0
2000-01-04,3.6872,3.7583,3.4612,3.571,917544.0
2000-01-05,3.5516,3.571,3.4547,3.4547,1775077.0
2000-01-06,3.4806,3.4806,3.3902,3.4225,1708292.0
2000-01-07,3.4354,3.4612,3.3837,3.4095,1601827.0
2000-01-10,3.416,3.6162,3.4095,3.5839,4314769.0
2000-01-11,3.5839,3.6678,3.5839,3.6226,646540.0
2000-01-12,3.6162,3.6162,3.4354,3.4806,703641.0
2000-01-13,3.5064,3.5129,3.4031,3.5129,1229197.0
2000-01-14,3.5129,3.5387,3.5,3.5064,416185.0
2000-01-18,3.4806,3.4806,3.3579,3.3773,1167252.0
2000-01-19,3.3966,3.416,3.3708,3.3773,311658.0
2000-01-20,3.3708,3.4741,3.3708,3.4612,550721.0
2000-01-21,3.4612,3.6162,3.4483,3.5645,1982197.0
2000-01-24,3.571,3.6872,3.571,3.6033,4011824.0
2000-01-25,3.6033,3.6033,3.4741,3.4741,1169190.0
2000-01-26,3.4741,3.6097,3.4612,3.4612,1249523.0
2000-01-27,3.4741,3.5387,3.4612,3.4612,2423555.0
2000-01-28,3.4741,3.5516,3.4095,3.5129,974650.0
2000-01-31,3.5387,3.5904,3.3966,3.4095,1235971.0
2000-02-01,3.3966,3.3966,3.3127,3.3708,1334697.0
2000-02-02,3.345,3.5129,3.2933,3.4483,753004.0
2000-02-03,3.4225,3.5387,3.4225,3.4741,1057890.0
2000-02-04,3.4354,3.6033,3.4354,3.5968,429737.0
2000-02-07,3.5774,3.5774,3.3837,3.4095,1576664.0
2000-02-08,3.4354,3.5516,3.4095,3.5258,1379220.0
2000-02-09,3.5129,3.5129,3.3191,3.3191,788819.0
2000-02-10,3.3191,3.3191,3.1577,3.2481,1367600.0
2000-02-11,3.2481,3.3579,3.19,3.2417,1582471.0
2000-02-14,3.2352,3.2352,2.9963,3.0996,3113641.0
2000-02-15,3.1254,3.2417,3.1254,3.2094,1852506.0
