Date,Open,High,Low,Close,Volume
2013-09-18,4.2117,4.263,4.1604,4.2348,77199.0
2013-09-19,4.2682,4.3348,4.2281,4.2528,46754.0
2013-09-20,4.2528,4.2579,4.1758,4.1758,47732.0
2013-09-23,4.1784,4.3041,4.1784,4.2374,34847.0
2013-09-24,4.2117,4.2887,4.2117,4.2733,31718.0
2013-09-25,4.3092,4.3241,4.2682,4.2682,70775.0
2013-09-26,4.2905,4.3318,4.275,4.275,19395.0
2013-09-27,4.2595,4.3163,4.2544,4.2647,21138.0
2013-09-30,4.2595,4.2854,4.2497,4.2595,21195.0
2013-10-01,4.2647,4.3112,4.2647,4.2647,11989.0
2013-10-02,4.2854,4.3422,4.2647,4.2647,16881.0
2013-10-03,4.3009,4.3215,4.275,4.2854,19611.0
2013-10-04,4.275,4.337,4.275,4.3009,14640.0
2013-10-07,4.3215,4.3215,4.275,4.2802,27953.0
2013-10-08,4.2854,4.307,4.2595,4.2652,26319.0
2013-10-09,4.2699,4.2833,4.2595,4.2833,17611.0
2013-10-10,4.2647,4.3329,4.2647,4.2854,30017.0
2013-10-11,4.3163,4.3215,4.2905,4.2957,27745.0
2013-10-14,4.2905,4.3318,4.2854,4.2905,18996.0
2013-10-15,4.3163,4.3318,4.2905,4.2905,15043.0
2013-10-16,4.3163,4.399,4.3163,4.3783,69986.0
2013-10-17,4.3886,4.3886,4.3422,4.3886,70630.0
2013-10-18,4.3886,4.3886,4.3628,4.368,85507.0
2013-10-21,4.3628,4.3886,4.3422,4.3731,103212.0
2013-10-22,4.3886,4.3886,4.337,4.3886,71429.0
2013-10-23,4.3886,4.4144,4.3783,4.3886,50816.0
2013-10-24,4.4144,4.4867,4.399,4.4403,81572.0
2013-10-25,4.4284,4.5125,4.4144,4.4919,30586.0
2013-10-28,4.5022,4.5177,4.4506,4.4506,44944.0
2013-10-29,4.4679,4.4939,4.4471,4.4627,35847.0
2013-10-30,4.4679,4.4939,4.4185,4.4939,29867.0
2013-10-31,4.5095,4.5095,4.4419,4.4627,45550.0
2013-11-01,4.4731,4.5406,4.4575,4.4731,137077.0
2013-11-04,4.4887,4.5095,4.4679,4.5095,18592.0
2013-11-05,4.5458,4.5458,4.4814,4.4835,45109.0
2013-11-06,4.4991,4.5406,4.4991,4.5406,7237.0
2013-11-07,4.5406,4.5978,4.5406,4.577,31260.0
2013-11-08,4.577,4.5926,4.5302,4.5458,61050.0
2013-11-11,4.5302,4.5406,4.4939,4.5354,11224.0
2013-11-12,4.5043,4.59,4.4835,4.5354,22108.0
2013-11-13,4.4887,4.551,4.4887,4.5043,33672.0
2013-11-14,4.551,4.6705,4.5027,4.525,23549.0
2013-11-15,4.5043,4.5458,4.4991,4.5095,15216.0
2013-11-18,4.5453,4.5458,4.5043,4.5199,26278.0
2013-11-19,4.577,4.577,4.4731,4.4991,46150.0
2013-11-20,4.525,4.5822,4.4679,4.4939,41882.0
2013-11-21,4.4679,4.525,4.4534,4.5199,22956.0
2013-11-22,4.4939,4.5489,4.4471,4.4575,76333.0
2013-11-25,4.4679,4.4679,4.4159,4.4159,68285.0
2013-11-26,4.4281,4.4647,4.402,4.4229,22962.0
2013-11-27,4.4334,4.4595,4.3393,4.3915,24489.0
2013-11-29,4.4281,4.4961,4.3602,4.3759,31680.0
2013-12-02,4.4177,4.4281,4.3393,4.355,23061.0
2013-12-03,4.3602,4.3863,4.3393,4.355,44501.0
2013-12-04,4.3393,4.3602,4.3393,4.3497,20790.0
2013-12-05,4.3445,4.3602,4.3445,4.355,17056.0
2013-12-06,4.3863,4.402,4.379,4.3915,14756.0
2013-12-09,4.3915,4.402,4.3863,4.3915,13853.0
2013-12-10,4.3863,4.4072,4.3863,4.3915,20426.0
2013-12-11,4.3915,4.4072,4.3863,4.3915,39260.0
2013-12-12,4.3915,4.5588,4.3915,4.4804,13233.0
2013-12-13,4.4595,4.517,4.4229,4.5066,34536.0
2013-12-16,4.5222,4.5222,4.3863,4.4177,35632.0
2013-12-17,4.4438,4.4438,4.3863,4.3863,14487.0
2013-12-18,4.3947,4.4004,4.3236,4.3654,28338.0
2013-12-19,4.3393,4.3748,4.3393,4.3497,8168.0
2013-12-20,4.355,4.3811,4.1563,4.1563,38633.0
2013-12-23,4.3654,4.4177,4.3445,4.3497,22361.0
2013-12-24,4.3759,4.5426,4.3759,4.4647,8163.0
2013-12-26,4.4386,4.4543,4.3497,4.3654,38245.0
2013-12-27,4.3987,4.4398,4.3987,4.4198,22077.0
2013-12-30,4.3777,4.4619,4.3777,4.4198,9229.0
2013-12-31,4.425,4.4619,4.3724,4.3882,15851.0
2014-01-02,4.4198,4.5776,4.4198,4.5145,32731.0
2014-01-03,4.445,4.4961,4.445,4.4724,51450.0
2014-01-06,4.4724,4.4829,4.4566,4.4619,17755.0
2014-01-07,4.4777,4.4829,4.4356,4.4724,53644.0
2014-01-08,4.4987,4.5245,4.4671,4.4671,18350.0
2014-01-09,4.4987,4.4987,4.4671,4.4882,15159.0
2014-01-10,4.4724,4.4882,4.4724,4.4724,48515.0
2014-01-13,4.4724,4.4724,4.4461,4.4619,2758.0
2014-01-14,4.4303,4.5618,4.4303,4.5461,20583.0
2014-01-15,4.5355,4.5829,4.4545,4.5829,17209.0
2014-01-16,4.8828,4.8828,4.625,4.625,88549.0
2014-01-17,4.7039,4.7092,4.6408,4.6502,64324.0
2014-01-21,4.4724,4.5513,4.3724,4.5145,361013.0
2014-01-22,4.5208,4.5829,4.4724,4.4934,272848.0
2014-01-23,4.5303,4.5461,4.3777,4.404,413670.0
2014-01-24,4.3672,4.3672,4.2725,4.3409,10437149.0
2014-01-27,4.3409,4.3724,4.3145,4.3514,940343.0
2014-01-28,4.3672,4.3829,4.3409,4.3777,650913.0
2014-01-29,4.3566,4.399,4.3566,4.3884,165280.0
2014-01-30,4.3778,4.4149,4.3142,4.4149,266389.0
2014-01-31,4.399,4.399,4.3407,4.346,516750.0
2014-02-03,4.4096,4.4096,4.3566,4.3831,185736.0
2014-02-04,4.3725,4.4043,4.3725,4.3725,211242.0
2014-02-05,4.3725,4.4043,4.3725,4.3937,132617.0
2014-02-06,4.4202,4.4255,4.3778,4.4149,197948.0
2014-02-07,4.4361,4.4361,4.4043,4.4202,94126.0
2014-02-10,4.4361,4.4467,4.4043,4.4467,281718.0
2014-02-11,4.452,4.452,4.4144,4.452,112603.0
2014-02-12,4.4467,4.5103,4.4308,4.4891,236747.0
2014-02-13,4.4838,4.505,4.4255,4.4891,136302.0
2014-02-14,4.4785,4.5421,4.452,4.4944,288859.0
2014-02-18,4.5209,4.5421,4.4785,4.5421,148055.0
2014-02-19,4.5368,4.5686,4.4838,4.5315,60726.0
2014-02-20,4.505,4.5262,4.4891,4.5103,174860.0
2014-02-21,4.4997,4.5686,4.4997,4.5527,83674.0
2014-02-24,4.5368,4.5898,4.5103,4.5368,153550.0
2014-02-25,4.5368,4.558,4.4785,4.505,287660.0
2014-02-26,4.5371,4.6171,4.5211,4.5638,160369.0
2014-02-27,4.5904,4.6278,4.5531,4.5798,85291.0
2014-02-28,4.5958,4.6625,4.5691,4.5958,143914.0
2014-03-03,4.6118,4.6331,4.5798,4.6278,297027.0
2014-03-04,4.6438,4.6919,4.6433,4.6705,183708.0
2014-03-05,4.6705,4.836,4.6598,4.7506,192927.0
2014-03-06,4.7612,4.7986,4.7132,4.7506,141347.0
2014-03-07,4.7506,4.7773,4.6438,4.6919,148053.0
2014-03-10,4.7452,4.7709,4.6492,4.6598,121335.0
2014-03-11,4.7346,4.7346,4.6705,4.6865,36841.0
2014-03-12,4.7079,4.7719,4.6903,4.7506,44801.0
2014-03-13,4.7079,4.7506,4.7025,4.7239,31400.0
2014-03-14,4.7559,4.7612,4.6492,4.6972,95232.0
2014-03-17,4.7452,4.7452,4.6705,4.7239,81252.0
2014-03-18,4.6812,4.7399,4.6812,4.6919,79482.0
2014-03-19,4.6705,4.7105,4.5584,4.6011,195395.0
2014-03-20,4.6652,4.6705,4.6011,4.6492,75961.0
2014-03-21,4.6545,4.7773,4.6278,4.7079,298349.0
2014-03-24,4.7079,4.7185,4.6492,4.6598,72284.0
2014-03-25,4.6758,4.7153,4.6278,4.6278,69083.0
2014-03-26,4.6331,4.7452,4.6065,4.6118,55375.0
2014-03-27,4.6709,4.73,4.6494,4.7032,155154.0
2014-03-28,4.7247,4.7945,4.7247,4.73,43203.0
2014-03-31,4.7677,4.8053,4.7677,4.7892,224029.0
2014-04-01,4.8268,4.8322,4.6763,4.7354,95436.0
2014-04-02,4.7838,4.8322,4.7623,4.773,152261.0
2014-04-03,4.816,4.8859,4.7462,4.7462,86501.0
2014-04-04,4.7945,4.7945,4.7193,4.7515,118111.0
2014-04-07,4.73,4.8107,4.73,4.7569,44002.0
2014-04-08,4.8053,4.8913,4.73,4.7838,165190.0
2014-04-09,4.8214,4.8913,4.773,4.8268,188894.0
2014-04-10,4.8375,4.8644,4.7515,4.7515,186696.0
2014-04-11,4.773,4.8375,4.7569,4.7623,62803.0
2014-04-14,4.7628,4.8107,4.7462,4.7462,56890.0
2014-04-15,4.7892,4.8375,4.7408,4.7945,108845.0
2014-04-16,4.8429,4.8483,4.7999,4.7999,121726.0
2014-04-17,4.8375,4.8483,4.7892,4.8107,77860.0
2014-04-21,4.8322,4.8375,4.816,4.816,73454.0
2014-04-22,4.8483,4.8483,4.7838,4.8214,113246.0
2014-04-23,4.8375,4.859,4.8193,4.859,83438.0
2014-04-24,4.8644,4.8773,4.816,4.8644,84165.0
2014-04-25,4.8805,4.8805,4.7892,4.7892,65441.0
2014-04-28,4.7783,4.8487,4.7783,4.8162,45450.0
2014-04-29,4.8216,4.8595,4.8054,4.827,30556.0
2014-04-30,4.8379,4.8649,4.8162,4.8379,68932.0
2014-05-01,4.8216,4.8758,4.8216,4.8649,104481.0
2014-05-02,4.8649,4.919,4.8595,4.8812,57923.0
2014-05-05,4.8703,4.9515,4.8703,4.9082,63104.0
2014-05-06,4.9245,4.9245,4.8801,4.8866,85669.0
2014-05-07,4.8866,4.8974,4.8162,4.892,135312.0
2014-05-08,4.9407,4.9515,4.8433,4.8433,126116.0
2014-05-09,4.8379,4.8703,4.827,4.827,67993.0
2014-05-12,4.8487,4.8812,4.8487,4.8812,191084.0
2014-05-13,4.892,4.892,4.8433,4.8633,86978.0
2014-05-14,4.8433,4.8866,4.8433,4.8433,147269.0
2014-05-15,4.8758,4.8974,4.8433,4.8974,79397.0
2014-05-16,4.8947,4.9461,4.8893,4.9082,114748.0
2014-05-19,4.9082,4.9948,4.9082,4.9786,209450.0
2014-05-20,4.984,4.9894,4.8812,4.9353,142247.0
2014-05-21,4.9623,4.9732,4.9028,4.9082,80059.0
2014-05-22,4.9299,4.9672,4.9039,4.919,65030.0
2014-05-23,4.9407,4.9407,4.8541,4.8812,138376.0
2014-05-27,4.8812,4.919,4.8812,4.9082,180188.0
2014-05-28,4.93,4.9464,4.9246,4.93,69628.0
2014-05-29,4.9464,4.9899,4.9464,4.9572,93822.0
2014-05-30,4.9572,4.9572,4.9464,4.9518,52215.0
2014-06-02,4.9627,4.9627,4.9137,4.9137,77602.0
2014-06-03,4.9246,4.9518,4.9137,4.9137,56723.0
2014-06-04,4.9028,4.9191,4.9028,4.9028,53348.0
2014-06-05,4.9191,4.93,4.8919,4.8919,208832.0
2014-06-06,4.9028,4.9681,4.8919,4.9246,91118.0
2014-06-09,4.9355,4.9572,4.93,4.9464,248619.0
2014-06-10,4.9627,4.9627,4.9246,4.93,79205.0
2014-06-11,4.9409,4.9736,4.9028,4.9355,70620.0
2014-06-12,4.9191,4.9518,4.9028,4.9137,102437.0
2014-06-13,4.8973,4.9627,4.8973,4.93,55937.0
2014-06-16,4.9409,5.0063,4.8864,5.0063,92967.0
2014-06-17,4.9082,4.93,4.881,4.881,62446.0
2014-06-18,4.9028,4.9627,4.8864,4.9627,467006.0
2014-06-19,4.9572,4.9681,4.9409,4.9681,161936.0
2014-06-20,4.9681,5.1752,4.9572,5.1752,104128.0
2014-06-23,5.1425,5.1425,4.9954,5.0117,109327.0
2014-06-24,5.0226,5.0934,4.9845,4.9954,85506.0
2014-06-25,5.0063,5.0608,4.9899,4.9954,109267.0
2014-06-26,4.9954,5.0721,4.9954,5.0612,43600.0
2014-06-27,5.0776,5.1566,5.0447,5.1215,85004.0
2014-06-30,5.1709,5.2038,5.1489,5.1873,157517.0
2014-07-01,5.1928,5.4066,5.1928,5.3299,191227.0
2014-07-02,5.3518,5.4779,5.3189,5.445,198217.0
2014-07-03,5.4944,5.626,5.456,5.5547,124717.0
2014-07-07,5.8069,5.8124,5.5547,5.5931,179366.0
2014-07-08,5.6205,5.7082,5.5711,5.626,186435.0
2014-07-09,5.6644,5.7192,5.6205,5.7027,196510.0
2014-07-10,5.7302,5.944,5.7082,5.8124,151097.0
2014-07-11,5.8398,5.9034,5.6534,5.7082,127895.0
2014-07-14,5.7685,5.8398,5.5547,5.6589,341389.0
2014-07-15,5.445,5.5711,5.2531,5.2641,1642741.0
2014-07-16,5.2202,5.3628,5.1434,5.3518,13597877.0
2014-07-17,5.3354,5.3683,5.2092,5.2147,1465507.0
2014-07-18,5.2476,5.3463,5.2476,5.3134,812660.0
2014-07-21,5.3518,5.4505,5.3189,5.4341,683070.0
2014-07-22,5.445,5.467,5.4231,5.4505,462282.0
2014-07-23,5.4834,5.5108,5.4505,5.456,438678.0
2014-07-24,5.4999,5.5081,5.4066,5.445,293078.0
2014-07-25,5.4834,5.4834,5.3025,5.3463,625133.0
2014-07-28,5.3408,5.4121,5.3244,5.3518,321462.0
2014-07-29,5.4235,5.4897,5.4015,5.4015,258646.0
2014-07-30,5.4842,5.4842,5.407,5.4346,203834.0
2014-07-31,5.4401,5.4461,5.3242,5.4346,225182.0
