Date,Open,High,Low,Close,Volume
2023-04-04,8.53,9.38,7.01,7.46,568844
2023-04-05,7.45,7.55,6.85,7.0,129090
2023-04-06,6.95,7.11,6.95,7.08,32355
2023-04-10,7.04,7.05,6.95,6.95,34529
2023-04-11,6.99,7.4,6.95,7.32,71374
2023-04-12,7.29,7.52,7.1312,7.52,47851
2023-04-13,7.52,8.18,7.52,7.68,172883
2023-04-14,7.76,7.76,7.39,7.48,11496
2023-04-17,7.36,7.6,7.23,7.6,13262
2023-04-18,7.6,7.8,7.5013,7.61,53720
2023-04-19,7.59,8.2,7.5,7.91,62510
2023-04-20,7.84,8.29,7.62,8.05,50568
2023-04-21,8.3,8.5,8.19,8.4,21810
2023-04-24,8.4,8.54,8.11,8.42,19588
2023-04-25,8.0,8.145,7.75,7.89,14043
2023-04-26,7.714,8.33,7.7,8.2,50225
2023-04-27,8.43,8.6,8.09,8.44,44298
2023-04-28,8.34,9.795,8.17,8.96,59997
2023-05-01,8.92,8.96,8.44,8.69,28063
2023-05-02,8.79,8.89,8.585,8.89,14344
2023-05-03,8.84,8.84,8.4231,8.84,87915
2023-05-04,8.71,8.99,8.43,8.8,8532
2023-05-05,8.8,8.98,8.79,8.98,6995
2023-05-08,8.85,9.415,8.8001,9.4,31054
2023-05-09,9.3,9.38,9.07,9.11,31426
2023-05-10,9.26,9.26,9.005,9.2,36651
2023-05-11,9.2,9.2,8.8081,9.1,25124
2023-05-12,9.13,9.13,8.7,9.0,15115
2023-05-15,8.88,8.98,8.8,8.81,17121
2023-05-16,8.8,8.8,8.3416,8.65,40012
2023-05-17,8.75,8.75,7.77,7.94,31072
2023-05-18,7.94,8.9,7.44,8.9,112648
2023-05-19,8.45,8.95,8.15,8.85,14915
2023-05-22,8.95,8.95,7.6,7.6,35108
2023-05-23,7.6447,7.94,7.33,7.45,103594
2023-05-24,7.82,7.9,7.41,7.41,6294
2023-05-25,7.52,7.97,7.43,7.43,11837
2023-05-26,8.01,8.01,7.35,7.37,17048
2023-05-30,7.37,7.8,7.37,7.38,10379
2023-05-31,7.4138,7.97,7.392,7.49,8310
2023-06-01,7.51,8.7,7.51,8.37,23043
2023-06-02,8.45,8.88,8.38,8.39,30015
2023-06-05,8.38,8.4,7.5,7.52,37692
2023-06-06,8.05,8.3,7.72,8.25,11544
2023-06-07,8.29,8.3,7.85,7.86,10321
2023-06-08,7.91,8.2,7.6,7.6,13178
2023-06-09,7.6,8.34,7.6,7.7,14116
2023-06-12,7.77,8.25,7.7,7.7,29531
2023-06-13,7.75,7.89,7.41,7.47,87419
2023-06-14,7.5001,7.9,7.36,7.36,26635
2023-06-15,7.8,7.8,7.36,7.44,11654
2023-06-16,7.43,7.8,7.33,7.43,12319
2023-06-20,7.79,7.8,7.44,7.79,17535
2023-06-21,7.57,8.01,7.45,7.51,18151
2023-06-22,7.52,7.86,7.45,7.51,30080
2023-06-23,7.6099,7.7201,6.76,7.24,253293
2023-06-26,7.21,7.903,7.2,7.78,53473
2023-06-27,8.04,10.35,8.04,9.0,469498
2023-06-28,9.06,9.9977,8.81,9.13,168741
2023-06-29,9.22,10.51,8.81,10.15,141956
2023-06-30,9.9,10.43,8.9,9.42,174925
2023-07-03,9.69,10.31,9.12,9.99,97221
2023-07-05,9.99,10.26,9.61,9.85,61969
2023-07-06,9.82,11.42,9.82,9.93,324501
2023-07-07,10.42,10.8,9.55,9.6,70112
2023-07-10,9.5,10.2,9.5,9.9,87321
2023-07-11,9.9,9.995,9.21,9.7,65644
2023-07-12,9.37,9.99,9.17,9.35,30962
2023-07-13,9.35,10.45,9.2,9.22,44764
2023-07-14,9.26,9.77,9.26,9.65,49682
2023-07-17,9.66,9.749,9.33,9.5,19390
2023-07-18,9.55,9.7,9.335,9.44,36407
2023-07-19,9.44,9.7,9.4,9.45,30116
2023-07-20,9.41,9.73,9.3,9.73,38864
2023-07-21,9.65,9.65,9.36,9.46,14941
2023-07-24,9.5,9.71,9.2,9.22,56086
2023-07-25,9.3,9.55,9.3,9.55,26887
2023-07-26,9.4,9.65,9.39,9.5,15127
2023-07-27,9.5,10.046,9.31,9.77,44732
2023-07-28,10.0,10.2,9.51,9.8,50888
2023-07-31,9.65,9.795,9.06,9.23,104222
2023-08-01,9.23,9.61,9.17,9.34,26476
2023-08-02,9.357,9.36,9.16,9.26,6737
2023-08-03,9.34,9.7637,9.275,9.37,23609
2023-08-04,9.36,9.36,9.105,9.215,7387
2023-08-07,9.11,9.5,9.11,9.49,11892
2023-08-08,9.39,9.49,9.29,9.37,8891
2023-08-09,9.3081,9.74,9.1756,9.68,10292
2023-08-10,9.71,9.75,9.495,9.62,35789
2023-08-11,9.479,9.78,9.21,9.74,24222
2023-08-14,9.52,9.62,9.38,9.43,15614
2023-08-15,9.6,9.99,9.55,9.96,36771
2023-08-16,9.99,9.99,9.4861,9.72,15186
2023-08-17,9.79,10.41,9.72,10.24,84176
2023-08-18,10.43,10.4376,9.82,9.88,43162
2023-08-21,9.89,10.0,9.71,9.84,27756
2023-08-22,9.87,9.87,9.3617,9.61,29109
2023-08-23,9.66,9.86,9.48,9.81,20916
2023-08-24,9.88,10.2,9.88,10.14,31195
2023-08-25,10.13,10.18,9.69,9.69,8727
2023-08-28,10.19,10.2,9.765,9.88,27372
2023-08-29,9.866,9.925,9.72,9.85,19611
2023-08-30,9.82,9.91,9.66,9.66,13120
2023-08-31,9.66,10.01,9.61,9.95,50844
2023-09-01,9.9143,9.95,9.602,9.76,27548
2023-09-05,9.76,9.83,9.06,9.27,55994
2023-09-06,9.3,9.55,9.2,9.29,29706
2023-09-07,9.33,9.5,9.29,9.34,18813
2023-09-08,9.43,9.44,9.25,9.32,12658
2023-09-11,9.32,9.49,9.31,9.39,26093
2023-09-12,9.35,9.41,9.26,9.3,27049
2023-09-13,9.3,9.33,9.1,9.1,39454
2023-09-14,9.1,9.1228,8.0,8.15,50893
2023-09-15,8.29,9.71,8.29,9.11,117107
2023-09-18,9.27,9.86,9.21,9.73,142688
2023-09-19,9.55,9.93,8.76,9.81,58764
2023-09-20,9.8,9.83,9.1595,9.69,39174
2023-09-21,9.8,9.8,9.572,9.66,5560
2023-09-22,9.72,9.91,9.441,9.66,13664
2023-09-25,9.53,9.59,8.9,8.98,26673
2023-09-26,9.12,9.71,9.12,9.3,27381
2023-09-27,9.2,9.45,8.83,8.93,31004
2023-09-28,8.932,9.47,8.86,9.09,70539
2023-09-29,9.0625,9.39,8.82,9.15,64334
2023-10-02,9.13,9.2328,8.792,9.17,5315
2023-10-03,9.25,9.25,8.95,9.1,15275
2023-10-04,9.22,9.22,8.94,9.17,18852
2023-10-05,9.21,9.21,8.76,8.85,23782
2023-10-06,8.852,9.2,8.81,9.19,7056
2023-10-09,9.19,9.41,9.0,9.26,16618
2023-10-10,9.12,9.26,8.945,8.99,14904
2023-10-11,8.95,8.95,8.655,8.8,51350
2023-10-12,8.9099,9.1,8.7,8.75,22501
2023-10-13,8.71,9.02,8.71,8.91,31130
2023-10-16,8.82,9.02,8.8,8.89,59450
2023-10-17,8.88,9.14,8.79,9.14,84604
2023-10-18,9.19,9.3,8.8,9.05,44557
2023-10-19,9.17,9.24,9.02,9.18,88927
2023-10-20,9.21,9.26,8.94,8.94,52178
2023-10-23,8.95,9.04,8.7,8.88,61748
2023-10-24,9.01,9.1,8.795,9.0,41693
2023-10-25,9.0,9.01,8.65,8.65,43597
2023-10-26,9.0,9.0,8.35,8.53,78838
2023-10-27,8.68,8.77,7.71,7.78,88429
2023-10-30,7.85,8.17,7.58,7.9,139623
2023-10-31,8.045,8.08,7.78,7.93,103338
2023-11-01,8.03,8.28,7.845,8.16,100724
2023-11-02,8.3,8.435,7.91,8.37,57870
2023-11-03,8.23,8.35,8.09,8.28,174214
2023-11-06,8.23,8.75,8.23,8.57,58243
2023-11-07,8.46,8.88,8.195,8.75,88818
2023-11-08,8.8,8.88,8.5,8.74,85999
2023-11-09,8.74,8.89,8.61,8.84,29140
2023-11-10,8.75,8.94,8.75,8.89,53531
2023-11-13,8.89,10.91,8.89,10.8,163781
2023-11-14,10.98,19.78,9.7,14.31,553137
2023-11-15,14.73,15.78,11.62,14.11,468398
2023-11-16,13.98,13.98,11.7,12.37,172904
2023-11-17,12.0,12.04,10.819,11.65,62881
2023-11-20,11.03,12.73,10.9,12.42,225369
2023-11-21,12.54,12.99,12.135,12.89,65305
2023-11-22,13.0,13.0,11.08,11.63,79603
2023-11-24,11.57,12.28,11.57,12.05,37917
2023-11-27,11.97,11.99,11.2,11.78,42712
2023-11-28,11.68,12.2,10.82,11.22,110476
2023-11-29,11.22,11.44,10.82,10.98,63030
2023-11-30,10.9,10.9,9.065,10.37,206532
2023-12-01,10.18,10.77,10.1366,10.71,43347
2023-12-04,10.63,10.98,9.8,9.85,70271
2023-12-05,9.78,10.39,9.75,10.01,90290
2023-12-06,9.92,10.96,9.92,10.93,97524
2023-12-07,10.99,11.865,10.865,11.45,109564
2023-12-08,11.39,11.72,11.07,11.27,59038
2023-12-11,11.02,11.22,10.261,10.42,83164
2023-12-12,10.71,10.71,9.49,9.74,71875
2023-12-13,10.73,10.73,8.24,8.82,148366
2023-12-14,9.0,9.1,8.52,8.65,88228
2023-12-15,8.86,10.78,8.8063,10.38,1350462
2023-12-18,10.71,12.27,10.71,12.2,198040
2023-12-19,12.34,13.4,11.8801,12.25,220653
