Date,Open,High,Low,Close,Volume
2000-01-03,6.0625,7.3125,6.0,7.25,135200
2000-01-04,7.21875,7.25,6.6875,7.25,56000
2000-01-05,6.875,7.0,6.5,6.65625,22500
2000-01-06,6.75,7.0,6.625,7.0,20900
2000-01-07,7.125,7.5,6.75,7.0,68000
2000-01-10,7.375,7.375,6.25,7.125,60100
2000-01-11,7.0625,7.5,6.875,7.25,83500
2000-01-12,7.375,7.4375,7.0,7.03125,80000
2000-01-13,7.125,7.25,7.0,7.125,16600
2000-01-14,7.0625,7.5,6.5,6.5,83100
2000-01-18,6.5,7.25,6.5,6.9375,61300
2000-01-19,7.0,7.0,6.75,7.0,13600
2000-01-20,7.125,7.125,6.5,6.75,35800
2000-01-21,6.625,6.75,6.25,6.75,33100
2000-01-24,6.75,7.0,6.25,6.5625,38100
2000-01-25,6.5625,7.375,6.5625,7.1875,48500
2000-01-26,7.0,7.0,6.875,6.875,12700
2000-01-27,7.0,7.5,6.875,7.25,26700
2000-01-28,7.21875,7.3125,6.875,6.875,18900
2000-01-31,7.0,7.375,6.875,7.0,46300
2000-02-01,7.0,7.0625,6.0,6.125,111300
2000-02-02,6.28125,6.3125,5.5,5.5,192600
2000-02-03,5.8125,5.9375,5.4375,5.625,44900
2000-02-04,5.5625,5.8125,5.3125,5.75,47100
2000-02-07,5.75,5.875,5.625,5.625,31100
2000-02-08,5.6875,5.6875,5.375,5.5625,40600
2000-02-09,5.59375,5.8125,5.4375,5.75,79200
2000-02-10,5.625,5.65625,4.5,5.125,144800
2000-02-11,5.4375,5.6875,5.0,5.5625,73300
2000-02-14,5.71875,6.0,5.5625,5.6875,34800
2000-02-15,5.75,5.9375,5.625,5.75,58200
2000-02-16,5.875,5.875,5.375,5.5,81000
2000-02-17,5.5625,5.75,5.25,5.375,95700
2000-02-18,5.5,5.625,5.25,5.375,73300
2000-02-22,5.5625,5.75,5.25,5.5,56800
2000-02-23,5.375,5.4375,5.25,5.4375,21400
2000-02-24,5.4375,5.5,5.25,5.25,45100
2000-02-25,5.5625,5.5625,5.25,5.375,21100
2000-02-28,5.28125,5.5,5.25,5.4375,132800
2000-02-29,5.5,7.75,5.40625,7.5,272800
2000-03-01,7.5625,8.5,7.0,7.0,244000
