Date,Open,High,Low,Close,Volume
2012-01-18,48.5,48.5,44.61,46.78,1231089
2012-01-19,47.05,48.09,46.29,46.55,647145
2012-01-20,46.4,46.77,45.95,46.055,783067
2012-01-23,46.0,47.9,45.64,47.03,1220332
2012-01-24,47.0,47.0,45.16,46.0,788622
2012-01-25,46.94,46.94,45.38,45.96,776751
2012-01-26,46.26,46.75,45.3,46.52,962202
2012-01-27,46.12,48.79,45.81,48.5,1806583
2012-01-30,48.59,50.46,46.13,46.56,1655114
2012-01-31,46.74,47.18,45.09,46.5,693795
2012-02-01,46.67,48.9,46.42,48.25,1014536
2012-02-02,48.33,48.62,47.6,47.86,495531
2012-02-03,47.42,48.55,47.38,48.0,630098
2012-02-06,48.01,51.0,47.83,50.84,1891075
2012-02-07,50.75,50.86,49.75,50.46,925321
2012-02-08,50.61,51.36,49.23,49.94,908486
2012-02-09,50.04,50.3,48.63,49.24,678050
2012-02-10,48.72,49.08,47.85,48.3,803776
2012-02-13,48.89,50.12,48.5,49.73,663040
2012-02-14,49.48,50.5,49.08,49.78,640814
2012-02-15,49.92,50.93,49.01,49.45,853557
2012-02-16,49.47,50.73,48.67,50.73,357950
2012-02-17,49.56,49.56,44.44,46.32,1839178
2012-02-21,47.79,47.79,46.221,46.91,858861
2012-02-22,46.64,48.3,46.27,48.3,662849
2012-02-23,47.9,50.23,47.52,48.57,771289
2012-02-24,49.55,51.69,48.76,50.83,1555047
2012-02-27,51.3,52.5,49.51,51.7,1188956
2012-02-28,52.15,52.2,50.24,51.68,1968516
2012-02-29,51.59,53.1,51.58,52.5,1282354
2012-03-01,52.45,52.73,50.011,51.83,1813780
2012-03-02,51.0,52.05,50.91,51.9,663173
2012-03-05,51.87,52.25,49.51,50.08,445047
2012-03-06,50.08,50.08,48.4,48.55,3889263
2012-03-07,47.4,49.3,47.4,48.53,971305
2012-03-08,48.58,49.99,48.58,48.99,1228357
2012-03-09,48.8,49.06,48.42,48.67,815794
2012-03-12,48.67,48.99,47.703,47.89,560586
2012-03-13,48.25,48.28,47.21,47.91,764069
2012-03-14,47.67,47.97,46.21,46.48,1070532
2012-03-15,46.31,47.09,46.3,46.76,669426
2012-03-16,46.95,47.1,46.15,46.578,964969
2012-03-19,46.86,46.86,45.5,46.2,1263705
2012-03-20,46.3,46.47,45.53,46.0,1065071
2012-03-21,45.89,47.7,45.8,47.24,1088704
2012-03-22,46.6,47.42,46.45,47.33,550169
2012-03-23,47.48,48.24,47.2,47.493,892375
2012-03-26,48.31,49.06,48.25,48.89,802402
2012-03-27,48.91,49.3,48.27,48.3,438062
2012-03-28,48.25,48.97,46.81,47.79,867511
2012-03-29,47.61,47.95,46.98,47.82,364784
2012-03-30,47.89,48.75,47.7,48.47,458686
2012-04-02,48.47,49.5,48.35,49.23,625082
2012-04-03,49.27,49.75,49.23,49.55,431008
2012-04-04,48.44,49.09,48.08,48.86,511371
2012-04-05,48.59,49.61,48.151,49.47,511710
2012-04-09,48.6,49.97,48.6,49.53,959596
2012-04-10,49.72,51.39,48.65,48.88,1642921
2012-04-11,49.1,49.4,45.61,46.36,2054791
2012-04-12,46.29,46.5,44.13,44.64,1816994
2012-04-13,44.64,46.45,44.46,45.68,1309874
2012-04-16,45.98,46.3,44.16,44.75,625440
2012-04-17,44.75,45.5,44.55,45.03,677052
2012-04-18,44.8,45.16,44.57,44.77,367347
2012-04-19,44.77,45.07,44.1,44.27,444856
2012-04-20,44.5,44.65,43.65,44.03,749615
2012-04-23,43.63,43.88,42.74,43.66,412181
2012-04-24,43.58,43.65,43.08,43.52,447455
2012-04-25,44.04,46.06,43.96,45.38,733908
2012-04-26,45.37,51.48,44.93,51.1,572370
2012-04-27,47.87,54.5,47.87,51.72,4222115
2012-04-30,51.94,52.04,50.7,51.03,785171
2012-05-01,51.03,51.53,50.76,51.0,636428
2012-05-02,50.88,51.57,50.54,51.52,715614
2012-05-03,51.96,52.99,51.01,51.7,614194
2012-05-04,51.29,51.749,50.77,50.79,442674
2012-05-07,50.69,51.97,49.81,51.97,511885
2012-05-08,51.04,53.71,48.06,50.4,1018507
2012-05-09,50.0,50.37,47.17,50.37,1372037
2012-05-10,49.67,50.0,48.67,49.0,791344
2012-05-11,49.55,51.02,49.12,50.45,689077
2012-05-14,50.39,50.58,47.52,47.87,1022566
2012-05-15,47.6,47.87,44.92,45.8,1445659
2012-05-16,45.43,46.412,44.19,44.19,589319
2012-05-17,45.31,45.32,42.93,43.14,1104701
2012-05-18,43.3,43.36,42.14,42.43,1222921
