Date,Open,High,Low,Close,Volume
2000-01-03,2.2967,2.3326,2.2967,2.3326,1567.0
2000-01-04,2.3685,2.4044,2.3685,2.3685,10624.0
2000-01-05,2.3685,2.3685,2.0455,2.1532,6269.0
2000-01-07,2.2967,2.2967,2.0814,2.0814,87253.0
2000-01-10,2.225,2.3685,2.225,2.3685,12889.0
2000-01-11,2.3506,2.3506,2.0097,2.1532,13757.0
2000-01-12,2.0455,2.1711,2.0455,2.1711,13062.0
2000-01-13,2.0814,2.0814,2.0097,2.0097,3482.0
2000-01-14,2.1711,2.1711,2.0814,2.0814,10797.0
2000-01-18,2.1532,2.2967,2.1532,2.2967,8708.0
2000-01-19,2.225,2.3506,2.225,2.3147,15325.0
2000-01-20,2.2967,2.3506,2.2967,2.3506,6096.0
2000-01-21,2.2967,2.2967,2.225,2.225,15151.0
2000-01-24,2.3147,2.3147,2.3147,2.3147,14978.0
2000-01-25,2.3147,2.3147,2.3147,2.3147,1219.0
2000-01-26,2.3326,2.9068,2.3326,2.7992,287714.0
2000-01-27,2.9068,2.9427,2.5838,2.5838,43017.0
2000-01-28,2.7274,2.7274,2.5838,2.5838,7838.0
2000-01-31,2.5838,2.7274,2.5838,2.5838,2264.0
2000-02-01,2.5838,2.835,2.5838,2.835,9753.0
2000-02-02,2.6556,2.7274,2.5838,2.7274,16024.0
2000-02-03,2.5121,2.7274,2.5121,2.5121,7664.0
2000-02-04,2.3685,2.3685,2.3685,2.3685,4180.0
2000-02-07,2.5838,2.6556,2.3685,2.3685,28910.0
2000-02-08,2.5121,2.5838,2.5121,2.5121,10101.0
2000-02-09,2.5121,2.5838,2.5121,2.5838,20726.0
2000-02-10,2.5838,2.7992,2.5838,2.7992,14979.0
2000-02-11,2.835,2.8709,2.6556,2.6556,22815.0
2000-02-14,2.5838,2.7633,2.5838,2.7633,18810.0
2000-02-15,2.5838,2.7633,2.2967,2.7633,9753.0
2000-02-16,2.6377,2.7274,2.3685,2.3685,9752.0
2000-02-17,2.7274,2.7274,2.7274,2.7274,2264.0
2000-02-18,2.5121,2.5121,2.5121,2.5121,1742.0
2000-02-22,2.7274,2.7274,2.7274,2.7274,5225.0
2000-02-23,2.6915,2.7274,2.5838,2.7094,28388.0
2000-02-24,2.5838,2.5838,1.7943,2.5838,27343.0
2000-02-25,2.548,2.6197,2.548,2.5838,11494.0
2000-02-28,2.548,2.548,2.548,2.548,5051.0
2000-02-29,2.5838,2.5838,2.4044,2.548,10450.0
2000-03-01,2.4044,2.4044,2.1532,2.2609,5398.0
