Date,Open,High,Low,Close,Volume
2022-08-26,273.0,300.3,190.19,218.4,43004.3
2022-08-29,224.77,226.59,165.62,176.54,13265.619999999999
2022-08-30,179.27,179.27,143.78,163.8,8892.76
2022-08-31,169.26,176.54,156.52,163.8,10454.31
2022-09-01,157.43,181.09,154.7,156.52,12290.23
2022-09-02,158.34,190.19,151.97,177.45,21412.53
2022-09-06,179.27,189.28,157.43,173.81,7809.85
2022-09-07,175.63,182.0,145.6,151.97,6250.31
2022-09-08,151.06,156.52,130.13,132.86,6384.7
2022-09-09,137.41,140.14,124.67,127.4,2862.28
2022-09-12,139.23,151.97,116.48,122.85,7157.54
2022-09-13,130.13,149.24,112.84,126.49,5764.11
2022-09-14,124.67,127.4,113.75,118.3,5233.6900000000005
2022-09-15,117.39,121.03,110.11,113.75,2412.92
2022-09-16,112.84,117.39,101.92,107.38,3206.38
2022-09-19,106.47,108.29,94.64,100.1,2102.36
2022-09-20,100.1,103.74,90.09,95.55,2090.37
2022-09-21,96.46,105.56,91.0,97.37,7531.55
2022-09-22,99.19,102.83,93.73,102.83,2447.67
2022-09-23,103.74,103.74,95.55,97.37,2186.38
2022-09-26,101.92,104.65,95.55,97.37,1254.6
2022-09-27,95.55,108.29,94.64,99.19,1681.72
2022-09-28,98.28,101.829,93.73,99.19,1508.02
2022-09-29,99.19,99.19,86.4682,91.91,1924.75
2022-09-30,91.91,98.9443,83.72,95.55,3137.86
2022-10-03,95.55,98.28,91.0,92.82,653.78
2022-10-04,94.64,100.1,89.18,93.73,1218.69
2022-10-05,90.09,94.64,89.908,91.91,305.31
2022-10-06,91.91,96.46,90.9818,92.82,741.29
2022-10-07,91.91,96.3508,87.451,88.4065,3249.45
2022-10-10,94.64,95.55,89.1891,91.91,373.94
2022-10-11,92.82,94.64,88.725,91.91,696.03
2022-10-12,95.459,104.65,92.82,104.65,2587.53
2022-10-13,107.4073,109.2,94.64,99.19,849.0300000000001
2022-10-14,94.64,100.1,88.7341,100.1,606.45
2022-10-17,91.0,99.1809,90.545,94.64,962.47
2022-10-18,95.55,102.83,93.184,97.37,1908.6200000000001
2022-10-19,101.92,101.92,91.0,95.55,445.34000000000003
2022-10-20,95.55,110.11,91.91,102.8209,5506.2
2022-10-21,101.01,112.84,97.37,109.2,2238.5
2022-10-24,109.2,113.75,96.46,101.01,472.51
2022-10-25,95.55,102.83,92.82,96.46,737.8
2022-10-26,99.19,107.38,97.4519,107.38,249.27
2022-10-27,101.92,106.47,100.3184,103.285,674.3100000000001
2022-10-28,103.74,109.2,102.83,106.47,980.08
2022-10-31,107.38,113.75,102.8391,109.2,860.55
2022-11-01,111.93,121.94,101.01,113.75,1518.99
2022-11-02,113.75,120.12,107.3891,113.75,512.24
2022-11-03,110.11,126.49,110.11,115.57,1189.3799999999999
2022-11-04,117.39,123.76,109.2,121.94,2319.25
2022-11-07,119.21,130.13,114.7965,125.58,612.39
2022-11-08,125.5709,141.96,123.76,136.5,2291.93
2022-11-09,128.31,145.6,125.58,144.69,1058.37
2022-11-10,144.69,160.1509,137.41,154.7,2092.42
2022-11-11,159.25,174.265,154.7,173.81,1637.59
2022-11-14,177.45,182.0,164.0457,172.9,1382.47
2022-11-15,180.18,182.0,165.0558,171.99,761.86
2022-11-16,172.9,177.45,161.98,170.17,481.83
2022-11-17,163.9183,182.0,162.89,177.45,795.36
2022-11-18,179.27,190.19,172.9091,183.82,726.17
2022-11-21,186.55,186.55,165.62,167.44,583.05
2022-11-22,181.09,214.76,168.35,181.09,6429.24
2022-11-23,189.28,202.93,144.69,166.53,9461.29
2022-11-25,153.79,163.8,143.78,150.15,3234.03
2022-11-28,150.15,158.1671,131.04,136.5,3573.83
2022-11-29,137.41,147.42,135.59,135.59,678.19
2022-11-30,141.96,143.7709,122.85,129.22,1203.08
2022-12-01,127.4,131.95,119.21,119.21,336.23
2022-12-02,124.67,132.86,113.75,121.03,499.89
2022-12-05,121.0209,134.68,116.48,129.22,322.23
2022-12-06,134.68,143.2431,121.03,127.4,1331.43
2022-12-07,138.32,142.87,122.3859,135.59,1568.09
2022-12-08,142.87,142.87,125.58,128.31,630.08
2022-12-09,130.8034,130.8034,121.0391,126.49,139.19
2022-12-12,121.03,124.67,101.92,118.3,211.15
2022-12-13,122.85,122.85,108.29,108.29,264.56
2022-12-14,110.11,130.13,101.01,101.92,1543.31
2022-12-15,101.92,113.295,99.19,103.74,617.7
2022-12-16,111.02,120.12,103.7491,104.65,491.23
2022-12-19,119.21,119.21,105.56,116.48,388.82
2022-12-20,103.74,111.02,101.01,102.83,266.19
2022-12-21,99.19,119.21,99.19,103.74,189.09
2022-12-22,103.74,109.2,101.92,107.38,123.5
2022-12-23,103.74,111.93,102.8664,104.65,69.54
2022-12-27,101.01,123.76,101.01,106.47,409.7
2022-12-28,102.83,114.66,102.83,107.835,52.41
2022-12-29,122.85,122.85,102.83,109.2,173.12
2022-12-30,102.83,107.38,96.46,105.56,486.46
2023-01-03,103.74,106.47,92.82,98.2891,353.71
2023-01-04,95.55,111.02,95.55,96.46,295.47
2023-01-05,121.94,149.24,105.5691,113.75,5453.93
2023-01-06,113.75,142.87,109.2,112.84,1215.9099999999999
2023-01-09,115.57,115.57,101.92,106.47,390.73
2023-01-10,102.83,112.8309,102.83,111.02,121.09
2023-01-11,107.38,114.66,106.47,112.84,84.98
2023-01-12,111.93,113.75,104.65,104.65,183.15
2023-01-13,114.205,127.4,112.84,120.12,1963.87
2023-01-17,120.12,131.1765,120.12,123.76,322.32
2023-01-18,126.49,133.77,113.7591,118.3,263.45
2023-01-19,113.75,127.4,112.1484,127.4,196.04
2023-01-20,119.21,191.1,115.5791,177.45,4481.89
2023-01-23,182.0,277.55,121.03,153.79,27713.82
2023-01-24,148.33,158.34,98.28,108.29,11635.03
2023-01-25,111.02,111.02,91.0,101.01,2486.38
2023-01-26,102.83,104.65,98.28,99.19,1005.31
2023-01-27,101.0009,102.83,96.46,100.1,1333.96
2023-01-30,99.19,108.29,92.82,102.83,927.6899999999999
2023-01-31,96.46,106.47,94.64,101.92,1399.25
2023-02-01,99.19,101.01,96.46,99.19,369.51
2023-02-02,99.19,103.74,92.82,103.74,718.69
2023-02-03,95.55,101.01,92.82,98.28,886.21
2023-02-06,95.55,98.28,93.73,97.37,395.87
2023-02-07,96.46,96.46,91.91,96.46,444.93
2023-02-08,94.64,96.6784,91.0,94.64,368.34
2023-02-09,96.46,96.915,91.0,96.46,799.36
2023-02-10,95.55,97.37,91.91,94.6491,344.64
2023-02-13,94.64,97.37,85.6401,90.09,820.09
2023-02-14,86.45,95.55,84.6573,90.545,453.61
2023-02-15,88.9707,90.9909,84.7301,88.27,339.11
2023-02-16,90.09,91.91,87.815,88.9343,196.07
2023-02-17,89.18,90.09,75.5573,86.1042,808.33
2023-02-21,80.4076,85.54,80.08,85.358,359.79
2023-02-22,82.81,131.95,82.81,90.909,89200.82
2023-02-23,96.46,104.65,84.63,102.83,8830.56
2023-02-24,103.74,104.65,91.0,99.19,1722.31
2023-02-27,92.82,101.92,82.8191,92.82,847.61
2023-02-28,91.0728,98.28,86.905,96.46,602.87
2023-03-01,96.4691,99.19,89.18,99.19,1396.2
2023-03-02,96.46,108.29,92.82,101.01,1846.57
2023-03-03,102.83,104.65,100.9281,101.92,502.90999999999997
2023-03-06,105.56,114.66,86.45,104.65,3514.88
2023-03-07,104.65,106.47,97.37,101.01,906.4
2023-03-08,100.1,111.02,100.1,111.02,980.72
2023-03-09,107.38,131.95,105.6328,122.8591,4653.53
2023-03-10,122.85,165.62,120.12,151.97,37623.7
2023-03-13,163.8,177.4409,145.6,145.6,15742.35
2023-03-14,145.6,164.71,136.5,146.51,7566.79
2023-03-15,146.51,153.79,139.23,153.79,1287.23
2023-03-16,140.14,145.5909,132.86,133.77,887.63
2023-03-17,136.5,137.1643,121.9491,126.49,1021.21
2023-03-20,126.035,127.3909,115.5791,119.21,185.46
2023-03-21,116.48,118.3,89.1891,90.545,2963.48
2023-03-22,101.01,105.56,51.0874,82.81,3071.63
2023-03-23,85.0395,85.0395,62.7991,68.7869,3649.2200000000003
2023-03-24,65.52,70.5159,63.8183,66.066,693.42
2023-03-27,66.1297,71.89,65.5291,70.707,500.2
2023-03-28,68.25,82.0274,63.7,72.8,477.98
2023-03-29,69.16,77.35,66.43,75.4845,959.75
2023-03-30,71.7899,71.7899,68.705,70.98,280.19
2023-03-31,70.07,70.98,64.064,67.4219,544.9
2023-04-03,70.9709,70.98,64.3188,69.16,368.89
2023-04-04,69.16,70.8981,68.2591,70.07,256.83
2023-04-05,70.98,70.98,67.34,68.25,70.53
