Date,Open,High,Low,Close,Volume
2000-01-03,8.6731,8.6993,8.5945,8.6993,42219
2000-01-04,8.6993,8.6993,7.9657,7.9657,10258
2000-01-05,7.9657,8.4373,7.9657,8.4373,37691
2000-01-06,8.2801,8.4897,8.1753,8.4635,55581
2000-01-07,8.3325,8.4897,8.3325,8.4897,29818
2000-01-10,8.4373,8.4373,8.1229,8.2015,142158
2000-01-11,8.1753,8.2277,8.1753,8.2015,51286
2000-01-12,8.1753,8.2277,7.8608,8.0181,20997
2000-01-13,8.0181,8.0181,7.9657,8.0181,31013
2000-01-14,8.0181,8.0181,7.9133,8.0181,48186
2000-01-18,8.0181,8.0705,7.9657,8.0181,66316
2000-01-19,8.0181,8.2277,8.0181,8.1491,162204
2000-01-20,8.1229,8.1753,8.0705,8.1753,52723
2000-01-21,8.136,8.2801,8.0181,8.0181,117356
2000-01-24,8.2801,8.2801,7.8608,7.9133,51048
2000-01-25,7.8608,8.0443,7.756,7.756,59399
2000-01-26,8.0443,8.0443,7.8084,7.8084,6203
2000-01-27,8.0443,8.0705,7.756,8.0443,8112
2000-01-28,8.0443,8.0443,7.756,8.0181,13600
2000-01-31,8.0181,8.0181,7.756,8.0181,40791
2000-02-01,7.8871,8.0181,7.8084,8.0181,103045
2000-02-02,7.9657,8.0181,7.756,7.756,17178
2000-02-03,8.0181,8.0181,7.756,7.756,36495
2000-02-04,8.0181,8.0181,7.756,7.8871,81816
2000-02-07,7.9657,7.9657,7.494,7.7036,16463
2000-02-08,7.8084,7.8084,7.494,7.5726,87782
2000-02-09,7.6512,7.7036,7.494,7.6905,6922
2000-02-10,7.7036,7.7036,7.1534,7.494,98279
2000-02-11,7.494,7.494,7.0486,7.1272,70610
2000-02-14,7.2713,7.494,7.1272,7.232,64884
2000-02-15,7.1796,7.3892,7.1796,7.1796,31250
2000-02-16,7.3368,7.3368,7.1796,7.1796,28630
2000-02-17,7.3892,7.5988,7.1796,7.1796,31972
2000-02-18,7.1796,7.5464,7.1796,7.232,21713
2000-02-22,7.4285,7.5988,7.3892,7.4416,94220
2000-02-23,7.5202,7.5202,7.232,7.3106,58680
2000-02-24,7.5202,7.5202,7.232,7.232,28630
2000-02-25,7.5202,7.5202,7.2058,7.232,15267
2000-02-28,7.3106,7.494,7.232,7.232,9783
2000-02-29,7.5202,7.7298,7.3892,7.7298,317478
2000-03-01,7.8084,7.8608,7.4416,7.4416,40552
2000-03-02,7.8084,8.005,7.5464,7.8608,69891
2000-03-03,8.0181,8.0181,7.8346,7.9133,31488
2000-03-06,7.756,8.1753,7.5202,8.0967,19563
2000-03-07,8.1753,8.3849,8.1753,8.2277,23861
2000-03-08,8.1753,8.3849,7.9657,8.2015,20281
2000-03-09,8.4373,8.4373,7.9919,8.2801,12886
2000-03-10,7.9919,8.3849,7.9919,8.0967,5013
2000-03-13,7.9919,8.2015,7.9919,8.2015,2387
2000-03-14,8.3849,8.3849,7.232,7.363,94942
