Date,Open,High,Low,Close,Volume
2010-05-14,9.7487,10.1031,9.5714,9.9525,1760460
2010-05-17,9.793,9.8727,9.2435,9.5182,263970
2010-05-18,9.5182,9.7398,8.9688,9.084,207954
2010-05-19,9.084,9.1726,8.632,8.632,199348
2010-05-20,8.4636,8.5168,7.2938,7.502,473796
2010-05-21,7.4976,8.2864,7.4887,7.9768,159145
2010-05-24,8.4104,8.4104,7.9053,8.0648,119290
2010-05-25,8.1977,8.1977,7.7546,8.0205,159149
2010-05-26,7.9762,8.4193,7.9762,8.3573,71598
2010-05-27,8.7118,9.0928,8.4193,9.0397,137371
2010-05-28,9.1283,9.5271,9.1283,9.2612,124529
2010-06-01,9.4473,9.4473,9.1106,9.1637,27437
2010-06-02,9.1194,9.1194,8.7738,8.7827,42299
2010-06-03,8.7738,8.7738,8.5965,8.632,8745
2010-06-04,8.437,8.7206,8.3573,8.5522,31290
2010-06-07,8.7915,8.7915,8.375,8.375,18013
2010-06-08,8.242,8.242,7.666,7.7989,53292
2010-06-09,7.7192,7.7192,7.4887,7.6305,35314
2010-06-10,7.8698,8.0293,7.666,8.0028,34725
2010-06-11,7.7989,8.7206,7.7989,8.5522,69925
2010-06-14,8.7561,9.1726,8.7118,8.9776,72565
2010-06-15,9.1283,9.2169,8.9067,9.2169,71408
2010-06-16,9.1283,9.4828,9.0578,9.1461,109148
2010-06-17,9.3498,9.3498,8.7738,9.3144,60635
2010-06-18,9.1283,9.4207,9.1283,9.4119,18902
2010-06-21,9.4651,9.598,9.3676,9.598,21783
2010-06-22,9.7487,9.793,9.5448,9.6512,67682
2010-06-23,9.7487,9.7575,9.4739,9.66,72335
2010-06-24,9.7043,9.7043,9.3942,9.6157,47512
2010-06-25,9.5271,9.7487,9.3942,9.7487,69194
2010-06-28,9.7575,9.7664,9.4562,9.4562,27804
2010-06-29,9.3853,9.3853,8.827,8.827,37247
2010-06-30,8.7383,8.9599,8.5965,8.5965,42010
2010-07-01,8.7295,8.9067,8.5611,8.6852,69193
2010-07-02,8.7827,9.3144,8.7827,9.0486,34856
2010-07-06,9.1815,9.6334,9.1815,9.5626,51836
2010-07-07,9.5803,11.1223,9.5803,11.1223,295759
2010-07-08,11.1666,11.5477,10.7235,10.9805,125973
2010-07-09,11.1135,11.2198,11.0337,11.078,37518
2010-07-12,11.1844,11.1844,10.8565,10.9894,10888
2010-07-13,11.0692,11.3439,10.8299,11.211,159308
2010-07-14,10.7678,11.7693,10.4311,11.211,83741
2010-07-15,11.1489,11.4768,10.8742,11.3527,88232
2010-07-16,11.3439,11.5211,11.1409,11.3793,48401
2010-07-19,11.3439,11.9377,10.9894,11.9377,106264
2010-07-20,12.0529,12.7353,12.0529,12.4517,149170
2010-07-21,12.8505,13.2139,12.6289,12.753,173512
2010-07-22,13.0809,13.0986,12.6555,12.6954,188395
2010-07-23,12.7087,13.0543,12.4074,12.5669,131254
