Date,Open,High,Low,Close,Volume
2000-01-03,7.7155,7.8763,7.6352,7.7155,444669
2000-01-04,7.7155,7.7155,7.3941,7.3941,180420
2000-01-05,7.2735,7.3539,6.9922,7.3539,222884
2000-01-06,6.9922,7.0726,6.8716,6.9922,202824
2000-01-07,7.0324,7.2333,6.9922,7.2333,221323
2000-01-10,7.2333,7.3941,7.1931,7.3137,172950
2000-01-11,7.4342,7.4342,7.1529,7.1931,263314
2000-01-12,7.1529,7.1529,6.9922,6.9922,90676
2000-01-13,7.0726,7.1128,6.9922,7.0726,141844
2000-01-14,7.0726,7.1931,7.0726,7.1931,194105
2000-01-18,7.1931,7.2333,7.1529,7.1931,242478
2000-01-19,7.0324,7.0726,6.9118,6.952,209971
2000-01-20,6.9922,6.9922,6.7511,6.7511,244496
2000-01-21,6.7913,6.7913,6.6305,6.6305,155383
2000-01-24,6.7109,6.7511,6.5502,6.5502,179020
2000-01-25,6.7109,6.7109,6.5904,6.6305,114787
2000-01-26,6.7109,6.7511,6.6707,6.6707,254606
2000-01-27,6.7511,6.8315,6.7511,6.7511,119761
2000-01-28,6.8315,6.9922,6.7913,6.7913,277782
2000-01-31,6.8716,6.9118,6.8315,6.9118,96120
2000-02-01,6.9118,6.9922,6.8716,6.9922,136399
2000-02-02,7.0324,7.0324,6.952,6.952,166574
2000-02-03,6.9922,7.0324,6.952,7.0324,116808
2000-02-04,6.952,7.0324,6.952,7.0324,74504
2000-02-07,7.1128,7.1931,7.0726,7.1529,153826
2000-02-08,7.1128,7.1128,6.9118,7.0726,254921
2000-02-09,7.1128,7.1529,6.8315,6.8716,338121
2000-02-10,6.9118,6.9922,6.7913,6.8315,211678
2000-02-11,6.8315,6.9118,6.8315,6.8315,156005
2000-02-14,6.8716,6.952,6.8315,6.8716,160510
2000-02-15,6.8315,6.9118,6.7511,6.9118,115098
2000-02-16,6.9922,6.9922,6.9118,6.952,99386
2000-02-17,6.6707,6.952,6.6707,6.8716,233921
2000-02-18,6.8716,6.9922,6.8315,6.8315,233453
2000-02-22,6.7511,6.8716,6.7511,6.8315,256323
2000-02-23,6.7511,6.952,6.7511,6.8716,261764
2000-02-24,6.952,6.9922,6.7109,6.7511,169219
2000-02-25,6.952,6.952,6.7913,6.7913,176530
2000-02-28,6.8315,6.9118,6.8315,6.9118,159113
2000-02-29,6.9118,7.0726,6.9118,7.0726,187889
2000-03-01,7.0726,7.3137,6.9922,7.2333,292406
2000-03-02,7.1931,7.2735,7.1529,7.1529,139517
2000-03-03,7.0726,7.1529,7.0324,7.1128,170773
