Date,Open,High,Low,Close,Volume
2023-08-11,0.0601,0.0698,0.04,0.05,196288
2023-08-14,0.0573,0.0699,0.0401,0.0504,281209
2023-08-15,0.05,0.0649,0.045,0.0585,180085
2023-08-16,0.06,0.0687,0.05,0.0598,403010
2023-08-17,0.059,0.0599,0.0431,0.0525,141779
2023-08-18,0.0569,0.0734,0.048,0.065,1249751
2023-08-21,0.06,0.0698,0.0521,0.0569,470240
2023-08-22,0.06,0.06,0.0501,0.0516,97912
2023-08-23,0.0589,0.059,0.0412,0.05,28769
2023-08-24,0.0628,0.0628,0.05,0.0503,22786
2023-08-25,0.051,0.058,0.051,0.0511,28600
2023-08-28,0.05,0.0574,0.05,0.05,36441
2023-08-29,0.0549,0.0549,0.044,0.044,44322
2023-08-30,0.0495,0.05,0.04,0.0475,231612
2023-08-31,0.0499,0.0543,0.045,0.045,28078
2023-09-01,0.0569,0.0574,0.05,0.0503,92873
2023-09-05,0.0495,0.05,0.04,0.0455,66596
2023-09-06,0.045,0.055,0.0405,0.0547,69949
2023-09-07,0.0405,0.0405,0.0405,0.0405,106
2023-09-08,0.0498,0.0498,0.042,0.0441,69250
2023-09-12,0.0493,0.0495,0.0401,0.0403,14981
2023-09-13,0.0402,0.042,0.04,0.04,205039
2023-09-14,0.0424,0.0424,0.04,0.04,2500
2023-09-15,0.04,0.045,0.04,0.04,2700
2023-09-18,0.04,0.04,0.02,0.04,107059
2023-09-19,0.04,0.04,0.04,0.04,1500
2023-09-20,0.04,0.0628,0.04,0.0628,15284
2023-09-21,0.0501,0.0501,0.0402,0.0451,2760
2023-09-25,0.04,0.04,0.04,0.04,1550
2023-09-27,0.0495,0.0574,0.0396,0.0525,19472
2023-09-28,0.0401,0.0401,0.0297,0.038,22900
2023-09-29,0.0486,0.052,0.0403,0.0496,49824
2023-10-02,0.0565,0.0565,0.045,0.045,7150
2023-10-05,0.0495,0.05,0.0471,0.049,12300
2023-10-06,0.0331,0.049,0.0331,0.049,2140
2023-10-09,0.0498,0.0498,0.0498,0.0498,3000
2023-10-11,0.0519,0.0524,0.044,0.045,16200
2023-10-12,0.045,0.045,0.045,0.045,10000
2023-10-13,0.0302,0.0521,0.0302,0.0351,17808
2023-10-17,0.049,0.049,0.03,0.049,22475
2023-10-18,0.0466,0.049,0.0461,0.0465,11228
2023-10-19,0.0301,0.0447,0.0301,0.0301,20595
2023-10-20,0.0403,0.0403,0.015,0.015,146010
2023-10-23,0.0172,0.03,0.0172,0.03,12444
2023-10-24,0.03,0.03,0.03,0.03,1144
2023-10-25,0.0309,0.0309,0.0309,0.0309,481
2023-10-26,0.025,0.03,0.025,0.0299,5800
2023-10-27,0.0202,0.032,0.0199,0.0319,12967
2023-10-30,0.032,0.034,0.0258,0.03,69789
2023-11-01,0.03,0.03,0.0299,0.03,25813
2023-11-02,0.029,0.03,0.0283,0.0283,8700
2023-11-03,0.029,0.029,0.029,0.029,200
2023-11-06,0.0213,0.0289,0.0178,0.028,6496
2023-11-07,0.029,0.029,0.0225,0.0225,3922
2023-11-08,0.0249,0.025,0.02,0.02,2549
2023-11-09,0.0174,0.0174,0.0174,0.0174,22100
2023-11-10,0.018,0.02,0.018,0.0199,1013
2023-11-13,0.0279,0.028,0.023,0.028,5850
2023-11-14,0.0239,0.0278,0.0201,0.026,9646
2023-11-15,0.0278,0.028,0.0263,0.027,14588
2023-11-20,0.0182,0.029,0.0182,0.029,10216
2023-11-21,0.0184,0.0299,0.0181,0.029,16492
2023-11-24,0.027,0.027,0.0109,0.0109,33094
2023-11-27,0.0116,0.0269,0.01,0.0108,318393
2023-11-28,0.02,0.0268,0.02,0.025,8866
2023-11-29,0.025,0.0267,0.025,0.0267,12875
2023-11-30,0.0265,0.0265,0.0264,0.0264,2011
2023-12-01,0.0264,0.0267,0.0195,0.0195,23898
2023-12-05,0.0299,0.0299,0.0232,0.0291,16954
2023-12-08,0.028,0.028,0.0252,0.0279,17052
2023-12-11,0.03,0.08,0.0197,0.08,658053
2023-12-12,0.0798,0.1098,0.0304,0.0386,59741
2023-12-13,0.03,0.059,0.03,0.0496,5611
2023-12-14,0.047,0.07,0.047,0.064,150079
2023-12-15,0.065,0.0798,0.04,0.061,297266
2023-12-18,0.0768,0.0775,0.03,0.03,76471
2023-12-19,0.0306,0.045,0.0303,0.0391,66415
2023-12-20,0.04,0.065,0.04,0.057,26200
2023-12-21,0.041,0.0674,0.0401,0.0599,2560
2023-12-22,0.055,0.0624,0.055,0.0624,23138
2023-12-26,0.045,0.0601,0.045,0.0575,4716
2023-12-27,0.06,0.06,0.045,0.045,1756
2023-12-28,0.0454,0.0454,0.04,0.0423,4232
2023-12-29,0.0411,0.0414,0.04,0.04,7857
2024-01-02,0.05,0.0589,0.035,0.035,4166
2024-01-03,0.049,0.062,0.0486,0.05,40684
2024-01-04,0.0598,0.0669,0.048,0.0649,82798
2024-01-05,0.06,0.0604,0.056,0.056,18970
2024-01-09,0.05,0.0505,0.05,0.05,8394
2024-01-10,0.05,0.0545,0.05,0.0545,30532
2024-01-12,0.0559,0.0563,0.0558,0.0558,5200
2024-01-18,0.0375,0.07,0.0375,0.063,7248
2024-01-19,0.0405,0.0723,0.0402,0.059,167686
2024-01-22,0.0775,0.0815,0.0404,0.0808,51096
2024-01-23,0.0966,0.0998,0.05,0.09,134984
2024-01-24,0.09,0.1065,0.0718,0.1025,77129
2024-01-25,0.0899,0.1149,0.088,0.1149,237023
2024-01-26,0.0523,0.1009,0.0518,0.0899,254360
2024-01-29,0.09,0.09,0.0682,0.08,1660777
2024-01-30,0.09,0.09,0.0708,0.0708,300
2024-01-31,0.0792,0.09,0.0745,0.09,18675
