Date,Open,High,Low,Close,Volume
2024-05-31,0.55,0.58,0.42,0.42,164872
2024-06-03,0.45,0.55,0.45,0.5,47225
2024-06-04,0.5,0.6,0.49,0.584,21972
2024-06-05,0.5,0.5,0.42,0.45,12017
2024-06-06,0.47,0.47,0.4001,0.4001,1700
2024-06-07,0.4235,0.5,0.4,0.499,65080
2024-06-10,0.4986,0.4986,0.3801,0.46,1467
2024-06-11,0.4001,0.4001,0.4001,0.4001,248
2024-06-12,0.4421,0.5,0.307,0.4499,3411
2024-06-13,0.393,0.45,0.393,0.45,1500
2024-06-14,0.42,0.42,0.41,0.41,2090
2024-06-17,0.2871,0.43,0.2871,0.43,390
2024-06-18,0.43,0.43,0.4299,0.4299,376
2024-06-20,0.297,0.3635,0.297,0.3635,500
2024-06-21,0.43,0.44,0.43,0.44,500
2024-06-24,0.3861,0.45,0.2462,0.4055,18010
2024-06-25,0.42,0.44,0.2107,0.39,1400
2024-06-26,0.39,0.42,0.38,0.42,828
2024-06-27,0.3785,0.3785,0.29,0.29,5000
2024-06-28,0.4498,0.4498,0.25,0.339,14063
2024-07-01,0.28,0.33,0.28,0.33,400
2024-07-02,0.31,0.4289,0.3,0.4289,1200
2024-07-03,0.3103,0.3905,0.26,0.3703,6384
2024-07-05,0.369,0.369,0.2703,0.2973,2500
2024-07-08,0.317,0.38,0.317,0.38,1380
2024-07-09,0.21,0.315,0.19,0.3,10686
2024-07-10,0.34,0.41,0.2268,0.41,2785
2024-07-12,0.32,0.4,0.32,0.4,700
2024-07-16,0.3497,0.3497,0.3497,0.3497,200
2024-07-17,0.32,0.32,0.32,0.32,500
2024-07-18,0.3,0.3999,0.3,0.3999,2400
2024-07-19,0.44,0.44,0.44,0.44,500
2024-07-22,0.4399,0.4399,0.4399,0.4399,500
2024-07-23,0.325,0.45,0.325,0.45,6801
2024-07-24,0.3211,0.4499,0.3001,0.4499,1200
2024-07-25,0.3052,0.4,0.25,0.33,27584
2024-07-26,0.3899,0.3899,0.26,0.378,5062
2024-07-29,0.34,0.34,0.26,0.2974,6900
2024-07-30,0.34,0.34,0.2112,0.29,5110
2024-07-31,0.2501,0.28,0.21,0.28,1700
2024-08-01,0.2748,0.2748,0.2748,0.2748,200
2024-08-05,0.2734,0.3472,0.2734,0.3372,3517
2024-08-07,0.3374,0.3374,0.24,0.3199,5067
2024-08-08,0.32,0.3399,0.32,0.3399,400
2024-08-09,0.3374,0.3374,0.3374,0.3374,1000
2024-08-13,0.3386,0.3386,0.3386,0.3386,700
2024-08-15,0.3599,0.3599,0.3599,0.3599,500
2024-08-16,0.3598,0.36,0.311,0.3598,1200
2024-08-20,0.36,0.36,0.36,0.36,500
2024-08-21,0.368,0.368,0.368,0.368,500
2024-08-22,0.27,0.37,0.26,0.33,2244
2024-08-23,0.3599,0.3599,0.3599,0.3599,500
2024-08-26,0.3595,0.3595,0.3595,0.3595,500
2024-08-27,0.3574,0.3574,0.3574,0.3574,500
2024-08-28,0.3499,0.3549,0.33,0.3549,1100
2024-08-29,0.29,0.29,0.1887,0.243,64599
2024-08-30,0.2399,0.26,0.21,0.26,1821
2024-09-03,0.2585,0.28,0.2585,0.28,700
2024-09-04,0.2798,0.2798,0.2798,0.2798,200
2024-09-05,0.28,0.32,0.25,0.3,2716
2024-09-06,0.31,0.3195,0.308,0.308,900
2024-09-09,0.2252,0.3189,0.2174,0.2699,11700
2024-09-10,0.28,0.29,0.28,0.289,1000
2024-09-11,0.29,0.3,0.288,0.288,500
2024-09-12,0.2163,0.24,0.1757,0.24,6000
2024-09-13,0.259,0.259,0.259,0.259,500
2024-09-16,0.26,0.287,0.26,0.287,950
2024-09-17,0.29,0.299,0.2899,0.2899,785
2024-09-18,0.295,0.295,0.295,0.295,500
2024-09-19,0.23,0.29,0.23,0.287,600
2024-09-20,0.23,0.287,0.23,0.287,500
2024-09-23,0.292,0.292,0.292,0.292,300
2024-09-24,0.1451,0.24,0.1102,0.239,6846
2024-09-25,0.239,0.259,0.229,0.259,1200
