Date,Open,High,Low,Close,Volume
2021-07-21,11.5,12.04,10.19,11.98,6317077
2021-07-22,11.9,12.0099,11.5,11.65,1240013
2021-07-23,11.69,12.0,11.5,11.76,341852
2021-07-26,11.68,11.9372,11.21,11.5,640740
2021-07-27,11.3,11.86,11.22,11.8,486142
2021-07-28,11.46,11.465,11.01,11.29,139117
2021-07-29,11.22,11.65,11.0101,11.58,152175
2021-07-30,11.43,11.99,11.21,11.99,61832
2021-08-02,11.91,13.19,11.63,12.69,223312
2021-08-03,12.65,13.83,12.01,12.66,223439
2021-08-04,12.66,12.96,11.78,12.05,214604
2021-08-05,11.8,12.52,11.79,12.11,209043
2021-08-06,12.15,13.98,12.12,13.61,188444
2021-08-09,14.0,14.23,12.18,12.35,351515
2021-08-10,12.6,12.9799,11.99,12.3,210786
2021-08-11,12.24,12.48,11.85,12.14,160956
2021-08-12,12.07,12.27,11.71,11.73,108097
2021-08-13,11.84,12.04,11.7,11.8,148489
2021-08-16,12.07,12.53,10.92,11.09,625413
2021-08-17,11.08,12.0,10.77,11.18,442616
2021-08-18,11.18,12.12,10.94,12.0,695463
2021-08-19,12.08,12.68,11.54,12.53,380468
2021-08-20,12.42,13.71,11.92,13.2,281474
2021-08-23,13.09,13.52,12.6,13.48,195780
2021-08-24,13.37,13.98,12.29,12.56,321669
2021-08-25,12.52,12.75,12.13,12.7,125645
2021-08-26,12.5,13.98,12.2,13.03,272346
2021-08-27,13.0,13.1,12.3,12.49,166109
2021-08-30,12.46,12.6,11.01,11.61,430500
2021-08-31,12.15,12.5283,11.2,11.28,252337
2021-09-01,11.28,11.78,11.03,11.58,400185
2021-09-02,11.64,12.785,11.55,12.09,263111
2021-09-03,12.08,13.22,12.01,13.11,335113
2021-09-07,13.0,13.67,12.29,12.33,269047
2021-09-08,12.4,12.87,12.15,12.38,352507
2021-09-09,12.32,12.705,11.68,11.69,697865
2021-09-10,11.77,12.12,11.73,11.76,219496
2021-09-13,11.79,12.1,10.56,11.69,485191
2021-09-14,11.67,12.0,11.41,11.53,98415
2021-09-15,11.6,12.06,11.34,11.91,219154
2021-09-16,11.94,12.13,11.69,11.96,307966
2021-09-17,11.83,12.03,11.04,11.11,2225073
2021-09-20,11.02,11.48,10.27,10.27,204210
2021-09-21,10.5,10.94,10.27,10.39,371403
2021-09-22,10.48,10.79,10.35,10.66,263689
2021-09-23,10.79,11.18,10.56,11.0,243464
