Date,Open,High,Low,Close,Volume
2000-01-03,9.5067,9.5067,9.1264,9.1264,78925.0
2000-01-04,9.1264,9.1536,8.9363,9.045,288546.0
2000-01-05,9.0178,9.2623,8.9635,9.0721,306033.0
2000-01-06,8.7462,9.2079,8.7462,9.1808,158077.0
2000-01-07,9.2623,9.561,9.2351,9.3437,281178.0
2000-01-10,9.2894,9.4524,9.2894,9.3709,174413.0
2000-01-11,9.3709,9.3981,9.2623,9.2894,137143.0
2000-01-12,9.2351,9.2894,9.1808,9.2079,97790.0
2000-01-13,9.2079,9.3166,9.1808,9.2894,44409.0
2000-01-14,9.2894,9.2894,9.1808,9.2079,97102.0
2000-01-18,9.1536,9.2623,8.9091,9.2623,105381.0
2000-01-19,9.2623,9.2623,9.0721,9.2079,84444.0
2000-01-20,9.1808,9.2894,9.1536,9.2079,55224.0
2000-01-21,9.1264,9.1808,9.0178,9.045,95026.0
2000-01-24,9.045,9.045,8.8005,8.8005,156236.0
2000-01-25,8.8548,8.8548,8.6104,8.6375,183617.0
2000-01-26,8.6375,8.6919,8.6104,8.6104,160837.0
2000-01-27,8.4746,8.5289,8.4474,8.5289,354123.0
2000-01-28,8.5017,8.5289,8.4474,8.4474,199265.0
2000-01-31,8.4746,8.4746,8.3387,8.4474,267375.0
2000-02-01,8.4202,8.5832,8.3931,8.5832,228257.0
2000-02-02,8.5289,8.7733,8.5289,8.6375,292914.0
2000-02-03,8.6375,8.7462,8.5832,8.6104,472620.0
2000-02-04,8.6104,8.6647,8.6104,8.6104,222504.0
2000-02-07,8.6375,8.6919,8.6104,8.6647,254951.0
2000-02-08,8.6375,8.6919,8.6375,8.6647,296365.0
2000-02-09,8.6919,8.7733,8.6647,8.6919,204096.0
2000-02-10,8.7462,8.7733,8.6375,8.6375,207086.0
2000-02-11,8.6375,8.8005,8.6375,8.8005,133918.0
2000-02-14,8.8005,8.882,8.8005,8.882,202720.0
2000-02-15,8.8277,8.882,8.8005,8.882,807880.0
2000-02-16,8.8277,8.9635,8.8277,8.8277,206856.0
2000-02-17,8.9091,8.9906,8.8548,8.9906,398763.0
2000-02-18,8.9906,9.045,8.9635,9.0178,400604.0
2000-02-22,9.0721,9.0721,9.0178,9.045,142427.0
2000-02-23,9.0178,9.0721,8.9635,9.045,339630.0
2000-02-24,9.045,9.0721,8.882,8.9906,354357.0
2000-02-25,8.9906,9.045,8.9635,9.0178,2778462.0
2000-02-28,9.0178,9.045,8.9635,8.9906,100092.0
2000-02-29,8.9906,9.2894,8.9906,9.2894,280257.0
2000-03-01,9.2894,9.2894,8.9635,9.0721,295443.0
2000-03-02,9.0721,9.0721,9.045,9.045,133224.0
2000-03-03,9.0178,9.045,8.9363,9.0178,465033.0
2000-03-06,8.8548,8.9635,8.8277,8.9635,156005.0
2000-03-07,8.9635,9.0178,8.719,8.719,191901.0
2000-03-08,8.719,8.9363,8.6919,8.8005,155543.0
2000-03-09,8.8005,8.8005,8.6104,8.6647,122414.0
2000-03-10,8.6647,8.7462,8.6375,8.6919,292916.0
2000-03-13,8.5832,8.6647,8.5289,8.5832,100782.0
2000-03-14,8.5832,8.6919,8.5832,8.5832,217901.0
2000-03-15,8.4746,9.045,8.4746,9.0178,286699.0
2000-03-16,9.0178,9.3166,9.0178,9.3166,111826.0
2000-03-17,9.2079,9.3166,9.1536,9.3166,117575.0
2000-03-20,9.3166,9.3437,9.1536,9.3437,58673.0
2000-03-21,9.2623,9.2623,9.0993,9.2079,160607.0
2000-03-22,9.0178,9.1808,9.0178,9.0993,116662.0
2000-03-23,9.2079,9.2079,9.045,9.1264,56374.0
2000-03-24,9.1808,9.2351,9.045,9.2351,89970.0
2000-03-27,9.1536,9.1808,9.0721,9.1264,143119.0
2000-03-28,9.1264,9.1536,8.9091,8.9363,181080.0
2000-03-29,8.7733,8.9091,8.7733,8.882,502304.0
2000-03-30,8.9635,9.0993,8.9091,9.0721,197197.0
2000-03-31,9.0721,9.2894,8.9906,9.1536,224342.0
2000-04-03,9.1536,9.3437,9.1536,9.2351,164751.0
2000-04-04,9.2351,9.2623,9.1264,9.2079,98479.0
2000-04-05,9.1536,9.3709,9.1536,9.3166,119186.0
2000-04-06,9.3437,9.6154,9.3437,9.5339,135529.0
2000-04-07,9.5067,9.724,9.5067,9.724,49240.0
2000-04-10,9.724,9.9956,9.724,9.8055,167972.0
2000-04-11,9.8055,10.05,9.8055,9.9685,124252.0
2000-04-12,10.05,10.2129,9.9956,10.1858,175106.0
2000-04-13,10.1858,10.2673,10.0771,10.2401,148409.0
2000-04-14,10.1858,10.2129,9.8598,9.9141,286472.0
2000-04-17,9.887,9.9685,9.561,9.6154,108374.0
2000-04-18,9.6154,9.8327,9.561,9.7783,163371.0
2000-04-19,9.7783,9.9413,9.724,9.9141,57523.0
2000-04-20,9.9413,9.9685,9.8598,9.9685,59365.0
2000-04-24,9.9956,10.05,9.8055,9.8055,187530.0
2000-04-25,9.8055,9.9685,9.8055,9.8055,117115.0
2000-04-26,9.8598,9.9956,9.8327,9.9413,41876.0
2000-04-27,9.9685,10.0771,9.887,10.05,55915.0
2000-04-28,10.0228,10.4845,9.9413,10.4845,191439.0
2000-05-01,10.4302,10.5117,10.1043,10.5117,268754.0
2000-05-02,10.5117,11.1908,10.4845,10.7562,1115064.0
2000-05-03,10.7562,10.8377,10.4845,10.4845,191446.0
2000-05-04,10.5389,10.566,10.4302,10.4845,59360.0
2000-05-05,10.4574,10.5932,10.4574,10.5932,107686.0
2000-05-08,10.5932,10.5932,10.4031,10.4031,105382.0
2000-05-09,10.4574,10.5117,10.3487,10.4031,76388.0
2000-05-10,10.4031,10.5389,10.4031,10.5117,324673.0
