Date,Open,High,Low,Close,Volume
2003-12-09,3.4259,3.4755,3.2372,3.4159,110785.0
2003-12-10,3.3961,3.4398,3.3365,3.3365,68486.0
2003-12-11,3.3365,3.3762,3.2968,3.3158,60429.0
2003-12-12,3.3166,3.5053,3.3166,3.4259,311177.0
2003-12-15,3.4457,3.4894,3.406,3.406,308667.0
2003-12-16,3.406,3.4874,3.406,3.4874,106757.0
2003-12-17,3.4755,3.545,3.4755,3.545,184806.0
2003-12-18,3.5331,3.6503,3.5272,3.6304,124889.0
2003-12-19,3.6245,3.6265,3.5351,3.553,391747.0
2003-12-22,3.553,3.5748,3.5152,3.5748,208459.0
2003-12-23,3.6245,3.9363,3.6245,3.9363,159627.0
2003-12-24,3.9164,4.0316,3.9164,4.0316,32735.0
2003-12-26,4.0415,4.1706,4.0415,4.1706,27705.0
2003-12-29,4.2401,4.9233,4.2401,4.9233,387734.0
2003-12-30,4.9253,5.3086,4.7664,4.7684,697390.0
2003-12-31,4.8081,4.8081,4.2699,4.4089,1349462.0
2004-01-02,4.5182,4.6473,4.4626,4.6075,106257.0
2004-01-05,4.6572,4.7267,4.5182,4.5281,82594.0
2004-01-06,4.4884,4.4884,4.2719,4.4129,345931.0
2004-01-07,4.3891,4.5281,4.3891,4.5182,199405.0
2004-01-08,4.5182,4.8856,4.5182,4.7724,321273.0
2004-01-09,4.8717,5.0643,4.8161,4.973,176238.0
2004-01-12,4.9948,5.0246,4.7664,4.7783,100218.0
2004-01-13,4.7664,4.824,4.7664,4.8061,93155.0
2004-01-14,4.7863,4.8061,4.7664,4.7863,176742.0
2004-01-15,4.7664,4.8459,4.7664,4.826,39284.0
2004-01-16,4.826,5.1438,4.826,5.1438,160630.0
2004-01-20,5.1438,5.2828,5.0643,5.1636,71513.0
2004-01-21,5.1438,5.1636,5.0643,5.0663,17627.0
2004-01-22,5.0564,5.1358,5.0564,5.1259,25180.0
2004-01-23,5.0842,5.1338,5.0643,5.1338,43809.0
2004-01-26,5.104,5.1438,4.9054,4.9213,32229.0
2004-01-27,4.9213,5.0623,4.7644,4.9869,111294.0
2004-01-28,4.965,4.965,4.824,4.824,56908.0
2004-01-29,4.8042,4.965,4.7168,4.965,67987.0
2004-01-30,4.9849,5.104,4.9253,5.0822,104751.0
2004-02-02,5.0842,5.0842,5.0147,5.0445,77048.0
2004-02-03,5.0246,5.2232,5.0147,5.2232,83088.0
2004-02-04,5.1835,5.2033,5.0147,5.0167,63955.0
2004-02-05,5.0643,5.1537,5.0643,5.1239,56906.0
2004-02-06,5.114,5.1835,5.0842,5.1835,58410.0
2004-02-09,5.1636,5.3026,5.1438,5.2828,58917.0
2004-02-10,5.2629,5.5608,5.2431,5.5551,96684.0
2004-02-11,5.6105,5.6105,5.2629,5.4814,137473.0
2004-02-12,5.4814,5.5211,5.3821,5.5112,328306.0
2004-02-13,5.4417,5.5747,5.4417,5.5628,46836.0
2004-02-17,5.5608,5.68,5.5569,5.679,58412.0
2004-02-18,5.68,5.68,5.5608,5.5608,53375.0
2004-02-19,5.5807,5.6184,5.5588,5.5608,72511.0
2004-02-20,5.5628,5.5628,5.4615,5.4834,176744.0
2004-02-23,5.4834,5.5608,5.4814,5.5608,61939.0
2004-02-24,5.5608,5.7416,5.5608,5.6601,65469.0
2004-02-25,5.6482,6.3751,5.6204,6.1546,138484.0
2004-02-26,6.1745,6.524,6.1586,6.3056,166184.0
2004-02-27,6.3056,6.5141,6.3056,6.4049,100712.0
2004-03-01,6.5538,6.7028,6.5042,6.6035,116324.0
2004-03-02,6.5876,6.5876,6.4049,6.4148,101716.0
2004-03-03,6.3155,6.3949,6.2659,6.3771,11084.0
2004-03-04,6.381,6.381,6.3155,6.3453,13597.0
2004-03-05,6.3612,6.3751,6.3354,6.3751,5541.0
2004-03-08,6.3751,6.5141,6.3354,6.5141,27697.0
2004-03-09,6.5021,6.5021,6.2439,6.2439,25483.0
2004-03-10,6.2339,6.2339,6.0038,6.0038,42974.0
2004-03-11,6.0158,6.1419,6.0038,6.0738,60961.0
2004-03-12,6.0538,6.1339,6.0138,6.1319,58465.0
2004-03-15,6.1439,6.1439,5.9938,6.0038,144913.0
2004-03-16,6.0238,6.1219,6.0038,6.0728,25488.0
2004-03-17,6.0838,6.2239,6.0838,6.2059,69456.0
2004-03-18,6.2039,6.284,6.2039,6.2039,178395.0
2004-03-19,6.2139,6.2339,6.2039,6.2079,28486.0
2004-03-22,6.2039,6.2179,6.1039,6.1525,114429.0
2004-03-23,6.1059,6.1059,6.0038,6.0058,25487.0
2004-03-24,6.0058,6.0238,5.7836,5.7836,186384.0
2004-03-25,5.7836,5.7836,5.7236,5.7436,52468.0
2004-03-26,5.7636,5.7636,5.7256,5.7336,28979.0
2004-03-29,5.7436,6.0638,5.7436,6.0338,80457.0
2004-03-30,6.0438,6.0858,5.9237,5.9878,37979.0
2004-03-31,6.0038,6.0618,5.8437,6.0224,41474.0
2004-04-01,6.0818,6.2039,6.0818,6.1839,15991.0
2004-04-02,6.2239,6.5241,6.2239,6.346,57959.0
2004-04-05,6.384,6.7042,6.362,6.6062,53466.0
2004-04-06,6.6062,6.6062,6.5241,6.5401,21988.0
2004-04-07,6.5101,6.5101,6.404,6.4281,15990.0
2004-04-08,6.404,6.404,6.304,6.344,14990.0
2004-04-12,6.324,6.4501,6.324,6.418,24984.0
2004-04-13,6.404,6.4441,6.404,6.4441,28481.0
2004-04-14,6.4641,6.4761,6.4421,6.4541,19991.0
2004-04-15,6.4761,6.4761,6.4321,6.4321,8999.0
2004-04-16,6.4541,6.5221,6.4241,6.5041,10497.0
2004-04-19,6.5041,6.5041,6.4241,6.4241,14991.0
2004-04-20,6.404,6.4441,6.404,6.404,21990.0
2004-04-21,6.404,6.4641,6.404,6.4641,7495.0
2004-04-22,6.4641,6.6042,6.4541,6.6042,20988.0
2004-04-23,6.6042,6.6042,6.404,6.406,28984.0
2004-04-26,6.406,6.4321,6.404,6.404,24986.0
2004-04-27,6.384,6.4441,6.384,6.418,25985.0
2004-04-28,6.404,6.4441,6.404,6.404,81454.0
2004-04-29,6.4241,6.4241,6.2039,6.2039,47973.0
2004-04-30,6.2239,6.282,6.2039,6.2219,11996.0
2004-05-03,6.2339,6.2519,6.2039,6.2499,10996.0
2004-05-04,6.2339,6.284,6.2039,6.264,15492.0
2004-05-05,6.284,6.284,6.2219,6.2279,12495.0
2004-05-06,6.2039,6.274,6.2039,6.2219,47472.0
2004-05-07,6.2539,6.2539,6.2039,6.2089,54966.0
2004-05-10,6.2079,6.2199,6.0838,6.0838,107437.0
2004-05-11,6.0438,6.0438,6.0038,6.0138,50974.0
2004-05-12,5.9938,6.0638,5.9838,6.0618,70958.0
2004-05-13,6.0618,6.1019,6.0058,6.0298,11993.0
2004-05-14,6.0038,6.0198,6.0038,6.0198,3999.0
2004-05-17,6.0198,6.0198,5.8037,5.8257,121426.0
2004-05-18,5.8537,6.0418,5.8537,6.0398,19991.0
2004-05-19,6.0638,6.1579,6.0038,6.0038,27485.0
2004-05-20,6.0138,6.0138,6.0038,6.0058,33980.0
2004-05-21,6.0158,6.2539,6.0158,6.2427,37977.0
2004-05-24,6.264,6.324,6.2239,6.28,14991.0
2004-05-25,6.294,6.376,6.294,6.344,17494.0
2004-05-26,6.304,6.328,6.291,6.304,7996.0
2004-05-27,6.284,6.294,6.2559,6.2559,16989.0
2004-05-28,6.2239,6.2239,6.2039,6.2039,18990.0
2004-06-01,6.2439,6.326,6.2139,6.324,21987.0
2004-06-02,6.328,6.368,6.294,6.328,5999.0
2004-06-03,6.318,6.318,6.2039,6.2039,23987.0
