Date,Open,High,Low,Close,Volume
2017-09-20,10.5,11.31,10.26,10.64,436042
2017-09-21,10.55,10.862,10.2,10.25,67333
2017-09-22,10.23,10.28,10.0,10.06,164893
2017-09-25,10.18,10.19,9.42,9.75,75049
2017-09-26,9.86,10.08,9.85,9.85,17602
2017-09-27,10.04,10.9,10.0,10.049,8803
2017-09-28,10.39,10.39,9.87,10.08,16680
2017-09-29,9.82,10.13,9.82,9.97,13985
2017-10-02,10.0,10.0,9.919,9.98,18138
2017-10-03,9.97,9.98,9.85,9.91,60349
2017-10-04,9.89,9.932,9.8,9.9,6150
2017-10-05,9.82,10.06,9.8,10.06,17227
2017-10-06,10.06,10.08,9.901,9.941,8357
2017-10-09,10.023,10.023,9.95,9.95,8699
2017-10-10,10.09,10.39,9.95,10.06,33813
2017-10-11,10.027,10.11,10.024,10.1,5194
2017-10-12,10.0,10.01,9.99,10.01,1891
2017-10-13,10.11,10.11,10.0,10.0,4250
2017-10-16,9.96,9.98,9.52,9.56,16896
2017-10-17,9.55,9.99,9.547,9.71,26602
2017-10-18,9.83,11.98,9.83,11.19,157625
2017-10-19,11.05,11.22,10.3,10.66,59125
2017-10-20,10.76,10.762,9.77,9.99,49508
2017-10-23,9.89,10.12,9.01,9.31,37767
2017-10-24,9.22,9.96,9.1,9.67,27102
2017-10-25,9.5,10.489,9.5,10.1,45850
2017-10-26,10.19,10.42,9.548,9.7,24627
2017-10-27,9.51,10.19,9.288,10.04,35101
2017-10-30,9.84,9.92,9.156,9.51,20255
2017-10-31,9.45,9.9,9.161,9.9,11188
2017-11-01,9.349,10.0,9.349,9.55,15152
2017-11-02,9.608,9.86,9.5,9.56,16225
2017-11-03,9.46,9.73,9.38,9.725,7627
2017-11-06,9.55,10.1,9.42,9.87,18650
2017-11-07,10.4,10.55,9.468,9.83,26302
2017-11-08,10.01,10.15,9.881,10.07,4794
2017-11-09,10.066,10.13,9.851,10.13,2400
2017-11-10,10.05,10.18,9.874,10.18,10939
2017-11-13,10.449,11.16,10.437,10.564,44924
2017-11-14,11.0,11.2,10.5,10.79,8609
2017-11-15,10.67,10.79,10.0,10.4,17089
2017-11-16,10.34,10.71,9.11,10.71,21901
2017-11-17,10.54,10.91,9.92,10.37,11315
2017-11-20,10.26,10.44,9.78,10.43,6132
2017-11-21,10.21,10.7,10.0,10.49,11502
2017-11-22,10.27,10.5,10.17,10.5,8768
2017-11-24,10.291,10.5,10.111,10.5,1500
2017-11-27,10.5,10.6,10.38,10.5,5140
2017-11-28,10.5,10.745,10.1,10.5,23748
2017-11-29,10.48,10.5,10.18,10.19,2400
2017-11-30,10.38,10.52,10.357,10.5,14537
2017-12-01,10.49,10.52,10.212,10.52,2678
2017-12-04,10.52,10.52,10.17,10.5,5570
2017-12-05,10.5,10.57,10.44,10.5,3968
2017-12-06,10.5,10.62,10.36,10.36,7585
2017-12-07,10.49,10.63,10.4,10.41,5071
2017-12-08,10.5,10.63,10.21,10.21,3675
2017-12-11,10.49,10.67,10.3,10.67,20542
2017-12-12,10.59,10.63,10.44,10.62,14039
2017-12-13,10.63,11.128,10.39,10.6,76833
2017-12-14,11.04,11.04,10.33,10.33,32064
2017-12-15,10.45,10.78,9.55,9.56,37158
2017-12-18,9.9,10.0,9.13,9.13,15339
2017-12-19,9.11,9.53,8.03,8.19,29894
2017-12-20,8.35,9.04,8.35,8.85,11522
2017-12-21,8.651,9.25,8.651,9.25,3878
2017-12-22,9.26,9.26,8.99,9.02,2825
2017-12-26,8.68,8.998,8.62,8.8,10009
2017-12-27,8.83,9.12,8.65,8.95,4185
2017-12-28,9.04,10.254,8.94,9.91,83223
2017-12-29,9.97,10.52,9.3,10.52,19018
2018-01-02,10.0,10.99,9.18,9.18,70186
2018-01-03,9.49,10.61,9.47,10.61,76883
2018-01-04,10.44,10.994,10.115,10.52,23309
2018-01-05,10.62,10.96,10.23,10.34,8652
2018-01-08,10.85,11.71,9.91,10.61,10439
2018-01-09,9.87,10.875,9.529,10.2,55281
2018-01-10,10.42,10.89,10.05,10.06,7364
2018-01-11,10.12,10.735,10.12,10.5,13337
2018-01-12,10.07,10.235,10.05,10.05,5300
2018-01-16,10.09,10.09,9.543,9.87,12616
2018-01-17,10.0,10.0,9.55,9.64,6500
2018-01-18,9.54,9.78,9.101,9.78,9925
2018-01-19,9.68,10.8,9.53,10.25,4460
2018-01-22,10.25,11.0,9.85,9.96,19093
2018-01-23,9.96,9.96,9.75,9.75,810
2018-01-24,9.61,9.61,9.55,9.58,3216
2018-01-25,9.69,9.927,9.55,9.55,5130
2018-01-26,9.817,10.48,9.765,10.05,7425
2018-01-29,10.28,10.543,9.7,10.0,29525
2018-01-30,9.867,10.04,9.59,10.04,5818
2018-01-31,9.67,9.98,9.55,9.98,1000
2018-02-01,9.93,9.98,9.56,9.69,6081
2018-02-02,9.76,9.76,9.45,9.53,4289
2018-02-05,9.42,9.42,8.801,8.85,10089
2018-02-06,9.03,9.242,9.03,9.242,318
2018-02-07,9.91,9.96,9.499,9.66,4724
2018-02-08,9.51,9.51,9.1,9.49,3032
2018-02-09,9.246,9.59,9.2,9.59,3000
2018-02-12,9.28,9.28,8.703,8.91,5100
2018-02-13,9.3,9.732,8.84,9.303,1788
2018-02-14,9.326,9.326,8.98,9.04,2900
2018-02-15,9.753,9.79,8.67,8.81,2862
2018-02-16,8.67,8.77,8.62,8.62,9070
2018-02-20,8.95,8.95,8.61,8.61,400
2018-02-21,8.643,9.2,8.643,8.67,3586
2018-02-22,8.68,9.14,8.68,9.14,2500
2018-02-23,8.67,8.95,8.67,8.95,1300
2018-02-26,9.0,9.8,9.0,9.8,15450
2018-02-27,9.4,10.21,9.4,10.2,57683
2018-02-28,10.0,10.08,10.0,10.08,24200
2018-03-01,9.95,9.95,9.9,9.91,3100
2018-03-02,9.901,9.953,9.9,9.93,7821
2018-03-05,10.01,10.01,9.225,9.26,6809
2018-03-06,9.684,10.15,9.65,9.83,4871
2018-03-07,10.0,10.11,9.87,9.87,1368
2018-03-08,9.99,9.99,9.99,9.99,150
2018-03-09,9.88,9.98,9.35,9.69,10361
2018-03-12,9.6,9.8,9.6,9.8,487
2018-03-13,10.25,10.575,10.18,10.25,17613
2018-03-14,10.71,10.9,10.688,10.9,8354
2018-03-15,10.892,11.0,10.85,11.0,9167
2018-03-16,10.89,12.0,10.89,11.74,2232
2018-03-19,11.88,11.88,10.7,11.0,60633
2018-03-20,10.95,10.95,10.55,10.6,14559
2018-03-21,10.57,10.7,10.12,10.4,17843
2018-03-22,10.29,10.6,10.1,10.6,28835
2018-03-23,10.467,10.62,10.09,10.24,47604
2018-03-26,10.22,10.22,9.92,9.92,52799
2018-03-27,9.914,10.0,9.75,9.81,16369
2018-03-28,9.99,10.25,9.81,9.87,20216
2018-03-29,9.81,10.15,9.81,10.09,4923
2018-04-02,10.14,10.14,9.65,9.66,8396
2018-04-03,9.78,10.0,9.61,9.63,5964
2018-04-04,9.69,10.0,9.69,9.99,25480
2018-04-05,10.05,10.05,9.797,10.02,7881
2018-04-06,9.92,9.92,9.64,9.89,5943
2018-04-09,9.76,9.97,9.76,9.8,791
2018-04-10,9.87,11.0,9.87,10.06,18450
2018-04-11,10.17,10.17,9.88,9.97,6066
2018-04-12,10.1,10.1,9.775,9.84,17511
2018-04-16,9.93,10.3,9.93,10.0,4737
2018-04-17,10.15,10.25,10.0,10.03,21561
2018-04-18,10.93,11.01,10.07,10.08,4973
2018-04-19,11.01,11.04,10.41,10.41,1324
2018-04-20,10.32,10.49,10.0,10.1,7791
2018-04-23,10.2,10.2,8.99,8.99,26860
2018-04-24,9.26,9.301,8.91,9.1,15255
2018-04-25,9.04,9.35,9.0,9.2,4102
2018-04-26,9.5,10.07,9.48,9.6,22210
2018-04-27,9.94,10.39,9.627,9.72,17606
2018-04-30,9.8,10.0,9.61,9.61,2768
2018-05-01,9.635,9.88,9.5,9.5,16906
2018-05-02,9.6,9.6,9.6,9.6,200
2018-05-03,9.82,10.17,9.8,10.15,3180
2018-05-04,9.521,10.11,9.521,10.08,500
2018-05-07,10.3,10.4,10.3,10.35,709
2018-05-08,10.43,10.68,10.0,10.09,29412
2018-05-09,10.65,10.65,10.0,10.0,37316
2018-05-10,10.08,10.3,10.06,10.25,115390
2018-05-11,10.4,10.958,10.1,10.1,18601
2018-05-14,10.29,10.491,10.0,10.1,18872
2018-05-15,9.978,10.482,9.9,10.222,15070
2018-05-16,10.13,10.66,10.095,10.66,7750
2018-05-17,10.95,11.2,10.69,10.8,38354
2018-05-18,11.2,11.2,10.81,11.0,63504
2018-05-21,11.2,11.2,10.716,10.75,25185
2018-05-22,10.76,10.9,10.48,10.5,12822
2018-05-23,10.532,10.64,10.25,10.25,7279
2018-05-24,10.97,10.97,10.11,10.18,27164
2018-05-25,10.23,10.5,10.16,10.31,75053
