Date,Open,High,Low,Close,Volume
2022-12-07,0.4501,0.75,0.45,0.75,437397
2022-12-08,0.85,1.0,0.7,1.0,266373
2022-12-09,1.0,1.0667,0.81,0.9,236119
2022-12-12,0.95,0.95,0.85,0.9235,65128
2022-12-13,0.92,1.175,0.87,1.15,60750
2022-12-14,0.825,0.9,0.8004,0.9,4982
2022-12-15,0.8797,0.8797,0.8797,0.8797,100
2022-12-16,0.88,0.88,0.88,0.88,2684
2022-12-19,0.8,0.98,0.5901,0.98,11836
2022-12-20,0.93,1.05,0.8499,1.05,27700
2022-12-21,0.77,0.77,0.7501,0.7501,1600
2022-12-22,0.74,0.74,0.74,0.74,200
2022-12-28,1.0,1.0,0.97,0.97,200
2022-12-30,0.9,0.9,0.88,0.9,2133
2023-01-03,0.9,1.0,0.8,0.8,2900
2023-01-04,0.8,0.8,0.8,0.8,639
2023-01-05,1.05,1.05,0.89,1.05,11894
2023-01-09,1.0,1.0,0.89,0.925,60005
2023-01-11,0.86,0.86,0.86,0.86,1100
2023-01-12,0.83,0.83,0.8,0.8,400
2023-01-13,0.785,0.8,0.785,0.8,772
2023-01-17,0.8,0.8,0.7297,0.7297,2500
2023-01-18,0.73,0.73,0.63,0.64,3100
2023-01-23,0.7163,0.7163,0.6499,0.65,9902
2023-01-30,0.67,0.67,0.65,0.65,1100
2023-01-31,0.6,0.63,0.6,0.63,2475
2023-02-02,0.6,0.6,0.499,0.499,18285
2023-02-03,0.422,0.422,0.4,0.4,408
2023-02-06,0.38,0.79,0.38,0.4203,2742
2023-02-07,0.2966,0.4666,0.2966,0.4666,1541
2023-02-08,0.5943,0.5943,0.5943,0.5943,425
2023-02-09,0.5583,0.5849,0.4989,0.5586,700
2023-02-10,0.2739,0.5,0.2739,0.5,1382
2023-02-13,0.4925,0.5725,0.4925,0.5,2083
2023-02-14,0.44,0.47,0.41,0.46,9200
2023-02-15,0.47,0.47,0.45,0.45,21623
2023-02-16,0.4,0.4,0.4,0.4,24910
2023-02-17,0.3384,0.3671,0.3279,0.3671,1600
2023-02-21,0.3353,0.62,0.3026,0.45,10660
2023-02-22,0.45,0.45,0.45,0.45,1663
2023-02-23,0.41,0.41,0.4016,0.41,3056
2023-02-24,0.429,0.439,0.39,0.39,3400
2023-02-27,0.4389,0.5,0.4389,0.5,500
2023-03-01,0.402,0.402,0.4,0.4,932
2023-03-02,0.4184,0.45,0.3201,0.3345,4019
2023-03-03,0.2801,0.2927,0.2801,0.2927,200
2023-03-06,0.39,0.55,0.39,0.43,27111
2023-03-14,0.3102,0.3837,0.3102,0.3837,1000
2023-03-15,0.2454,0.3532,0.2454,0.3166,2776
2023-03-20,0.36,0.36,0.36,0.36,100
2023-03-23,0.2401,0.3121,0.2401,0.3121,1000
2023-03-24,0.48,0.48,0.36,0.365,1506
2023-03-29,0.3888,0.4,0.3888,0.4,950
2023-03-30,0.54,0.55,0.39,0.39,605
2023-04-03,0.29,0.3413,0.29,0.3413,600
2023-04-04,0.35,0.35,0.3,0.3,23999
2023-04-06,0.38,0.38,0.35,0.35,7200
2023-04-13,0.35,0.35,0.35,0.35,100
2023-04-17,0.4008,0.75,0.4008,0.51,18576
2023-04-18,0.4,0.4,0.3,0.3,13433
2023-04-19,0.3,0.3,0.3,0.3,350
2023-04-20,0.34,0.34,0.34,0.34,100
2023-04-21,0.3412,0.46,0.316,0.46,1397
2023-04-24,0.4017,0.41,0.4,0.4,600
2023-04-27,0.393,0.393,0.393,0.393,100
2023-04-28,0.393,0.393,0.393,0.393,100
2023-05-01,0.5,0.5,0.32,0.395,500
2023-05-02,0.395,0.7,0.32,0.63,7735
2023-05-03,0.531,0.63,0.531,0.63,1450
2023-05-05,0.3625,0.6299,0.3368,0.6016,7900
2023-05-08,0.62,0.62,0.62,0.62,100
2023-05-09,0.62,0.62,0.62,0.62,100
2023-05-10,0.4311,0.5151,0.4101,0.5151,1800
2023-05-11,0.4644,0.4644,0.3,0.4,36999
2023-05-12,0.4009,0.4055,0.32,0.4,1702
2023-05-15,0.3507,0.3801,0.3233,0.3801,1100
2023-05-16,0.42,0.42,0.42,0.42,100
2023-05-18,0.3365,0.3365,0.3365,0.3365,200
2023-05-19,0.3625,0.3625,0.3625,0.3625,100
2023-05-22,0.3555,0.4835,0.3555,0.37,819
2023-05-23,0.4237,0.4237,0.4237,0.4237,100
2023-05-24,0.4233,0.4233,0.34,0.34,700
2023-05-30,0.3395,0.3395,0.3395,0.3395,100
2023-05-31,0.3798,0.3799,0.3798,0.3798,1000
2023-06-01,0.37,0.37,0.37,0.37,400
2023-06-02,0.4227,0.55,0.38,0.38,12600
2023-06-05,0.4351,0.59,0.3,0.3435,19779
2023-06-06,0.3435,0.4505,0.3435,0.45,400
2023-06-07,0.3435,0.4,0.3435,0.4,1100
2023-06-09,0.452,0.6,0.452,0.6,7100
2023-06-12,0.5,0.5,0.5,0.5,150
2023-06-13,0.59,0.8,0.59,0.67,6200
2023-06-14,0.5205,0.5205,0.5205,0.5205,100
2023-06-15,0.51,0.51,0.51,0.51,100
2023-06-20,0.441,0.441,0.441,0.441,100
2023-06-21,0.505,0.55,0.505,0.55,300
2023-06-28,0.441,0.55,0.4,0.4,2400
2023-06-29,0.458,0.458,0.458,0.458,100
2023-06-30,0.4102,0.46,0.4102,0.45,2138
2023-07-06,0.5539,0.64,0.5346,0.5442,3657
2023-07-12,0.4011,0.48,0.384,0.48,9200
2023-07-14,0.4279,0.4279,0.4279,0.4279,100
2023-07-17,0.509,0.509,0.47,0.49,626
2023-07-18,0.35,0.449,0.3499,0.4,1200
2023-07-19,0.3999,0.4,0.3,0.3,19393
2023-07-24,0.38,0.38,0.38,0.38,100
2023-07-25,0.4,0.4,0.3,0.375,3993
2023-07-26,0.365,0.365,0.365,0.365,100
2023-07-27,0.2508,0.388,0.2508,0.388,1000
2023-07-28,0.4,0.4,0.4,0.4,100
2023-07-31,0.4,0.4,0.4,0.4,100
2023-08-01,0.3223,0.3952,0.3223,0.3952,206
2023-08-02,0.392,0.9192,0.0482,0.4,1791
2023-08-03,0.31,0.31,0.25,0.25,2600
2023-08-04,0.2,0.397,0.15,0.3,5400
2023-08-08,0.3279,0.3279,0.3279,0.3279,100
2023-08-10,0.3126,0.3126,0.3126,0.3126,100
2023-08-14,0.0649,0.4799,0.0649,0.3,2800
2023-08-15,0.1011,0.2654,0.0956,0.2535,4648
2023-08-16,0.1811,0.2374,0.1681,0.2374,1500
2023-08-17,0.25,0.25,0.25,0.25,100
2023-08-18,0.2,0.5,0.2,0.277,13786
2023-08-23,0.33,0.33,0.2491,0.2491,200
2023-08-25,0.339,0.339,0.339,0.339,100
2023-08-29,0.2882,0.31,0.25,0.25,5794
2023-08-30,0.2183,0.29,0.2,0.2,2701
2023-08-31,0.15,0.31,0.15,0.2364,400
2023-09-01,0.2707,0.2707,0.2364,0.2364,200
