Date,Open,High,Low,Close,Volume
2004-05-06,4.4011,4.4033,4.4011,4.4011,236757.0
2004-05-07,4.4011,4.4033,4.4011,4.4011,237211.0
2004-05-10,4.4011,4.4033,4.4011,4.4011,639833.0
2004-05-11,4.4011,4.4033,4.4011,4.4011,194036.0
2004-05-12,4.4011,4.4033,4.4011,4.4011,269019.0
2004-05-13,4.4011,4.4033,4.4011,4.4011,168138.0
2004-05-14,4.4011,4.4011,4.4011,4.4011,254932.0
2004-05-17,4.4011,4.4033,4.4011,4.4011,518498.0
2004-05-18,4.4011,4.4033,4.4011,4.4011,329913.0
2004-05-19,4.4011,4.4011,4.4011,4.4011,124967.0
2004-05-20,4.4011,4.4011,4.4011,4.4011,129054.0
2004-05-21,4.4011,4.4033,4.4011,4.4011,153141.0
2004-05-24,4.4011,4.4011,4.4011,4.4011,529407.0
2004-05-25,4.4011,4.4011,4.0556,4.0909,2126723.0
2004-05-26,4.0776,4.0953,3.9984,4.027,117694.0
2004-05-27,4.049,4.1811,4.049,4.1547,131328.0
2004-05-28,4.1261,4.2031,4.1261,4.2031,99516.0
2004-06-01,4.1921,4.1921,4.1899,4.1921,92702.0
2004-06-02,4.1811,4.1921,4.1811,4.1811,138147.0
2004-06-03,4.1811,4.1811,4.1371,4.1701,69981.0
2004-06-04,4.1701,4.1701,4.1437,4.1437,40898.0
2004-06-07,4.1371,4.1393,4.1151,4.1261,123603.0
2004-06-08,4.1261,4.1591,4.1261,4.1393,74071.0
2004-06-09,4.1305,4.1569,4.1261,4.1261,113151.0
2004-06-10,4.1371,4.1481,4.1151,4.1371,37716.0
2004-06-14,4.1261,4.1261,4.071,4.0732,61346.0
2004-06-15,4.0732,4.1261,4.0402,4.06,88609.0
2004-06-16,4.0732,4.1151,3.983,3.983,70435.0
2004-06-17,3.9742,4.016,3.9104,3.95,130872.0
2004-06-18,3.917,3.961,3.8818,3.917,97247.0
2004-06-21,3.873,3.906,3.8334,3.895,134509.0
2004-06-22,3.906,3.906,3.774,3.7982,146325.0
2004-06-23,3.7806,3.8048,3.708,3.73,171315.0
2004-06-24,3.752,3.796,3.741,3.785,127237.0
2004-06-25,3.785,3.807,3.763,3.7872,53621.0
2004-06-28,3.785,3.829,3.785,3.829,41353.0
2004-06-29,3.829,3.8444,3.7454,3.774,124056.0
2004-06-30,3.774,3.807,3.763,3.763,28627.0
2004-07-01,3.7476,3.829,3.741,3.818,54984.0
2004-07-02,3.829,3.8466,3.8202,3.8202,41806.0
2004-07-06,3.807,3.8466,3.774,3.8378,101333.0
2004-07-07,3.807,3.8444,3.7982,3.8114,63617.0
2004-07-08,3.8632,3.8632,3.7968,3.8322,116535.0
2004-07-09,3.8101,3.819,3.768,3.8079,153577.0
2004-07-12,3.8411,3.8677,3.8123,3.8367,107048.0
2004-07-13,3.8522,3.985,3.8411,3.8522,114275.0
