Date,Open,High,Low,Close,Volume
2021-01-06,4.95,4.95,4.95,4.95,100
2021-01-07,2.0,2.0,1.75,1.87,26686
2021-01-08,2.0,2.25,1.89,1.9999,47045
2021-01-11,2.0,2.0,1.8,1.85,20464
2021-01-12,1.85,1.85,1.73,1.732,273540
2021-01-13,1.75,2.18,1.7,1.9999,350668
2021-01-14,2.1,3.75,1.9,3.46,2238417
2021-01-15,3.46,3.46,2.85,3.15,501418
2021-01-19,3.3,3.4,2.9,3.0,187874
2021-01-20,3.17,3.17,2.8,2.8,147035
2021-01-21,2.81,2.89,2.69,2.89,140614
2021-01-22,2.8,3.01,2.5,3.01,221853
2021-01-25,3.2,3.25,2.75,2.8,213826
2021-01-26,2.75,2.98,2.71,2.77,81943
2021-01-27,2.7,2.75,2.6,2.6,95797
2021-01-28,2.5,2.65,2.25,2.55,94954
2021-01-29,2.53,2.7,2.4,2.49,72822
2021-02-01,2.5,2.85,2.25,2.75,128194
2021-02-02,2.8,2.9826,2.6,2.8,72205
2021-02-03,2.86,3.0,2.8,2.8999,131911
2021-02-04,3.0,3.3,2.92,3.27,144534
2021-02-05,3.34,3.34,3.0,3.1,177906
2021-02-08,3.08,3.1199,3.0,3.1199,167444
2021-02-09,3.11,3.15,3.0,3.1,210869
2021-02-10,3.09,3.2,2.91,2.91,116217
2021-02-11,3.1,3.2,3.01,3.2,61431
2021-02-12,3.1,3.2001,3.01,3.2001,93108
2021-02-16,3.25,3.49,3.1,3.43,117595
2021-02-17,3.6,3.6,2.46,2.89,1208753
2021-02-18,2.8,3.24,2.61,2.9,678511
2021-02-19,2.85,3.09,2.76,2.94,362435
2021-02-22,3.08,3.08,2.75,2.77,268794
2021-02-23,2.66,2.66,2.09,2.22,740056
2021-02-24,2.33,2.33,2.1,2.24,216447
2021-02-25,2.22,2.615,2.06,2.06,303095
2021-02-26,2.1,2.207,1.8,2.05,195758
2021-03-01,2.1,2.1,1.9,1.99,131340
2021-03-02,2.18,2.18,1.74,1.89,112306
2021-03-03,1.85,1.89,1.73,1.74,113501
2021-03-04,1.65,1.7401,1.32,1.34,274719
2021-03-05,1.55,1.55,1.18,1.47,228767
2021-03-08,1.47,1.57,1.32,1.47,70455
2021-03-09,1.47,1.48,1.37,1.4,159932
2021-03-10,1.68,1.72,1.46,1.67,112539
2021-03-11,1.8,1.88,1.6201,1.78,123526
2021-03-12,1.94,1.99,1.6701,1.8,92591
2021-03-15,1.94,1.94,1.62,1.7,128110
2021-03-16,1.94,1.94,1.58,1.69,49685
2021-03-17,1.69,1.75,1.61,1.65,25503
2021-03-18,1.72,1.75,1.51,1.52,45845
2021-03-19,1.54,1.7,1.519,1.64,253124
2021-03-22,1.75,1.75,1.6,1.68,28326
2021-03-23,1.68,1.74,1.57,1.57,92165
2021-03-24,1.7,1.89,1.36,1.5,111953
2021-03-25,1.35,1.39,1.15,1.3,113965
2021-03-26,1.4,1.65,1.35,1.61,92982
2021-03-29,1.66,1.66,1.49,1.55,153368
2021-03-30,1.55,1.55,1.31,1.441,28384
2021-03-31,1.46,1.47,1.41,1.41,15683
