Date,Open,High,Low,Close,Volume
2024-01-02,36.4,36.48,35.65,35.72,74631
2024-01-03,35.62,35.62,34.585,35.02,82352
2024-01-04,34.97,35.05,34.7,34.8,66622
2024-01-05,34.93,35.33,34.77,35.11,177293
2024-01-08,34.84,35.47,34.84,35.23,109913
2024-01-09,34.81,35.62,34.7758,35.47,104041
2024-01-10,35.43,35.5404,34.06,34.38,120538
2024-01-11,34.28,35.35,34.17,35.31,78552
2024-01-12,35.6,35.77,35.26,35.58,73798
2024-01-16,35.49,35.49,34.88,35.11,51042
2024-01-17,34.59,35.41,34.59,35.41,36735
2024-01-18,35.6,35.86,35.01,35.7,43158
2024-01-19,35.76,36.09,35.49,36.02,65821
2024-01-22,36.03,36.4,35.47,35.47,69646
2024-01-23,35.47,36.38,35.47,35.89,141934
2024-01-24,35.85,36.33,35.49,36.16,113921
2024-01-25,36.35,36.355,35.92,36.2,170402
2024-01-26,36.32,37.485,36.13,37.04,115289
2024-01-29,36.89,37.2,36.46,37.04,139757
2024-01-30,37.29,37.62,36.59,36.59,38048
2024-01-31,36.39,37.11,36.39,36.83,128495
2024-02-01,36.975,36.975,36.01,36.88,94381
2024-02-02,36.78,36.78,35.62,35.72,100094
2024-02-05,35.69,35.69,35.0001,35.34,78357
2024-02-06,35.51,36.56,35.2,36.36,135486
2024-02-07,35.86,36.7,35.86,36.31,156043
2024-02-08,36.34,36.51,35.9575,36.13,148010
2024-02-09,35.98,36.57,35.98,36.14,629470
2024-02-12,36.39,36.39,35.29,35.64,641658
2024-02-13,33.86,35.87,33.86,34.63,308658
2024-02-14,34.68,35.19,34.68,34.83,537106
2024-02-15,35.18,36.93,34.49,36.75,1067513
2024-02-16,37.46,37.46,35.77,35.91,176295
2024-02-20,35.99,36.07,35.43,35.9,127594
2024-02-21,35.74,35.98,34.99,35.23,111776
2024-02-22,34.97,36.4,34.97,36.0,198200
2024-02-23,36.31,37.5,36.31,36.85,252078
2024-02-26,36.5388,36.73,36.2,36.26,126423
2024-02-27,36.3515,37.29,36.2107,37.29,66358
2024-02-28,36.63,37.43,36.48,37.06,110047
2024-02-29,37.09,38.73,37.09,38.59,120912
2024-03-01,38.6,38.99,38.34,38.99,55164
2024-03-04,39.0,39.89,38.83,39.51,79228
2024-03-05,39.6,39.6,38.55,38.78,90854
2024-03-06,39.1,39.34,38.635,38.88,59465
2024-03-07,38.93,39.415,38.8,39.09,68963
2024-03-08,39.41,39.5,38.42,38.57,53964
2024-03-11,38.72,39.16,38.25,38.88,50543
2024-03-12,38.79,39.84,38.79,39.63,62488
2024-03-13,39.73,40.03,39.62,39.7,35251
2024-03-14,39.86,39.86,38.45,38.93,86840
2024-03-15,39.53,40.02,38.71,39.67,153766
2024-03-18,39.49,40.22,39.49,40.0,90998
2024-03-19,40.0,40.4,39.87,40.38,49606
2024-03-20,40.44,41.09,40.07,41.09,73601
2024-03-21,41.36,43.24,41.17,42.03,132362
2024-03-22,42.155,42.509,41.45,41.5,107176
2024-03-25,42.57,42.57,41.22,41.8,60414
2024-03-26,41.78,42.05,41.52,41.71,171383
2024-03-27,42.1,42.42,41.8,42.28,176138
2024-03-28,42.09,42.45,41.92,42.35,142264
2024-04-01,42.72,42.72,41.02,41.17,60547
2024-04-02,40.77,41.4,40.06,41.36,78058
2024-04-03,41.11,41.75,41.11,41.71,115622
2024-04-04,41.98,42.43,41.46,41.72,126673
2024-04-05,41.72,42.68,41.72,42.45,99395
2024-04-08,42.48,42.87,42.09,42.09,246021
2024-04-09,42.35,42.35,41.41,41.7,80730
2024-04-10,41.52,41.52,40.785,41.25,50394
2024-04-11,41.17,41.67,40.97,41.5,117914
2024-04-12,41.42,41.59,40.42,40.61,97464
2024-04-15,41.03,41.24,38.78,39.0,32780
2024-04-16,38.89,38.89,35.92,36.34,132664
2024-04-17,36.5,37.11,36.25,36.32,39651
2024-04-18,36.47,36.47,35.3197,35.5,121353
2024-04-19,35.98,36.01,35.48,35.81,47720
2024-04-22,35.86,36.01,35.39,35.78,82023
2024-04-23,36.13,37.66,36.13,37.18,170336
2024-04-24,36.9,37.26,36.4,36.43,40671
2024-04-25,36.02,36.57,35.96,36.31,105835
2024-04-26,36.19,36.48,35.88,36.26,108785
2024-04-29,36.89,36.89,36.145,36.39,59210
2024-04-30,36.06,36.94,35.84,35.86,194465
2024-05-01,35.63,36.44,35.575,35.72,57349
2024-05-02,35.81,36.28,35.41,35.74,68448
2024-05-03,36.31,38.47,36.31,37.75,219821
2024-05-06,37.76,38.26,37.41,38.07,64763
2024-05-07,38.14,39.06,38.06,38.51,71120
2024-05-08,38.35,38.64,37.96,38.18,40709
2024-05-09,38.05,38.71,37.89,38.7,57104
2024-05-10,38.29,39.03,37.93,38.93,40720
2024-05-13,39.25,39.25,37.65,37.68,98561
2024-05-14,38.03,38.16,37.38,37.66,95225
2024-05-15,37.35,37.97,37.35,37.63,40634
2024-05-16,37.46,38.46,37.3,38.37,126357
2024-05-17,38.45,38.5,38.035,38.33,49102
2024-05-20,38.51,39.58,38.51,39.23,70825
2024-05-21,39.18,40.6,39.18,40.46,45097
2024-05-22,40.17,40.685,39.69,39.82,41420
2024-05-23,39.19,39.23,36.23,36.58,162161
2024-05-24,36.99,38.19,36.94,37.97,80637
2024-05-28,37.73,38.03,37.32,37.56,35409
2024-05-29,37.01,37.02,36.53,36.55,67885
2024-05-30,36.7,36.75,36.08,36.11,29764
2024-05-31,36.12,36.73,35.89,36.63,146054
2024-06-03,37.03,37.48,36.55,37.13,130181
2024-06-04,37.15,37.39,36.69,36.69,50064
2024-06-05,36.72,37.415,36.72,37.12,87381
2024-06-06,37.06,37.39,36.47,36.48,100987
2024-06-07,36.19,36.42,35.42,35.49,74616
2024-06-10,35.28,35.28,34.44,34.89,77038
2024-06-11,34.33,35.369,34.04,34.65,91740
2024-06-12,35.1,35.37,34.34,34.74,49195
2024-06-13,34.6,34.69,33.73,33.97,364033
2024-06-14,34.0,34.06,32.545,33.6,390093
2024-06-17,33.31,34.09,33.31,33.87,131370
2024-06-18,33.65,35.0,33.65,34.9,163020
2024-06-20,35.05,35.42,34.97,35.2,75951
2024-06-21,35.06,35.63,34.595,35.5,227121
2024-06-24,35.31,36.09,34.88,34.9,173429
2024-06-25,35.03,35.35,34.56,35.26,65968
2024-06-26,35.09,35.69,35.09,35.47,84774
2024-06-27,35.39,35.81,35.39,35.7,83624
2024-06-28,35.94,37.58,35.94,37.51,210590
2024-07-01,37.5,38.0,37.5,37.61,123843
2024-07-02,37.6,37.83,37.3,37.72,43503
2024-07-03,37.77,37.84,37.0,37.27,25134
2024-07-05,37.2,37.43,36.86,37.33,165532
2024-07-08,37.45,37.45,37.08,37.21,89906
2024-07-09,37.05,37.35,36.92,36.92,30215
2024-07-10,37.03,37.03,36.41,36.42,66467
2024-07-11,37.11,37.14,36.66,37.09,108342
2024-07-12,37.08,38.07,37.04,37.79,69097
2024-07-15,37.94,38.53,37.91,38.17,30758
2024-07-16,38.37,38.48,37.73,38.31,58352
2024-07-17,38.31,38.58,37.84,37.99,47507
2024-07-18,37.99,38.26,37.12,37.23,72586
2024-07-19,37.23,37.32,36.59,36.95,33917
2024-07-22,37.25,37.47,36.56,37.17,67908
