Date,Open,High,Low,Close,Volume
2021-09-29,1.2999,1.3,1.16,1.16,73259
2021-09-30,1.4999,1.5,1.07,1.1635,154661
2021-10-01,1.18,1.43,1.06,1.315,53760
2021-10-04,1.33,1.36,1.26,1.28,29823
2021-10-05,1.3,1.39,1.28,1.29,72072
2021-10-06,1.29,1.38,1.225,1.25,54698
2021-10-07,1.54,1.54,1.07,1.07,41855
2021-10-08,1.19,1.19,1.04,1.04,49587
2021-10-11,1.07,1.11,1.01,1.04,248972
2021-10-12,1.16,1.2699,1.07,1.14,3525
2021-10-13,1.24,1.24,1.1,1.218,8533
2021-10-14,1.135,1.25,1.12,1.1903,23788
2021-10-15,1.4,1.683,1.4,1.5,85075
2021-10-18,1.38,1.54,1.38,1.4009,14518
2021-10-19,1.49,1.49,1.3,1.36,44552
2021-10-20,1.94,2.1,1.42,1.52,117405
2021-10-21,1.49,1.5823,1.4084,1.55,79494
2021-10-22,1.57,1.62,1.52,1.57,33746
2021-10-25,1.75,1.81,1.5201,1.6599,71472
2021-10-26,1.5701,1.76,1.5701,1.76,2894
2021-10-27,1.69,1.69,1.5,1.53,18697
2021-10-28,1.54,1.57,1.54,1.57,9882
2021-10-29,1.55,1.6,1.52,1.5701,3294
2021-11-01,1.56,1.58,1.54,1.5799,2900
2021-11-02,1.6,1.75,1.59,1.75,39640
2021-11-03,1.72,1.73,1.6701,1.73,15518
2021-11-04,1.73,1.73,1.64,1.68,60025
2021-11-05,1.7,1.7,1.52,1.58,14453
2021-11-08,1.5801,1.715,1.5801,1.68,49800
2021-11-09,1.75,1.7699,1.68,1.76,46794
2021-11-10,1.83,1.83,1.74,1.74,16888
2021-11-11,1.78,1.78,1.74,1.78,9886
2021-11-12,1.87,2.01,1.79,1.79,10972
2021-11-15,2.36,2.36,1.85,1.87,49993
2021-11-16,1.85,1.86,1.77,1.79,219221
2021-11-17,1.81,2.18,1.79,2.0,48455
2021-11-18,1.99,2.05,1.9301,2.0,46098
2021-11-19,1.95,1.98,1.95,1.975,27400
2021-11-22,1.95,1.95,1.84,1.95,1100
2021-11-23,1.86,1.9,1.71,1.71,14237
2021-11-24,1.7,1.72,1.495,1.5,87138
2021-11-26,1.72,1.87,1.6,1.75,64124
2021-11-29,1.95,1.95,1.69,1.77,7210
2021-11-30,1.9399,1.95,1.66,1.81,28470
2021-12-01,2.2899,2.29,1.75,1.77,38484
2021-12-02,1.89,1.95,1.82,1.95,1300
2021-12-03,1.7301,1.84,1.73,1.84,5106
2021-12-06,1.9,1.9,1.73,1.73,4367
2021-12-07,1.94,1.95,1.6,1.61,38004
2021-12-08,1.7,1.72,1.61,1.69,111120
