Date,Open,High,Low,Close,Volume
2023-09-27,7.0,7.3476,4.65,5.28,2027184
2023-09-28,5.45,5.98,4.22,4.4,429856
2023-09-29,4.42,5.21,4.4,5.21,132147
2023-10-02,5.11,7.17,4.84,6.15,662249
2023-10-03,5.35,7.05,5.31,5.64,222835
2023-10-04,5.75,6.0,5.31,5.99,52091
2023-10-05,5.72,5.96,5.37,5.7,11289
2023-10-06,5.72,6.48,5.7,6.27,96566
2023-10-09,6.05,6.05,5.88,5.88,8739
2023-10-10,5.905,6.09,5.81,5.84,16534
2023-10-11,5.8,5.8,5.51,5.51,14108
2023-10-12,6.13,6.14,5.41,5.65,23058
2023-10-13,6.0,6.0,5.4,5.4,7875
2023-10-16,5.41,5.55,5.41,5.43,1277
2023-10-17,5.43,5.65,5.3501,5.37,3551
2023-10-18,5.32,5.65,5.26,5.45,44799
2023-10-19,5.59,5.7411,5.3527,5.41,19387
2023-10-20,5.374,6.0,5.35,6.0,6891
2023-10-23,5.47,5.67,5.35,5.36,11642
2023-10-24,5.38,5.75,5.33,5.3601,16300
2023-10-25,5.366,5.366,5.366,5.366,100
2023-10-26,5.66,5.79,5.28,5.79,2056
2023-10-27,5.3501,5.79,5.3501,5.45,4654
2023-10-30,5.36,5.4803,4.8693,5.2934,14799
2023-10-31,5.23,5.5,5.065,5.4731,16002
2023-11-01,5.3,5.5,5.3,5.4,7942
2023-11-02,5.22,5.8095,4.993,5.724,28553
2023-11-03,5.4,5.57,5.35,5.5,5956
2023-11-06,5.52,5.7,5.41,5.6,6964
2023-11-08,5.625,5.8,5.575,5.7,7623
2023-11-09,5.948,6.0,5.73,5.81,14677
2023-11-10,5.644,5.7,5.61,5.61,1816
2023-11-13,5.58,5.85,5.58,5.83,9768
2023-11-14,6.11,6.6494,5.85,6.31,33963
2023-11-15,6.3,6.87,6.3,6.72,22429
2023-11-16,6.8,7.0,6.7,6.98,105464
2023-11-17,6.8,6.8,6.59,6.6,1250
2023-11-20,6.9329,6.9624,6.351,6.875,6169
2023-11-21,6.62,6.8,6.35,6.48,7389
2023-11-22,7.1,7.1,6.1621,6.68,88449
2023-11-24,6.5,6.59,5.95,6.49,15614
2023-11-27,6.5,6.9999,6.5,6.84,16530
2023-11-28,7.0,7.2,6.9,7.2,40419
2023-11-29,7.2,7.2,6.92,7.0,8859
2023-11-30,7.45,7.45,6.975,7.0,7287
2023-12-01,6.975,7.05,6.9026,6.91,3830
2023-12-04,7.01,7.05,6.95,6.95,9836
2023-12-05,6.98,6.98,6.84,6.98,7724
2023-12-06,6.77,7.0,6.75,6.8,9217
2023-12-07,6.99,6.99,6.75,6.88,2180
2023-12-08,6.87,6.89,6.6,6.8,2207
2023-12-11,6.6,6.6,6.3,6.426,6650
2023-12-12,6.45,6.9,6.2174,6.87,11896
2023-12-13,6.64,6.87,6.64,6.85,1139
2023-12-14,6.77,7.0,6.77,7.0,2479
2023-12-15,6.614,6.9,6.614,6.8892,752
2023-12-18,6.5996,6.62,6.5996,6.6,2201
2023-12-19,6.6,6.62,6.44,6.44,4823
2023-12-20,6.4508,6.4508,6.3,6.35,3144
2023-12-21,6.29,6.3,5.62,5.62,28905
2023-12-26,5.7001,5.7002,5.49,5.49,8515
2023-12-27,5.5431,5.89,5.49,5.5,13130
2023-12-28,5.84,6.2,5.5,5.5,4319
2023-12-29,5.5238,5.775,5.37,5.7399,7002
2024-01-02,5.51,5.68,5.5,5.5,9996
2024-01-03,5.54,5.55,5.4506,5.4506,1448
2024-01-04,5.5695,5.5695,5.5,5.5,208
2024-01-05,5.37,5.49,5.37,5.49,400
2024-01-08,5.42,5.45,5.37,5.37,1100
2024-01-09,5.4,5.4,5.4,5.4,200
2024-01-10,5.35,5.35,5.3406,5.3406,330
2024-01-11,5.4,5.4,5.28,5.28,2820
2024-01-12,5.45,5.45,5.45,5.45,631
2024-01-16,5.28,5.28,5.28,5.28,333
2024-01-17,5.28,5.28,5.28,5.28,167
2024-01-18,5.28,5.36,5.28,5.28,400
2024-01-19,5.39,5.5,5.28,5.3,2845
2024-01-22,5.3522,5.3522,5.01,5.01,1866
2024-01-23,5.3706,5.5099,5.05,5.05,2867
2024-01-24,5.25,5.54,5.15,5.17,2096
2024-01-25,5.51,6.2,5.49,6.2,5440
2024-01-26,6.83,6.83,5.25,5.25,19501
2024-01-29,5.2527,5.36,5.2243,5.26,5336
2024-01-30,5.26,5.3025,5.2335,5.26,3800
2024-01-31,5.3432,5.3432,5.26,5.34,1278
2024-02-01,5.26,5.32,5.26,5.32,861
2024-02-02,5.23,5.32,5.04,5.06,18853
2024-02-05,5.23,5.2994,5.22,5.2994,843
2024-02-06,5.2,5.23,5.02,5.02,2622
2024-02-07,5.02,5.28,5.02,5.02,400
2024-02-08,5.15,5.15,5.125,5.14,1110
2024-02-09,5.15,5.15,5.1,5.1,400
2024-02-12,5.03,5.03,5.03,5.03,195
2024-02-13,5.37,5.37,4.93,4.96,3473
2024-02-14,5.05,5.075,5.05,5.055,507
2024-02-15,5.06,5.19,5.06,5.19,300
2024-02-20,4.59,4.74,3.97,4.1,2291
2024-02-21,4.5,4.5,4.5,4.5,100
2024-02-22,4.5,4.5,4.5,4.5,100
2024-02-23,4.57,4.57,4.57,4.57,110
2024-02-27,4.5701,4.5701,4.5701,4.5701,200
2024-02-29,4.5,4.85,4.26,4.33,15052
2024-03-01,4.62,4.72,4.56,4.63,12289
2024-03-04,4.67,5.2,4.67,5.2,8849
2024-03-05,4.995,5.47,4.995,5.47,23316
2024-03-06,5.17,5.4994,5.12,5.4994,40567
2024-03-07,5.4408,5.4408,5.175,5.38,27855
2024-03-08,5.54,5.55,5.34,5.34,22947
2024-03-11,5.5,5.54,5.15,5.22,30765
2024-03-12,5.54,5.55,4.5801,4.67,16769
2024-03-13,4.53,4.53,3.5,3.5,25442
2024-03-14,3.5,3.99,3.49,3.77,15176
2024-03-15,3.87,3.87,3.75,3.76,861
2024-03-18,3.78,3.78,3.75,3.75,1046
2024-03-19,3.7,3.85,3.65,3.85,500
2024-03-21,3.7,3.84,3.61,3.7001,2206
2024-03-25,3.5265,3.78,3.5265,3.78,1050
2024-03-26,3.93,4.33,3.58,3.84,1402
2024-03-28,4.05,4.05,4.05,4.05,100
2024-04-03,4.16,4.16,4.16,4.16,100
2024-04-05,4.17,4.17,4.0281,4.0281,284
2024-04-08,4.01,4.01,4.01,4.01,100
2024-04-09,3.72,3.8261,3.7,3.7001,11388
2024-04-10,3.68,3.68,3.33,3.33,1051
2024-04-11,3.71,3.71,3.34,3.35,521
2024-04-15,4.06,4.06,3.92,3.94,606
2024-04-16,3.54,3.54,3.54,3.54,279
2024-04-18,3.26,3.95,3.26,3.5,1681
2024-04-19,3.3,3.3,3.26,3.2601,1654
