Date,Open,High,Low,Close,Volume
2020-10-01,40.0,42.0,37.64,38.81,5204270
2020-10-02,39.31,47.8,37.82,41.9,764061
2020-10-05,42.78,46.95,42.06,45.9,414611
2020-10-06,46.57,47.74,45.01,46.79,290206
2020-10-07,47.01,52.0,46.06,47.1,418082
2020-10-08,47.55,48.736,42.62,43.12,433552
2020-10-09,43.75,45.515,42.0,42.01,169769
2020-10-12,42.0,44.31,41.0,42.0,193279
2020-10-13,41.34,42.275,39.87,41.35,411436
2020-10-14,41.34,43.29,40.34,42.13,226763
2020-10-15,41.61,44.5,40.21,42.4,125392
2020-10-16,42.34,45.44,42.01,44.39,98459
2020-10-19,45.15,47.965,44.46,47.28,128493
2020-10-20,47.0,49.047,45.63,48.75,78134
2020-10-21,48.75,48.75,43.33,46.0,172915
2020-10-22,43.9,44.76,42.31,43.06,189450
2020-10-23,42.89,43.62,40.47,42.24,330391
2020-10-26,42.24,43.97,41.005,42.65,143477
2020-10-27,43.0,44.486,41.5,41.89,153915
2020-10-28,41.5,43.29,41.5,42.3,58359
2020-10-29,41.88,43.81,41.88,43.06,64320
2020-10-30,42.25,43.68,40.92,42.06,271837
2020-11-02,42.11,43.76,41.08,42.94,143514
2020-11-03,42.74,47.02,41.74,47.02,161474
2020-11-04,46.51,49.0,46.1,46.63,96114
2020-11-05,45.73,48.985,45.51,48.22,162913
2020-11-06,47.79,48.331,45.99,46.8,111311
2020-11-09,47.15,48.69,45.92,48.11,189085
2020-11-10,47.21,47.605,45.22,46.33,97870
2020-11-11,45.21,47.0,43.0,46.01,227444
2020-11-12,45.45,46.74,44.299,46.25,176449
2020-11-13,46.57,47.5,46.025,46.49,133139
2020-11-16,47.03,47.73,46.005,47.14,86198
2020-11-17,46.9,47.22,45.55,46.74,84371
2020-11-18,47.12,47.5,46.25,46.71,114278
2020-11-19,46.58,47.6,45.41,46.68,78910
2020-11-20,46.79,47.0,45.755,46.45,162712
2020-11-23,46.91,51.47,46.31,48.46,292551
2020-11-24,49.1,53.238,47.88,50.8,229420
2020-11-25,50.8,53.62,48.261,52.8,188873
2020-11-27,53.0,55.66,52.17,55.0,97275
2020-11-30,55.14,56.99,51.124,54.2,241841
2020-12-01,54.89,56.01,51.45,52.97,204881
2020-12-02,52.82,53.222,50.19,51.06,142516
2020-12-03,50.57,52.0,50.03,51.6,105886
2020-12-04,51.73,51.73,49.0,50.38,427343
2020-12-07,50.82,53.815,49.523,51.6,278472
2020-12-08,51.43,52.312,50.745,51.63,162387
2020-12-09,51.97,52.98,50.391,51.6,269987
2020-12-10,51.21,52.1,49.83,50.79,181129
2020-12-11,50.37,52.63,49.815,50.81,321894
2020-12-14,51.49,54.5,46.05,46.57,232830
2020-12-15,46.29,48.03,45.75,47.0,283641
2020-12-16,47.5,51.35,47.043,49.56,207956
2020-12-17,50.57,51.71,49.23,50.55,344517
2020-12-18,50.85,56.05,50.4,53.62,2154421
2020-12-21,53.62,56.0,50.75,55.77,180263
