Date,Open,High,Low,Close,Volume
2023-02-14,9.82,10.69,8.5506,10.03,42786
2023-02-15,10.0,13.37,10.0,12.99,92031
2023-02-16,13.99,50.9999,12.49,44.0,2757781
2023-02-17,50.11,52.6,32.35,40.5,1780545
2023-02-21,38.11,46.0,35.5511,37.32,214301
2023-02-22,37.8,136.0,36.09,103.6499,2886506
2023-02-23,115.0,118.67,17.5,21.8,2909714
2023-02-24,21.91,38.98,20.4,22.73,5093998
2023-02-27,22.6,28.87,19.61,21.3,2305308
2023-02-28,20.23,25.7999,18.0,20.2,1771289
2023-03-01,19.5,21.1996,17.41,19.78,934406
2023-03-02,19.5,20.0,16.73,17.64,691515
2023-03-03,19.0,19.59,16.02,16.25,544037
2023-03-06,16.29,16.7,13.8,13.94,734681
2023-03-07,13.9,15.6,12.37,12.45,909280
2023-03-08,12.44,12.99,10.05,10.41,729303
2023-03-09,10.16,19.75,10.16,16.97,15483959
2023-03-10,16.88,19.69,14.2318,15.75,6912063
2023-03-13,16.1,18.37,14.0,14.5,2493388
2023-03-14,14.02,15.2,12.63,14.15,1055984
2023-03-15,13.85,14.17,12.8,13.21,382927
2023-03-16,13.25,16.1399,12.88,12.88,1222449
2023-03-17,13.2,13.5025,11.89,12.02,767177
2023-03-20,12.12,12.82,11.5101,11.85,512408
2023-03-21,12.0,12.21,11.13,11.16,520114
2023-03-22,11.31,12.6413,11.02,11.74,752596
2023-03-23,12.27,12.4,10.3001,10.69,876032
2023-03-24,10.79,11.2,10.3,10.82,362349
2023-03-27,10.81,11.945,10.65,10.78,524836
2023-03-28,10.94,11.2,10.35,10.45,230994
2023-03-29,10.41,10.8398,10.41,10.7,319592
2023-03-30,10.7,11.4,10.45,10.58,373958
2023-03-31,10.55,11.26,10.3101,10.88,297797
2023-04-03,10.61,10.9,10.4,10.55,139832
2023-04-04,10.61,10.6261,10.0,10.01,221515
2023-04-05,10.48,10.85,9.63,10.32,452068
2023-04-06,10.15,12.54,10.14,10.9,930011
2023-04-10,10.9,11.1495,10.28,10.36,284185
2023-04-11,10.55,10.95,10.31,10.93,225189
2023-04-12,10.57,11.15,10.56,10.97,212496
2023-04-13,10.68,11.06,10.3,10.41,240736
2023-04-14,10.4,10.59,9.86,10.25,216517
2023-04-17,9.8,10.49,9.72,10.32,155641
2023-04-18,10.45,13.99,10.1301,13.0,952105
2023-04-19,13.85,14.35,10.7,10.88,9472950
2023-04-20,10.91,10.97,9.89,10.1,933629
2023-04-21,10.0,10.2,8.63,8.85,830081
2023-04-24,8.9,9.5,8.3,8.88,332151
2023-04-25,8.86,8.95,7.0301,7.46,591678
2023-04-26,7.16,10.2099,7.16,9.37,12571524
2023-04-27,8.76,9.5,8.15,8.48,743746
2023-04-28,8.41,8.6,7.41,7.82,656859
2023-05-01,7.51,7.98,7.15,7.18,380903
2023-05-02,7.35,7.5999,7.15,7.49,225936
2023-05-03,7.42,7.8,6.83,7.24,317019
2023-05-04,7.25,7.53,6.8,7.29,186014
2023-05-05,7.29,7.29,6.91,7.1,272452
2023-05-08,7.19,7.24,6.81,7.06,203313
2023-05-09,7.14,7.56,6.85,7.51,328148
2023-05-10,7.45,8.08,7.21,7.75,353155
2023-05-11,8.0,8.75,7.5,8.52,752253
2023-05-12,8.3,10.5,8.0237,8.1001,2156450
2023-05-15,8.05,8.05,7.14,7.35,430784
2023-05-16,7.48,8.59,7.2001,7.9951,723923
2023-05-17,8.04,8.2,7.55,7.86,153911
2023-05-18,7.67,8.02,7.5,7.71,143589
2023-05-19,7.89,8.0,7.0,7.23,377877
2023-05-22,7.05,7.44,7.03,7.4,152161
2023-05-23,7.11,7.7299,7.11,7.31,164173
2023-05-24,7.21,7.37,7.055,7.3439,121254
2023-05-25,7.18,7.38,7.04,7.11,144399
2023-05-26,7.28,7.28,6.7,6.85,275030
2023-05-30,6.81,7.0,6.64,6.85,157485
2023-05-31,6.75,6.91,6.6,6.85,93641
2023-06-01,6.8,7.47,6.7,7.4,201616
2023-06-02,7.2,7.515,7.06,7.27,76511
2023-06-05,7.56,7.6999,7.3,7.47,223275
2023-06-06,7.5,7.98,7.4,7.98,136346
2023-06-07,7.99,8.52,7.719,7.89,131083
2023-06-08,7.87,8.36,7.7,8.2,211176
2023-06-09,8.1999,9.58,8.1999,8.8799,966204
2023-06-12,9.02,10.33,8.9,9.62,945546
2023-06-13,9.47,9.79,9.1601,9.25,257350
2023-06-14,9.34,10.1693,8.87,9.68,340190
2023-06-15,9.48,10.74,9.0,9.75,355803
2023-06-16,9.63,9.92,9.11,9.59,647569
2023-06-20,9.52,9.73,8.3601,8.61,409670
2023-06-21,8.9,8.9,7.8,8.05,218261
2023-06-22,8.3,9.3,7.98,8.65,301621
2023-06-23,8.12,9.0,8.12,8.37,112273
2023-06-26,8.4,8.89,8.14,8.37,113724
2023-06-27,8.67,8.9,8.3,8.8,92538
2023-06-28,8.855,8.94,8.465,8.69,82863
2023-06-29,8.71,8.71,8.26,8.5,148027
2023-06-30,8.55,8.55,8.11,8.18,84791
2023-07-03,8.06,8.45,8.02,8.39,59143
2023-07-05,8.05,8.05,7.61,7.92,132385
2023-07-06,7.75,8.38,7.5,8.05,146581
2023-07-07,8.25,8.83,7.98,8.67,250795
2023-07-10,8.73,8.76,8.4512,8.52,45924
2023-07-11,8.84,9.44,8.45,8.71,241974
2023-07-12,8.58,9.02,8.58,8.76,84535
2023-07-13,8.88,10.73,8.34,10.11,788705
2023-07-14,10.09,11.5,9.02,9.58,2869554
2023-07-17,9.41,9.78,8.55,9.01,327226
2023-07-18,8.84,9.3589,8.61,8.73,317114
2023-07-19,9.04,9.22,8.35,9.11,297915
2023-07-20,8.91,9.22,8.63,8.63,108831
2023-07-21,8.95,8.95,8.36,8.66,162011
2023-07-24,8.72,8.72,8.4727,8.6,66074
2023-07-25,8.5,9.0,8.36,8.44,122107
2023-07-26,8.27,8.65,8.27,8.5,118240
2023-07-27,8.5,8.57,8.06,8.29,120132
2023-07-28,8.2,8.62,7.95,8.5,188345
2023-07-31,8.2648,8.6725,8.2648,8.45,70974
2023-08-01,8.31,8.44,8.07,8.19,80863
2023-08-02,8.1,8.19,7.786,8.01,85619
2023-08-03,7.82,7.99,7.6,7.88,51536
2023-08-04,7.79,8.05,7.7,7.88,84104
2023-08-07,7.51,8.08,7.51,7.87,59237
2023-08-08,7.77,8.2,7.6,8.19,90674
2023-08-09,8.18,9.48,8.0,8.86,2417587
2023-08-10,9.13,9.9,7.9917,8.08,586339
2023-08-11,8.0,8.53,7.83,8.39,156592
2023-08-14,8.6,9.04,7.67,7.93,364677
2023-08-15,7.74,8.1422,7.0,7.37,505142
2023-08-16,7.38,7.42,5.76,5.8,1136846
2023-08-17,5.65,5.86,5.01,5.2,627562
2023-08-18,5.25,5.29,4.85,5.06,449074
2023-08-21,5.04,5.7,4.79,4.89,620507
2023-08-22,5.0,5.17,4.77,4.87,324930
2023-08-23,4.87,5.0,4.51,4.66,388613
2023-08-24,4.66,4.71,3.8122,4.01,712387
2023-08-25,3.99,4.8237,3.76,4.64,816312
2023-08-28,4.78,5.19,4.35,4.81,675995
2023-08-29,4.77,5.0,4.61,4.8,216233
2023-08-30,4.81,5.4322,4.81,5.15,325235
2023-08-31,5.33,5.44,4.72,5.05,477631
2023-09-01,5.2,5.2,4.77,4.89,213266
2023-09-05,4.94,5.11,4.81,4.95,148210
2023-09-06,4.86,4.95,4.65,4.715,125184
2023-09-07,4.75,4.78,4.38,4.5,149841
2023-09-08,4.58,4.6,4.23,4.44,140063
2023-09-11,4.41,4.74,4.3475,4.65,205121
2023-09-12,4.73,4.73,4.36,4.39,217981
2023-09-13,4.55,4.55,4.23,4.36,182792
2023-09-14,4.4,4.4,4.25,4.33,115829
2023-09-15,4.53,4.53,3.9256,4.35,354332
2023-09-18,4.1527,4.46,4.07,4.15,263368
2023-09-19,4.23,4.38,4.0,4.05,257910
2023-09-20,4.2,4.21,3.95,4.05,170675
2023-09-21,4.0,4.19,3.89,3.95,116299
2023-09-22,4.13,4.13,3.87,4.01,190469
2023-09-25,4.06,4.08,3.75,3.75,181017
2023-09-26,3.7507,3.85,3.52,3.6485,167384
2023-09-27,3.56,3.61,3.46,3.49,116019
2023-09-28,3.51,3.75,3.39,3.52,125981
2023-09-29,3.56,3.848,3.56,3.8,182086
2023-10-02,3.88,4.25,3.5,3.97,797121
2023-10-03,3.98,4.04,3.77,3.92,172394
2023-10-04,4.0,4.04,3.78,3.92,84190
2023-10-05,4.08,4.08,3.84,4.0,63876
2023-10-06,4.04,4.04,3.85,3.93,93658
2023-10-09,3.95,4.33,3.85,3.85,213042
2023-10-10,3.91,4.09,3.88,3.95,142331
2023-10-11,4.13,4.13,3.77,3.98,121798
2023-10-12,3.79,3.845,3.5,3.5,208746
2023-10-13,3.56,3.72,3.5,3.72,108926
2023-10-16,3.91,4.38,3.4,3.61,253025
2023-10-17,3.61,3.7,3.48,3.65,93804
2023-10-18,3.42,3.64,3.31,3.4,121713
2023-10-19,3.49,3.49,3.03,3.1,218757
2023-10-20,3.37,3.37,3.02,3.09,140787
2023-10-23,3.05,3.06,2.75,2.79,304621
2023-10-24,2.86,2.91,2.68,2.85,151039
2023-10-25,2.79,2.91,2.76,2.85,94154
2023-10-26,2.88,2.9291,2.7,2.7,213097
2023-10-27,2.8,3.6,2.65,3.1,527087
2023-10-30,3.24,3.77,2.67,2.95,635328
2023-10-31,2.89,3.05,2.78,3.05,249130
2023-11-01,2.99,3.0296,2.83,2.94,146595
2023-11-02,3.02,3.29,2.89,3.29,393405
2023-11-03,3.22,3.58,3.22,3.5,409229
2023-11-06,3.51,3.6,3.14,3.27,270122
